<video_id>0-ek-OpX5hc</video_id>	JJ	<video_id>0-ek-OpX5hc</video_id>
how	WRB	how
the	DT	the
hostages	NNS	hostage
that	IN/that	that
she	PP	she
was	VBD	be
with	IN	with
in	IN	in
Gaza	NP	Gaza
were	VBD	be
treated	VVN	treat
my	PP$	my
mom	NN	mom
is	VBZ	be
talking	VVG	talk
about	IN	about
coming	VVG	come
there	RB	there
when	WRB	when
they	PP	they
arrived	VVD	arrive
they	PP	they
arrived	VVD	arrive
into	IN	into
a	DT	a
large	JJ	large
are	VBP	be
Hall	NP	Hall
about	IN	about
25	CD	@card@
hostages	NNS	hostage
were	VBD	be
gathered	VVN	gather
and	CC	and
after	IN	after
two	CD	two
or	CC	or
three	CD	three
hours	NNS	hour
those	DT	those
hostages	NNS	hostage
five	CD	five
of	IN	of
them	PP	them
she	PP	she
among	IN	among
them	PP	them
were	VBD	be
taken	VVN	take
into	IN	into
a	DT	a
separate	JJ	separate
room	NN	room
my	PP$	my
mom	NN	mom
is	VBZ	be
saying	VVG	say
that	IN/that	that
they	PP	they
they	PP	they
were	VBD	be
very	RB	very
friendly	JJ	friendly
towards	IN	towards
them	PP	them
and	CC	and
that	IN/that	that
they	PP	they
took	VVD	take
care	NN	care
of	IN	of
them	PP	them
that	IN/that	that
they	PP	they
were	VBD	be
given	VVN	give
the	DT	the
medicine	NN	medicine
that	IN/that	that
they	PP	they
were	VBD	be
given	VVN	give
they	PP	they
were	VBD	be
given	VVN	give
medicine	NN	medicine
and	CC	and
they	PP	they
were	VBD	be
H	NN	H
treated	VVN	treat
one	CD	one
of	IN	of
the	DT	the
men	NNS	man
with	IN	with
them	PP	them
um	RB	um
had	VHD	have
badly	RB	badly
injured	VVN	injure
from	IN	from
from	IN	from
a	DT	a
motorbike	NN	motorbike
accident	NN	accident
on	IN	on
the	DT	the
way	NN	way
and	CC	and
the	DT	the
paramedic	JJ	paramedic
was	VBD	be
looking	VVG	look
after	IN	after
his	PP$	his
wounds	NNS	wound
it	PP	it
was	VBD	be
given	VVN	give
uh	UH	uh
um	NN	um
medicine	NN	medicine
and	CC	and
antibiotics	NNS	antibiotic
uh	UH	uh
that	IN/that	that
the	DT	the
people	NNS	people
were	VBD	be
friendly	JJ	friendly
that	IN/that	that
they	PP	they
kept	VVD	keep
the	DT	the
place	NN	place
very	RB	very
clean	VV	clean
they	PP	they
were	VBD	be
very	RB	very
concerned	VVN	concern
about	IN	about
them	PP	them
that	WDT	that
was	VBD	be
shaon	NN	shaon
lipitz	NN	lipitz
translating	VVG	translate
for	IN	for
her	PP$	her
mom	NN	mom
y	NP	y
one	CD	one
of	IN	of
two	CD	two
elderly	JJ	elderly
Israeli	JJ	Israeli
hostages	NNS	hostage
released	VVN	release
overnight	RB	overnight
from	IN	from
Gaza	NP	Gaza
um	JJ	um
y's	NN	y's
husband	NN	husband
so	IN	so
shon's	NN	shon's
father	NN	father
remains	VVZ	remain
inside	IN	inside
Gaza	NP	Gaza
one	CD	one
of	IN	of
the	DT	the
220	CD	@card@
hostages	NNS	hostage
still	RB	still
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
</doc>	NN	</doc>
