<video_id>o-5xBS1HJl4</video_id>	JJ	<video_id>o-5xBS1HJl4</video_id>
he	PP	he
says	VVZ	say
was	VBD	be
a	DT	a
baby	NN	baby
according	VVG	accord
to	TO	to
the	DT	the
World	NP	World
Health	NP	Health
Organization	NP	Organization
there	RB	there
are	VBP	be
currently	RB	currently
130	CD	@card@
babies	NNS	baby
on	IN	on
incubators	NNS	incubator
in	IN	in
Gaza	NP	Gaza
45	CD	@card@
of	IN	of
them	PP	them
are	VBP	be
believed	VVN	believe
to	TO	to
have	VH	have
been	VBN	be
at	IN	at
the	DT	the
alifa	NN	alifa
hospital	NN	hospital
well	RB	well
the	DT	the
Gaza	NP	Gaza
Health	NP	Health
Ministry	NP	Ministry
says	VVZ	say
39	CD	@card@
of	IN	of
them	PP	them
are	VBP	be
now	RB	now
at	IN	at
serious	JJ	serious
risk	NN	risk
of	IN	of
death	NN	death
given	VVN	give
the	DT	the
lack	NN	lack
of	IN	of
fuel	NN	fuel
and	CC	and
therefore	RB	therefore
a	DT	a
lack	NN	lack
of	IN	of
power	NN	power
take	VV	take
a	DT	a
Liston	NP	Liston
to	TO	to
what	WP	what
that	DT	that
surgeon	NN	surgeon
at	IN	at
alifa	NN	alifa
hospital	NN	hospital
told	VVD	tell
us	PP	us
in	IN	in
this	DT	this
update	NN	update
lost	VVD	lose
two	CD	two
patients	NNS	patient
who	WP	who
were	VBD	be
in	IN	in
a	DT	a
ventilator	NN	ventilator
one	CD	one
in	IN	in
the	DT	the
ICU	NP	ICU
one	CD	one
in	IN	in
the	DT	the
Nal	NP	Nal
ICU	NP	ICU
unit	NN	unit
it	PP	it
is	VBZ	be
very	RB	very
very	RB	very
dangerous	JJ	dangerous
very	RB	very
critical	JJ	critical
situation	NN	situation
there	EX	there
is	VBZ	be
no	DT	no
water	NN	water
even	RB	even
in	IN	in
the	DT	the
main	JJ	main
building	NN	building
no	DT	no
electricity	NN	electricity
no	DT	no
food	NN	food
even	RB	even
and	CC	and
no	RB	no
fuel	VV	fuel
the	DT	the
generators	NNS	generator
stopped	VVD	stop
to	TO	to
work	VV	work
in	IN	in
the	DT	the
main	JJ	main
sub	NN	sub
speciality	NN	speciality
building	NN	building
shooting	NN	shooting
and	CC	and
bombardment	NN	bombardment
everywhere	RB	everywhere
you	PP	you
hear	VVP	hear
it	PP	it
at	IN	at
every	DT	every
seconds	NNS	second
here	RB	here
around	IN	around
the	DT	the
shifa	NN	shifa
hospital	NN	hospital
and	CC	and
no	DT	no
one	CD	one
can	MD	can
get	VV	get
out	RP	out
from	IN	from
the	DT	the
shifa	NN	shifa
hospital	NN	hospital
no	DT	no
one	CD	one
can	MD	can
come	VV	come
to	TO	to
the	DT	the
shifa	NN	shifa
hospital	NN	hospital
situation	NN	situation
is	VBZ	be
very	RB	very
very	RB	very
very	RB	very
dangerous	JJ	dangerous
and	CC	and
the	DT	the
people	NNS	people
who	WP	who
H	NP	H
tried	VVD	try
this	DT	this
morning	NN	morning
to	TO	to
evacuate	VV	evacuate
from	IN	from
the	DT	the
hospital	NN	hospital
they	PP	they
were	VBD	be
have	VHP	have
been	VBN	be
shooted	VVN	shooted
in	IN	in
the	DT	the
streets	NNS	street
uh	UH	uh
some	DT	some
of	IN	of
them	PP	them
they	PP	they
are	VBP	be
on	IN	on
the	DT	the
they	PP	they
are	VBP	be
got	VVN	get
killed	VVN	kill
some	DT	some
of	IN	of
them	PP	them
they	PP	they
are	VBP	be
got	VVN	get
injured	VVN	injure
no	DT	no
one	CD	one
can	MD	can
arrive	VV	arrive
to	TO	to
the	DT	the
hospitals	NNS	hospital
we	PP	we
are	VBP	be
in	IN	in
the	DT	the
main	JJ	main
building	NN	building
of	IN	of
the	DT	the
hospital	NN	hospital
no	DT	no
uh	UH	uh
no	UH	no
we	PP	we
cannot	MD	can
get	VV	get
outside	IN	outside
of	IN	of
the	DT	the
building	NN	building
because	IN	because
uh	UH	uh
there	EX	there
is	VBZ	be
a	DT	a
shooting	NN	shooting
everywhere	RB	everywhere
we	PP	we
don't	VVD	don't
have	VH	have
electricity	NN	electricity
we	PP	we
don't	VVD	don't
have	VH	have
water	NN	water
we	PP	we
don't	VVD	don't
have	VH	have
even	RB	even
the	DT	the
food	NN	food
and	CC	and
and	CC	and
we	PP	we
are	VBP	be
afraid	JJ	afraid
the	DT	the
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
night	NN	night
we	PP	we
don't	VVD	don't
we	PP	we
lost	VVD	lose
the	DT	the
electricity	NN	electricity
to	TO	to
the	DT	the
main	JJ	main
ICU	NP	ICU
and	CC	and
to	TO	to
the	DT	the
newal	JJ	newal
ICU	NP	ICU
and	CC	and
our	PP$	our
engineer	NN	engineer
during	IN	during
their	PP$	their
walk	NN	walk
to	TO	to
the	DT	the
uh	UH	uh
to	TO	to
maintain	VV	maintain
this	DT	this
issue	NN	issue
one	CD	one
of	IN	of
the	DT	the
team	NN	team
was	VBD	be
hit	VVN	hit
in	IN	in
the	DT	the
neck	NN	neck
and	CC	and
he	PP	he
got	VVD	get
paralyzed	VVN	paralyze
we	PP	we
we	PP	we
don't	VVD	don't
we	PP	we
don't	VVD	don't
want	VV	want
to	TO	to
have	VH	have
any	DT	any
uh	UH	uh
outbreaks	NNS	outbreak
due	JJ	due
to	TO	to
this	DT	this
dead	JJ	dead
bodies	NNS	body
who	WP	who
are	VBP	be
outside	IN	outside
the	DT	the
main	JJ	main
refrigerator	NN	refrigerator
it	PP	it
is	VBZ	be
not	RB	not
working	VVG	work
more	JJR	more
because	IN	because
we	PP	we
don't	VVD	don't
have	VH	have
a	DT	a
fuel	NN	fuel
to	TO	to
run	VV	run
this	DT	this
generator	NN	generator
this	DT	this
is	VBZ	be
that	DT	that
issue	NN	issue
now	RB	now
well	RB	well
Israel's	JJ	Israel's
military	NN	military
has	VHZ	have
been	VBN	be
closing	VVG	close
in	IN	in
on	IN	on
Northern	NP	Northern
Gaza	NP	Gaza
the	DT	the
purple	JJ	purple
areas	NNS	area
on	IN	on
this	DT	this
map	NN	map
show	VVP	show
the	DT	the
approximate	JJ	approximate
location	NN	location
of	IN	of
soldiers	NNS	soldier
as	IN	as
fighting	VVG	fight
ramps	NNS	ramp
up	RP	up
in	IN	in
Gaza	NP	Gaza
City	NP	City
well	RB	well
the	DT	the
international	JJ	international
charity	NN	charity
msf	NN	msf
Medan	NP	Medan
Frontier	NP	Frontier
says	VVZ	say
that	IN/that	that
unless	IN	unless
there	EX	there
is	VBZ	be
a	DT	a
ceasefire	NN	ceasefire
alifa	NN	alifa
and	CC	and
other	JJ	other
hospitals	NNS	hospital
will	MD	will
turn	VV	turn
into	IN	into
graveyards	NNS	graveyard
they	PP	they
say	VVP	say
Israel	NP	Israel
has	VHZ	have
repeatedly	RB	repeatedly
accused	VVN	accuse
Hamas	NNS	Hamas
of	IN	of
using	VVG	use
alifa	NN	alifa
to	TO	to
conceal	VV	conceal
an	DT	an
underground	JJ	underground
Command	NP	Command
Center	NP	Center
but	CC	but
Hospital	NP	Hospital
staff	NN	staff
have	VHP	have
denied	VVN	deny
it	PP	it
meanwhile	RB	meanwhile
in	IN	in
an	DT	an
interview	NN	interview
with	IN	with
the	DT	the
BBC	NP	BBC
the	DT	the
French	JJ	French
President	NP	President
Emanuel	NP	Emanuel
macron	NN	macron
has	VHZ	have
called	VVN	call
for	IN	for
Israel	NP	Israel
to	TO	to
stop	VV	stop
killing	VVG	kill
babies	NNS	baby
and	CC	and
women	NNS	woman
in	IN	in
Gaza	NP	Gaza
Now	RB	now
France	NP	France
like	IN	like
the	DT	the
UK	NP	UK
has	VHZ	have
prescribed	VVN	prescribe
Hamas	NNS	Hamas
as	IN	as
a	DT	a
terror	NN	terror
organization	NN	organization
with	IN	with
the	DT	the
details	NNS	detail
here's	NNS	here's
our	PP$	our
correspondent	JJ	correspondent
Nick	NP	Nick
beak	NN	beak
this	DT	this
was	VBD	be
Israel's	NP	Israel's
aerial	JJ	aerial
attack	NN	attack
on	IN	on
Gaza	NP	Gaza
overnight	RB	overnight
an	DT	an
unrelenting	JJ	unrelenting
barrage	NN	barrage
like	IN	like
most	JJS	most
Knights	NP	Knights
over	IN	over
the	DT	the
past	JJ	past
5	CD	@card@
weeks	NNS	week
Israeli	JJ	Israeli
forces	NNS	force
have	VHP	have
now	RB	now
surrounded	VVN	surround
Gaza	NP	Gaza
City's	NP	City's
major	JJ	major
hospitals	NNS	hospital
where	WRB	where
they	PP	they
say	VVP	say
Hamas	NNS	Hamas
have	VHP	have
built	VVN	build
headquarters	NN	headquarters
underground	NN	underground
but	CC	but
thousands	NNS	thousand
of	IN	of
patients	NNS	patient
and	CC	and
those	DT	those
just	RB	just
trying	VVG	try
to	TO	to
seek	VV	seek
shelter	NN	shelter
are	VBP	be
stranded	VVN	strand
on	IN	on
what	WP	what
is	VBZ	be
now	RB	now
a	DT	a
Frontline	NN	Frontline
of	IN	of
the	DT	the
fighting	VVG	fight
The	DT	the
Red	NP	Red
Cross	NP	Cross
says	VVZ	say
hospitals	NNS	hospital
in	IN	in
Gaza	NP	Gaza
have	VHP	have
reached	VVN	reach
a	DT	a
point	NN	point
of	IN	of
no	DT	no
return	NN	return
France's	NP	France's
president	NN	president
Emanuel	NP	Emanuel
macron	NN	macron
once	RB	once
again	RB	again
condemned	VVN	condemn
Hamas	NN	Hamas
but	CC	but
he	PP	he
told	VVD	tell
the	DT	the
BBC	NP	BBC
that	DT	that
Israel	NP	Israel
a	DT	a
country	NN	country
he	PP	he
called	VVD	call
a	DT	a
partner	NN	partner
and	CC	and
friend	NN	friend
had	VHD	have
no	DT	no
justification	NN	justification
for	IN	for
its	PP$	its
continued	JJ	continued
bombing	NN	bombing
of	IN	of
Gaza	NP	Gaza
de	FW	de
facto	FW	facto
today	NN	today
civilians	NNS	civilian
are	VBP	be
bombed	VVN	bomb
de	FW	de
facto	FW	facto
these	DT	these
babies	NNS	baby
the	DT	the
ladies	NN	ladies
these	DT	these
old	JJ	old
people	NNS	people
are	VBP	be
bombed	VVN	bomb
and	CC	and
killed	VVD	kill
there	EX	there
is	VBZ	be
no	DT	no
reason	NN	reason
for	IN	for
that	WDT	that
and	CC	and
no	DT	no
legitimacy	NN	legitimacy
so	IN	so
we	PP	we
do	VVP	do
urge	VV	urge
Israel	NP	Israel
to	TO	to
stop	VV	stop
I	PP	I
just	RB	just
remind	VVP	remind
everybody	NN	everybody
international	JJ	international
law	NN	law
I	PP	I
call	VVP	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
I	PP	I
will	MD	will
urge	VV	urge
them	PP	them
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
for	IN	for
minute	NN	minute
against	IN	against
this	DT	this
fire	NN	fire
in	IN	in
response	NN	response
the	DT	the
Israeli	JJ	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
said	VVD	say
world	NN	world
leaders	NNS	leader
should	MD	should
be	VB	be
condemning	VVG	condemn
Hamas	NNS	Hamas
not	RB	not
Israel	NP	Israel
his	PP$	his
government	NN	government
said	VVD	say
once	RB	once
again	RB	again
it	PP	it
was	VBD	be
targeting	VVG	target
Hamas	NP	Hamas
not	RB	not
civilians	NNS	civilian
meanwhile	RB	meanwhile
the	DT	the
families	NNS	family
of	IN	of
hostages	NNS	hostage
taken	VVN	take
by	IN	by
Hamas	NP	Hamas
on	IN	on
October	NP	October
the	DT	the
7th	JJ	7th
are	VBP	be
desperate	JJ	desperate
for	IN	for
their	PP$	their
release	NN	release
Tom	NP	Tom
hans's	NP	hans's
8-year-old	JJ	8-year-old
daughter	NN	daughter
Emily	NP	Emily
was	VBD	be
kidnapped	VVN	kidnap
he	PP	he
had	VHD	have
this	DT	this
message	NN	message
for	IN	for
her	PP$	her
Ro	NP	Ro
waiting	NN	waiting
for	IN	for
her	PP$	her
um	NN	um
we	PP	we
know	VVP	know
we're	NN	we're
going	VVG	go
we're	NN	we're
going	VVG	go
to	TO	to
get	VV	get
you	PP	you
back	RB	back
be	VB	be
strong	JJ	strong
every	DT	every
day	NN	day
and	CC	and
uh	UH	uh
wait	VV	wait
we're	NN	we're
coming	VVG	come
to	TO	to
get	VV	get
you	PP	you
we're	NN	we're
coming	VVG	come
to	TO	to
get	VV	get
you	PP	you
home	VV	home
we	PP	we
going	VVG	go
to	TO	to
bring	VV	bring
you	PP	you
home	NN	home
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
have	VHP	have
been	VBN	be
making	VVG	make
the	DT	the
journey	NN	journey
South	JJ	South
to	TO	to
what	WP	what
Israel	NP	Israel
tells	VVZ	tell
them	PP	them
is	VBZ	be
a	DT	a
safe	JJ	safe
place	NN	place
for	IN	for
their	PP$	their
families	NNS	family
but	CC	but
it	PP	it
feels	VVZ	feel
like	IN	like
nowhere	NN	nowhere
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
safe	JJ	safe
Nick	NP	Nick
beak	NN	beak
BBC	NP	BBC
News	NP	News
Jerusalem	NP	Jerusalem
well	RB	well
a	DT	a
little	JJ	little
while	NN	while
ago	RB	ago
I	PP	I
spoke	VVD	speak
to	TO	to
Nick	NP	Nick
beak	NN	beak
who's	NNS	who's
in	IN	in
Jerusalem	NP	Jerusalem
he	PP	he
sent	VVD	send
us	PP	us
this	DT	this
update	VV	update
the	DT	the
Israeli	JJ	Israeli
Defense	NP	Defense
Forces	NNS	force
have	VHP	have
been	VBN	be
holding	VVG	hold
uh	UH	uh
a	DT	a
briefing	NN	briefing
here	RB	here
today	NN	today
and	CC	and
journalists	NNS	journalist
were	VBD	be
able	JJ	able
to	TO	to
put	VV	put
to	TO	to
them	PP	them
some	DT	some
of	IN	of
the	DT	the
accounts	NNS	account
that	WDT	that
are	VBP	be
coming	VVG	come
out	RP	out
out	RB	out
of	IN	of
the	DT	the
uh	UH	uh
the	DT	the
alifa	NN	alifa
hospital	NN	hospital
including	VVG	include
the	DT	the
the	DT	the
very	RB	very
Vivid	JJ	vivid
account	NN	account
there	EX	there
we	PP	we
heard	VVD	hear
from	IN	from
the	DT	the
surgeon	NN	surgeon
and	CC	and
the	DT	the
Israeli	JJ	Israeli
position	NN	position
on	IN	on
this	DT	this
is	VBZ	be
that	IN/that	that
Hamas	NP	Hamas
has	VHZ	have
created	VVN	create
the	DT	the
situation	NN	situation
whereby	WRB	whereby
a	DT	a
hospital	NN	hospital
hital	NN	hital
is	VBZ	be
in	IN	in
effect	NN	effect
a	DT	a
legitimate	JJ	legitimate
military	JJ	military
Target	NP	Target
so	RB	so
by	IN	by
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
are	VBP	be
saying	VVG	say
that	IN/that	that
Hamas	NP	Hamas
has	VHZ	have
created	VVN	create
this	DT	this
control	NN	control
and	CC	and
Command	NP	Command
Center	NP	Center
Center	NP	Center
underneath	IN	underneath
the	DT	the
hospital	NN	hospital
from	IN	from
which	WDT	which
it's	NNS	it's
directed	VVD	direct
operations	NNS	operation
and	CC	and
has	VHZ	have
been	VBN	be
planning	VVG	plan
atrocities	NNS	atrocity
on	IN	on
is	VBZ	be
Israeli	JJ	Israeli
soil	NN	soil
so	IN	so
that	WDT	that
is	VBZ	be
what	WP	what
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
saying	VVG	say
they	PP	they
were	VBD	be
also	RB	also
uh	UH	uh
really	RB	really
unwilling	JJ	unwilling
to	TO	to
be	VB	be
drawn	VVN	draw
on	IN	on
some	DT	some
of	IN	of
the	DT	the
very	RB	very
Vivid	JJ	vivid
accounts	NNS	account
of	IN	of
what's	NNS	what's
been	VBN	be
happening	VVG	happen
in	IN	in
terms	NNS	term
of	IN	of
civilians	NNS	civilian
in	IN	in
the	DT	the
in	IN	in
the	DT	the
crossfire	NN	crossfire
the	DT	the
Israelis	NPS	Israelis
saying	VVG	say
that	DT	that
they've	NN	they've
spent	VVD	spend
the	DT	the
last	JJ	last
four	CD	four
weeks	NNS	week
trying	VVG	try
to	TO	to
evacuate	VV	evacuate
hospitals	NNS	hospital
urging	VVG	urge
people	NNS	people
to	TO	to
move	VV	move
out	RP	out
of	IN	of
them	PP	them
but	CC	but
said	VVD	say
that	IN/that	that
Hamas	NP	Hamas
has	VHZ	have
been	VBN	be
holding	VVG	hold
patience	NN	patience
and	CC	and
other	JJ	other
people	NNS	people
basically	RB	basically
as	IN	as
human	JJ	human
Shields	NP	Shields
and	CC	and
has	VHZ	have
been	VBN	be
preventing	VVG	prevent
them	PP	them
from	IN	from
leaving	VVG	leave
saying	VVG	say
that	IN/that	that
there	EX	there
have	VHP	have
been	VBN	be
checkpoints	NNS	checkpoint
that	WDT	that
have	VHP	have
been	VBN	be
set	VVN	set
up	RP	up
to	TO	to
stop	VV	stop
people	NNS	people
moving	VVG	move
out	RP	out
uh	UH	uh
the	DT	the
the	DT	the
IDF	NP	IDF
spokesperson	NN	spokesperson
though	RB	though
did	VVD	do
concede	VV	concede
that	IN/that	that
there	EX	there
were	VBD	be
thousands	NNS	thousand
of	IN	of
people	NNS	people
within	IN	within
the	DT	the
courtyard	NN	courtyard
of	IN	of
the	DT	the
Osa	NP	Osa
hospital	NN	hospital
so	IN	so
that	WDT	that
really	RB	really
gives	VVZ	give
you	PP	you
an	DT	an
indication	NN	indication
of	IN	of
just	RB	just
how	WRB	how
perilous	JJ	perilous
a	DT	a
state	NN	state
the	DT	the
the	DT	the
civilians	NNS	civilian
and	CC	and
other	JJ	other
patients	NNS	patient
are	VBP	be
who	WP	who
of	IN	of
course	NN	course
moved	VVN	move
to	TO	to
hospitals	NNS	hospital
thinking	VVG	think
they'd	NN	they'd
be	VB	be
in	IN	in
one	CD	one
of	IN	of
the	DT	the
the	DT	the
safest	JJS	safe
places	NNS	place
in	IN	in
Gaza	NP	Gaza
but	CC	but
as	IN	as
we've	NN	we've
seen	VVN	see
it	PP	it
appears	VVZ	appear
that	IN/that	that
no	DT	no
place	NN	place
within	IN	within
the	DT	the
territory	NN	territory
is	VBZ	be
safe	JJ	safe
so	IN	so
our	PP$	our
correspondent	NN	correspondent
there	RB	there
Nick	NP	Nick
beak	NN	beak
who's	NNS	who's
in	IN	in
Jerusalem	NP	Jerusalem
</doc>	NP	</doc>
