fore	IN	fore
destrction	NN	destrction
I	PP	I
didn	NP	didn
'	POS	'
t	NN	t
feel	VVP	feel
that	IN/that	that
much	RB	much
of	IN	of
sadness	NN	sadness
I	PP	I
don	VVP	don
'	''	'
t	NN	t
know	VV	know
why	WRB	why
but	CC	but
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	NN	S
like	IN	like
any	DT	any
other	JJ	other
gazin	NN	gazin
now	RB	now
anything	RB	anything
materialistic	JJ	materialistic
just	RB	just
worthless	JJ	worthless
it	PP	it
was	VBD	be
3	CD	@card@
:	:	:
00	CD	@card@
a	DT	a
.	SENT	.
m	NN	m
.	SENT	.
in	IN	in
the	DT	the
morning	NN	morning
where	WRB	where
we	PP	we
get	VVP	get
a	DT	a
phone	NN	phone
call	NN	call
from	IN	from
d	NN	d
was	VBD	be
a	DT	a
recorded	VVN	record
message	NN	message
saying	VVG	say
that	IN/that	that
for	IN	for
your	PP$	your
safety	NN	safety
you	PP	you
need	VVP	need
to	TO	to
leave	VV	leave
the	DT	the
North	JJ	North
and	CC	and
head	NN	head
to	TO	to
the	DT	the
South	NP	South
as	IN	as
soon	RB	soon
as	RB	as
possible	JJ	possible
I	PP	I
was	VBD	be
shocked	JJ	shocked
I	PP	I
was	VBD	be
in	IN	in
a	DT	a
shock	NN	shock
I	PP	I
'	POS	'
m	NN	m
running	VVG	run
for	IN	for
my	PP$	my
life	NN	life
I	NP	I
'	POS	'
m	NN	m
trying	VVG	try
to	TO	to
protect	VV	protect
my	PP$	my
family	NN	family
'	POS	'
s	JJ	s
life	NN	life
it	PP	it
was	VBD	be
still	RB	still
so	RB	so
dark	JJ	dark
bombing	NN	bombing
were	VBD	be
everywhere	RB	everywhere
but	CC	but
we	PP	we
were	VBD	be
like	IN	like
you	PP	you
know	VVP	know
what	WP	what
we	PP	we
'	POS	'
re	NN	re
not	RB	not
going	VVG	go
to	TO	to
take	VV	take
a	DT	a
chance	NN	chance
to	TO	to
stay	VV	stay
for	IN	for
one	CD	one
more	JJR	more
minute	NN	minute
so	IN	so
we	PP	we
started	VVD	start
moving	VVG	move
with	IN	with
our	PP$	our
cars	NNS	car
to	TO	to
the	DT	the
South	NP	South
to	TO	to
friend	VV	friend
house	NN	house
the	DT	the
150	CD	@card@
square	JJ	square
M	NP	M
apartment	NN	apartment
we	PP	we
were	VBD	be
around	RB	around
seven	CD	seven
families	NNS	family
around	IN	around
60	CD	@card@
people	NNS	people
it	PP	it
was	VBD	be
just	RB	just
very	RB	very
very	RB	very
difficult	JJ	difficult
so	IN	so
every	DT	every
night	NN	night
when	WRB	when
it	PP	it
gets	VVZ	get
dark	VV	dark
We	PP	we
Gather	NP	Gather
in	IN	in
a	DT	a
small	JJ	small
Corner	NP	Corner
in	IN	in
the	DT	the
house	NN	house
me	PP	me
my	PP$	my
two	CD	two
daughters	NNS	daughter
and	CC	and
my	PP$	my
wife	NN	wife
we	PP	we
close	VVP	close
the	DT	the
ears	NNS	ear
of	IN	of
our	PP$	our
of	IN	of
our	PP$	our
kids	NNS	kid
and	CC	and
sometimes	RB	sometimes
we	PP	we
get	VVP	get
scared	VVN	scare
ourselves	PP	ourselves
so	IN	so
we	PP	we
leave	VVP	leave
our	PP$	our
kids	NNS	kid
and	CC	and
we	PP	we
SC	NP	SC
we	PP	we
close	VV	close
our	PP$	our
ears	NNS	ear
and	CC	and
we	PP	we
tell	VVP	tell
them	PP	them
to	TO	to
put	VV	put
their	PP$	their
hands	NNS	hand
on	IN	on
their	PP$	their
ears	NNS	ear
because	IN	because
it	PP	it
'	POS	'
s	NN	S
very	RB	very
difficult	JJ	difficult
and	CC	and
it	PP	it
'	POS	'
s	NN	S
extremely	RB	extremely
dark	NN	dark
there	RB	there
'	POS	'
s	JJ	s
nothing	NN	nothing
that	IN/that	that
you	PP	you
can	MD	can
see	VV	see
so	IN	so
you	PP	you
keep	VVP	keep
on	IN	on
holding	VVG	hold
your	PP$	your
kids	NNS	kid
so	RB	so
that	IN/that	that
they	PP	they
don	VV	don
'	''	'
t	NN	t
run	VVN	run
away	RP	away
and	CC	and
I	PP	I
got	VVD	get
a	DT	a
call	NN	call
from	IN	from
the	DT	the
Canadian	JJ	Canadian
embassy	NN	embassy
saying	VVG	say
you	PP	you
know	VVP	know
what	WP	what
you	PP	you
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
evacuate	VV	evacuate
you	PP	you
your	PP$	your
wife	NN	wife
and	CC	and
your	PP$	your
two	CD	two
daughters	NNS	daughter
but	CC	but
not	RB	not
your	PP$	your
parents	NNS	parent
you	PP	you
'	''	'
re	IN	re
you	PP	you
'	''	'
re	IN	re
you	PP	you
'	POS	'
re	NN	re
wearing	VVG	wear
the	DT	the
life	NN	life
of	IN	of
your	PP$	your
daughters	NNS	daughter
with	IN	with
the	DT	the
life	NN	life
of	IN	of
your	PP$	your
parents	NNS	parent
there	RB	there
'	''	'
s	VVG	s
no	DT	no
way	NN	way
I	PP	I
'	POS	'
m	NN	m
leaving	VVG	leave
and	CC	and
I	PP	I
'	POS	'
m	NN	m
leaving	VVG	leave
my	PP$	my
parents	NNS	parent
behind	RB	behind
and	CC	and
they	PP	they
'	POS	'
re	NN	re
old	JJ	old
and	CC	and
they	PP	they
need	VVP	need
me	PP	me
but	CC	but
then	RB	then
something	NN	something
happened	VVD	happen
and	CC	and
it	PP	it
was	VBD	be
a	DT	a
sign	NN	sign
for	IN	for
me	PP	me
that	IN/that	that
I	PP	I
had	VHD	have
to	TO	to
leave	VV	leave
so	IN	so
there	EX	there
was	VBD	be
bombing	NN	bombing
right	RB	right
beside	IN	beside
us	PP	us
uh	UH	uh
my	PP$	my
older	JJR	old
daughter	NN	daughter
SOA	NP	SOA
was	VBD	be
playing	VVG	play
she	PP	she
has	VHZ	have
diabetes	NN	diabetes
uh	UH	uh
her	PP$	her
sugar	NN	sugar
liver	NN	liver
was	VBD	be
around	RB	around
300	CD	@card@
when	WRB	when
she	PP	she
heard	VVD	hear
the	DT	the
boming	NN	boming
she	PP	she
got	VVD	get
so	RB	so
scared	VVN	scare
so	IN	so
her	PP$	her
sugar	NN	sugar
level	NN	level
dropped	VVD	drop
from	IN	from
300	CD	@card@
to	TO	to
30	CD	@card@
all	DT	all
of	IN	of
a	DT	a
sudden	JJ	sudden
and	CC	and
that	WDT	that
means	VVZ	mean
that	IN/that	that
she	PP	she
can	MD	can
get	VV	get
G	NP	G
aoma	NN	aoma
at	IN	at
any	DT	any
second	JJ	second
and	CC	and
that	DT	that
means	NN	means
which	WDT	which
is	VBZ	be
worst	RB	worst
that	IN/that	that
she	PP	she
has	VHZ	have
to	TO	to
be	VB	be
hospitalized	VVN	hospitalize
and	CC	and
there	EX	there
'	''	'
s	VVG	s
no	DT	no
hospitals	NNS	hospital
operating	VVG	operate
at	IN	at
that	DT	that
time	NN	time
they	PP	they
'	''	'
re	IN	re
all	DT	all
full	JJ	full
of	IN	of
wounded	JJ	wounded
people	NNS	people
full	JJ	full
of	IN	of
dead	JJ	dead
people	NNS	people
so	IN	so
she	PP	she
can	MD	can
'	''	'
t	NN	t
really	RB	really
have	VHP	have
a	DT	a
place	NN	place
to	TO	to
be	VB	be
hospitalized	VVN	hospitalize
at	IN	at
and	CC	and
now	RB	now
I	NP	I
'	POS	'
m	NN	m
here	RB	here
to	TO	to
a	DT	a
certain	JJ	certain
extent	NN	extent
comfortable	JJ	comfortable
with	IN	with
my	PP$	my
family	NN	family
and	CC	and
that	IN/that	that
'	POS	'
s	NN	S
where	WRB	where
I	PP	I
get	VVP	get
the	DT	the
feeling	NN	feeling
of	IN	of
guilt	NN	guilt
and	CC	and
shame	NN	shame
see	VVP	see
it	PP	it
'	''	'
s	NNS	s
not	RB	not
drinking	VVG	drink
that	DT	that
'	''	'
s	VVG	s
my	PP$	my
sister	NN	sister
she	PP	she
'	POS	'
s	NN	S
with	IN	with
my	PP$	my
parents	NNS	parent
yeah	RB	yeah
no	DT	no
internet	NN	Internet
so	IN	so
it	PP	it
'	POS	'
s	NN	S
not	RB	not
drinking	VVG	drink
that	DT	that
'	''	'
s	VVG	s
the	DT	the
problem	NN	problem
is	VBZ	be
that	IN/that	that
I	PP	I
really	RB	really
can	MD	can
'	''	'
t	NN	t
concentrate	VV	concentrate
what	WP	what
am	VBP	be
I	PP	I
going	VVG	go
to	TO	to
do	VV	do
uh	UH	uh
here	RB	here
unless	IN	unless
I	PP	I
'	POS	'
m	NN	m
sure	JJ	sure
that	IN/that	that
they	PP	they
'	POS	'
re	NN	re
safe	NN	safe
when	WRB	when
we	PP	we
got	VVD	get
here	RB	here
and	CC	and
we	PP	we
were	VBD	be
at	IN	at
the	DT	the
hotel	NN	hotel
at	IN	at
the	DT	the
beginning	NN	beginning
and	CC	and
I	PP	I
asked	VVD	ask
them	PP	them
I	NP	I
'	POS	'
m	NN	m
like	IN	like
What	WP	what
'	POS	'
s	NN	S
the	DT	the
most	JJS	most
thing	NN	thing
that	IN/that	that
you	PP	you
like	VVP	like
about	IN	about
Canada	NP	Canada
and	CC	and
both	DT	both
of	IN	of
them	PP	them
subconsciously	RB	subconsciously
they	PP	they
answered	VVD	answer
like	IN	like
we	PP	we
love	VVP	love
about	IN	about
Canada	NP	Canada
one	CD	one
thing	NN	thing
that	IN/that	that
there	EX	there
'	''	'
s	VVG	s
no	DT	no
war	NN	war
slowly	RB	slowly
but	CC	but
surely	RB	surely
I	NP	I
'	POS	'
m	NN	m
trying	VVG	try
to	TO	to
get	VV	get
them	PP	them
out	RP	out
of	IN	of
like	IN	like
the	DT	the
memory	NN	memory
that	IN/that	that
they	PP	they
had	VHD	have
for	IN	for
the	DT	the
past	JJ	past
30	CD	@card@
days	NNS	day
continuous	JJ	continuous
bombing	NN	bombing
and	CC	and
this	DT	this
going	VVG	go
to	TO	to
take	VV	take
me	PP	me
some	DT	some
time	NN	time
for	IN	for
sure	JJ	sure
until	IN	until
they	PP	they
'	POS	'
re	NN	re
used	VVD	use
that	IN/that	that
this	DT	this
is	VBZ	be
the	DT	the
normal	JJ	normal
life	NN	life
and	CC	and
what	WP	what
we	PP	we
used	VVD	use
to	TO	to
live	VV	live
there	IN	here
it	PP	it
'	POS	'
s	NN	S
just	RB	just
not	RB	not
normal	JJ	normal
and	CC	and
no	RB	no
one	PP	one
should	MD	should
live	VV	live
