<video_id>l_tZ5gFKLSg</video_id>	JJ	<video_id>l_tZ5gFKLSg</video_id>
too	RB	too
many	JJ	many
patients	NNS	patient
for	IN	for
the	DT	the
number	NN	number
of	IN	of
healthcare	NN	healthcare
worker	NN	worker
so	IN	so
many	JJ	many
patient	NN	patient
were	VBD	be
just	RB	just
laying	VVG	lay
on	IN	on
their	PP$	their
beds	NNS	bed
for	IN	for
for	IN	for
for	IN	for
days	NNS	day
for	IN	for
weeks	NNS	week
without	IN	without
the	DT	the
proper	JJ	proper
without	IN	without
the	DT	the
proper	JJ	proper
medical	JJ	medical
care	NN	care
because	IN	because
there	EX	there
are	VBP	be
not	RB	not
enough	JJ	enough
staff	NN	staff
currently	RB	currently
uh	UH	uh
More	JJR	more
than	IN	than
70%	CD	@card@
of	IN	of
the	DT	the
staff	NN	staff
has	VHZ	have
left	VVN	leave
ner	NNS	ner
because	IN	because
they're	NN	they're
scared	VVN	scare
for	IN	for
their	PP$	their
life	NN	life
and	CC	and
this	DT	this
is	VBZ	be
not	RB	not
acceptable	JJ	acceptable
what	WP	what
is	VBZ	be
going	VVG	go
on	IN	on
we	PP	we
we	PP	we
are	VBP	be
forced	VVN	force
to	TO	to
abandon	VV	abandon
patients	NNS	patient
to	TO	to
to	TO	to
let	VV	let
patient	JJ	patient
dies	NNS	die
die	VVP	die
on	IN	on
their	PP$	their
bed	VV	bed
uh	UH	uh
because	IN	because
because	IN	because
healthare	NN	healthare
worker	NN	worker
cannot	MD	can
stay	VV	stay
in	IN	in
the	DT	the
hospital	NN	hospital
it's	NN	it's
it's	NNS	it's
it's	NNS	it's
happened	VVD	happen
in	IN	in
the	DT	the
North	NP	North
it	PP	it
happens	VVZ	happen
again	RB	again
in	IN	in
the	DT	the
South	NP	South
Naser	NP	Naser
hospital	NN	hospital
and	CC	and
European	JJ	European
Hospital	NN	hospital
are	VBP	be
the	DT	the
last	JJ	last
two	CD	two
hospital	NN	hospital
that	WDT	that
were	VBD	be
functioning	VVG	function
in	RP	in
in	IN	in
in	IN	in
the	DT	the
South	NP	South
now	RB	now
Naser	NP	Naser
is	VBZ	be
barely	RB	barely
functioning	VVG	function
anymore	RB	anymore
because	IN	because
there	EX	there
are	VBP	be
no	DT	no
more	JJR	more
staff	NN	staff
and	CC	and
no	DT	no
more	JJR	more
staff	NN	staff
to	TO	to
take	VV	take
care	NN	care
of	IN	of
the	DT	the
patient	JJ	patient
patient	NN	patient
are	VBP	be
in	IN	in
critical	JJ	critical
condition	NN	condition
they	PP	they
need	VVP	need
a	DT	a
lot	NN	lot
of	IN	of
care	NN	care
and	CC	and
we	PP	we
cannot	MD	can
give	VV	give
to	TO	to
them	PP	them
in	IN	in
going	VVG	go
on	IN	on
is	VBZ	be
any	DT	any
medical	JJ	medical
Aid	NN	aid
getting	VVG	get
across	IN	across
the	DT	the
border	NN	border
to	TO	to
the	DT	the
NASA	NP	NASA
Hospital	NP	Hospital
you	PP	you
know	VVP	know
we	PP	we
managed	VVD	manage
to	TO	to
get	VV	get
some	DT	some
Medical	NP	Medical
Aid	NP	Aid
across	IN	across
the	DT	the
border	NN	border
but	CC	but
it's	NNS	it's
very	RB	very
difficult	JJ	difficult
to	TO	to
bring	VV	bring
it	PP	it
to	TO	to
the	DT	the
hospital	NN	hospital
when	WRB	when
I	PP	I
was	VBD	be
there	RB	there
a	DT	a
week	NN	week
ago	RB	ago
we	PP	we
brought	VVD	bring
full	JJ	full
full	JJ	full
care	NN	care
of	IN	of
medical	JJ	medical
supply	NN	supply
so	IN	so
they	PP	they
they	PP	they
have	VHP	have
some	DT	some
medical	JJ	medical
supply	NN	supply
to	TO	to
carry	VV	carry
on	RP	on
even	RB	even
if	IN	if
it's	NNS	it's
not	RB	not
enough	RB	enough
especially	RB	especially
in	IN	in
term	NN	term
of	IN	of
pain	NN	pain
killer	NN	killer
uh	UH	uh
but	CC	but
when	WRB	when
you	PP	you
talk	VVP	talk
about	IN	about
the	DT	the
north	NN	north
of	IN	of
Gaza	NP	Gaza
which	WDT	which
we	PP	we
tend	VVP	tend
to	TO	to
forget	VV	forget
a	DT	a
bit	NN	bit
like	IN	like
like	JJ	like
shifa	NN	shifa
Hospital	NN	hospital
like	IN	like
Indonesian	JJ	Indonesian
Hospital	NN	hospital
there	EX	there
is	VBZ	be
no	DT	no
Supply	NN	supply
at	IN	at
all	DT	all
almost	RB	almost
that	WDT	that
can	MD	can
reach	VV	reach
this	DT	this
area	NN	area
when	WRB	when
I	PP	I
was	VBD	be
there	RB	there
I	PP	I
tried	VVD	try
four	CD	four
times	NNS	time
to	TO	to
go	VV	go
in	IN	in
North	JJ	North
Gaza	NP	Gaza
four	CD	four
times	NNS	time
we	PP	we
were	VBD	be
denied	VVN	deny
by	IN	by
the	DT	the
Israeli	JJ	Israeli
Army	NN	army
to	TO	to
to	TO	to
reach	VV	reach
this	DT	this
area	NN	area
this	NN	this
is	VBZ	be
uh	UH	uh
completely	RB	completely
forbidden	VVN	forbid
under	IN	under
international	JJ	international
law	NN	law
to	TO	to
forbid	VV	forbid
humanitarian	JJ	humanitarian
people	NNS	people
to	TO	to
bring	VV	bring
essential	JJ	essential
Goods	NP	Goods
like	VVP	like
medicines	NNS	medicine
uh	UH	uh
uh	UH	uh
to	TO	to
the	DT	the
population	NN	population
uh	UH	uh
what	WP	what
is	VBZ	be
going	VVG	go
on	IN	on
in	IN	in
Gaza	NP	Gaza
now	RB	now
it's	NNS	it's
too	RB	too
much	JJ	much
uh	UH	uh
uh	UH	uh
it's	NNS	it's
a	DT	a
I	PP	I
I	PP	I
hope	VVP	hope
we're	NN	we're
not	RB	not
getting	VVG	get
used	VVN	use
to	TO	to
it	PP	it
it's	NN	it's
a	DT	a
it's	NNS	it's
it's	NNS	it's
a	DT	a
massacre	NN	massacre
that	WDT	that
is	VBZ	be
going	VVG	go
on	IN	on
every	DT	every
day	NN	day
uh	UH	uh
I	PP	I
can	MD	can
remind	VV	remind
you	PP	you
that	IN/that	that
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
war	NN	war
it's	NN	it's
25,000	CD	@card@
people	NNS	people
who	WP	who
got	VVD	get
killed	VVN	kill
uh	UH	uh
if	IN	if
we	PP	we
just	RB	just
count	VVP	count
the	DT	the
women	NNS	woman
and	CC	and
children	NNS	child
it's	NN	it's
15,000	CD	@card@
women	NNS	woman
and	CC	and
children	NNS	child
who	WP	who
got	VVD	get
killed	VVN	kill
in	IN	in
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
war	NN	war
it's	NN	it's
150	CD	@card@
children	NNS	child
and	CC	and
women	NNS	woman
being	VBG	be
killed	VVN	kill
every	DT	every
single	JJ	single
day	NN	day
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
war	NN	war
it	PP	it
is	VBZ	be
not	RB	not
a	DT	a
normal	JJ	normal
War	NN	war
it	PP	it
is	VBZ	be
a	DT	a
war	NN	war
that	WDT	that
is	VBZ	be
targeting	VVG	target
civilians	NNS	civilian
when	WRB	when
I	PP	I
was	VBD	be
visiting	VVG	visit
Nas	NP	Nas
hospital	NN	hospital
and	CC	and
European	JJ	European
hospital	NN	hospital
I	PP	I
was	VBD	be
shocked	VVN	shock
but	CC	but
truly	RB	truly
shocked	VVN	shock
by	IN	by
the	DT	the
number	NN	number
of	IN	of
children	NNS	child
and	CC	and
women	NNS	woman
inside	IN	inside
those	DT	those
hospital	NN	hospital
it	PP	it
was	VBD	be
mainly	RB	mainly
women	NNS	woman
and	CC	and
children	NNS	child
I	PP	I
have	VHP	have
never	RB	never
seen	VVN	see
this	DT	this
in	IN	in
any	DT	any
other	JJ	other
world	NN	world
and	CC	and
I've	NN	I've
been	VBN	be
in	IN	in
in	IN	in
in	IN	in
working	VVG	work
in	IN	in
other	JJ	other
Wars	NNS	war
as	IN	as
msf	NN	msf
we've	NN	we've
been	VBN	be
working	VVG	work
in	IN	in
other	JJ	other
Wars	NNS	war
mostly	RB	mostly
you	PP	you
see	VVP	see
combatants	NNS	combatant
and	CC	and
you	PP	you
see	VVP	see
some	DT	some
civilian	JJ	civilian
people	NNS	people
but	CC	but
here	RB	here
it's	NNS	it's
the	DT	the
opposite	NN	opposite
you	PP	you
see	VVP	see
mostly	RB	mostly
civilian	JJ	civilian
people	NNS	people
getting	VVG	get
treated	VVN	treat
for	IN	for
for	IN	for
for	IN	for
for	IN	for
for	IN	for
very	RB	very
difficult	JJ	difficult
wounds	NNS	wound
the	DT	the
M	NN	M
are	VBP	be
crushed	VVN	crush
a	DT	a
lot	NN	lot
of	IN	of
burns	NNS	burn
on	IN	on
the	DT	the
face	NN	face
on	IN	on
on	IN	on
on	IN	on
the	DT	the
on	IN	on
the	DT	the
arms	NNS	arm
legs	NNS	leg
on	IN	on
the	DT	the
body	NN	body
it's	NN	it's
it's	NNS	it's
it's	NNS	it's
extremely	RB	extremely
difficult	JJ	difficult
ones	NNS	one
to	TO	to
take	VV	take
care	NN	care
of	IN	of
and	CC	and
it's	NNS	it's
a	DT	a
it's	NN	it's
a	DT	a
it's	NNS	it's
shocking	VVG	shock
and	CC	and
outraging	VVG	outrage
that	IN/that	that
so	RB	so
many	JJ	many
civilians	NNS	civilian
are	VBP	be
being	VBG	be
uh	UH	uh
wounded	VVN	wound
and	CC	and
killed	VVN	kill
Leo	NP	Leo
K	NP	K
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
joining	VVG	join
us	PP	us
head	NN	head
of	IN	of
mission	NN	mission
for	IN	for
Palestine	NP	Palestine
with	IN	with
the	DT	the
msf	NN	msf
thank	VVP	thank
you	PP	you
thank	VVP	thank
you	PP	you
</doc>	JJ	</doc>
