<video_id>PhcGamJhJek</video_id>	JJ	<video_id>PhcGamJhJek</video_id>
Cam	NP	Cam
and	CC	and
so	RB	so
to	TO	to
just	RB	just
tell	VV	tell
us	PP	us
more	RBR	more
about	RB	about
how	WRB	how
he	PP	he
framed	VVD	frame
this	DT	this
essentially	RB	essentially
what	WP	what
he	PP	he
was	VBD	be
saying	VVG	say
is	VBZ	be
that	IN/that	that
something	NN	something
has	VHZ	have
to	TO	to
be	VB	be
done	VVN	do
to	TO	to
start	VV	start
to	TO	to
political	JJ	political
discussion	NN	discussion
so	RB	so
not	RB	not
just	RB	just
the	DT	the
immediate	JJ	immediate
short-term	JJ	short-term
talks	NNS	talk
to	TO	to
try	VV	try
and	CC	and
end	VV	end
the	DT	the
fighting	NN	fighting
now	RB	now
but	CC	but
actually	RB	actually
something	NN	something
that	WDT	that
can	MD	can
start	VV	start
unpicking	VVG	unpick
a	DT	a
political	JJ	political
process	NN	process
and	CC	and
his	PP$	his
suggestion	NN	suggestion
one	CD	one
of	IN	of
the	DT	the
suggestions	NNS	suggestion
was	VBD	be
he	PP	he
said	VVD	say
look	VV	look
you	PP	you
know	VV	know
there	EX	there
are	VBP	be
lots	NNS	lot
of	IN	of
preconditions	NNS	precondition
Hamas	NN	Hamas
has	VHZ	have
to	TO	to
stop	VV	stop
fighting	VVG	fight
it	PP	it
has	VHZ	have
to	TO	to
be	VB	be
guaranteed	VVN	guarantee
no	RB	no
longer	RBR	longer
a	DT	a
threat	NN	threat
the	DT	the
leadership	NN	leadership
have	VH	have
to	TO	to
leave	VV	leave
Gaza	NP	Gaza
Etc	NN	etc
but	CC	but
he	PP	he
also	RB	also
said	VVD	say
on	IN	on
the	DT	the
Palestinian	JJ	Palestinian
side	NN	side
some	DT	some
movement	NN	movement
has	VHZ	have
to	TO	to
happen	VV	happen
to	TO	to
try	VV	try
and	CC	and
give	VV	give
an	DT	an
incentive	NN	incentive
to	TO	to
Palestinians	NPS	Palestinians
to	TO	to
engage	VV	engage
in	IN	in
a	DT	a
in	IN	in
politics	NNS	politics
rather	RB	rather
than	IN	than
fighting	VVG	fight
and	CC	and
his	PP$	his
idea	NN	idea
was	VBD	be
to	TO	to
say	VV	say
look	VV	look
why	WRB	why
why	WRB	why
don't	JJ	don't
you	PP	you
have	VHP	have
the	DT	the
recognition	NN	recognition
of	IN	of
a	DT	a
Palestinian	JJ	Palestinian
State	NN	state
not	RB	not
as	IN	as
the	DT	the
end	NN	end
outcome	NN	outcome
of	IN	of
long-term	JJ	long-term
solution	NN	solution
to	TO	to
the	DT	the
Middle	NP	Middle
East	NP	East
crisis	NN	crisis
but	CC	but
something	NN	something
that	WDT	that
would	MD	would
be	VB	be
part	NN	part
of	IN	of
the	DT	the
negotiation	NN	negotiation
so	IN	so
it's	NNS	it's
more	RBR	more
immediate	JJ	immediate
as	IN	as
as	RB	as
as	IN	as
he	PP	he
said	VVD	say
it	PP	it
provides	VVZ	provide
a	DT	a
political	JJ	political
Horizon	NN	horizon
for	IN	for
Palestinians	NNS	Palestinian
now	RB	now
that	WDT	that
is	VBZ	be
a	DT	a
change	NN	change
in	IN	in
the	DT	the
British	JJ	British
position	NN	position
the	DT	the
British	JJ	British
position	NN	position
was	VBD	be
always	RB	always
you	PP	you
know	VVP	know
we'll	RB	we'll
support	VV	support
you	PP	you
know	VV	know
two	CD	two
State	NN	state
solution	NN	solution
at	IN	at
some	DT	some
point	NN	point
he's	NNS	he's
just	RB	just
saying	VVG	say
well	RB	well
maybe	RB	maybe
we	PP	we
bring	VVP	bring
that	IN/that	that
earlier	JJR	early
it's	NNS	it's
really	RB	really
interesting	JJ	interesting
and	CC	and
certainly	RB	certainly
the	DT	the
timing	NN	timing
of	IN	of
it	PP	it
is	VBZ	be
also	RB	also
interesting	JJ	interesting
would	MD	would
the	DT	the
UK	NP	UK
consider	VVP	consider
doing	VVG	do
this	DT	this
unilaterally	RB	unilaterally
no	RB	no
I	PP	I
mean	VVP	mean
the	DT	the
minister	NN	minister
was	VBD	be
asked	VVN	ask
about	IN	about
this	DT	this
in	IN	in
the	DT	the
house	NN	house
of	IN	of
comms	NNS	comms
today	NN	today
he	PP	he
made	VVD	make
it	PP	it
very	RB	very
clear	VV	clear
this	DT	this
is	VBZ	be
not	RB	not
something	NN	something
that's	NNS	that's
going	VVG	go
to	TO	to
be	VB	be
done	VVN	do
unilaterally	RB	unilaterally
is	VBZ	be
a	DT	a
straightforward	JJ	straightforward
you	PP	you
know	VVP	know
oneoff	NN	oneoff
thing	NN	thing
this	DT	this
is	VBZ	be
clearly	RB	clearly
something	NN	something
that	IN/that	that
Mr	NP	Mr
Cameron	NP	Cameron
wants	VVZ	want
to	TO	to
do	VV	do
with	IN	with
allies	VVZ	ally
uh	UH	uh
but	CC	but
what	WP	what
he	PP	he
said	VVD	say
and	CC	and
it's	NNS	it's
certainly	RB	certainly
not	RB	not
going	VVG	go
to	TO	to
happen	VV	happen
tomorrow	NN	tomorrow
um	NNS	um
there	EX	there
has	VHZ	have
been	VBN	be
some	DT	some
criticism	NN	criticism
in	IN	in
the	DT	the
House	NP	House
of	IN	of
Commons	NPS	Commons
about	IN	about
this	DT	this
some	DT	some
conservative	JJ	conservative
MPS	NP	MPS
have	VHP	have
said	VVN	say
you	PP	you
know	VVP	know
this	DT	this
whole	JJ	whole
idea	NN	idea
of	IN	of
re	NN	re
would	MD	would
be	VB	be
rewarding	VVG	reward
Hamas	NNS	Hamas
for	IN	for
the	DT	the
atrocities	NNS	atrocity
of	IN	of
October	NP	October
7th	JJ	7th
I	PP	I
think	VVP	think
the	DT	the
government's	NN	government's
position	NN	position
is	VBZ	be
this	DT	this
is	VBZ	be
not	RB	not
that	IN/that	that
this	DT	this
is	VBZ	be
not	RB	not
anything	NN	anything
immediate	JJ	immediate
it's	NNS	it's
just	RB	just
saying	VVG	say
in	IN	in
the	DT	the
future	NN	future
when	WRB	when
those	DT	those
negotiations	NNS	negotiation
potentially	RB	potentially
if	IN	if
they	PP	they
happen	VVP	happen
maybe	RB	maybe
you	PP	you
bring	VVP	bring
forward	RB	forward
that	DT	that
process	NN	process
to	TO	to
give	VV	give
Palestinians	NNS	Palestinian
some	DT	some
confidence	NN	confidence
that	IN/that	that
in	IN	in
Mr	NP	Mr
Cameron's	NPS	Cameron's
words	VVZ	word
uh	UH	uh
that	IN/that	that
there	EX	there
is	VBZ	be
irreversible	JJ	irreversible
progress	NN	progress
to	TO	to
a	DT	a
two-state	NN	two-state
solution	NN	solution
and	CC	and
really	RB	really
briefly	RB	briefly
I	PP	I
mean	VVP	mean
you	PP	you
are	VBP	be
talking	VVG	talk
about	RB	about
longterm	JJ	longterm
because	IN	because
obviously	RB	obviously
in	IN	in
the	DT	the
immediate	JJ	immediate
and	CC	and
the	DT	the
short	JJ	short
term	NN	term
I	PP	I
mean	VVP	mean
the	DT	the
number	NN	number
of	IN	of
obstacles	NNS	obstacle
to	TO	to
actually	RB	actually
getting	VVG	get
to	TO	to
that	DT	that
place	NN	place
are	VBP	be
just	RB	just
enormous	JJ	enormous
enormous	JJ	enormous
there's	NNS	there's
very	RB	very
very	RB	very
little	JJ	little
trust	NN	trust
and	CC	and
that's	NNS	that's
why	WRB	why
Mr	NP	Mr
Cameron	NP	Cameron
is	VBZ	be
in	IN	in
the	DT	the
region	NN	region
again	RB	again
his	PP$	his
fourth	JJ	fourth
trip	NN	trip
since	IN	since
he's	NNS	he's
only	RB	only
been	VBN	be
in	IN	in
post	NN	post
for	IN	for
two	CD	two
and	CC	and
a	DT	a
half	JJ	half
months	NNS	month
he's	NNS	he's
in	IN	in
Oman	NP	Oman
um	NNS	um
just	RB	just
trying	VVG	try
to	TO	to
keep	VV	keep
everybody	NN	everybody
talking	VVG	talk
for	IN	for
all	PDT	all
the	DT	the
problems	NNS	problem
that	WDT	that
are	VBP	be
many	JJ	many
at	IN	at
least	JJS	least
there	EX	there
are	VBP	be
conversations	NNS	conversation
going	VVG	go
on	IN	on
at	IN	at
the	DT	the
moment	NN	moment
James	NP	James
SEL	NP	SEL
thanks	NNS	thanks
very	RB	very
much	RB	much
for	IN	for
taking	VVG	take
through	IN	through
thank	VV	thank
you	PP	you
</doc>	JJ	</doc>
