<video_id>awEaOYh85Lg</video_id>	JJ	<video_id>awEaOYh85Lg</video_id>
to	TO	to
the	DT	the
crossing	VVG	cross
point	NN	point
twice	RB	twice
for	IN	for
no	DT	no
reason	NN	reason
I	PP	I
was	VBD	be
turned	VVN	turn
away	RP	away
Sahm's	NP	Sahm's
name	NN	name
appeared	VVD	appear
on	IN	on
this	DT	this
list	NN	list
for	IN	for
evacuation	NN	evacuation
to	TO	to
Turkey	NP	Turkey
on	IN	on
November	NP	November
19th	JJ	19th
but	CC	but
border	NN	border
agents	NNS	agent
on	IN	on
the	DT	the
Palestinian	JJ	Palestinian
side	NN	side
turned	VVD	turn
her	PP	her
away	RP	away
saying	VVG	say
the	DT	the
Turkish	JJ	Turkish
Envoy	NP	Envoy
wasn't	NN	wasn't
there	RB	there
to	TO	to
receive	VV	receive
her	PP	her
but	CC	but
we	PP	we
found	VVD	find
that	IN/that	that
that	DT	that
wasn't	NN	wasn't
the	DT	the
case	NN	case
MAA	NP	MAA
asoi	NP	asoi
was	VBD	be
being	VBG	be
treated	VVN	treat
for	IN	for
breast	NN	breast
cancer	NN	cancer
and	CC	and
was	VBD	be
on	IN	on
the	DT	the
same	JJ	same
evacuation	NN	evacuation
list	NN	list
ASM	NN	ASM
she	PP	she
was	VBD	be
allowed	VVN	allow
to	TO	to
leave	VV	leave
to	TO	to
Turkey	NP	Turkey
for	IN	for
treatment	NN	treatment
that	IN/that	that
day	NN	day
and	CC	and
was	VBD	be
even	RB	even
able	JJ	able
to	TO	to
bring	VV	bring
her	PP$	her
two	CD	two
daughters	NNS	daughter
with	IN	with
her	PP	her
after	IN	after
I	PP	I
got	VVD	get
through	IN	through
the	DT	the
crossing	NN	crossing
onto	IN	onto
the	DT	the
Egyptian	JJ	Egyptian
side	NN	side
I	PP	I
saw	VVD	see
the	DT	the
Turkish	JJ	Turkish
Consul	NN	consul
waiting	VVG	wait
for	IN	for
us	PP	us
and	CC	and
I	PP	I
knew	VVD	know
I	PP	I
was	VBD	be
going	VVG	go
to	TO	to
Turkey	NP	Turkey
we've	NN	we've
spoken	VVN	speak
to	TO	to
two	CD	two
other	JJ	other
cancer	NN	cancer
patients	NNS	patient
who	WP	who
say	VVP	say
they've	NN	they've
been	VBN	be
turned	VVN	turn
away	RB	away
at	IN	at
the	DT	the
border	NN	border
despite	IN	despite
their	PP$	their
names	NNS	name
being	VBG	be
on	IN	on
evacuation	NN	evacuation
lists	VVZ	list
officials	NNS	official
in	IN	in
Turkey	NP	Turkey
told	VVD	tell
the	DT	the
BBC	NP	BBC
that	IN/that	that
they	PP	they
are	VBP	be
not	RB	not
involved	VVN	involve
in	IN	in
approving	VVG	approve
the	DT	the
exit	NN	exit
of	IN	of
patients	NNS	patient
from	IN	from
Gaza	NP	Gaza
and	CC	and
that	IN/that	that
they	PP	they
are	VBP	be
willing	JJ	willing
to	TO	to
treat	VV	treat
as	IN	as
many	JJ	many
patients	NNS	patient
as	IN	as
they	PP	they
receive	VVP	receive
only	RB	only
600	CD	@card@
cancer	NN	cancer
patients	NNS	patient
from	IN	from
Gaza	NP	Gaza
have	VHP	have
managed	VVN	manage
to	TO	to
leave	VV	leave
since	IN	since
October	NP	October
7th	JJ	7th
Israel	NP	Israel
vets	NNS	vet
who	WP	who
is	VBZ	be
allowed	VVN	allow
to	TO	to
leave	VV	leave
Gaza	NP	Gaza
the	DT	the
Israeli	NP	Israeli
Ministry	NP	Ministry
of	IN	of
Defense	NP	Defense
told	VVD	tell
us	PP	us
they	PP	they
have	VHP	have
no	DT	no
restrictions	NNS	restriction
on	IN	on
the	DT	the
number	NN	number
of	IN	of
patients	NNS	patient
allowed	VVN	allow
to	TO	to
leave	VV	leave
for	IN	for
medical	JJ	medical
treatment	NN	treatment
Palestinian	JJ	Palestinian
border	NN	border
authorities	NNS	authority
declined	VVD	decline
to	TO	to
comment	VV	comment
on	IN	on
Sahm's	NP	Sahm's
case	NN	case
but	CC	but
it	PP	it
seems	VVZ	seem
there	EX	there
are	VBP	be
other	JJ	other
ways	NNS	way
to	TO	to
leave	VV	leave
Gaza	NP	Gaza
a	DT	a
lucrative	JJ	lucrative
Monopoly	NN	monopoly
has	VHZ	have
emerged	VVN	emerge
from	IN	from
the	DT	the
war	NN	war
with	IN	with
one	CD	one
Egyptian	JJ	Egyptian
travel	NN	travel
agency	NN	agency
Hela	NP	Hela
charging	VVG	charge
Palestinians	NPS	Palestinians
$5,000	NN	$5,000
per	IN	per
person	NN	person
to	TO	to
exit	VV	exit
Gaza	NP	Gaza
within	IN	within
1	CD	@card@
to	TO	to
2	CD	@card@
weeks	NNS	week
this	DT	this
is	VBZ	be
more	JJR	more
than	IN	than
four	CD	four
times	NNS	time
the	DT	the
average	JJ	average
annual	JJ	annual
salary	NN	salary
in	IN	in
Gaza	NP	Gaza
this	DT	this
man	NN	man
says	VVZ	say
he	PP	he
had	VHD	have
to	TO	to
pay	VV	pay
a	DT	a
Hela	NP	Hela
employee	NN	employee
an	DT	an
extra	JJ	extra
$300	NN	$300
to	TO	to
get	VV	get
his	PP$	his
family	NN	family
on	IN	on
the	DT	the
evacuation	NN	evacuation
list	NN	list
we've	NN	we've
hidden	VVN	hide
his	PP$	his
identity	NN	identity
they	PP	they
weren't	NN	weren't
letting	VVG	let
anyone	NN	anyone
in	IN	in
if	IN	if
you	PP	you
wanted	VVD	want
to	TO	to
go	VV	go
in	IN	in
you	PP	you
had	VHD	have
to	TO	to
pay	VV	pay
to	TO	to
be	VB	be
lay	VV	lay
so	RB	so
then	RB	then
you	PP	you
could	MD	could
pay	VV	pay
the	DT	the
$5,000	NN	$5,000
the	DT	the
fee	NN	fee
was	VBD	be
$5,000	JJ	$5,000
for	IN	for
an	DT	an
adult	NN	adult
and	CC	and
$25,000	NN	$25,000
for	IN	for
a	DT	a
child	NN	child
for	IN	for
Palestinian	JJ	Palestinian
passport	NN	passport
holders	NNS	holder
he	PP	he
is	VBZ	be
one	CD	one
of	IN	of
10	CD	@card@
people	NNS	people
who	WP	who
told	VVD	tell
us	PP	us
they	PP	they
made	VVD	make
extra	JJ	extra
payments	NNS	payment
of	IN	of
up	RB	up
to	TO	to
$4,000	NN	$4,000
to	TO	to
Hela	NP	Hela
employees	NNS	employee
to	TO	to
get	VV	get
their	PP$	their
families	NNS	family
evacuated	VVN	evacuate
but	CC	but
it	PP	it
seems	VVZ	seem
the	DT	the
best	RBS	well
connected	VVN	connect
in	IN	in
Gaza	NP	Gaza
can	MD	can
leave	VV	leave
without	IN	without
paying	VVG	pay
at	IN	at
all	DT	all
we	PP	we
found	VVD	find
the	DT	the
names	NNS	name
of	IN	of
Palestinian	JJ	Palestinian
citizens	NNS	citizen
on	IN	on
an	DT	an
evacuation	NN	evacuation
list	NN	list
meant	VVN	mean
for	IN	for
Egyptians	NNS	Egyptian
one	CD	one
of	IN	of
them	PP	them
told	VVD	tell
us	PP	us
they	PP	they
were	VBD	be
helped	VVN	help
to	TO	to
get	VV	get
on	IN	on
the	DT	the
list	NN	list
by	IN	by
someone	NN	someone
with	IN	with
political	JJ	political
connections	NNS	connection
neither	CC	neither
Hela	NP	Hela
nor	CC	nor
the	DT	the
Egyptian	JJ	Egyptian
foreign	JJ	foreign
Ministry	NP	Ministry
responded	VVD	respond
to	TO	to
our	PP$	our
questions	NNS	question
in	IN	in
Gaza	NP	Gaza
time	NN	time
is	VBZ	be
running	VVG	run
out	RP	out
for	IN	for
Zim	NP	Zim
whose	WP$	whose
cancer	NN	cancer
is	VBZ	be
spreading	VVG	spread
we	PP	we
are	VBP	be
uing	VVG	uing
now	RB	now
my	PP$	my
medicine	NN	medicine
is	VBZ	be
finished	VVN	finish
I'm	NP	I'm
so	RB	so
tired	VVD	tire
I	PP	I
can	MD	can
hardly	RB	hardly
see	VV	see
in	IN	in
front	NN	front
of	IN	of
me	PP	me
no	DT	no
blood	NN	blood
tests	NNS	test
or	CC	or
anything	NN	anything
my	PP$	my
chapy	NN	chapy
ran	VVD	run
out	RP	out
a	DT	a
long	JJ	long
time	NN	time
ago	RB	ago
without	IN	without
the	DT	the
money	NN	money
or	CC	or
connections	NNS	connection
many	JJ	many
patients	NNS	patient
like	IN	like
sahm	NN	sahm
have	VHP	have
been	VBN	be
left	VVN	leave
behind	IN	behind
</doc>	NN	</doc>
