<video_id>dOC5urye7Bk</video_id>	NP	<video_id>dOC5urye7Bk</video_id>
under	RB	under
attack	VV	attack
uh	UH	uh
in	IN	in
several	JJ	several
weeks	NNS	week
so	RB	so
again	RB	again
it	PP	it
shows	VVZ	show
that	DT	that
uh	UH	uh
you	PP	you
know	VVP	know
these	DT	these
groups	NNS	group
continue	VVP	continue
to	TO	to
have	VH	have
the	DT	the
capacity	NN	capacity
to	TO	to
launch	VV	launch
uh	UH	uh
Rockets	VVZ	rocket
uh	UH	uh
at	IN	at
Israel	NP	Israel
as	IN	as
this	DT	this
offensive	NN	offensive
this	DT	this
military	JJ	military
offensive	NN	offensive
continues	VVZ	continue
in	IN	in
Gaza	NP	Gaza
well	NN	well
that's	NNS	that's
our	PP$	our
correspondent	JJ	correspondent
uh	UH	uh
there's	RB	there's
been	VBN	be
reaction	NN	reaction
from	IN	from
the	DT	the
British	JJ	British
foreign	JJ	foreign
SEC	NP	SEC
David	NP	David
Cameron	NP	Cameron
welcoming	VVG	welcome
Israel's	NP	Israel's
decision	NN	decision
to	TO	to
allow	VV	allow
the	DT	the
entry	NN	entry
of	IN	of
Aid	NN	aid
through	IN	through
that	DT	that
Kem	NP	Kem
Shalom	NP	Shalom
Crossing	VVG	cross
he	PP	he
said	VVD	say
very	RB	very
pleased	JJ	pleased
to	TO	to
see	VV	see
Israel's	NP	Israel's
decision	NN	decision
to	TO	to
open	VV	open
the	DT	the
crossing	VVG	cross
point	NN	point
it's	NNS	it's
a	DT	a
vital	JJ	vital
step	NN	step
towards	IN	towards
ensuring	VVG	ensure
significantly	RB	significantly
more	RBR	more
life-saving	JJ	life-saving
Aid	NN	aid
can	MD	can
reach	VV	reach
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
so	IN	so
that	WDT	that
has	VHZ	have
just	RB	just
been	VBN	be
posted	VVN	post
by	IN	by
the	DT	the
British	JJ	British
foreign	JJ	foreign
secretary	NN	secretary
David	NP	David
Cameron	NP	Cameron
</doc>	NN	</doc>
