now	RB	now
nothing	NN	nothing
uh	UH	uh
yes	UH	yes
yesterday	RB	yesterday
one	CD	one
of	IN	of
my	PP$	my
colleagues	NNS	colleague
at	IN	at
Medical	NP	Medical
Aid	NP	Aid
for	IN	for
Palestinians	NPS	Palestinians
his	PP$	his
name	NN	name
is	VBZ	be
Muhammad	NP	Muhammad
his	PP$	his
house	NN	house
was	VBD	be
destroyed	VVN	destroy
while	IN	while
he	PP	he
was	VBD	be
in	IN	in
there	RB	there
with	IN	with
his	PP$	his
six	CD	six
children	NNS	child
and	CC	and
wife	NN	wife
they	PP	they
managed	VVD	manage
to	TO	to
escape	VV	escape
miraculously	RB	miraculously
but	CC	but
they	PP	they
lost	VVD	lose
some	DT	some
of	IN	of
the	DT	the
extended	JJ	extended
family	NN	family
members	NNS	member
they	PP	they
lost	VVD	lose
he	PP	he
lost	VVD	lose
his	PP$	his
cousin	NN	cousin
and	CC	and
uh	UH	uh
the	DT	the
situation	NN	situation
has	VHZ	have
been	VBN	be
really	RB	really
dire	JJ	dire
he	PP	he
he	PP	he
stayed	VVD	stay
in	IN	in
a	DT	a
shop	NN	shop
like	IN	like
the	DT	the
neighbors	NNS	neighbor
opened	VVD	open
the	DT	the
shop	NN	shop
for	IN	for
them	PP	them
to	TO	to
stay	VV	stay
there	RB	there
during	IN	during
the	DT	the
night	NN	night
and	CC	and
at	IN	at
the	DT	the
early	JJ	early
sunlight	NN	sunlight
he	PP	he
went	VVD	go
to	TO	to
shifa	NN	shifa
the	DT	the
largest	JJS	large
hospital	NN	hospital
in	IN	in
Gaza	NP	Gaza
Strip	NP	Strip
he	PP	he
described	VVD	describe
the	DT	the
situation	NN	situation
for	IN	for
me	PP	me
the	DT	the
the	DT	the
hospital	NN	hospital
it	PP	it
'	POS	'
s	NN	S
self	NN	self
is	VBZ	be
full	JJ	full
of	IN	of
internally	RB	internally
displaced	VVN	displace
people	NNS	people
because	IN	because
they	PP	they
don	VVP	don
'	''	'
t	NN	t
find	VV	find
any	DT	any
other	JJ	other
place	NN	place
that	WDT	that
is	VBZ	be
safe	JJ	safe
to	TO	to
go	VV	go
to	TO	to
just	RB	just
a	DT	a
snapshot	NN	snapshot
of	IN	of
the	DT	the
latest	JJS	late
on	IN	on
the	DT	the
ground	NN	ground
there	RB	there
in	IN	in
Gaza	NP	Gaza
