<video_id>d-vzAqSX9QU</video_id>	NP	<video_id>d-vzAqSX9QU</video_id>
within	IN	within
the	DT	the
cabinet	NN	cabinet
is	VBZ	be
about	RB	about
a	DT	a
response	NN	response
uh	UH	uh
the	DT	the
uh	UH	uh
military	NN	military
Chief	NP	Chief
of	IN	of
Staff	NP	Staff
Mr	NP	Mr
hery	NN	hery
halvi	NNS	halvi
said	VVD	say
the	DT	the
Iranian	JJ	Iranian
attack	NN	attack
will	MD	will
be	VB	be
met	VVN	meet
with	IN	with
a	DT	a
response	NN	response
but	CC	but
the	DT	the
discussing	VVG	discuss
the	DT	the
uh	UH	uh
the	DT	the
scale	NN	scale
and	CC	and
timing	NN	timing
of	IN	of
the	DT	the
response	NN	response
because	IN	because
this	DT	this
will	MD	will
affect	VV	affect
if	IN	if
will	MD	will
be	VB	be
escalation	NN	escalation
or	CC	or
how	WRB	how
the	DT	the
Iranian	JJ	Iranian
respond	NN	respond
because	IN	because
Iranian	JJ	Iranian
said	VVD	say
what	WP	what
Israeli	JJ	Israeli
done	VVN	do
to	TO	to
strike	VV	strike
the	DT	the
Iranian	JJ	Iranian
Consulate	NN	consulate
in	IN	in
Damascus	NP	Damascus
was	VBD	be
a	DT	a
strategic	JJ	strategic
mistake	NN	mistake
and	CC	and
what	WP	what
we	PP	we
what	WP	what
we	PP	we
the	DT	the
Iranian	NN	Iranian
done	VVN	do
was	VBD	be
like	IN	like
a	DT	a
self-defense	NN	self-defense
so	RB	so
in	IN	in
this	DT	this
case	NN	case
that's	NNS	that's
it	PP	it
but	CC	but
Israeli	NP	Israeli
think	VVP	think
it's	NNS	it's
damaging	VVG	damage
its	PP$	its
reputation	NN	reputation
as	IN	as
Superior	NP	Superior
power	NN	power
in	IN	in
the	DT	the
uh	UH	uh
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
so	RB	so
to	TO	to
be	VB	be
attacked	VVN	attack
on	IN	on
its	PP$	its
soil	NN	soil
by	IN	by
all	DT	all
of	IN	of
that	WDT	that
even	RB	even
the	DT	the
damage	NN	damage
was	VBD	be
minimal	JJ	minimal
inside	IN	inside
the	DT	the
Israel	NP	Israel
it	PP	it
looks	VVZ	look
like	IN	like
a	DT	a
damage	NN	damage
for	IN	for
its	PP$	its
reputation	NN	reputation
as	IN	as
a	DT	a
super	JJ	super
superpower	NN	superpower
so	IN	so
there	EX	there
is	VBZ	be
pressure	NN	pressure
on	IN	on
the	DT	the
cabinet	NN	cabinet
and	CC	and
on	IN	on
the	DT	the
Mr	NP	Mr
Netanyahu	NP	Netanyahu
to	TO	to
make	VV	make
a	DT	a
response	NN	response
however	RB	however
there	EX	there
is	VBZ	be
pressure	NN	pressure
also	RB	also
from	IN	from
United	NP	United
States	NPS	States
and	CC	and
other	JJ	other
like	IN	like
United	NP	United
Kingdom	NP	Kingdom
and	CC	and
Mr	NP	Mr
Cameron	NP	Cameron
the	DT	the
uh	UH	uh
foreign	JJ	foreign
secretary	NN	secretary
the	DT	the
British	JJ	British
foreign	JJ	foreign
Ministry	NP	Ministry
uh	UH	uh
secretary	NN	secretary
said	VVD	say
should	MD	should
be	VB	be
Israel	NP	Israel
should	MD	should
be	VB	be
smart	JJ	smart
it	PP	it
was	VBD	be
a	DT	a
failure	NN	failure
so	IN	so
they	PP	they
Tred	VVD	Tred
to	TO	to
minimize	VV	minimize
the	DT	the
effect	NN	effect
of	IN	of
the	DT	the
Iranian	JJ	Iranian
strike	NN	strike
because	IN	because
the	DT	the
damage	NN	damage
was	VBD	be
minimal	JJ	minimal
so	IN	so
they	PP	they
are	VBP	be
the	DT	the
Israeli	NN	Israeli
between	IN	between
uh	UH	uh
two	CD	two
pressures	NNS	pressure
one	CD	one
from	IN	from
inside	NN	inside
and	CC	and
from	IN	from
outside	JJ	outside
respond	NN	respond
or	CC	or
not	RB	not
and	CC	and
this	DT	this
like	JJ	like
situation	NN	situation
will	MD	will
be	VB	be
escalating	VVG	escalate
if	IN	if
there	EX	there
is	VBZ	be
a	DT	a
response	NN	response
according	VVG	accord
to	TO	to
America	NP	America
and	CC	and
other	JJ	other
allies	NNS	ally
to	TO	to
Israel	NP	Israel
that	WDT	that
was	VBD	be
BBC	NP	BBC
Arabic	NP	Arabic
s	NN	S
shahata	NN	shahata
well	NN	well
let's	NNS	let's
speak	VVP	speak
to	TO	to
our	PP$	our
Middle	NP	Middle
East	NP	East
correspondent	NN	correspondent
who	WP	who
is	VBZ	be
in	IN	in
Jerusalem	NP	Jerusalem
your	PP$	your
land	NN	land
at	IN	at
Nell	NP	Nell
your	PP$	your
land	NN	land
it's	NNS	it's
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
now	RB	now
what	WP	what
more	JJR	more
are	VBP	be
we	PP	we
hearing	VVG	hear
from	IN	from
Israeli	JJ	Israeli
officials	NNS	official
I	PP	I
mean	VVP	mean
we're	NN	we're
not	RB	not
hearing	VVG	hear
anything	NN	anything
much	RB	much
on	IN	on
the	DT	the
record	JJ	record
uh	UH	uh
but	CC	but
a	DT	a
very	RB	very
clear	JJ	clear
message	NN	message
has	VHZ	have
being	NN	being
being	VBG	be
sent	VVN	send
in	IN	in
general	NN	general
that	IN/that	that
they	PP	they
will	MD	will
um	RB	um
retaliate	VV	retaliate
for	IN	for
the	DT	the
unprecedented	JJ	unprecedented
Iranian	JJ	Iranian
attack	NN	attack
in	IN	in
the	DT	the
early	JJ	early
hours	NNS	hour
of	IN	of
Sunday	NP	Sunday
morning	NN	morning
um	NNS	um
we	PP	we
had	VHD	have
the	DT	the
Israeli	JJ	Israeli
military's	NNS	military's
Chief	JJ	chief
of	IN	of
Staff	NP	Staff
uh	UH	uh
going	VVG	go
to	TO	to
the	DT	the
ne	RB	ne
Team	NP	Team
Air	NP	Air
Base	NP	Base
it	PP	it
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
the	DT	the
few	JJ	few
sites	NNS	site
um	NNS	um
that	WDT	that
was	VBD	be
actually	RB	actually
hit	VVN	hit
by	IN	by
ballistic	JJ	ballistic
missiles	NNS	missile
um	JJ	um
in	IN	in
that	DT	that
attack	NN	attack
um	NN	um
it	PP	it
suffered	VVD	suffer
minor	JJ	minor
damage	NN	damage
um	NNS	um
and	CC	and
he	PP	he
was	VBD	be
addressing	VVG	address
the	DT	the
Air	NP	Air
Force	NP	Force
pilots	NNS	pilot
there	RB	there
and	CC	and
saying	VVG	say
to	TO	to
them	PP	them
that	DT	that
uh	UH	uh
really	RB	really
that	DT	that
attack	NN	attack
the	DT	the
use	NN	use
of	IN	of
so	RB	so
many	JJ	many
um	NN	um
missiles	NNS	missile
and	CC	and
drones	VVZ	drone
uh	UH	uh
could	MD	could
not	RB	not
go	VV	go
um	NNS	um
unmet	JJ	unmet
and	CC	and
he	PP	he
was	VBD	be
also	RB	also
complimenting	VVG	compliment
them	PP	them
on	IN	on
their	PP$	their
capabilities	NNS	capability
and	CC	and
their	PP$	their
preparations	NNS	preparation
um	NNS	um
should	MD	should
their	PP$	their
uh	UH	uh
Services	NP	Services
be	VB	be
required	VVN	require
as	IN	as
part	NN	part
of	IN	of
that	DT	that
retaliation	NN	retaliation
um	NN	um
of	IN	of
course	NN	course
there	EX	there
are	VBP	be
other	JJ	other
means	NNS	mean
at	IN	at
Israel's	NP	Israel's
disposable	JJ	disposable
they	PP	they
could	MD	could
uh	UH	uh
go	VV	go
for	IN	for
something	NN	something
sort	NN	sort
of	IN	of
more	JJR	more
in	IN	in
terms	NNS	term
of	IN	of
asymmetric	JJ	asymmetric
Warfare	NN	warfare
uh	UH	uh
the	DT	the
likes	NN	likes
of	IN	of
uh	UH	uh
the	DT	the
stuck	JJ	stuck
net	JJ	net
computer	NN	computer
worm	NN	worm
that	IN/that	that
we	PP	we
saw	VVD	see
in	IN	in
the	DT	the
past	NN	past
that	WDT	that
was	VBD	be
used	VVN	use
to	TO	to
effectively	RB	effectively
uh	UH	uh
disable	VV	disable
key	JJ	key
parts	NNS	part
of	IN	of
Iran's	JJ	Iran's
uh	UH	uh
nuclear	JJ	nuclear
program	NN	program
uh	UH	uh
this	DT	this
has	VHZ	have
been	VBN	be
a	DT	a
shadow	NN	shadow
War	NN	war
that's	NNS	that's
gone	VVN	go
on	IN	on
for	IN	for
so	RB	so
many	JJ	many
years	NNS	year
between	IN	between
Israel	NP	Israel
and	CC	and
Iran	NP	Iran
uh	UH	uh
but	CC	but
now	RB	now
what's	NNS	what's
happened	VVN	happen
in	IN	in
recent	JJ	recent
days	NNS	day
has	VHZ	have
really	RB	really
uh	UH	uh
pushed	VVN	push
things	NNS	thing
into	IN	into
the	DT	the
open	JJ	open
it's	NNS	it's
of	IN	of
course	NN	course
causing	VVG	cause
so	RB	so
much	RB	much
concern	VV	concern
uh	UH	uh
for	IN	for
world	NN	world
leaders	NNS	leader
uh	UH	uh
they	PP	they
are	VBP	be
trying	VVG	try
to	TO	to
uh	UH	uh
persuade	VV	persuade
Israel	NP	Israel
to	TO	to
exercise	VV	exercise
restraint	NN	restraint
um	NNS	um
and	CC	and
the	DT	the
real	JJ	real
dilemma	NN	dilemma
of	IN	of
Israel's	NP	Israel's
war	NN	war
cabinet	NN	cabinet
is	VBZ	be
how	WRB	how
to	TO	to
send	VV	send
a	DT	a
powerful	JJ	powerful
message	NN	message
to	TO	to
Iran	NP	Iran
uh	UH	uh
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	VV	time
uh	UH	uh
not	RB	not
escalate	VV	escalate
things	NNS	thing
in	IN	in
the	DT	the
region	NN	region
in	IN	in
an	DT	an
extremely	RB	extremely
dangerous	JJ	dangerous
way	NN	way
now	RB	now
Iran	NP	Iran
has	VHZ	have
been	VBN	be
uh	UH	uh
claiming	VVG	claim
that	IN/that	that
it	PP	it
gave	VVD	give
advanced	JJ	advanced
warning	NN	warning
about	IN	about
this	DT	this
attack	VV	attack
uh	UH	uh
but	CC	but
as	RB	as
far	RB	far
as	IN	as
Israel	NP	Israel
is	VBZ	be
concerned	VVN	concern
how	WRB	how
much	JJ	much
of	IN	of
a	DT	a
a	DT	a
blow	NN	blow
is	VBZ	be
this	DT	this
how	NN	how
how	WRB	how
serious	JJ	serious
an	DT	an
attack	NN	attack
or	CC	or
line	NN	line
do	VVP	do
they	PP	they
feel	VVP	feel
has	VHZ	have
been	VBN	be
crossed	VVN	cross
I	PP	I
mean	VVP	mean
certainly	RB	certainly
they	PP	they
say	VVP	say
that	IN/that	that
um	JJ	um
Iran	NP	Iran
has	VHZ	have
broken	VVN	break
all	DT	all
red	JJ	red
lines	NNS	line
this	DT	this
was	VBD	be
the	DT	the
first	JJ	first
time	NN	time
that	IN/that	that
Iran	NP	Iran
had	VHD	have
launched	VVN	launch
a	DT	a
direct	JJ	direct
attack	NN	attack
on	IN	on
Israel	NP	Israel
from	IN	from
its	PP$	its
own	JJ	own
territory	NN	territory
um	NNS	um
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	VV	time
uh	UH	uh
there	EX	there
is	VBZ	be
a	DT	a
real	JJ	real
effort	NN	effort
um	NNS	um
by	IN	by
world	NN	world
leaders	NNS	leader
and	CC	and
of	IN	of
course	VV	course
uh	UH	uh
here	RB	here
in	IN	in
Israel	NP	Israel
to	TO	to
to	RB	to
to	TO	to
Really	RB	really
look	VV	look
at	IN	at
this	DT	this
as	IN	as
having	VHG	have
been	VBN	be
a	DT	a
success	NN	success
because	IN	because
the	DT	the
attack	NN	attack
was	VBD	be
thwarted	VVN	thwart
99%	CD	@card@
of	IN	of
the	DT	the
missiles	NNS	missile
and	CC	and
drones	NNS	drone
that	WDT	that
were	VBD	be
launched	VVN	launch
were	VBD	be
uh	UH	uh
brought	VVN	bring
down	RB	down
and	CC	and
there	EX	there
was	VBD	be
an	DT	an
alliance	NN	alliance
of	IN	of
Israel	NP	Israel
and	CC	and
the	DT	the
us	PP	us
the	DT	the
UK	NP	UK
even	JJ	even
Jordan	NP	Jordan
in	IN	in
the	DT	the
region	NN	region
um	NNS	um
and	CC	and
and	CC	and
others	NNS	other
including	VVG	include
uh	UH	uh
the	DT	the
French	NP	French
that	WDT	that
really	RB	really
helped	VVD	help
here	RB	here
and	CC	and
that	RB	that
showed	VVD	show
you	PP	you
know	VVP	know
Israeli	JJ	Israeli
leaders	NNS	leader
have	VHP	have
been	VBN	be
pointing	VVG	point
out	RP	out
that	IN/that	that
there	EX	there
is	VBZ	be
uh	UH	uh
a	DT	a
strategic	JJ	strategic
Alliance	NP	Alliance
there	RB	there
can	MD	can
be	VB	be
Regional	JJ	regional
cooperation	NN	cooperation
uh	UH	uh
to	TO	to
counter	VV	counter
the	DT	the
threat	NN	threat
from	IN	from
Iran	NP	Iran
Iran	NP	Iran
has	VHZ	have
been	VBN	be
putting	VVG	put
out	RP	out
signals	NNS	signal
we	PP	we
saw	VVD	see
it	PP	it
again	RB	again
overnight	JJ	overnight
when	WRB	when
the	DT	the
Iranian	JJ	Iranian
foreign	JJ	foreign
minister	NN	minister
and	CC	and
the	DT	the
Chinese	JJ	Chinese
foreign	JJ	foreign
minister	NN	minister
spoke	VVD	speak
that	IN/that	that
Iran	NP	Iran
itself	PP	itself
does	VVZ	do
not	RB	not
want	VV	want
an	DT	an
escalation	NN	escalation
it	PP	it
considers	VVZ	consider
now	RB	now
that	IN/that	that
it	PP	it
has	VHZ	have
retaliated	VVN	retaliate
for	IN	for
its	PP$	its
first	JJ	first
of	IN	of
April	NP	April
um	NN	um
the	DT	the
the	DT	the
1	CD	@card@
of	IN	of
April	NP	April
attack	NN	attack
that	IN/that	that
it	PP	it
suffered	VVD	suffer
in	IN	in
Damascus	NP	Damascus
when	WRB	when
there	EX	there
was	VBD	be
an	DT	an
air	NN	air
strike	NN	strike
that	WDT	that
killed	VVD	kill
seven	CD	seven
members	NNS	member
of	IN	of
the	DT	the
Revolutionary	JJ	Revolutionary
guards	NNS	guard
at	IN	at
the	DT	the
Iranian	JJ	Iranian
consulate	NN	consulate
building	VVG	build
uh	UH	uh
in	IN	in
Syria	NP	Syria
um	NNS	um
and	CC	and
the	DT	the
Iranians	NNS	Iranian
have	VHP	have
been	VBN	be
trying	VVG	try
to	TO	to
say	VV	say
that	IN/that	that
what	WP	what
happened	VVD	happen
was	VBD	be
their	PP$	their
limited	JJ	limited
response	NN	response
uh	UH	uh
for	IN	for
that	DT	that
deadly	JJ	deadly
attack	NN	attack
right	NN	right
really	RB	really
pains	VVZ	pain
how	WRB	how
volatile	JJ	volatile
the	DT	the
situation	NN	situation
is	VBZ	be
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
right	RB	right
now	RB	now
yoland	NP	yoland
Nell	NP	Nell
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
that	DT	that
update	NN	update
</doc>	NN	</doc>
