hello	NN	hello
we	PP	we
look	VVP	look
at	IN	at
the	DT	the
shiffer	NN	shiffer
hospital	NN	hospital
the	DT	the
biggest	JJS	big
Hospital	NN	hospital
in	IN	in
the	DT	the
whole	NN	whole
of	IN	of
Gaza	NP	Gaza
where	WRB	where
of	IN	of
course	NN	course
there	EX	there
are	VBP	be
thousands	NNS	thousand
of	IN	of
people	NNS	people
who	WP	who
have	VHP	have
been	VBN	be
Sheltering	VVG	shelter
in	IN	in
the	DT	the
grounds	NNS	ground
as	RB	as
well	RB	well
as	IN	as
the	DT	the
patients	NNS	patient
and	CC	and
the	DT	the
doctors	NNS	doctor
who	WP	who
uh	UH	uh
who	WP	who
remain	VVP	remain
there	RB	there
um	JJ	um
and	CC	and
are	VBP	be
complaining	VVG	complain
that	IN/that	that
they	PP	they
have	VHP	have
you	PP	you
know	VVP	know
very	RB	very
short	RB	short
on	IN	on
supplies	VVZ	supply
these	DT	these
are	VBP	be
very	RB	very
difficult	JJ	difficult
circumstances	NNS	circumstance
in	IN	in
which	WDT	which
they	PP	they
'	''	'
re	IN	re
operating	VVG	operate
we	PP	we
know	VVP	know
already	RB	already
that	IN/that	that
there	EX	there
has	VHZ	have
been	VBN	be
Fierce	JJ	fierce
fighting	VVG	fight
very	RB	very
close	JJ	close
to	TO	to
the	DT	the
hospital	NN	hospital
in	IN	in
the	DT	the
past	JJ	past
day	NN	day
the	DT	the
Israeli	JJ	Israeli
military	NN	military
says	VVZ	say
it	PP	it
has	VHZ	have
been	VBN	be
operating	VVG	operate
with	IN	with
its	PP$	its
Ground	NP	Ground
Forces	NPS	Forces
backed	VVD	back
up	RP	up
with	IN	with
air	NN	air
support	NN	support
in	IN	in
that	DT	that
area	NN	area
um	NNS	um
saying	VVG	say
that	IN/that	that
that	DT	that
is	VBZ	be
where	WRB	where
Hamas	NP	Hamas
had	VHD	have
its	PP$	its
military	JJ	military
headquarters	NN	headquarters
and	CC	and
that	IN/that	that
there	EX	there
were	VBD	be
in	IN	in
an	DT	an
Intelligence	NP	Intelligence
Center	NP	Center
there	RB	there
that	DT	that
was	VBD	be
important	JJ	important
for	IN	for
the	DT	the
planning	NN	planning
and	CC	and
the	DT	the
execution	NN	execution
of	IN	of
those	DT	those
deadly	RB	deadly
7th	JJ	7th
of	IN	of
OCT	NP	Oct
October	NP	October
attacks	VVZ	attack
um	NNS	um
now	RB	now
there	EX	there
are	VBP	be
there	EX	there
are	VBP	be
videos	NNS	video
that	IN/that	that
we	PP	we
'	POS	'
re	NN	re
really	RB	really
not	RB	not
in	IN	in
too	RB	too
much	JJ	much
doubt	NN	doubt
about	RB	about
because	IN	because
they	PP	they
'	POS	'
re	NN	re
from	IN	from
several	JJ	several
angles	NNS	angle
simultaneously	RB	simultaneously
inside	IN	inside
what	WP	what
is	VBZ	be
clearly	RB	clearly
um	JJ	um
the	DT	the
shipper	NN	shipper
hospital	NN	hospital
at	IN	at
night	NN	night
you	PP	you
can	MD	can
hear	VV	hear
this	DT	this
sort	NN	sort
of	IN	of
whiz	NN	whiz
of	IN	of
a	DT	a
missile	NN	missile
that	WDT	that
hits	VVZ	hit
in	IN	in
the	DT	the
courtyard	NN	courtyard
and	CC	and
then	RB	then
in	IN	in
one	CD	one
of	IN	of
the	DT	the
videos	NNS	video
you	PP	you
see	VVP	see
a	DT	a
man	NN	man
um	NN	um
has	VHZ	have
been	VBN	be
hit	VVN	hit
that	IN/that	that
he	PP	he
is	VBZ	be
covered	VVN	cover
in	IN	in
blood	NN	blood
in	IN	in
a	DT	a
later	RBR	later
video	JJ	video
you	PP	you
can	MD	can
see	VV	see
there	EX	there
is	VBZ	be
a	DT	a
body	NN	body
on	IN	on
a	DT	a
stretcher	NN	stretcher
with	IN	with
a	DT	a
pool	NN	pool
of	IN	of
blood	NN	blood
next	JJ	next
to	TO	to
it	PP	it
and	CC	and
uh	UH	uh
what	WP	what
we	PP	we
really	RB	really
don	VVP	don
'	POS	'
t	NN	t
know	VVP	know
is	VBZ	be
you	PP	you
know	VVP	know
what	WP	what
the	DT	the
source	NN	source
of	IN	of
that	DT	that
missile	NN	missile
fire	NN	fire
was	VBD	be
um	JJ	um
I	PP	I
'	''	'
ve	NNS	ve
put	VVN	put
in	IN	in
a	DT	a
call	NN	call
to	TO	to
the	DT	the
Israeli	JJ	Israeli
military	NN	military
they	PP	they
said	VVD	say
that	IN/that	that
they	PP	they
'	POS	'
re	NN	re
checking	VVG	check
if	IN	if
there	EX	there
were	VBD	be
any	DT	any
air	NN	air
strikes	VVZ	strike
in	IN	in
that	DT	that
area	NN	area
overnight	RB	overnight
and	CC	and
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
first	JJ	first
time	NN	time
that	IN/that	that
there	EX	there
have	VHP	have
been	VBN	be
attacks	NNS	attack
around	IN	around
the	DT	the
Aliva	NP	Aliva
hospital	NN	hospital
it	PP	it
'	POS	'
s	NNS	s
a	DT	a
point	NN	point
of	IN	of
interest	NN	interest
during	IN	during
this	DT	this
conflict	VV	conflict
oh	UH	oh
definitely	RB	definitely
and	CC	and
what	WP	what
we	PP	we
'	POS	'
ve	NN	ve
had	VHD	have
from	IN	from
Israel	NP	Israel
in	IN	in
the	DT	the
past	NN	past
is	VBZ	be
they	PP	they
have	VHP	have
said	VVN	say
quite	RB	quite
clearly	RB	clearly
that	IN/that	that
they	PP	they
believe	VVP	believe
that	IN/that	that
Hamas	NP	Hamas
uses	VVZ	use
the	DT	the
shifer	NN	shifer
hospital	NN	hospital
buildings	NNS	building
within	IN	within
it	PP	it
and	CC	and
an	DT	an
underground	JJ	underground
tunnel	NN	tunnel
Network	NN	network
there	RB	there
um	JJ	um
in	IN	in
order	NN	order
to	TO	to
act	VV	act
as	IN	as
kind	NN	kind
of	IN	of
command	NN	command
and	CC	and
control	NN	control
center	NN	center
it	PP	it
is	VBZ	be
ultimately	RB	ultimately
a	DT	a
focus	NN	focus
of	IN	of
operations	NNS	operation
but	CC	but
it	PP	it
'	POS	'
s	NN	S
extremely	RB	extremely
complicated	VVD	complicate
uh	UH	uh
for	IN	for
the	DT	the
Israelis	NNS	Israeli
that	IN/that	that
you	PP	you
have	VHP	have
so	RB	so
many	JJ	many
people	NNS	people
going	VVG	go
there	RB	there
as	IN	as
they	PP	they
have	VHP	have
done	VVN	do
safely	RB	safely
in	IN	in
previous	JJ	previous
conflicts	VVZ	conflict
uh	UH	uh
Sheltering	VVG	shelter
there	RB	there
that	IN/that	that
that	WDT	that
has	VHZ	have
been	VBN	be
of	IN	of
course	NN	course
a	DT	a
main	JJ	main
place	NN	place
to	TO	to
take	VV	take
the	DT	the
many	JJ	many
many	JJ	many
wounded	NN	wounded
in	IN	in
uh	UH	uh
in	IN	in
Gaza	NP	Gaza
City	NP	City
to	TO	to
there	RB	there
'	''	'
s	RB	s
been	VBN	be
intense	JJ	intense
Israeli	JJ	Israeli
bombardment	NN	bombardment
of	IN	of
Gaza	NP	Gaza
City	NP	City
in	IN	in
recent	JJ	recent
days	NNS	day
and	CC	and
that	WDT	that
has	VHZ	have
led	VVN	lead
to	TO	to
to	TO	to
more	JJR	more
patients	NNS	patient
being	VBG	be
rushed	VVN	rush
into	IN	into
the	DT	the
shipper	NN	shipper
hospital	NN	hospital
and	CC	and
the	DT	the
doctors	NNS	doctor
and	CC	and
the	DT	the
staff	NN	staff
there	IN	here
uh	UH	uh
deny	VV	deny
that	IN/that	that
their	PP$	their
premises	NNS	premise
are	VBP	be
used	VVN	use
by	IN	by
Hamas	NNS	Hamas
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
yolan	JJ	yolan
our	PP$	our
correspondent	NN	correspondent
there	RB	there
in	IN	in
Jerusalem	NP	Jerusalem
Hamas	NP	Hamas
ran	VVD	run
Health	NP	Health
Ministry	NP	Ministry
says	VVZ	say
that	IN/that	that
over	IN	over
4	CD	@card@
,	,	,
000	CD	@card@
children	NNS	child
have	VHP	have
been	VBN	be
killed	VVN	kill
since	IN	since
the	DT	the
start	NN	start
of	IN	of
the	DT	the
war	NN	war
and	CC	and
thousands	NNS	thousand
more	JJR	more
have	VHP	have
been	VBN	be
injured	VVN	injure
Israel	NP	Israel
disputes	VVZ	dispute
these	DT	these
figures	NNS	figure
but	CC	but
the	DT	the
World	NP	World
Health	NP	Health
Organization	NP	Organization
believes	VVZ	believe
the	DT	the
numbers	NNS	number
are	VBP	be
credible	JJ	credible
some	DT	some
of	IN	of
those	DT	those
wounded	JJ	wounded
now	RB	now
face	VVP	face
lifelong	JJ	lifelong
disabilities	NNS	disability
left	VVD	leave
unable	JJ	unable
to	TO	to
walk	VV	walk
or	CC	or
are	VBP	be
paralyzed	VVN	paralyze
working	VVG	work
with	IN	with
freelance	NN	freelance
journalists	NNS	journalist
in	IN	in
Gaza	NP	Gaza
filming	VVG	film
for	IN	for
the	DT	the
BBC	NP	BBC
our	PP$	our
correspondent	JJ	correspondent
Yi	NP	Yi
reports	NNS	report
from	IN	from
Jerusalem	NP	Jerusalem
what	WP	what
must	MD	must
it	PP	it
take	VV	take
for	IN	for
a	DT	a
mother	NN	mother
to	TO	to
comfort	VV	comfort
her	PP$	her
child	NN	child
when	WRB	when
reality	NN	reality
is	VBZ	be
so	RB	so
devastating	JJ	devastating
2	CD	@card@
-	NN	-
year	NN	year
-	NN	-
old	JJ	old
Fatima	NP	Fatima
was	VBD	be
stuck	VVN	stick
under	IN	under
the	DT	the
rubble	NN	rubble
of	IN	of
a	DT	a
bombing	NN	bombing
in	IN	in
Gaza	NP	Gaza
3	CD	@card@
weeks	NNS	week
ago	RB	ago
[	SYM	[
Music	NN	music
]	SYM	]
go	VV	go
nihad	NN	nihad
and	CC	and
her	PP$	her
husband	NN	husband
had	VHD	have
tried	VVN	try
for	IN	for
14	CD	@card@
years	NNS	year
to	TO	to
have	VH	have
a	DT	a
baby	NN	baby
and	CC	and
then	RB	then
Fatima	NP	Fatima
was	VBD	be
born	VVN	bear
what	WP	what
is	VBZ	be
her	PP	her
fault	VVP	fault
what	WP	what
did	VVD	do
she	PP	she
do	VVP	do
wrong	RB	wrong
we	PP	we
have	VHP	have
to	TO	to
constantly	RB	constantly
give	VV	give
her	PP$	her
painkillers	NNS	painkiller
as	RB	as
soon	RB	soon
as	IN	as
the	DT	the
effect	NN	effect
of	IN	of
one	CD	one
wears	NNS	wear
off	IN	off
I	PP	I
give	VVP	give
her	PP	her
another	DT	another
her	PP$	her
life	NN	life
revolves	VVZ	revolve
around	IN	around
painkillers	NNS	painkiller
and	CC	and
every	DT	every
other	JJ	other
day	NN	day
she	PP	she
under	RB	under
goes	VVZ	go
surgery	NN	surgery
trapped	VVN	trap
in	IN	in
Gaza	NP	Gaza
under	IN	under
the	DT	the
constant	JJ	constant
threat	NN	threat
of	IN	of
being	VBG	be
bombed	VVN	bomb
hospitals	NNS	hospital
fill	VV	fill
up	RP	up
with	IN	with
more	JJR	more
wounded	JJ	wounded
children	NNS	child
Amir	NP	Amir
Al	NP	Al
badavi	NNS	badavi
13	CD	@card@
seven	CD	seven
of	IN	of
her	PP$	her
brothers	NNS	brother
were	VBD	be
killed	VVN	kill
and	CC	and
her	PP$	her
mother	NN	mother
to	TO	to
her	PP$	her
father	NN	father
says	VVZ	say
they	PP	they
'	POS	'
d	NN	d
fled	VVD	flee
to	TO	to
Southern	NP	Southern
Gaza	NP	Gaza
for	IN	for
safety	NN	safety
that	RB	that
'	POS	'
s	NN	S
where	WRB	where
they	PP	they
were	VBD	be
bombed	VVN	bomb
Amir	NP	Amir
has	VHZ	have
spinal	JJ	spinal
injuries	NNS	injury
I	PP	I
want	VVP	want
peace	NN	peace
and	CC	and
security	NN	security
I	PP	I
want	VVP	want
to	TO	to
be	VB	be
treated	VVN	treat
and	CC	and
go	VV	go
back	RB	back
to	TO	to
normal	JJ	normal
life	NN	life
to	TO	to
my	PP$	my
home	NN	home
she	PP	she
says	VVZ	say
I	PP	I
want	VVP	want
to	TO	to
feel	VV	feel
safe	JJ	safe
it	PP	it
'	''	'
s	NNS	s
not	RB	not
clear	JJ	clear
if	IN	if
Amir	NP	Amir
will	MD	will
be	VB	be
able	JJ	able
to	TO	to
walk	VV	walk
again	RB	again
yogat	NP	yogat
BBC	NP	BBC
News	NP	News
