<video_id>zVP1RdZPFwc</video_id>	JJ	<video_id>zVP1RdZPFwc</video_id>
Middle	NP	Middle
East	NP	East
supported	VVD	support
by	IN	by
Iran	NP	Iran
the	DT	the
so-called	JJ	so-called
axes	NNS	axe
of	IN	of
resistance	NN	resistance
so	IN	so
obviously	RB	obviously
one	CD	one
of	IN	of
the	DT	the
main	JJ	main
goals	NNS	goal
here	RB	here
in	IN	in
this	DT	this
campaign	NN	campaign
is	VBZ	be
to	TO	to
try	VV	try
to	TO	to
disrupt	VV	disrupt
uh	UH	uh
this	DT	this
uh	UH	uh
infrastructure	NN	infrastructure
that	WDT	that
has	VHZ	have
been	VBN	be
set	VVN	set
up	RP	up
uh	UH	uh
to	TO	to
supply	VV	supply
these	DT	these
groups	NNS	group
with	IN	with
weapons	NNS	weapon
but	CC	but
still	RB	still
what	WP	what
happened	VVD	happen
yesterday	NN	yesterday
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
intense	JJ	intense
uh	UH	uh
attack	VV	attack
so	RB	so
far	RB	far
Reports	NPS	Reports
say	VVP	say
that	IN/that	that
one	CD	one
of	IN	of
those	DT	those
locations	NNS	location
hit	NN	hit
was	VBD	be
a	DT	a
research	NN	research
center	VV	center
uh	UH	uh
in	IN	in
the	DT	the
city	NN	city
of	IN	of
masiaf	JJ	masiaf
uh	UH	uh
in	IN	in
the	DT	the
uh	UH	uh
hamama	NN	hamama
province	NN	province
in	IN	in
Syria	NP	Syria
believe	VVP	believe
to	TO	to
uh	UH	uh
house	VV	house
Iranian	JJ	Iranian
military	JJ	military
experts	NNS	expert
now	RB	now
there	EX	there
has	VHZ	have
been	VBN	be
some	DT	some
strong	JJ	strong
reaction	NN	reaction
from	IN	from
Iran	NP	Iran
uh	UH	uh
the	DT	the
Iranian	JJ	Iranian
foreign	JJ	foreign
Ministry	NP	Ministry
rejected	VVD	reject
those	DT	those
reports	NNS	report
suggesting	VVG	suggest
that	IN/that	that
these	DT	these
were	VBD	be
Iranian	JJ	Iranian
facilities	NNS	facility
or	CC	or
facilities	NNS	facility
being	VBG	be
used	VVN	use
by	IN	by
Iran	NP	Iran
uh	UH	uh
it	PP	it
said	VVD	say
these	DT	these
were	VBD	be
Iranian	JJ	Iranian
uh	UH	uh
these	DT	these
were	VBD	be
Syrian	JJ	Syrian
uh	UH	uh
sites	VVZ	site
uh	UH	uh
and	CC	and
they	PP	they
also	RB	also
describ	VVP	describ
these	DT	these
attacks	NNS	attack
as	IN	as
as	IN	as
a	DT	a
criminal	JJ	criminal
act	NN	act
by	IN	by
Israel	NP	Israel
now	RB	now
as	IN	as
you	PP	you
said	VVD	say
there	RB	there
wasn't	JJ	wasn't
any	DT	any
reaction	NN	reaction
from	IN	from
uh	UH	uh
Israel	NP	Israel
Israel	NP	Israel
uh	UH	uh
rarely	RB	rarely
reacts	VVZ	react
to	TO	to
these	DT	these
reports	NNS	report
of	IN	of
strikes	NNS	strike
inside	IN	inside
uh	UH	uh
Syria	NP	Syria
but	CC	but
again	RB	again
I	PP	I
think	VVP	think
this	DT	this
shows	NNS	show
you	PP	you
know	VVP	know
how	WRB	how
tense	JJ	tense
these	DT	these
relations	NNS	relation
between	IN	between
Israel	NP	Israel
and	CC	and
Iran	NP	Iran
uh	UH	uh
has	VHZ	have
Spain	NP	Spain
uh	UH	uh
remember	VV	remember
that	IN/that	that
back	RB	back
in	IN	in
April	NP	April
the	DT	the
Iranian	JJ	Iranian
diplomatic	JJ	diplomatic
compound	NN	compound
in	IN	in
the	DT	the
Syrian	JJ	Syrian
Capital	NP	Capital
Damascus	NP	Damascus
was	VBD	be
hit	VVN	hit
a	DT	a
number	NN	number
of	IN	of
senior	JJ	senior
Iranian	JJ	Iranian
military	JJ	military
officers	NNS	officer
were	VBD	be
killed	VVN	kill
Iran	NP	Iran
then	RB	then
retaliated	VVD	retaliate
with	IN	with
an	DT	an
unprecedented	JJ	unprecedented
missile	NN	missile
and	CC	and
drone	NN	drone
attack	NN	attack
on	IN	on
Israel	NP	Israel
and	CC	and
most	JJS	most
recently	RB	recently
in	IN	in
July	NP	July
the	DT	the
Hamas	JJ	Hamas
political	JJ	political
Chief	JJ	chief
isma	NN	isma
was	VBD	be
assassinated	VVN	assassinate
in	IN	in
tan	NN	tan
again	RB	again
the	DT	the
Israeli	JJ	Israeli
military	NN	military
was	VBD	be
believed	VVN	believe
to	TO	to
have	VH	have
been	VBN	be
behind	IN	behind
this	DT	this
uh	UH	uh
killing	VVG	kill
uh	UH	uh
which	WDT	which
was	VBD	be
humiliating	VVG	humiliate
security	NN	security
bridge	NN	bridge
by	IN	by
uh	UH	uh
for	IN	for
the	DT	the
Iranians	NNS	Iranian
and	CC	and
Iran	NP	Iran
has	VHZ	have
vowed	VVN	vow
to	TO	to
retaliate	VV	retaliate
to	TO	to
respond	VV	respond
to	TO	to
that	DT	that
assassination	NN	assassination
this	DT	this
hasn't	NN	hasn't
happened	VVD	happen
yet	RB	yet
but	CC	but
again	RB	again
it	PP	it
shows	VVZ	show
uh	UH	uh
that	IN/that	that
these	DT	these
tensions	NNS	tension
between	IN	between
Iran	NP	Iran
and	CC	and
uh	UH	uh
Israel	NP	Israel
have	VHP	have
been	VBN	be
extremely	RB	extremely
high	JJ	high
in	IN	in
recent	JJ	recent
months	NNS	month
</doc>	NN	</doc>
