within	IN	within
ve	NN	ve
asked	VVD	ask
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
uh	UH	uh
for	IN	for
comment	NN	comment
here	RB	here
it	PP	it
says	VVZ	say
that	IN/that	that
uh	UH	uh
some	DT	some
10	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
um	JJ	um
terrorist	JJ	terrorist
ists	NNS	ists
are	VBP	be
estimated	VVN	estimate
to	TO	to
have	VH	have
been	VBN	be
killed	VVN	kill
uh	UH	uh
during	IN	during
their	PP$	their
their	PP$	their
operations	NNS	operation
and	CC	and
youand	NN	youand
tell	VVP	tell
us	PP	us
about	IN	about
the	DT	the
latest	JJS	late
progress	NN	progress
on	IN	on
any	DT	any
on	IN	on
moves	NNS	move
towards	IN	towards
a	DT	a
ceasefire	NN	ceasefire
well	RB	well
still	VV	still
uh	UH	uh
in	IN	in
the	DT	the
background	NN	background
here	RB	here
we	PP	we
have	VHP	have
this	DT	this
big	JJ	big
diplomatic	JJ	diplomatic
effort	NN	effort
going	VVG	go
on	IN	on
to	TO	to
try	VV	try
to	TO	to
get	VV	get
a	DT	a
new	JJ	new
longer	JJR	long
term	NN	term
truce	NN	truce
agreed	VVD	agree
that	WDT	that
would	MD	would
see	VV	see
more	JJR	more
of	IN	of
the	DT	the
Israeli	JJ	Israeli
hostages	NNS	hostage
held	VVN	hold
by	IN	by
Hamas	NP	Hamas
in	IN	in
Gaza	NP	Gaza
Freed	NP	Freed
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
and	CC	and
you	PP	you
have	VHP	have
an	DT	an
Israeli	JJ	Israeli
delegation	NN	delegation
a	DT	a
Hamas	JJ	Hamas
delegation	NN	delegation
who	WP	who
are	VBP	be
in	IN	in
in	IN	in
katar	NN	katar
katar	NN	katar
of	IN	of
course	NN	course
are	VBP	be
key	JJ	key
mediators	NNS	mediator
here	RB	here
and	CC	and
the	DT	the
real	JJ	real
hope	NN	hope
has	VHZ	have
been	VBN	be
um	JJ	um
that	IN/that	that
a	DT	a
new	JJ	new
deal	NN	deal
can	MD	can
be	VB	be
agreed	VVN	agree
in	IN	in
time	NN	time
for	IN	for
the	DT	the
Islamic	JJ	Islamic
holy	JJ	holy
month	NN	month
of	IN	of
Ramadan	NP	Ramadan
which	WDT	which
starts	VVZ	start
on	IN	on
about	IN	about
the	DT	the
10th	JJ	10th
of	IN	of
March	NP	March
um	NNS	um
there	RB	there
'	''	'
s	VVG	s
a	DT	a
lot	NN	lot
of	IN	of
us	PP	us
involvement	NN	involvement
here	RB	here
President	NP	President
Biden	NP	Biden
has	VHZ	have
spoken	VVN	speak
very	RB	very
optimistically	RB	optimistically
about	IN	about
an	DT	an
agreement	NN	agreement
being	VBG	be
in	IN	in
place	NN	place
by	IN	by
the	DT	the
start	NN	start
of	IN	of
next	JJ	next
week	NN	week
uh	UH	uh
but	CC	but
the	DT	the
other	JJ	other
parties	NNS	party
involved	VVN	involve
have	VHP	have
sounded	VVN	sound
much	RB	much
more	RBR	more
cautious	JJ	cautious
there	RB	there
saying	VVG	say
that	IN/that	that
there	EX	there
are	VBP	be
still	RB	still
um	JJ	um
big	JJ	big
gaps	NNS	gap
to	TO	to
be	VB	be
bridged	VVN	bridge
and	CC	and
I	PP	I
suppose	VVP	suppose
one	PP	one
of	IN	of
the	DT	the
the	DT	the
issues	NNS	issue
is	VBZ	be
is	VBZ	be
if	IN	if
if	IN	if
they	PP	they
do	VVP	do
do	VV	do
an	DT	an
exchange	NN	exchange
of	IN	of
of	IN	of
prisoners	NNS	prisoner
for	IN	for
for	IN	for
hostages	NNS	hostage
the	DT	the
concern	NN	concern
in	IN	in
Israel	NP	Israel
is	VBZ	be
always	RB	always
who	WP	who
they	PP	they
let	VVP	let
out	RP	out
um	NNS	um
as	IN	as
they	PP	they
saw	VVD	see
that	IN/that	that
one	CD	one
of	IN	of
the	DT	the
people	NNS	people
who	WP	who
they	PP	they
let	VVP	let
out	RP	out
in	IN	in
in	IN	in
a	DT	a
prison	NN	prison
exchange	NN	exchange
before	RB	before
was	VBD	be
someone	NN	someone
who	WP	who
then	RB	then
went	VVD	go
on	RP	on
to	TO	to
plan	VV	plan
the	DT	the
October	NP	October
the	DT	the
7th	JJ	7th
attacks	NNS	attack
indeed	RB	indeed
so	IN	so
it	PP	it
'	POS	'
s	NN	S
often	RB	often
mentioned	VVD	mention
uh	UH	uh
by	IN	by
Israelis	NNS	Israeli
that	WDT	that
um	NN	um
the	DT	the
biggest	JJS	big
prisoner	NN	prisoner
exchange	NN	exchange
that	IN/that	that
there	EX	there
ever	RB	ever
was	VBD	be
for	IN	for
an	DT	an
Israeli	JJ	Israeli
soldier	NN	soldier
held	VVD	hold
captive	NN	captive
by	IN	by
Hamas	NP	Hamas
and	CC	and
Gaza	NP	Gaza
saw	VVD	see
the	DT	the
release	NN	release
of	IN	of
Yahya	NP	Yahya
Sina	NP	Sina
Who	WP	who
is	VBZ	be
the	DT	the
local	JJ	local
uh	UH	uh
Hamas	JJ	Hamas
leader	NN	leader
in	IN	in
Gaza	NP	Gaza
seen	VVN	see
as	IN	as
a	DT	a
mastermind	NN	mastermind
of	IN	of
the	DT	the
7th	JJ	7th
of	IN	of
October	NP	October
attacks	NNS	attack
um	VVD	um
that	IN/that	that
of	IN	of
course	VV	course
uh	UH	uh
makes	VVZ	make
it	PP	it
very	RB	very
difficult	JJ	difficult
for	IN	for
people	NNS	people
to	TO	to
accept	VV	accept
the	DT	the
notion	NN	notion
of	IN	of
uh	UH	uh
these	DT	these
these	DT	these
prisoner	NN	prisoner
swaps	NNS	swap
and	CC	and
it	PP	it
is	VBZ	be
thought	VVD	think
um	NNS	um
that	IN/that	that
in	IN	in
exchange	NN	exchange
for	IN	for
some	DT	some
40	CD	@card@
of	IN	of
the	DT	the
remaining	VVG	remain
Israeli	JJ	Israeli
hostages	NNS	hostage
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
that	WDT	that
'	POS	'
s	NN	S
um	NNS	um
really	RB	really
a	DT	a
minority	NN	minority
of	IN	of
them	PP	them
um	JJ	um
that	IN/that	that
we	PP	we
would	MD	would
have	VH	have
in	IN	in
exchange	NN	exchange
for	IN	for
that	WDT	that
some	DT	some
400	CD	@card@
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
released	VVN	release
from	IN	from
Israeli	JJ	Israeli
jails	NNS	jail
this	DT	this
is	VBZ	be
according	VVG	accord
to	TO	to
the	DT	the
reports	NNS	report
that	WDT	that
have	VHP	have
been	VBN	be
leaked	VVN	leak
out	RP	out
and	CC	and
they	PP	they
would	MD	would
indeed	RB	indeed
uh	UH	uh
we	PP	we
'	POS	'
re	NN	re
told	VVD	tell
include	VV	include
some	DT	some
who	WP	who
have	VHP	have
been	VBN	be
convicted	VVN	convict
of	IN	of
serious	JJ	serious
uh	UH	uh
offenses	NNS	offense
of	IN	of
terrorism	NN	terrorism
by	IN	by
Israel	NP	Israel
um	NNS	um
they	PP	they
would	MD	would
be	VB	be
seen	VVN	see
as	IN	as
having	VHG	have
Israeli	JJ	Israeli
blood	NN	blood
on	IN	on
their	PP$	their
hands	NNS	hand
youan	JJ	youan
n	NN	n
with	IN	with
the	DT	the
analysis	NN	analysis
there	RB	there
from	IN	from
Jerusalem	NP	Jerusalem
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
