<video_id>uilOtoa77Qg</video_id>	JJ	<video_id>uilOtoa77Qg</video_id>
attack	NN	attack
but	CC	but
quote	NN	quote
whoever	WP	whoever
did	VVD	do
it	PP	it
it	PP	it
must	MD	must
be	VB	be
clear	JJ	clear
that	IN/that	that
this	DT	this
was	VBD	be
not	RB	not
an	DT	an
attack	NN	attack
on	IN	on
the	DT	the
Lebanese	JJ	Lebanese
State	NN	state
whoever	WP	whoever
did	VVD	do
this	DT	this
it	PP	it
was	VBD	be
a	DT	a
surgical	JJ	surgical
strike	NN	strike
against	IN	against
the	DT	the
Hamas	JJ	Hamas
leadership	NN	leadership
confirming	VVG	confirm
there	RB	there
that	IN/that	that
a	DT	a
senior	JJ	senior
Hamas	NN	Hamas
official	NN	official
has	VHZ	have
been	VBN	be
killed	VVN	kill
um	RB	um
in	IN	in
this	DT	this
blast	NN	blast
I	PP	I
think	VVP	think
it's	NNS	it's
very	RB	very
significant	JJ	significant
and	CC	and
it's	JJ	it's
worth	NN	worth
pointing	VVG	point
out	RP	out
who	WP	who
was	VBD	be
skilled	JJ	skilled
but	CC	but
also	RB	also
where	WRB	where
he	PP	he
was	VBD	be
killed	VVN	kill
you	PP	you
refer	VVP	refer
to	TO	to
it	PP	it
um	JJ	um
Salah	NP	Salah
Lori	NP	Lori
was	VBD	be
killed	VVN	kill
in	IN	in
the	DT	the
dah	NN	dah
the	DT	the
southern	JJ	southern
district	NN	district
which	WDT	which
is	VBZ	be
seen	VVN	see
as	IN	as
a	DT	a
hisbah	NN	hisbah
stronghold	NN	stronghold
Hamas	NNS	Hamas
and	CC	and
hisbah	NNS	hisbah
have	VHP	have
very	RB	very
close	VV	close
a	DT	a
very	RB	very
close	JJ	close
um	JJ	um
relationship	NN	relationship
salahi	NNS	salahi
himself	PP	himself
um	RB	um
is	VBZ	be
very	RB	very
involved	VVN	involve
in	IN	in
hamas's	NNS	hamas's
military	JJ	military
structure	NN	structure
he	PP	he
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
people	NNS	people
that	WDT	that
formed	VVD	form
the	DT	the
um	JJ	um
aadin	NN	aadin
Kasam	NP	Kasam
brigades	VVZ	brigade
the	DT	the
military	JJ	military
wing	NN	wing
of	IN	of
Hamas	NNS	Hamas
so	IN	so
this	DT	this
is	VBZ	be
a	DT	a
very	RB	very
Hamas	JJ	Hamas
senior	JJ	senior
official	NN	official
right	RB	right
up	RB	up
in	IN	in
the	DT	the
pit	NN	pit
Bureau	NP	Bureau
of	IN	of
the	DT	the
group	NN	group
killed	VVN	kill
in	IN	in
Hezbollah	NP	Hezbollah
stronghold	NN	stronghold
yes	NN	yes
and	CC	and
Sean	NP	Sean
you	PP	you
mentioned	VVD	mention
this	DT	this
as	RB	as
well	RB	well
there	EX	there
will	MD	will
be	VB	be
a	DT	a
lot	NN	lot
of	IN	of
nervousness	NN	nervousness
right	NN	right
now	RB	now
and	CC	and
we've	NN	we've
talked	VVN	talk
about	IN	about
this	DT	this
before	IN	before
about	IN	about
the	DT	the
potential	NN	potential
for	IN	for
this	DT	this
Israel	NP	Israel
Gaza	NP	Gaza
crisis	NN	crisis
to	TO	to
escalate	VV	escalate
beyond	IN	beyond
the	DT	the
borders	NNS	border
of	IN	of
Gaza	NP	Gaza
and	CC	and
Israel	NP	Israel
and	CC	and
this	DT	this
could	MD	could
be	VB	be
a	DT	a
sense	NN	sense
that	IN/that	that
that	DT	that
is	VBZ	be
happening	VVG	happen
um	NNS	um
what	WP	what
do	VVP	do
we	PP	we
know	VVP	know
and	CC	and
and	CC	and
you	PP	you
touched	VVD	touch
on	IN	on
the	DT	the
response	NN	response
we've	NN	we've
had	VHD	have
both	DT	both
from	IN	from
the	DT	the
IDF	NP	IDF
but	CC	but
the	DT	the
authorities	NNS	authority
there	RB	there
about	IN	about
it	PP	it
being	VBG	be
a	DT	a
targeted	JJ	targeted
strike	NN	strike
but	CC	but
it	PP	it
will	MD	will
make	VV	make
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
very	RB	very
nervous	JJ	nervous
that	IN/that	that
this	DT	this
crisis	NN	crisis
is	VBZ	be
spreading	VVG	spread
it	PP	it
will	MD	will
make	VV	make
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
very	RB	very
nervous	JJ	nervous
especially	RB	especially
of	IN	of
course	NN	course
um	NNS	um
in	IN	in
Lebanon	NP	Lebanon
but	CC	but
look	VV	look
if	IN	if
if	IN	if
if	IN	if
what	WP	what
you	PP	you
can	MD	can
read	VV	read
in	IN	in
nij	NP	nij
MTI	NP	MTI
the	DT	the
the	DT	the
Lebanese	JJ	Lebanese
prime	JJ	prime
minister	NN	minister
he	PP	he
is	VBZ	be
accusing	VVG	accuse
Israel	NP	Israel
of	IN	of
dragging	VVG	drag
Lebanon	NP	Lebanon
into	IN	into
this	DT	this
conflict	NN	conflict
and	CC	and
also	RB	also
remember	VV	remember
as	IN	as
we	PP	we
as	IN	as
you	PP	you
say	VVP	say
Israel	NP	Israel
has	VHZ	have
not	RB	not
taken	VVN	take
responsibility	NN	responsibility
for	IN	for
this	DT	this
attack	NN	attack
but	CC	but
the	DT	the
timing	NN	timing
of	IN	of
it	PP	it
this	DT	this
comes	VVZ	come
as	IN	as
the	DT	the
northern	JJ	northern
border	NN	border
between	IN	between
Israel	NP	Israel
and	CC	and
Lebanon	NP	Lebanon
has	VHZ	have
been	VBN	be
heating	VVG	heat
up	RP	up
quite	RB	quite
a	DT	a
bit	NN	bit
with	IN	with
a	DT	a
continued	JJ	continued
exchange	NN	exchange
of	IN	of
fire	NN	fire
with	IN	with
very	RB	very
very	RB	very
strong	JJ	strong
rhetoric	NN	rhetoric
from	IN	from
the	DT	the
Israeli	JJ	Israeli
um	JJ	um
leadership	NN	leadership
whether	IN	whether
it's	NP	it's
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
or	CC	or
uh	UH	uh
or	CC	or
the	DT	the
you	PP	you
know	VVP	know
a	DT	a
war	NN	war
cabinet	NN	cabinet
minister	NN	minister
or	CC	or
the	DT	the
defense	NN	defense
minister	NN	minister
they've	NN	they've
all	RB	all
Ratched	VVD	Ratched
up	RP	up
the	DT	the
rhetoric	NN	rhetoric
that	IN/that	that
if	IN	if
hasbalah	NN	hasbalah
is	VBZ	be
not	RB	not
going	VVG	go
to	TO	to
be	VB	be
limited	JJ	limited
um	NNS	um
and	CC	and
pulled	VVD	pull
back	RB	back
from	IN	from
the	DT	the
border	NN	border
that	IN/that	that
Israel	NP	Israel
was	VBD	be
going	VVG	go
to	TO	to
do	VV	do
it	PP	it
we	PP	we
cannot	MD	can
draw	VV	draw
a	DT	a
direct	JJ	direct
line	NN	line
between	IN	between
what's	NNS	what's
happening	VVG	happen
in	IN	in
on	IN	on
the	DT	the
border	NN	border
and	CC	and
this	DT	this
but	CC	but
the	DT	the
timing	NN	timing
of	IN	of
it	PP	it
makes	VVZ	make
this	DT	this
extremely	RB	extremely
volatile	JJ	volatile
right	RB	right
now	RB	now
in	IN	in
the	DT	the
region	NN	region
that's	NNS	that's
shalil	VVD	shalil
there	RB	there
with	IN	with
the	DT	the
very	RB	very
latest	JJS	late
on	IN	on
what	WP	what
we	PP	we
know	VVP	know
so	RB	so
far	RB	far
</doc>	JJ	</doc>
