<video_id>Xslg6RFtA3g</video_id>	JJ	<video_id>Xslg6RFtA3g</video_id>
strip	NN	strip
up	RB	up
to	TO	to
600,000	CD	@card@
people	NNS	people
are	VBP	be
now	RB	now
living	VVG	live
in	IN	in
around	RB	around
150	CD	@card@
unest	NN	unest
schools	NNS	school
for	IN	for
a	DT	a
bit	NN	bit
of	IN	of
visuals	NNS	visual
these	DT	these
are	VBP	be
regular	JJ	regular
schools	NNS	school
and	CC	and
all	DT	all
of	IN	of
a	DT	a
sudden	JJ	sudden
two	CD	two
three	CD	three
four	NN	four
thousand	CD	thousand
people	NNS	people
live	JJ	live
day	NN	day
and	CC	and
night	NN	night
in	IN	in
these	DT	these
schools	NNS	school
with	IN	with
very	RB	very
little	JJ	little
access	NN	access
to	TO	to
water	VV	water
living	VVG	live
in	IN	in
very	RB	very
unsanitary	JJ	unsanitary
conditions	NNS	condition
a	DT	a
few	JJ	few
hundred	CD	hundred
people	NNS	people
sharing	VVG	share
one	CD	one
toilet	NN	toilet
very	RB	very
little	JJ	little
water	NN	water
for	IN	for
showering	VVG	shower
very	RB	very
little	JJ	little
food	NN	food
so	IN	so
the	DT	the
conditions	NNS	condition
are	VBP	be
extremely	RB	extremely
dire	JJ	dire
the	DT	the
UN	NP	UN
Secret	NP	Secret
General	NP	General
said	VVD	say
that	IN/that	that
they're	NN	they're
they're	NN	they're
growing	VVG	grow
more	RBR	more
dire	JJ	dire
by	IN	by
the	DT	the
hour	NN	hour
over	IN	over
the	DT	the
last	JJ	last
week	NN	week
or	CC	or
10	CD	@card@
days	NNS	day
your	PP$	your
agency	NN	agency
has	VHZ	have
made	VVN	make
multiple	JJ	multiple
warnings	NNS	warning
exactly	RB	exactly
as	IN	as
you	PP	you
are	VBP	be
doing	VVG	do
today	NN	today
in	IN	in
terms	NNS	term
of	IN	of
people	NNS	people
listening	VVG	listen
what	WP	what
is	VBZ	be
your	PP$	your
sense	NN	sense
of	IN	of
it	PP	it
is	VBZ	be
there	RB	there
frustration	NN	frustration
do	VVP	do
you	PP	you
think	VVP	think
that	IN/that	that
anyone	NN	anyone
is	VBZ	be
actually	RB	actually
listening	VVG	listen
to	TO	to
any	DT	any
of	IN	of
these	DT	these
warnings	NNS	warning
there's	RB	there's
a	DT	a
lot	NN	lot
of	IN	of
frustration	NN	frustration
about	IN	about
having	VHG	have
to	TO	to
negotiate	VV	negotiate
for	IN	for
two	CD	two
weeks	NNS	week
for	IN	for
very	RB	very
small	JJ	small
restricted	JJ	restricted
convoys	NNS	convoy
of	IN	of
much	RB	much
needed	VVN	need
humanitarian	JJ	humanitarian
supplies	NNS	supply
to	TO	to
go	VV	go
in	IN	in
we	PP	we
can	MD	can
choose	VV	choose
to	TO	to
hail	VV	hail
the	DT	the
Breakthrough	NN	breakthrough
to	TO	to
celebrate	VV	celebrate
the	DT	the
break	NN	break
the	DT	the
Breakthrough	NN	breakthrough
and	CC	and
the	DT	the
entry	NN	entry
of	IN	of
20	CD	@card@
trucks	NNS	truck
on	IN	on
the	DT	the
first	JJ	first
day	NN	day
three	CD	three
days	NNS	day
ago	RB	ago
to	TO	to
Gaza	NP	Gaza
and	CC	and
then	RB	then
14	CD	@card@
and	CC	and
then	RB	then
another	DT	another
20	CD	@card@
we	PP	we
can	MD	can
also	RB	also
go	VV	go
back	RB	back
and	CC	and
say	VVP	say
to	TO	to
the	DT	the
International	NP	International
Community	NP	Community
and	CC	and
those	DT	those
who	WP	who
have	VHP	have
influence	NN	influence
and	CC	and
say	VVP	say
before	IN	before
this	DT	this
conflict	NN	conflict
up	RB	up
to	TO	to
500	CD	@card@
truck	NN	truck
went	VVD	go
into	IN	into
Gaza	NP	Gaza
every	DT	every
day	NN	day
loaded	VVN	load
with	IN	with
supplies	NNS	supply
aund	JJ	aund
of	IN	of
these	DT	these
trucks	NNS	truck
were	VBD	be
humanitarian	JJ	humanitarian
assistance	NN	assistance
45	CD	@card@
of	IN	of
these	DT	these
trucks	NNS	truck
every	DT	every
day	NN	day
were	VBD	be
loaded	VVN	load
with	IN	with
fuel	NN	fuel
I	NP	I
I've	NP	I've
only	RB	only
got	VVD	get
30	CD	@card@
seconds	NNS	second
left	VVD	leave
so	RB	so
really	RB	really
briefly	RB	briefly
if	IN	if
you	PP	you
could	MD	could
can	MD	can
you	PP	you
imagine	VV	imagine
what	WP	what
it	PP	it
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
like	JJ	like
on	IN	on
the	DT	the
ground	NN	ground
if	IN	if
you	PP	you
have	VHP	have
to	TO	to
halt	VV	halt
your	PP$	your
operations	NNS	operation
and	CC	and
if	IN	if
there	EX	there
is	VBZ	be
a	DT	a
ground	NN	ground
offensive	NN	offensive
less	JJR	less
than	IN	than
30	CD	@card@
seconds	NNS	second
it	PP	it
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
hell	NN	hell
on	IN	on
Earth	NP	Earth
well	RB	well
tomorrow	RB	tomorrow
thank	VV	thank
you	PP	you
than	IN	than
you	PP	you
so	RB	so
much	RB	much
for	IN	for
joining	VVG	join
us	PP	us
here	RB	here
on	IN	on
BBC	NP	BBC
News	NP	News
with	IN	with
that	DT	that
assessment	NN	assessment
and	CC	and
responding	VVG	respond
to	TO	to
what	WP	what
we	PP	we
just	RB	just
heard	VVD	hear
from	IN	from
the	DT	the
UN	NP	UN
Secretary	NP	Secretary
General	NP	General
as	IN	as
that	DT	that
meeting	NN	meeting
convenes	VVZ	convene
in	IN	in
New	NP	New
York	NP	York
</doc>	NN	</doc>
