large	JJ	large
then	RB	then
when	WRB	when
Israel	NP	Israel
began	VVD	begin
its	PP$	its
ground	NN	ground
assault	NN	assault
in	IN	in
Rafa	NP	Rafa
uh	UH	uh
the	DT	the
Southernmost	JJ	southernmost
city	NN	city
of	IN	of
Gaza	NP	Gaza
back	RB	back
in	IN	in
may	MD	may
we	PP	we
saw	VVD	see
the	DT	the
UN	NP	UN
said	VVD	say
about	IN	about
a	DT	a
million	CD	million
people	NNS	people
fleeing	VVG	flee
from	IN	from
there	RB	there
and	CC	and
many	JJ	many
of	IN	of
them	PP	them
ended	VVD	end
up	RP	up
uh	UH	uh
in	IN	in
KH	NP	KH
yunes	VVZ	yunes
uh	UH	uh
now	RB	now
they	PP	they
'	POS	'
re	NN	re
on	IN	on
the	DT	the
move	NN	move
move	VV	move
again	RB	again
people	NNS	people
saying	VVG	say
it	PP	it
'	POS	'
s	NN	S
just	RB	just
really	RB	really
not	RB	not
clear	JJ	clear
where	WRB	where
they	PP	they
should	MD	should
go	VV	go
to	TO	to
uh	UH	uh
for	IN	for
safety	NN	safety
because	IN	because
as	IN	as
you	PP	you
were	VBD	be
saying	VVG	say
um	NNS	um
as	RB	as
much	RB	much
as	IN	as
there	EX	there
has	VHZ	have
been	VBN	be
some	DT	some
bombardment	NN	bombardment
uh	UH	uh
in	IN	in
the	DT	the
east	JJ	east
of	IN	of
of	IN	of
KH	NP	KH
unun	NP	unun
with	IN	with
the	DT	the
Israeli	JJ	Israeli
military	NN	military
saying	VVG	say
that	IN/that	that
one	CD	one
of	IN	of
the	DT	the
sites	NNS	site
it	PP	it
hit	VVD	hit
was	VBD	be
a	DT	a
rocket	NN	rocket
launch	NN	launch
site	NN	site
where	WRB	where
Islamic	JJ	Islamic
jihadist	NN	jihadist
said	VVD	say
to	TO	to
have	VH	have
launched	VVN	launch
Rockets	NNS	rocket
from	IN	from
uh	UH	uh
on	IN	on
Monday	NP	Monday
uh	UH	uh
but	CC	but
even	RB	even
in	IN	in
this	DT	this
area	NN	area
that	RB	that
'	POS	'
s	RB	s
been	VBN	be
designated	VVN	designate
as	IN	as
a	DT	a
humanitarian	JJ	humanitarian
Zone	NP	Zone
we	PP	we
'	''	'
re	IN	re
getting	VVG	get
a	DT	a
report	NN	report
of	IN	of
an	DT	an
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
that	WDT	that
took	VVD	take
place	NN	place
yesterday	NN	yesterday
um	NNS	um
killing	VVG	kill
according	VVG	accord
to	TO	to
to	TO	to
the	DT	the
reports	VVZ	report
we	PP	we
'	''	'
ve	NNS	ve
seen	VVN	see
from	IN	from
medic	NN	medic
and	CC	and
local	JJ	local
people	NNS	people
um	NNS	um
a	DT	a
family	NN	family
who	WP	who
'	POS	'
just	RB	just
gone	VVN	go
there	RB	there
from	IN	from
unun	NN	unun
have	VHP	have
asked	VVN	ask
the	DT	the
Israeli	JJ	Israeli
military	NN	military
for	IN	for
comments	NNS	comment
on	IN	on
that	DT	that
strike	NN	strike
on	IN	on
a	DT	a
building	NN	building
um	NN	um
where	WRB	where
the	DT	the
family	NN	family
was	VBD	be
staying	VVG	stay
with	IN	with
other	JJ	other
relatives	NNS	relative
of	IN	of
theirs	PP	theirs
and	CC	and
they	PP	they
haven	NN	haven
'	POS	'
t	NN	t
yet	RB	yet
been	VBN	be
able	JJ	able
to	TO	to
get	VV	get
back	RB	back
to	TO	to
me	PP	me
with	IN	with
a	DT	a
comment	NN	comment
so	IN	so
difficulties	NNS	difficulty
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
whether	IN	whether
this	DT	this
is	VBZ	be
a	DT	a
a	DT	a
a	DT	a
genuinely	RB	genuinely
designated	VVN	designate
safe	JJ	safe
Zone	NP	Zone
also	RB	also
the	DT	the
conditions	NNS	condition
on	IN	on
the	DT	the
ground	NN	ground
are	VBP	be
we	PP	we
getting	VVG	get
Aid	NN	aid
through	RB	through
is	VBZ	be
the	DT	the
situation	NN	situation
improving	VVG	improve
somewhat	RB	somewhat
at	IN	at
all	RB	all
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
getting	VVG	get
aid	NN	aid
distributors	NNS	distributor
to	TO	to
people	NNS	people
or	CC	or
is	VBZ	be
it	PP	it
still	RB	still
a	DT	a
really	RB	really
difficult	JJ	difficult
situation	NN	situation
there	EX	there
I	PP	I
mean	VVP	mean
of	IN	of
course	NN	course
what	WP	what
'	POS	'
s	NNS	s
happening	VVG	happen
now	RB	now
with	IN	with
this	DT	this
latest	JJS	late
Mass	NP	Mass
displacement	NN	displacement
of	IN	of
people	NNS	people
is	VBZ	be
just	RB	just
going	VVG	go
to	TO	to
complicate	VV	complicate
things	NNS	thing
further	JJR	further
but	CC	but
what	WP	what
we	PP	we
'	POS	'
ve	NNS	ve
seen	VVN	see
according	VVG	accord
to	TO	to
humanitarian	JJ	humanitarian
agencies	NNS	agency
is	VBZ	be
that	IN/that	that
the	DT	the
situation	NN	situation
in	IN	in
the	DT	the
South	NP	South
and	CC	and
in	IN	in
the	DT	the
center	NN	center
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
has	VHZ	have
just	RB	just
become	VVN	become
um	NNS	um
much	RB	much
much	RB	much
more	RBR	more
difficult	JJ	difficult
since	IN	since
Israel	NP	Israel
launched	VVD	launch
its	PP$	its
operation	NN	operation
in	IN	in
Rafa	NP	Rafa
because	IN	because
uh	UH	uh
that	WDT	that
closed	VVD	close
the	DT	the
the	NP	the
Rafa	NP	Rafa
Crossing	VVG	cross
with	IN	with
Egypt	NP	Egypt
that	WDT	that
was	VBD	be
a	DT	a
main	JJ	main
crossing	VVG	cross
point	NN	point
for	IN	for
Aid	NP	Aid
coming	VVG	come
to	TO	to
this	DT	this
the	DT	the
most	RBS	most
crowded	JJ	crowded
part	NN	part
um	NNS	um
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
you	PP	you
have	VHP	have
most	JJS	most
of	IN	of
the	DT	the
population	NN	population
uh	UH	uh
displaced	VVN	displace
and	CC	and
crammed	VVN	cram
down	RP	down
into	IN	into
this	DT	this
uh	UH	uh
half	NN	half
of	IN	of
the	DT	the
territory	NN	territory
you	PP	you
land	VVP	land
now	RB	now
there	RB	there
in	IN	in
Jerusalem	NP	Jerusalem
