<video_id>_BMAkffp2CA</video_id>	NP	<video_id>_BMAkffp2CA</video_id>
perhaps	RB	perhaps
to	TO	to
use	VV	use
pauses	NNS	pause
to	TO	to
um	RB	um
facilitate	VV	facilitate
the	DT	the
release	NN	release
of	IN	of
hostages	NNS	hostage
now	RB	now
it	PP	it
was	VBD	be
reported	VVN	report
uh	UH	uh
previously	RB	previously
that	DT	that
President	NP	President
Biden	NP	Biden
had	VHD	have
asked	VVN	ask
the	DT	the
Israeli	JJ	Israeli
Prime	NP	Prime
Minister	NP	Minister
for	IN	for
a	DT	a
three-day	JJ	three-day
pause	VV	pause
uh	UH	uh
in	IN	in
order	NN	order
to	TO	to
facilitate	VV	facilitate
hostage	NN	hostage
release	NN	release
but	CC	but
also	RB	also
to	TO	to
get	VV	get
you	PP	you
know	VV	know
significant	JJ	significant
amounts	NNS	amount
of	IN	of
Aid	NN	aid
in	IN	in
um	NNS	um
so	IN	so
he's	NNS	he's
just	RB	just
been	VBN	be
asked	VVN	ask
if	IN	if
that	DT	that
was	VBD	be
indeed	RB	indeed
the	DT	the
case	NN	case
and	CC	and
he	PP	he
has	VHZ	have
said	VVN	say
yes	RB	yes
in	IN	in
fact	NN	fact
he	PP	he
asked	VVD	ask
Mr	NP	Mr
Netanyahu	NP	Netanyahu
for	IN	for
longer	JJR	long
than	IN	than
a	DT	a
three-day	JJ	three-day
pause	NN	pause
and	CC	and
when	WRB	when
he	PP	he
was	VBD	be
asked	VVN	ask
whether	IN	whether
he	PP	he
was	VBD	be
frustrated	VVN	frustrate
with	IN	with
the	DT	the
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
he	PP	he
said	VVD	say
this	DT	this
has	VHZ	have
taken	VVN	take
longer	RBR	longer
than	IN	than
I	PP	I
expected	VVD	expect
it	PP	it
to	TO	to
um	NNS	um
so	IN	so
you	PP	you
know	VVP	know
read	VV	read
into	IN	into
that	IN/that	that
what	WP	what
you	PP	you
like	VVP	like
but	CC	but
this	DT	this
is	VBZ	be
definitely	RB	definitely
something	NN	something
that	IN/that	that
the	DT	the
Americans	NPS	Americans
have	VHP	have
been	VBN	be
pushing	VVG	push
uh	UH	uh
relentlessly	RB	relentlessly
through	IN	through
the	DT	the
president	NN	president
through	IN	through
their	PP$	their
special	JJ	special
Envoy	NP	Envoy
on	IN	on
the	DT	the
ground	NN	ground
through	IN	through
the	DT	the
Secretary	NP	Secretary
of	IN	of
State	NP	State
to	TO	to
try	VV	try
to	TO	to
get	VV	get
uh	UH	uh
not	RB	not
a	DT	a
ceasefire	NN	ceasefire
uh	UH	uh
but	CC	but
breaks	NNS	break
in	IN	in
the	DT	the
fighting	NN	fighting
in	IN	in
order	NN	order
to	TO	to
get	VV	get
Aid	NP	Aid
in	RP	in
and	CC	and
to	TO	to
help	VV	help
Palestinian	JJ	Palestinian
civilians	NNS	civilian
get	VVP	get
to	TO	to
Safe	NP	Safe
areas	NNS	area
Barbara	NP	Barbara
as	IN	as
you	PP	you
were	VBD	be
talking	VVG	talk
I	PP	I
know	VVP	know
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
minutes	NNS	minute
Joe	NP	Joe
Biden	NP	Biden
has	VHZ	have
talked	VVN	talk
to	TO	to
reporters	NNS	reporter
there	RB	there
at	IN	at
the	DT	the
White	NP	White
House	NP	House
before	IN	before
heading	VVG	head
off	RP	off
to	TO	to
the	DT	the
helicopter	NN	helicopter
and	CC	and
exactly	RB	exactly
as	IN	as
you	PP	you
were	VBD	be
reporting	VVG	report
there	RB	there
was	VBD	be
asked	VVN	ask
about	IN	about
that	DT	that
three-day	JJ	three-day
pause	NN	pause
for	IN	for
Gaza	NP	Gaza
and	CC	and
a	DT	a
pause	NN	pause
much	RB	much
longer	RBR	longer
to	TO	to
try	VV	try
to	TO	to
get	VV	get
hostages	NNS	hostage
out	RP	out
so	IN	so
we	PP	we
will	MD	will
actually	RB	actually
play	VV	play
for	IN	for
viewers	NNS	viewer
that	WDT	that
clip	VVP	clip
here	RB	here
in	IN	in
just	RB	just
a	DT	a
moment	NN	moment
or	CC	or
two	CD	two
but	CC	but
quite	RB	quite
clearly	RB	clearly
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
pressure	NN	pressure
from	IN	from
Washington	NP	Washington
on	IN	on
Israel's	NP	Israel's
prime	JJ	prime
minister	NN	minister
it	PP	it
is	VBZ	be
upping	VVG	up
yeah	RB	yeah
I	PP	I
mean	VVP	mean
you	PP	you
have	VHP	have
seen	VVN	see
the	DT	the
evolution	NN	evolution
of	IN	of
the	DT	the
the	DT	the
the	DT	the
rhetoric	NN	rhetoric
and	CC	and
the	DT	the
pressure	NN	pressure
from	IN	from
uh	UH	uh
from	IN	from
Washington	NP	Washington
over	IN	over
the	DT	the
past	JJ	past
month	NN	month
as	IN	as
the	DT	the
situation	NN	situation
has	VHZ	have
changed	VVN	change
as	IN	as
the	DT	the
uh	UH	uh
military	NN	military
operation	NN	operation
has	VHZ	have
led	VVN	lead
to	TO	to
the	DT	the
kill	NN	kill
in	IN	in
of	IN	of
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
as	IN	as
the	DT	the
humanitarian	JJ	humanitarian
crisis	NN	crisis
has	VHZ	have
grown	VVN	grow
completely	RB	completely
dire	JJ	dire
as	IN	as
the	DT	the
uh	UH	uh
un	NN	un
humanitarian	JJ	humanitarian
officials	NNS	official
said	VVD	say
last	JJ	last
week	NN	week
uh	UH	uh
there	EX	there
is	VBZ	be
no	DT	no
more	JJR	more
life	NN	life
sustaining	VVG	sustain
functions	NNS	function
in	IN	in
Gaza	NP	Gaza
and	CC	and
so	RB	so
uh	UH	uh
the	DT	the
Americans	NPS	Americans
while	IN	while
they	PP	they
support	VVP	support
the	DT	the
Israeli	JJ	Israeli
stance	NN	stance
that	IN/that	that
there	EX	there
cannot	MD	can
be	VB	be
a	DT	a
ceasefire	NN	ceasefire
at	IN	at
this	DT	this
point	NN	point
because	IN	because
they	PP	they
say	VVP	say
that	IN/that	that
would	MD	would
benefit	VV	benefit
Hamas	NP	Hamas
allow	VV	allow
it	PP	it
to	TO	to
regroup	VV	regroup
they	PP	they
have	VHP	have
really	RB	really
been	VBN	be
pressing	VVG	press
for	IN	for
a	DT	a
break	NN	break
in	IN	in
the	DT	the
fighting	NN	fighting
in	IN	in
order	NN	order
to	TO	to
address	VV	address
this	DT	this
dire	JJ	dire
situation	NN	situation
to	TO	to
get	VV	get
a	DT	a
significant	JJ	significant
amount	NN	amount
of	IN	of
Aid	NN	aid
in	IN	in
but	CC	but
also	RB	also
again	RB	again
to	TO	to
try	VV	try
to	TO	to
get	VV	get
the	DT	the
hostages	NNS	hostage
released	VVN	release
and	CC	and
there's	RB	there's
been	VBN	be
reports	NNS	report
floating	VVG	float
around	RP	around
uh	UH	uh
lately	RB	lately
about	RB	about
perhaps	RB	perhaps
a	DT	a
deal	NN	deal
in	IN	in
the	DT	the
making	NN	making
we	PP	we
can't	VVD	can't
confirm	VV	confirm
that	IN/that	that
but	CC	but
those	DT	those
those	DT	those
talks	NNS	talk
are	VBP	be
very	RB	very
active	JJ	active
so	IN	so
most	JJS	most
definitely	RB	definitely
the	DT	the
pressure	NN	pressure
for	IN	for
some	DT	some
kind	NN	kind
of	IN	of
break	NN	break
in	IN	in
the	DT	the
fighting	NN	fighting
longer	RBR	longer
than	IN	than
an	DT	an
hour	NN	hour
or	CC	or
two	CD	two
which	WDT	which
is	VBZ	be
what	WP	what
Mr	NP	Mr
Netanyahu	NP	Netanyahu
referred	VVD	refer
to	TO	to
in	IN	in
an	DT	an
interview	NN	interview
earlier	RBR	earlier
this	DT	this
week	NN	week
long	RB	long
enough	RB	enough
to	TO	to
actually	RB	actually
get	VV	get
something	NN	something
done	VVN	do
uh	UH	uh
has	VHZ	have
been	VBN	be
coming	VVG	come
from	IN	from
the	DT	the
White	NP	White
House	NP	House
and	CC	and
from	IN	from
the	DT	the
state	NN	state
department	NN	department
Barbara	NP	Barbara
pleas	NNS	plea
user	NN	user
there	RB	there
in	IN	in
Washington	NP	Washington
thanks	NNS	thanks
very	RB	very
much	RB	much
for	IN	for
that	DT	that
</doc>	NN	</doc>
