thanks	NNS	thanks
uh	UH	uh
They	PP	they
said	VVD	say
that	IN/that	that
the	DT	the
Target	NP	Target
was	VBD	be
a	DT	a
commander	NN	commander
that	WDT	that
was	VBD	be
behind	IN	behind
the	DT	the
attack	NN	attack
that	WDT	that
happened	VVD	happen
on	IN	on
Saturday	NP	Saturday
uh	UH	uh
that	WDT	that
hit	VVD	hit
the	DT	the
Israeli	JJ	Israeli
occupied	JJ	occupied
golen	JJ	golen
Heights	NPS	Heights
uh	UH	uh
killing	VVG	kill
12	CD	@card@
children	NNS	child
and	CC	and
teenagers	NNS	teenager
and	CC	and
right	NN	right
after	IN	after
that	WDT	that
attack	NN	attack
the	DT	the
Israeli	JJ	Israeli
authorities	NNS	authority
promised	VVN	promise
a	DT	a
a	DT	a
response	NN	response
a	DT	a
severe	JJ	severe
response	NN	response
they	PP	they
blamed	VVD	blame
Hezbollah	NP	Hezbollah
for	IN	for
the	DT	the
attack	NN	attack
we	PP	we
heard	VVD	hear
from	IN	from
uh	UH	uh
the	DT	the
defense	NN	defense
minister	NN	minister
of	IN	of
Israel	NP	Israel
saying	VVG	say
that	IN/that	that
Hezbollah	NP	Hezbollah
had	VHD	have
crossed	VVN	cross
uh	UH	uh
a	DT	a
red	JJ	red
line	NN	line
with	IN	with
the	DT	the
attack	NN	attack
and	CC	and
now	RB	now
this	DT	this
Israeli	JJ	Israeli
response	NN	response
has	VHZ	have
ol	NNS	ol
had	VHD	have
claimed	VVN	claim
an	DT	an
attack	VV	attack
uh	UH	uh
on	IN	on
Saturday	NP	Saturday
in	IN	in
the	DT	the
area	NN	area
of	IN	of
this	DT	this
explosion	NN	explosion
but	CC	but
then	RB	then
after	IN	after
the	DT	the
scale	NN	scale
of	IN	of
this	DT	this
attack	NN	attack
became	VVD	become
clear	JJ	clear
it	PP	it
denied	VVD	deny
any	DT	any
kind	NN	kind
of	IN	of
responsibility	NN	responsibility
any	DT	any
kind	NN	kind
of	IN	of
involvement	NN	involvement
in	IN	in
this	DT	this
attack	NN	attack
that	WDT	that
happened	VVD	happen
on	IN	on
Saturday	NP	Saturday
and	CC	and
for	IN	for
days	NNS	day
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
waiting	VVG	wait
for	IN	for
this	DT	this
response	NN	response
Israeli	JJ	Israeli
authorities	NNS	authority
promising	VVG	promise
a	DT	a
uh	UH	uh
retaliation	NN	retaliation
and	CC	and
now	RB	now
this	RB	this
happened	VVD	happen
uh	UH	uh
this	DT	this
evening	NN	evening
with	IN	with
the	DT	the
southern	JJ	southern
suburbs	NNS	suburb
of	IN	of
Beirut	NP	Beirut
a	DT	a
Hezbollah	NP	Hezbollah
stronghold	NN	stronghold
uh	UH	uh
being	VBG	be
hit	VVN	hit
yeah	RB	yeah
thanks	VVZ	thank
Hugo	NP	Hugo
