<video_id>UOl82at6wtY</video_id>	JJ	<video_id>UOl82at6wtY</video_id>
what	WP	what
it	PP	it
described	VVD	describe
as	IN	as
an	DT	an
armed	JJ	armed
terrorist	JJ	terrorist
cell	NN	cell
um	NNS	um
this	DT	this
is	VBZ	be
all	RB	all
comes	VVZ	come
as	IN	as
part	NN	part
of	IN	of
a	DT	a
context	NN	context
of	IN	of
a	DT	a
large	JJ	large
uh	UH	uh
operation	NN	operation
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
that	WDT	that
started	VVD	start
quite	RB	quite
recently	RB	recently
um	JJ	um
it's	NNS	it's
the	DT	the
largest	JJS	large
operation	NN	operation
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
since	IN	since
the	DT	the
October	NP	October
7th	JJ	7th
attacks	NNS	attack
by	IN	by
Hamas	JJ	Hamas
last	JJ	last
year	NN	year
and	CC	and
a	DT	a
previous	JJ	previous
statement	NN	statement
by	IN	by
the	DT	the
Palestinian	JJ	Palestinian
Health	NP	Health
Ministry	NP	Ministry
said	VVD	say
in	IN	in
this	DT	this
uh	UH	uh
recent	JJ	recent
operation	NN	operation
at	IN	at
least	JJS	least
39	CD	@card@
had	VHD	have
people	NNS	people
had	VHD	have
been	VBN	be
killed	VVN	kill
uh	UH	uh
including	VVG	include
some	DT	some
children	NNS	child
um	RB	um
given	VVN	give
that	IN/that	that
five	CD	five
people	NNS	people
have	VHP	have
died	VVN	die
overnight	RB	overnight
I	PP	I
think	VVP	think
that	IN/that	that
number	NN	number
number	NN	number
will	MD	will
rise	VV	rise
and	CC	and
certainly	RB	certainly
since	IN	since
uh	UH	uh
the	DT	the
attacks	NNS	attack
of	IN	of
the	DT	the
7th	JJ	7th
of	IN	of
October	NP	October
last	JJ	last
year	NN	year
uh	UH	uh
the	DT	the
Palestinian	JJ	Palestinian
Health	NP	Health
Ministry	NP	Ministry
says	VVZ	say
over	IN	over
690	CD	@card@
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
killed	VVN	kill
and	CC	and
Daniel	NP	Daniel
just	RB	just
in	IN	in
a	DT	a
separate	JJ	separate
incident	NN	incident
this	DT	this
one	CD	one
in	IN	in
Gaza	NP	Gaza
Israel's	NP	Israel's
Army	NP	Army
is	VBZ	be
saying	VVG	say
that	IN/that	that
one	CD	one
of	IN	of
its	PP$	its
helicopters	NNS	helicopter
crashed	VVD	crash
in	IN	in
Gaza	NP	Gaza
just	NN	just
what	WP	what
more	RBR	more
do	VVP	do
we	PP	we
know	VVP	know
about	RB	about
that	IN/that	that
so	RB	so
this	DT	this
has	VHZ	have
just	RB	just
been	VBN	be
announced	VVN	announce
by	IN	by
the	DT	the
uh	UH	uh
the	DT	the
Israeli	JJ	Israeli
Defense	NP	Defense
Forces	NPS	Forces
uh	UH	uh
within	IN	within
the	DT	the
last	JJ	last
hour	NN	hour
they	PP	they
say	VVP	say
that	IN/that	that
overnight	RB	overnight
they	PP	they
had	VHD	have
a	DT	a
helicopter	NN	helicopter
that	WDT	that
was	VBD	be
part	NN	part
taking	VVG	take
part	NN	part
in	IN	in
operation	NN	operation
to	TO	to
evacuate	VV	evacuate
an	DT	an
injured	JJ	injured
soldier	NN	soldier
that	IN/that	that
the	DT	the
helicopter	NN	helicopter
crashed	VVD	crash
in	RP	in
in	IN	in
in	IN	in
the	DT	the
rougher	JJR	rough
area	NN	area
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
that	IN/that	that
during	IN	during
this	DT	this
crash	JJ	crash
uh	UH	uh
two	CD	two
soldiers	NNS	soldier
were	VBD	be
killed	VVN	kill
uh	UH	uh
and	CC	and
that	DT	that
seven	CD	seven
others	NNS	other
were	VBD	be
injured	VVN	injure
to	TO	to
varying	VVG	vary
degrees	NNS	degree
and	CC	and
that	IN/that	that
those	DT	those
seven	CD	seven
were	VBD	be
uh	UH	uh
taken	VVN	take
to	TO	to
hospital	NN	hospital
now	RB	now
the	DT	the
military	NN	military
say	VVP	say
that	IN/that	that
the	DT	the
indication	NN	indication
so	RB	so
far	RB	far
that	IN/that	that
the	DT	the
helicopter	NN	helicopter
did	VVD	do
not	RB	not
crash	NN	crash
as	IN	as
a	DT	a
result	NN	result
of	IN	of
enemy	NN	enemy
fire	NN	fire
but	CC	but
they	PP	they
say	VVP	say
that	IN/that	that
an	DT	an
investig	NN	investig
you	PP	you
know	VVP	know
an	DT	an
inquiry	NN	inquiry
will	MD	will
take	VV	take
place	NN	place
into	IN	into
how	WRB	how
this	DT	this
happened	VVN	happen
and	CC	and
how	WRB	how
the	DT	the
crash	NN	crash
occurred	VVD	occur
Daniel	NP	Daniel
DeSimone	NP	DeSimone
in	IN	in
Jerusalem	NP	Jerusalem
</doc>	NP	</doc>
