<video_id>Xl78GbeuIzs</video_id>	JJ	<video_id>Xl78GbeuIzs</video_id>
they	PP	they
are	VBP	be
not	RB	not
willing	JJ	willing
for	IN	for
any	DT	any
new	JJ	new
negotiations	NNS	negotiation
because	IN	because
they	PP	they
send	VVP	send
the	DT	the
reply	NN	reply
to	TO	to
the	DT	the
proposal	NN	proposal
announced	VVD	announce
by	IN	by
uh	UH	uh
Mr	NP	Mr
Biden	NP	Biden
the	DT	the
American	JJ	American
president	NN	president
on	IN	on
2nd	JJ	2nd
of	IN	of
July	NP	July
so	IN	so
they	PP	they
don't	VVD	don't
accept	VV	accept
any	DT	any
conditions	NNS	condition
more	RBR	more
uh	UH	uh
demands	NNS	demand
from	IN	from
the	DT	the
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Mr	NP	Mr
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
uh	UH	uh
so	RB	so
there	EX	there
is	VBZ	be
uh	UH	uh
from	IN	from
Hamas	JJ	Hamas
sides	NNS	side
are	VBP	be
not	RB	not
willing	JJ	willing
to	TO	to
any	DT	any
new	JJ	new
negotiation	NN	negotiation
in	IN	in
new	JJ	new
conditions	NNS	condition
in	IN	in
addition	NN	addition
to	TO	to
that	DT	that
within	IN	within
the	DT	the
Israeli	JJ	Israeli
negotiation	NN	negotiation
team	VV	team
there	EX	there
is	VBZ	be
reports	NNS	report
about	IN	about
disagreement	NN	disagreement
between	IN	between
Mr	NP	Mr
n	NN	n
from	IN	from
one	CD	one
side	NN	side
and	CC	and
some	DT	some
members	NNS	member
of	IN	of
the	DT	the
negotiation	NN	negotiation
team	NN	team
regarding	VVG	regard
the	DT	the
some	DT	some
of	IN	of
this	DT	this
members	NNS	member
want	VVP	want
the	DT	the
deal	NN	deal
to	TO	to
be	VB	be
done	VVN	do
as	IN	as
the	DT	the
American	NP	American
wants	VVZ	want
but	CC	but
Mr	NP	Mr
Netanyahu	NP	Netanyahu
seems	VVZ	seem
uh	UH	uh
to	TO	to
put	VV	put
more	JJR	more
conditions	NNS	condition
which	WDT	which
are	VBP	be
not	RB	not
accepted	VVN	accept
even	RB	even
by	IN	by
Egypt	NP	Egypt
or	CC	or
Hamas	NP	Hamas
so	RB	so
now	RB	now
it's	NNS	it's
like	IN	like
a	DT	a
deadlock	NN	deadlock
and	CC	and
no	DT	no
one	CD	one
knows	VVZ	know
uh	UH	uh
will	VV	will
uh	UH	uh
the	DT	the
negotiation	NN	negotiation
will	MD	will
be	VB	be
restarted	VVN	restart
again	RB	again
in	IN	in
in	IN	in
Egypt	NP	Egypt
or	CC	or
not	RB	not
how	WRB	how
is	VBZ	be
this	DT	this
affecting	VVG	affect
the	DT	the
apparent	JJ	apparent
optimism	NN	optimism
that	IN/that	that
some	DT	some
were	VBD	be
expressing	VVG	express
last	JJ	last
week	NN	week
yeah	RB	yeah
that	IN/that	that
optimism	NN	optimism
came	VVD	come
from	IN	from
the	DT	the
American	NP	American
but	CC	but
like	VV	like
uh	UH	uh
from	IN	from
Hamas	JJ	Hamas
side	NN	side
and	CC	and
Israeli	JJ	Israeli
side	NN	side
is	VBZ	be
no	DT	no
optimism	NN	optimism
because	IN	because
Hamas	NN	Hamas
like	IN	like
uh	UH	uh
members	NNS	member
of	IN	of
the	DT	the
political	JJ	political
Bureau	NP	Bureau
uh	UH	uh
several	JJ	several
of	IN	of
them	PP	them
said	VVD	say
like	IN	like
the	DT	the
Mr	NP	Mr
n	NN	n
put	VVD	put
more	JJR	more
obstacles	NNS	obstacle
the	DT	the
hostage	NN	hostage
family	NN	family
put	VVD	put
pressure	NN	pressure
on	IN	on
Mr	NP	Mr
Netanyahu	NP	Netanyahu
to	TO	to
reach	VV	reach
a	DT	a
deal	NN	deal
but	CC	but
there	EX	there
is	VBZ	be
some	DT	some
staking	VVG	stake
points	NNS	point
between	IN	between
the	DT	the
two	CD	two
sides	NNS	side
especially	RB	especially
after	IN	after
What's	NP	What's
called	VVD	call
the	DT	the
bridging	VVG	bridge
proposal	NN	proposal
by	IN	by
the	DT	the
United	NP	United
States	NPS	States
announced	VVD	announce
by	IN	by
uh	UH	uh
Mr	NP	Mr
blinkin	NN	blinkin
the	DT	the
American	JJ	American
foreign	JJ	foreign
minister	NN	minister
which	WDT	which
was	VBD	be
not	RB	not
revealed	VVN	reveal
publicly	RB	publicly
but	CC	but
there	EX	there
is	VBZ	be
some	DT	some
dis	NN	dis
agreement	NN	agreement
especially	RB	especially
the	DT	the
uh	UH	uh
talks	NNS	talk
about	IN	about
the	DT	the
presence	NN	presence
of	IN	of
Israeli	JJ	Israeli
forces	NNS	force
along	IN	along
the	DT	the
Philadelphia	NP	Philadelphia
Corridor	NP	Corridor
or	CC	or
Salah	NP	Salah
Corridor	NP	Corridor
uh	UH	uh
and	CC	and
the	DT	the
Nim	NP	Nim
Crossing	NN	crossing
which	WDT	which
separate	VVP	separate
between	IN	between
the	DT	the
North	NP	North
and	CC	and
Central	NP	Central
and	CC	and
South	NP	South
of	IN	of
Gaza	NP	Gaza
so	RB	so
and	CC	and
within	IN	within
the	DT	the
plan	NN	plan
of	IN	of
uh	UH	uh
which	WDT	which
accepted	VVD	accept
by	IN	by
Hamas	NN	Hamas
and	CC	and
announced	VVD	announce
by	IN	by
Mr	NP	Mr
Mr	NP	Mr
Biden	NP	Biden
there	RB	there
is	VBZ	be
three	CD	three
stages	NNS	stage
of	IN	of
this	DT	this
plan	NN	plan
and	CC	and
there	EX	there
is	VBZ	be
disagreement	NN	disagreement
about	IN	about
the	DT	the
names	NNS	name
of	IN	of
the	DT	the
uh	UH	uh
prisoner	NN	prisoner
released	VVN	release
and	CC	and
the	DT	the
numbers	NNS	number
and	CC	and
and	CC	and
the	DT	the
withdrawal	NN	withdrawal
of	IN	of
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
because	IN	because
the	DT	the
Mr	NP	Mr
Netanyahu	NP	Netanyahu
repeatedly	RB	repeatedly
said	VVD	say
there	EX	there
is	VBZ	be
a	DT	a
red	JJ	red
line	NN	line
about	IN	about
fighting	VVG	fight
Hamas	NNS	Hamas
until	IN	until
he	PP	he
demolish	VVP	demolish
Hamas	JJ	Hamas
and	CC	and
there	EX	there
is	VBZ	be
no	DT	no
signs	NNS	sign
he	PP	he
demolished	VVD	demolish
Hamas	NNS	Hamas
yet	RB	yet
after	IN	after
almost	RB	almost
11	CD	@card@
months	NNS	month
of	IN	of
the	DT	the
war	NN	war
since	IN	since
uh	UH	uh
7th	JJ	7th
of	IN	of
October	NP	October
so	CC	so
there	EX	there
is	VBZ	be
some	DT	some
staking	VVG	stake
points	NNS	point
especially	RB	especially
the	DT	the
presence	NN	presence
of	IN	of
Israeli	NP	Israeli
on	IN	on
the	DT	the
Philadelphia	NP	Philadelphia
Corridor	NP	Corridor
which	WDT	which
is	VBZ	be
not	RB	not
accepted	VVN	accept
by	IN	by
Egypt	NP	Egypt
or	CC	or
Hamas	NP	Hamas
n	NN	n
because	IN	because
Hamas	NP	Hamas
said	VVD	say
they	PP	they
need	VVP	need
the	DT	the
people	NNS	people
evacuated	VVN	evacuate
or	CC	or
forced	VVN	force
to	TO	to
leave	VV	leave
their	PP$	their
house	NN	house
in	IN	in
the	DT	the
north	NN	north
to	TO	to
go	VV	go
back	RB	back
but	CC	but
the	DT	the
Israeli	JJ	Israeli
put	NN	put
conditions	NNS	condition
that	WDT	that
should	MD	should
be	VB	be
monitored	VVN	monitor
because	IN	because
you	PP	you
don't	VVD	don't
want	VV	want
to	TO	to
allow	VV	allow
any	DT	any
uh	UH	uh
militant	JJ	militant
uh	UH	uh
according	VVG	accord
to	TO	to
the	DT	the
Israeli	NP	Israeli
and	CC	and
Mr	NP	Mr
Nan	NP	Nan
to	TO	to
go	VV	go
to	TO	to
the	DT	the
north	NN	north
without	IN	without
like	IN	like
being	VBG	be
monitored	VVN	monitor
and	CC	and
screened	VVN	screen
so	IN	so
there	EX	there
is	VBZ	be
many	JJ	many
sticking	VVG	stick
point	NN	point
disagreement	NN	disagreement
so	IN	so
the	DT	the
optimism	NN	optimism
came	VVD	come
from	IN	from
the	DT	the
American	JJ	American
side	NN	side
but	CC	but
from	IN	from
the	DT	the
concerned	JJ	concerned
side	NN	side
the	DT	the
Israeli	JJ	Israeli
and	CC	and
the	DT	the
Palestinian	NN	Palestinian
there	EX	there
is	VBZ	be
no	DT	no
optimism	NN	optimism
s	NN	S
for	IN	for
the	DT	the
moment	NN	moment
thank	VVP	thank
you	PP	you
very	RB	very
much	JJ	much
s	NN	S
shahata	NNS	shahata
from	IN	from
BBC	NP	BBC
Arabic	NP	Arabic
speaking	VVG	speak
to	TO	to
us	PP	us
from	IN	from
Cairo	NP	Cairo
in	IN	in
Israel	NP	Israel
a	DT	a
funeral	JJ	funeral
ceremony	NN	ceremony
is	VBZ	be
being	VBG	be
held	VVN	hold
for	IN	for
one	CD	one
of	IN	of
the	DT	the
hostages	NNS	hostage
whose	WP$	whose
bodies	NNS	body
were	VBD	be
recovered	VVN	recover
from	IN	from
Gaza	NP	Gaza
earlier	RBR	earlier
this	DT	this
week	NN	week
8-year-old	JJ	8-year-old
yor	NN	yor
Meto	NP	Meto
was	VBD	be
kidnapped	VVN	kidnap
from	IN	from
his	PP$	his
home	NN	home
in	IN	in
kibutz	NN	kibutz
near	IN	near
oolong	NN	oolong
with	IN	with
his	PP$	his
wife	NN	wife
tamama	NN	tamama
who	WP	who
was	VBD	be
released	VVN	release
from	IN	from
Hamas	JJ	Hamas
captivity	NN	captivity
after	IN	after
53	CD	@card@
days	NNS	day
the	DT	the
Israeli	JJ	Israeli
mil	NN	mil
military	NN	military
received	VVD	receive
retrieved	VVN	retrieve
the	DT	the
bodies	NNS	body
of	IN	of
six	CD	six
hostages	NNS	hostage
from	IN	from
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
on	IN	on
Tuesday	NP	Tuesday
as	IN	as
negotiations	NNS	negotiation
continue	VVP	continue
to	TO	to
bring	VV	bring
back	RB	back
more	JJR	more
than	IN	than
a	DT	a
100	CD	@card@
people	NNS	people
still	RB	still
being	VBG	be
held	VVN	hold
captive	NN	captive
in	IN	in
Gaza	NP	Gaza
</doc>	NP	</doc>
