I	PP	I
that	WDT	that
to	TO	to
happen	VV	happen
even	RB	even
with	IN	with
this	DT	this
uh	UH	uh
current	JJ	current
government	NN	government
you	PP	you
can	MD	can
see	VV	see
uh	UH	uh
within	IN	within
the	DT	the
Coalition	NP	Coalition
that	IN/that	that
there	EX	there
are	VBP	be
real	JJ	real
splits	NNS	split
on	IN	on
exactly	RB	exactly
um	JJ	um
what	WP	what
should	MD	should
be	VB	be
allowed	VVN	allow
in	IN	in
terms	NNS	term
of	IN	of
exemptions	NNS	exemption
um	JJ	um
and	CC	and
that	WDT	that
has	VHZ	have
led	VVN	lead
really	RB	really
at	IN	at
a	DT	a
committee	NN	committee
stage	VV	stage
uh	UH	uh
to	TO	to
Parliament	NP	Parliament
just	JJ	just
kind	NN	kind
of	IN	of
holding	NN	holding
off	IN	off
uh	UH	uh
on	IN	on
new	JJ	new
legislation	NN	legislation
even	RB	even
at	IN	at
a	DT	a
time	NN	time
when	WRB	when
as	IN	as
I	PP	I
say	VVP	say
these	DT	these
legal	JJ	legal
arrangements	NNS	arrangement
had	VHD	have
expired	VVN	expire
there	EX	there
was	VBD	be
now	RB	now
no	DT	no
framework	NN	framework
the	DT	the
Supreme	NP	Supreme
Court	NP	Court
said	VVD	say
uh	UH	uh
to	TO	to
allow	VV	allow
Ultra	JJ	ultra
Orthodox	JJ	Orthodox
men	NNS	man
to	TO	to
continue	VV	continue
to	TO	to
be	VB	be
Exempted	VVN	exempt
um	RB	um
now	RB	now
in	IN	in
Israel	NP	Israel
I	PP	I
mean	VVP	mean
just	RB	just
as	IN	as
a	DT	a
bit	NN	bit
more	JJR	more
context	NN	context
the	DT	the
Army	NN	army
is	VBZ	be
really	RB	really
seen	VVN	see
as	IN	as
being	VBG	be
the	DT	the
People	NNS	people
'	POS	'
s	NN	S
Army	NN	army
a	DT	a
place	NN	place
where	WRB	where
people	NNS	people
from	IN	from
all	DT	all
walks	NNS	walk
of	IN	of
life	NN	life
go	VVP	go
to	TO	to
share	VV	share
a	DT	a
joint	JJ	joint
experience	NN	experience
um	NNS	um
in	IN	in
their	PP$	their
late	JJ	late
teenage	JJ	teenage
years	NNS	year
um	NNS	um
and	CC	and
that	DT	that
is	VBZ	be
really	RB	really
what	WP	what
is	VBZ	be
seen	VVN	see
as	IN	as
being	VBG	be
the	DT	the
strength	NN	strength
uh	UH	uh
of	IN	of
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
and	CC	and
the	DT	the
beginning	VVG	begin
o	NN	o
of	IN	of
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
the	DT	the
late	RB	late
40s	JJ	40s
it	PP	it
was	VBD	be
just	RB	just
a	DT	a
tiny	JJ	tiny
percentage	NN	percentage
of	IN	of
ultra	JJ	ultra
Orthodox	NP	Orthodox
Jews	NPS	Jews
um	NN	um
and	CC	and
so	RB	so
allowing	VVG	allow
them	PP	them
to	TO	to
have	VH	have
exemption	NN	exemption
after	IN	after
the	DT	the
population	NN	population
was	VBD	be
really	RB	really
um	JJ	um
just	RB	just
so	RB	so
badly	RB	badly
affected	VVN	affect
by	IN	by
the	DT	the
Holocaust	NN	holocaust
was	VBD	be
not	RB	not
seen	VVN	see
as	IN	as
being	VBG	be
a	DT	a
big	JJ	big
issue	NN	issue
but	CC	but
as	IN	as
the	DT	the
ultra	JJ	ultra
Orthodox	NP	Orthodox
Jewish	JJ	Jewish
population	NN	population
has	VHZ	have
grown	VVN	grow
and	CC	and
grown	VVN	grow
demographics	NNS	demographic
have	VHP	have
changed	VVN	change
in	IN	in
Israel	NP	Israel
this	DT	this
idea	NN	idea
of	IN	of
sharing	VVG	share
the	DT	the
security	NN	security
burden	NN	burden
more	RBR	more
equally	RB	equally
has	VHZ	have
become	VVN	become
a	DT	a
really	RB	really
hot	JJ	hot
political	JJ	political
topic	NN	topic
yolan	NN	yolan
now	RB	now
with	IN	with
the	DT	the
latest	JJS	late
injury	NN	injury
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
indeed	RB	indeed
