let	NN	let
medical	JJ	medical
crews	NNS	crew
are	VBP	be
struggling	VVG	struggle
the	DT	the
ambulance	NN	ambulance
services	NNS	service
is	VBZ	be
almost	RB	almost
shut	VVN	shut
down	RP	down
since	IN	since
the	DT	the
morning	NN	morning
they	PP	they
they	PP	they
say	VVP	say
we	PP	we
don	VV	don
'	''	'
t	NN	t
know	VVP	know
where	WRB	where
to	TO	to
go	VV	go
and	CC	and
how	WRB	how
to	TO	to
communicate	VV	communicate
with	IN	with
the	DT	the
people	NNS	people
after	IN	after
an	DT	an
a	DT	a
strike	VV	strike
they	PP	they
they	PP	they
wait	VVP	wait
for	IN	for
anal	JJ	anal
any	DT	any
news	NN	news
from	IN	from
the	DT	the
people	NNS	people
on	IN	on
the	DT	the
ground	NN	ground
and	CC	and
then	RB	then
they	PP	they
move	VVP	move
quickly	RB	quickly
to	TO	to
the	DT	the
to	TO	to
the	DT	the
scene	NN	scene
and	CC	and
back	RB	back
with	IN	with
casualities	NNS	casualities
here	RB	here
in	IN	in
the	DT	the
hospital	NN	hospital
so	IN	so
it	PP	it
'	POS	'
s	JJ	s
real	JJ	real
catastrophic	JJ	catastrophic
situation	NN	situation
our	PP$	our
correspondent	NN	correspondent
there	RB	there
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
southern	JJ	southern
Casta	NP	Casta
let	VVD	let
me	PP	me
