hello	NN	hello
whole	NN	whole
or	CC	or
in	IN	in
part	NN	part
the	DT	the
court	NN	court
records	NNS	record
that	WDT	that
it	PP	it
that	IN/that	that
in	IN	in
its	PP$	its
order	NN	order
of	IN	of
January	NP	January
26	CD	@card@
2024	CD	@card@
it	PP	it
ordered	VVD	order
Israel	NP	Israel
inter	VV	inter
area	NN	area
to	TO	to
I	PP	I
quote	VVP	quote
take	VV	take
effective	JJ	effective
measures	NNS	measure
to	TO	to
prevent	VV	prevent
the	DT	the
destruction	NN	destruction
and	CC	and
ensure	VV	ensure
the	DT	the
preservation	NN	preservation
of	IN	of
evidence	NN	evidence
related	VVN	relate
to	TO	to
allegations	NNS	allegation
of	IN	of
Acts	NNS	act
within	IN	within
the	DT	the
scope	NN	scope
of	IN	of
Article	NP	Article
2	CD	@card@
and	CC	and
article	NN	article
3	CD	@card@
of	IN	of
the	DT	the
genocide	NN	genocide
convention	NN	convention
end	NN	end
of	IN	of
quote	NN	quote
in	IN	in
the	DT	the
present	JJ	present
circumstances	NNS	circumstance
the	DT	the
court	NN	court
is	VBZ	be
also	RB	also
of	IN	of
The	DT	the
View	NN	view
that	IN/that	that
in	IN	in
order	NN	order
to	TO	to
preserve	VV	preserve
evidence	NN	evidence
related	VVN	relate
to	TO	to
allegations	NNS	allegation
of	IN	of
Acts	NNS	act
falling	VVG	fall
within	IN	within
the	DT	the
scope	NN	scope
of	IN	of
Article	NP	Article
2	CD	@card@
and	CC	and
article	NN	article
3	CD	@card@
of	IN	of
the	DT	the
genocide	NN	genocide
convention	NN	convention
Israel	NP	Israel
must	MD	must
take	VV	take
effective	JJ	effective
measures	NNS	measure
to	TO	to
ensure	VV	ensure
the	DT	the
unimpeded	JJ	unimpeded
access	NN	access
to	TO	to
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
of	IN	of
any	DT	any
Commission	NP	Commission
of	IN	of
inquiry	NN	inquiry
fact	NN	fact
finding	VVG	find
Mission	NP	Mission
or	CC	or
ever	RB	ever
investigative	JJ	investigative
body	NN	body
mandated	VVN	mandate
by	IN	by
competent	JJ	competent
organs	NNS	organ
of	IN	of
the	DT	the
United	NP	United
ations	NNS	ations
to	TO	to
investigate	VV	investigate
allegations	NNS	allegation
of	IN	of
genocide	NN	genocide
the	DT	the
judge	NN	judge
there	RB	there
the	DT	the
icj	NN	icj
just	RB	just
to	TO	to
give	VV	give
you	PP	you
some	DT	some
initial	JJ	initial
responses	NNS	response
uh	UH	uh
David	NP	David
Mera	NP	Mera
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
Israeli	JJ	Israeli
government	NN	government
has	VHZ	have
said	VVN	say
there	EX	there
is	VBZ	be
no	DT	no
power	NN	power
in	IN	in
the	DT	the
world	NN	world
that	WDT	that
will	MD	will
push	VV	push
us	PP	us
to	TO	to
commit	VV	commit
a	DT	a
public	JJ	public
suicide	NN	suicide
because	IN	because
that	DT	that
'	''	'
s	NNS	s
what	WP	what
this	DT	this
is	VBZ	be
to	TO	to
stop	VV	stop
our	PP$	our
war	NN	war
against	IN	against
Hamas	NP	Hamas
that	WDT	that
'	POS	'
s	NN	S
repeating	VVG	repeat
a	DT	a
line	NN	line
that	IN/that	that
of	IN	of
course	NN	course
a	DT	a
consistent	JJ	consistent
line	NN	line
that	IN/that	that
we	PP	we
'	POS	'
ve	NN	ve
heard	VVD	hear
from	IN	from
the	DT	the
Israeli	JJ	Israeli
government	NN	government
who	WP	who
I	PP	I
think	VVP	think
are	VBP	be
meeting	VVG	meet
now	RB	now
there	EX	there
was	VBD	be
a	DT	a
call	NN	call
for	IN	for
Mr	NP	Mr
Netanyahu	NP	Netanyahu
to	TO	to
meet	VV	meet
um	NNS	um
his	PP$	his
top	JJ	top
ministers	NNS	minister
and	CC	and
Hamas	JJ	Hamas
um	NNS	um
as	RB	as
reported	VVD	report
by	IN	by
the	DT	the
Reuters	NP	Reuters
news	NN	news
agency	NN	agency
has	VHZ	have
said	VVN	say
that	IN/that	that
they	PP	they
welcome	VVP	welcome
the	DT	the
icj	NN	icj
plan	NN	plan
to	TO	to
send	VV	send
the	DT	the
investigation	NN	investigation
committee	NN	committee
into	IN	into
Gaza	NP	Gaza
they	PP	they
say	VVP	say
they	PP	they
would	MD	would
promise	VV	promise
any	DT	any
cooperation	NN	cooperation
that	IN/that	that
they	PP	they
can	MD	can
give	VV	give
um	NNS	um
and	CC	and
they	PP	they
have	VHP	have
said	VVN	say
that	IN/that	that
they	PP	they
welcome	VVP	welcome
the	DT	the
decision	NN	decision
on	IN	on
Rafa	NP	Rafa
saying	VVG	say
it	PP	it
doesn	NN	doesn
'	POS	'
t	NN	t
go	VVP	go
far	RB	far
enough	JJ	enough
it	PP	it
'	''	'
s	NN	S
urging	VVG	urge
an	DT	an
end	NN	end
for	IN	for
Israel	NP	Israel
'	POS	'
s	JJ	s
offensive	NN	offensive
on	IN	on
all	DT	all
of	IN	of
Gaza	NP	Gaza
and	CC	and
looking	VVG	look
at	IN	at
uh	UH	uh
whether	IN	whether
the	DT	the
security	NN	security
Council	NN	council
will	MD	will
now	RB	now
look	VV	look
to	TO	to
try	VV	try
and	CC	and
implement	VV	implement
this	DT	this
ruling	NN	ruling
well	RB	well
let	VVD	let
'	''	'
s	NNS	s
get	VVP	get
more	RBR	more
now	RB	now
our	PP$	our
diplomatic	JJ	diplomatic
correspondent	NN	correspondent
Paul	NP	Paul
Adams	NP	Adams
is	VBZ	be
in	IN	in
Jerusalem	NP	Jerusalem
and	CC	and
he	PP	he
told	VVD	tell
us	PP	us
more	JJR	more
about	IN	about
the	DT	the
immediate	JJ	immediate
reaction	NN	reaction
there	RB	there
in	IN	in
Israel	NP	Israel
if	IN	if
this	DT	this
was	VBD	be
the	DT	the
The	DT	the
Measure	NN	measure
that	WDT	that
was	VBD	be
anticipated	VVN	anticipate
uh	UH	uh
uh	UH	uh
with	IN	with
some	DT	some
debate	NN	debate
as	IN	as
to	TO	to
whether	IN	whether
or	CC	or
not	RB	not
the	DT	the
court	NN	court
would	MD	would
finally	RB	finally
uh	UH	uh
take	VV	take
that	DT	that
additional	JJ	additional
step	VV	step
uh	UH	uh
no	UH	no
uh	UH	uh
reaction	NN	reaction
official	NN	official
reaction	NN	reaction
from	IN	from
the	DT	the
government	NN	government
so	RB	so
far	RB	far
it	PP	it
'	POS	'
s	NN	S
due	JJ	due
to	TO	to
discuss	VV	discuss
this	DT	this
ruling	JJ	ruling
uh	UH	uh
later	RBR	later
today	RB	today
uh	UH	uh
there	EX	there
is	VBZ	be
a	DT	a
reaction	NN	reaction
from	IN	from
the	DT	the
Hardline	NN	hardline
Finance	NP	Finance
Minister	NP	Minister
uh	UH	uh
itar	NN	itar
benav	NN	benav
who	WP	who
has	VHZ	have
called	VVN	call
it	PP	it
irrelevant	JJ	irrelevant
and	CC	and
ant	NN	ant
and	CC	and
he	PP	he
'	POS	'
s	NN	S
dismissed	VVD	dismiss
the	DT	the
court	NN	court
as	IN	as
anti	JJ	anti
-	NN	-
semitic	NN	semitic
these	DT	these
are	VBP	be
the	DT	the
sorts	NNS	sort
of	IN	of
remarks	NNS	remark
you	PP	you
would	MD	would
expect	VV	expect
to	TO	to
hear	VV	hear
from	IN	from
some	DT	some
of	IN	of
Mr	NP	Mr
netanyahu	NP	netanyahu
'	POS	'
s	JJ	s
more	JJR	more
Hardline	NN	hardline
colleagues	NNS	colleague
uh	UH	uh
but	CC	but
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
uh	UH	uh
the	DT	the
order	NN	order
to	TO	to
uh	UH	uh
to	TO	to
Halt	NP	Halt
the	DT	the
rough	JJ	rough
or	CC	or
offensive	JJ	offensive
I	PP	I
think	VVP	think
we	PP	we
can	MD	can
expect	VV	expect
uh	UH	uh
a	DT	a
big	JJ	big
fat	NN	fat
no	RB	no
from	IN	from
the	DT	the
government	NN	government
here	IN	here
uh	UH	uh
and	CC	and
I	PP	I
think	VVP	think
they	PP	they
will	MD	will
probably	RB	probably
complain	VV	complain
that	IN/that	that
the	DT	the
court	VV	court
uh	UH	uh
in	IN	in
coming	VVG	come
to	TO	to
its	PP$	its
conclusions	NNS	conclusion
only	RB	only
cited	VVD	cite
what	WP	what
the	DT	the
the	DT	the
UN	NP	UN
had	VHD	have
told	VVN	tell
them	PP	them
about	IN	about
the	DT	the
situation	NN	situation
uh	UH	uh
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
been	VBN	be
arguing	VVG	argue
for	IN	for
some	DT	some
time	NN	time
that	IN/that	that
they	PP	they
are	VBP	be
taking	VVG	take
steps	NNS	step
not	RB	not
withstanding	VVG	withstand
their	PP$	their
military	JJ	military
operation	NN	operation
in	IN	in
Gaza	NP	Gaza
that	IN/that	that
they	PP	they
are	VBP	be
taking	VVG	take
steps	NNS	step
to	TO	to
improve	VV	improve
the	DT	the
provision	NN	provision
of	IN	of
food	NN	food
and	CC	and
goods	NNS	good
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
it	PP	it
'	POS	'
s	NN	S
very	RB	very
noticeable	JJ	noticeable
for	IN	for
example	NN	example
that	IN/that	that
for	IN	for
the	DT	the
three	CD	three
weeks	NNS	week
or	CC	or
so	RB	so
after	IN	after
uh	UH	uh
after	IN	after
May	NP	May
the	DT	the
7th	JJ	7th
when	WRB	when
the	DT	the
order	NN	order
to	TO	to
uh	UH	uh
to	TO	to
launch	VV	launch
the	DT	the
offensive	NN	offensive
in	RB	in
began	VVD	begin
only	RB	only
about	IN	about
140	CD	@card@
trucks	NNS	truck
of	IN	of
un	JJ	un
Aid	NN	aid
entered	VVN	enter
through	IN	through
the	DT	the
Karen	NP	Karen
Shalom	NP	Shalom
crossing	VVG	cross
the	DT	the
most	RBS	most
important	JJ	important
crossing	VVG	cross
point	NN	point
from	IN	from
Israel	NP	Israel
but	CC	but
and	CC	and
this	DT	this
was	VBD	be
something	NN	something
the	DT	the
court	NN	court
did	VVD	do
not	RB	not
refer	VV	refer
to	TO	to
hundreds	NNS	hundred
and	CC	and
hundreds	NNS	hundred
and	CC	and
hundreds	NNS	hundred
of	IN	of
trucks	NNS	truck
of	IN	of
commercial	JJ	commercial
uh	UH	uh
food	NN	food
stuffs	NNS	stuff
have	VHP	have
gone	VVN	go
in	RP	in
through	IN	through
that	DT	that
very	RB	very
same	JJ	same
route	NN	route
allowed	VVN	allow
in	IN	in
by	IN	by
Israel	NP	Israel
escorted	VVD	escort
by	IN	by
uh	UH	uh
armed	JJ	armed
guards	NNS	guard
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
taken	VVN	take
into	IN	into
the	DT	the
the	DT	the
marketplace	NN	marketplace
in	IN	in
Gaza	NP	Gaza
there	EX	there
is	VBZ	be
food	NN	food
to	TO	to
be	VB	be
had	VHN	have
in	IN	in
places	NNS	place
a	DT	a
lot	NN	lot
of	IN	of
gazans	NNS	Gazan
can	MD	can
'	''	'
t	NN	t
afford	VV	afford
it	PP	it
but	CC	but
that	DT	that
was	VBD	be
an	DT	an
element	NN	element
of	IN	of
Israel	NP	Israel
'	POS	'
s	JJ	s
response	NN	response
to	TO	to
uh	UH	uh
the	DT	the
situation	NN	situation
uh	UH	uh
in	IN	in
Gaza	NP	Gaza
that	IN/that	that
the	DT	the
court	VV	court
uh	UH	uh
simply	RB	simply
didn	NP	didn
'	POS	'
t	NN	t
allude	VV	allude
to	TO	to
they	PP	they
also	RB	also
obviously	RB	obviously
did	VVD	do
not	RB	not
allude	VV	allude
to	TO	to
Israel	NP	Israel
'	POS	'
s	JJ	s
military	JJ	military
rationale	NN	rationale
for	IN	for
attacking	VVG	attack
Gaza	NP	Gaza
the	DT	the
complete	JJ	complete
dismantling	VVG	dismantle
of	IN	of
the	DT	the
last	JJ	last
uh	UH	uh
remaining	VVG	remain
battalions	NNS	battalion
of	IN	of
Hamas	NP	Hamas
and	CC	and
the	DT	the
importance	NN	importance
Israel	NP	Israel
would	MD	would
say	VV	say
of	IN	of
securing	VVG	secure
the	DT	the
the	DT	the
border	NN	border
between	IN	between
Gaza	NP	Gaza
and	CC	and
Egypt	NP	Egypt
to	TO	to
prevent	VV	prevent
the	DT	the
smuggling	NN	smuggling
of	IN	of
weapons	NNS	weapon
uh	UH	uh
which	WDT	which
could	MD	could
lead	VV	lead
to	TO	to
a	DT	a
future	JJ	future
conflict	NN	conflict
now	RB	now
all	RB	all
of	IN	of
this	DT	this
was	VBD	be
was	VBD	be
was	VBD	be
was	VBD	be
not	RB	not
referred	VVN	refer
to	TO	to
by	IN	by
the	DT	the
court	NN	court
the	DT	the
court	NN	court
obviously	RB	obviously
feels	VVZ	feel
that	IN/that	that
of	IN	of
in	IN	in
excess	NN	excess
of	IN	of
800	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
we	PP	we
think	VVP	think
it	PP	it
'	''	'
s	NNS	s
probably	RB	probably
closer	RBR	closer
to	TO	to
a	DT	a
million	CD	million
by	IN	by
now	RB	now
uh	UH	uh
is	VBZ	be
evidence	NN	evidence
of	IN	of
the	DT	the
increased	VVD	increase
risk	VV	risk
uh	UH	uh
to	TO	to
life	NN	life
and	CC	and
and	CC	and
well	RB	well
-	NN	-
being	VBG	be
of	IN	of
a	DT	a
huge	JJ	huge
portion	NN	portion
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
population	NN	population
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
that	WDT	that
was	VBD	be
enough	JJ	enough
to	TO	to
persuade	VV	persuade
those	DT	those
judges	NNS	judge
who	WP	who
had	VHD	have
not	RB	not
been	VBN	be
persuaded	VVN	persuade
so	RB	so
far	RB	far
to	TO	to
say	VV	say
enough	RB	enough
is	VBZ	be
enough	RB	enough
this	DT	this
operation	NN	operation
has	VHZ	have
to	TO	to
stop	VV	stop
Paul	NP	Paul
Adams	NP	Adams
there	RB	there
speaking	VVG	speak
to	TO	to
us	PP	us
a	DT	a
bit	NN	bit
earlier	RBR	earlier
uh	UH	uh
from	IN	from
Jerusalem	NP	Jerusalem
and	CC	and
just	RB	just
to	TO	to
let	VV	let
you	PP	you
know	VV	know
that	IN/that	that
since	IN	since
we	PP	we
SP	NP	SP
Paul	NP	Paul
um	JJ	um
David	NP	David
mener	NN	mener
who	WP	who
'	POS	'
s	NNS	s
a	DT	a
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
Israeli	JJ	Israeli
government	NN	government
um	NNS	um
did	VVD	do
give	VV	give
some	DT	some
reaction	NN	reaction
to	TO	to
the	DT	the
news	NN	news
uh	UH	uh
to	TO	to
the	DT	the
BBC	NP	BBC
and	CC	and
he	PP	he
said	VVD	say
there	EX	there
is	VBZ	be
no	DT	no
power	NN	power
in	IN	in
the	DT	the
world	NN	world
that	WDT	that
will	MD	will
push	VV	push
us	PP	us
to	TO	to
commit	VV	commit
a	DT	a
public	JJ	public
suicide	NN	suicide
because	IN	because
that	DT	that
'	''	'
s	NNS	s
what	WP	what
this	DT	this
is	VBZ	be
to	TO	to
stop	VV	stop
our	PP$	our
war	NN	war
against	IN	against
Hamas	JJ	Hamas
uh	UH	uh
we	PP	we
understand	VVP	understand
the	DT	the
Israeli	JJ	Israeli
government	NN	government
are	VBP	be
meeting	VVG	meet
or	CC	or
going	VVG	go
to	TO	to
be	VB	be
meeting	VVG	meet
soon	RB	soon
to	TO	to
discuss	VV	discuss
this	DT	this
ruling	JJ	ruling
uh	UH	uh
We	PP	we
'	POS	'
ve	NN	ve
also	RB	also
had	VHD	have
reports	NNS	report
on	IN	on
Reuters	NP	Reuters
of	IN	of
Hamas	NP	Hamas
reaction	NN	reaction
Hamas	NNS	Hamas
apparently	RB	apparently
calling	VVG	call
on	IN	on
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
to	TO	to
implement	VV	implement
the	DT	the
icj	NN	icj
court	NN	court
of	IN	of
justice	NN	justice
decision	NN	decision
welcoming	VVG	welcome
the	DT	the
ruling	NN	ruling
and	CC	and
uh	UH	uh
welcoming	VVG	welcome
the	DT	the
call	NN	call
for	IN	for
an	DT	an
investigation	NN	investigation
an	DT	an
inquiry	NN	inquiry
saying	VVG	say
that	IN/that	that
they	PP	they
would	MD	would
cooperate	VV	cooperate
with	IN	with
that	IN/that	that
also	RB	also
we	PP	we
'	POS	'
ve	NN	ve
had	VHD	have
a	DT	a
response	NN	response
from	IN	from
the	DT	the
Palestinian	JJ	Palestinian
authorities	NNS	authority
saying	VVG	say
they	PP	they
welcome	VV	welcome
the	DT	the
decision	NN	decision
as	IN	as
again	RB	again
reported	VVN	report
by	IN	by
Reuters	NP	Reuters
um	JJ	um
news	NN	news
agency	NN	agency
saying	VVG	say
that	IN/that	that
it	PP	it
represents	VVZ	represent
an	DT	an
international	JJ	international
consensus	NN	consensus
to	TO	to
end	VV	end
the	DT	the
war	NN	war
on	IN	on
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
um	NNS	um
according	VVG	accord
to	TO	to
a	DT	a
Palestinian	JJ	Palestinian
presidential	JJ	presidential
spokesperson	NN	spokesperson
we	PP	we
will	MD	will
keep	VV	keep
you	PP	you
across	IN	across
all	PDT	all
the	DT	the
reaction	NN	reaction
of	IN	of
course	NN	course
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
be	VB	be
looking	VVG	look
to	TO	to
the	DT	the
US	NP	US
to	TO	to
see	VV	see
uh	UH	uh
what	WP	what
the	DT	the
White	NP	White
House	NP	House
say	VVP	say
whether	IN	whether
this	DT	this
has	VHZ	have
any	DT	any
impact	NN	impact
on	IN	on
Biden	NP	Biden
'	POS	'
s	JJ	s
current	JJ	current
position	NN	position
of	IN	of
ongoing	JJ	ongoing
support	NN	support
for	IN	for
Israel	NP	Israel
though	IN	though
of	IN	of
course	NN	course
he	PP	he
has	VHZ	have
warned	VVN	warn
repeatedly	RB	repeatedly
uh	UH	uh
the	DT	the
Israeli	JJ	Israeli
leadership	NN	leadership
not	RB	not
to	TO	to
go	VV	go
into	IN	into
uh	UH	uh
Hamas	VV	Hamas
uh	UH	uh
territory	NN	territory
uh	UH	uh
in	IN	in
Rafa	NP	Rafa
uh	UH	uh
because	IN	because
of	IN	of
the	DT	the
risk	NN	risk
to	TO	to
civilian	JJ	civilian
life	NN	life
we	PP	we
will	MD	will
keep	VV	keep
you	PP	you
across	IN	across
those	DT	those
events	NNS	event
