<video_id>SR6SzG-U2zk</video_id>	JJ	<video_id>SR6SzG-U2zk</video_id>
Joe	NP	Joe
Biden	NP	Biden
gave	VVD	give
an	DT	an
interview	NN	interview
to	TO	to
American	NP	American
Media	NP	Media
where	WRB	where
he	PP	he
said	VVD	say
uh	UH	uh
ra	NNS	ra
an	DT	an
invasion	NN	invasion
of	IN	of
RA	NP	RA
would	MD	would
be	VB	be
his	PP$	his
red	JJ	red
line	NN	line
but	CC	but
then	RB	then
he	PP	he
backtracked	VVD	backtrack
and	CC	and
said	VVD	say
I	PP	I
will	MD	will
never	RB	never
leave	VV	leave
Israel	NP	Israel
and	CC	and
now	RB	now
we	PP	we
hear	VVP	hear
this	DT	this
from	IN	from
the	DT	the
National	NP	National
Security	NP	Security
adviser	NN	adviser
what	WP	what
do	VVP	do
you	PP	you
make	VV	make
of	IN	of
these	DT	these
is	VBZ	be
it	PP	it
mixed	VVD	mix
messaging	VVG	message
I	PP	I
I	PP	I
think	VVP	think
it	PP	it
is	VBZ	be
it	PP	it
is	VBZ	be
mix	NN	mix
messaging	VVG	message
I	PP	I
mean	VV	mean
Biden	NP	Biden
look	VV	look
Biden	NP	Biden
cannot	MD	can
not	RB	not
to	TO	to
support	VV	support
Israel	NP	Israel
he	PP	he
can't	VVD	can't
afford	VV	afford
it	PP	it
politically	RB	politically
speaking	VVG	speak
he	PP	he
want	VVP	want
to	TO	to
be	VB	be
seen	VVN	see
as	IN	as
someone	NN	someone
who's	NNS	who's
backing	VVG	back
Israel	NP	Israel
in	IN	in
this	DT	this
war	NN	war
in	IN	in
Gaza	NP	Gaza
and	CC	and
especially	RB	especially
with	IN	with
the	DT	the
objective	NN	objective
of	IN	of
the	DT	the
war	NN	war
is	VBZ	be
to	TO	to
dismantle	VV	dismantle
Hamas	NNS	Hamas
and	CC	and
that's	NNS	that's
why	WRB	why
he	PP	he
kept	VVD	keep
like	IN	like
sending	VVG	send
them	PP	them
the	DT	the
weapons	NNS	weapon
and	CC	and
and	CC	and
munition	VV	munition
uh	UH	uh
this	DT	this
is	VBZ	be
one	CD	one
thing	NN	thing
another	DT	another
thing	NN	thing
is	VBZ	be
that	IN/that	that
he	PP	he
don't	VVD	don't
want	VV	want
to	TO	to
be	VB	be
seen	VVN	see
as	RB	as
as	RB	as
if	IN	if
as	IN	as
supporting	VVG	support
ethnic	JJ	ethnic
cleansing	NN	cleansing
and	CC	and
also	RB	also
targeting	VVG	target
civilians	NNS	civilian
because	IN	because
if	IN	if
the	DT	the
Israelis	NPS	Israelis
go	VVP	go
on	IN	on
attack	NN	attack
and	CC	and
attack	NN	attack
ra	NNS	ra
I	PP	I
think	VVP	think
you	PP	you
know	VVP	know
civilian	JJ	civilian
going	VVG	go
to	TO	to
be	VB	be
impacted	VVN	impact
so	IN	so
I	PP	I
think	VVP	think
he's	NNS	he's
in	IN	in
in	IN	in
limbo	NN	limbo
on	IN	on
the	DT	the
one	CD	one
hand	NN	hand
he	PP	he
want	VVP	want
to	TO	to
be	VB	be
seen	VVN	see
as	IN	as
someone	NN	someone
who	WP	who
is	VBZ	be
supporting	VVG	support
uh	UH	uh
um	JJ	um
human	JJ	human
rights	NNS	right
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
he's	NNS	he's
one	CD	one
who's	NNS	who's
who	WP	who
want	VVP	want
to	TO	to
be	VB	be
seen	VVN	see
as	IN	as
supporting	VVG	support
Israel	NP	Israel
in	IN	in
his	PP$	his
four	CD	four
objectives	NNS	objective
do	VVP	do
you	PP	you
think	VVP	think
that	IN/that	that
the	DT	the
Israelis	NPS	Israelis
still	RB	still
have	VHP	have
the	DT	the
intention	NN	intention
to	TO	to
go	VV	go
into	IN	into
ra	NNS	ra
until	IN	until
this	DT	this
moment	NN	moment
it's	NNS	it's
really	RB	really
hard	JJ	hard
to	TO	to
tell	VV	tell
uh	UH	uh
but	CC	but
n	NN	n
wants	VVZ	want
the	DT	the
war	NN	war
to	TO	to
continue	VV	continue
uh	UH	uh
because	IN	because
putting	VVG	put
an	DT	an
end	NN	end
to	TO	to
the	DT	the
war	NN	war
at	IN	at
this	DT	this
moment	NN	moment
will	MD	will
put	VV	put
netan	NN	netan
in	IN	in
in	IN	in
trouble	NN	trouble
internally	RB	internally
and	CC	and
so	RB	so
he	PP	he
want	VVP	want
to	TO	to
continue	VV	continue
the	DT	the
war	NN	war
and	CC	and
he	PP	he
using	VVG	use
the	DT	the
protect	VV	protect
of	IN	of
of	IN	of
everything	NN	everything
protect	VV	protect
of	IN	of
the	DT	the
hostages	NNS	hostage
in	IN	in
order	NN	order
to	TO	to
continue	VV	continue
the	DT	the
war	NN	war
he	PP	he
I	PP	I
think	VVP	think
eventually	RB	eventually
if	IN	if
he	PP	he
does	VVZ	do
not	RB	not
get	VV	get
into	IN	into
the	DT	the
war	NN	war
in	IN	in
in	IN	in
in	IN	in
ra	NNS	ra
it	PP	it
is	VBZ	be
really	RB	really
hard	JJ	hard
for	IN	for
him	PP	him
to	TO	to
liberate	VV	liberate
the	DT	the
hostages	NNS	hostage
because	IN	because
a	DT	a
deal	NN	deal
is	VBZ	be
not	RB	not
in	IN	in
the	DT	the
offering	NN	offering
and	CC	and
the	DT	the
deal	NN	deal
entails	VVZ	entail
a	DT	a
lot	NN	lot
of	IN	of
concessions	NNS	concession
on	IN	on
the	DT	the
part	NN	part
of	IN	of
the	DT	the
Israeli	JJ	Israeli
government	NN	government
and	CC	and
netan	NN	netan
is	VBZ	be
not	RB	not
is	VBZ	be
unwilling	JJ	unwilling
to	TO	to
do	VV	do
that	IN/that	that
that's	NNS	that's
the	DT	the
thing	NN	thing
I	PP	I
mean	VVP	mean
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
the	DT	the
deal	NN	deal
we	PP	we
heard	VVD	hear
from	IN	from
the	DT	the
CES	NP	CES
today	NN	today
saying	NN	saying
that	WDT	that
look	VVP	look
the	DT	the
both	DT	both
sides	NNS	side
are	VBP	be
still	RB	still
quite	RB	quite
far	RB	far
apart	RB	apart
Ian	NP	Ian
could	MD	could
he	PP	he
be	VB	be
using	VVG	use
this	DT	this
threat	NN	threat
of	IN	of
f	NN	f
as	IN	as
some	DT	some
sort	NN	sort
of	IN	of
negotiating	VVG	negotiate
strategy	NN	strategy
a	DT	a
negotiating	VVG	negotiate
tactic	NN	tactic
absolutely	RB	absolutely
uh	UH	uh
he	PP	he
threatens	VVZ	threaten
to	TO	to
uh	UH	uh
invade	VV	invade
RAF	NN	RAF
and	CC	and
to	TO	to
it	PP	it
out	IN	out
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
it	PP	it
is	VBZ	be
really	RB	really
difficult	JJ	difficult
for	IN	for
him	PP	him
to	TO	to
do	VV	do
this	DT	this
without	IN	without
killing	VVG	kill
many	JJ	many
civilians	NNS	civilian
uh	UH	uh
so	RB	so
he's	NNS	he's
using	VVG	use
this	DT	this
in	IN	in
order	NN	order
to	TO	to
put	VV	put
a	DT	a
lot	NN	lot
of	IN	of
pressure	NN	pressure
on	IN	on
Hamas	NP	Hamas
to	TO	to
make	VV	make
them	PP	them
agree	VV	agree
to	TO	to
his	PP$	his
uh	UH	uh
terms	NNS	term
of	IN	of
ceasefire	NN	ceasefire
he	PP	he
wants	VVZ	want
to	TO	to
De	NP	De
braate	NN	braate
the	DT	the
hostages	NNS	hostage
in	IN	in
order	NN	order
to	TO	to
continue	VV	continue
the	DT	the
war	NN	war
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
message	NN	message
where	WRB	where
Hamas	NN	Hamas
finds	VVZ	find
really	RB	really
hard	JJ	hard
to	TO	to
accept	VV	accept
right	NN	right
and	CC	and
um	NNS	um
look	VVP	look
we	PP	we
just	RB	just
heard	VVD	hear
a	DT	a
few	JJ	few
uh	UH	uh
earlier	RBR	earlier
uh	UH	uh
in	IN	in
fact	NN	fact
this	DT	this
hour	NN	hour
from	IN	from
the	DT	the
unwa	NN	unwa
head	NN	head
of	IN	of
unur	NN	unur
who's	NNS	who's
who's	NNS	who's
saying	VVG	say
this	DT	this
that	IN/that	that
the	DT	the
you	PP	you
that	IN/that	that
more	JJR	more
children	NNS	child
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
Israel's	NP	Israel's
war	NN	war
on	IN	on
Gaza	NP	Gaza
than	IN	than
in	IN	in
four	CD	four
years	NNS	year
of	IN	of
worldwide	JJ	worldwide
conflict	NN	conflict
I	PP	I
mean	VVP	mean
just	RB	just
how	WRB	how
devastating	JJ	devastating
is	VBZ	be
that	DT	that
statistic	NN	statistic
it	PP	it
also	RB	also
shows	VVZ	show
how	WRB	how
indifferent	JJ	indifferent
the	DT	the
Israelis	NNS	Israeli
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
the	DT	the
human	JJ	human
rights	NNS	right
and	CC	and
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
the	DT	the
civilians	NNS	civilian
they	PP	they
just	RB	just
bombarded	VVD	bombard
in	IN	in
in	IN	in
a	DT	a
blind	JJ	blind
way	NN	way
in	IN	in
order	NN	order
to	TO	to
put	VV	put
the	DT	the
pressure	NN	pressure
in	IN	in
order	NN	order
to	TO	to
turn	VV	turn
the	DT	the
uh	UH	uh
uh	UH	uh
the	DT	the
Palestinian	JJ	Palestinian
public	NN	public
against	IN	against
Hamas	VVG	Hamas
it	PP	it
it	PP	it
is	VBZ	be
a	DT	a
game	NN	game
that	WDT	that
is	VBZ	be
being	VBG	be
played	VVN	play
by	IN	by
the	DT	the
Israeli	JJ	Israeli
they	PP	they
want	VVP	want
to	TO	to
put	VV	put
a	DT	a
lot	NN	lot
of	IN	of
pressure	NN	pressure
on	IN	on
Hamas	NNS	Hamas
and	CC	and
make	VV	make
him	PP	him
make	VV	make
them	PP	them
undesirable	JJ	undesirable
uh	UH	uh
uh	UH	uh
Partners	NPS	Partners
H	NP	H
and	CC	and
that's	NNS	that's
why	WRB	why
they	PP	they
killed	VVD	kill
the	DT	the
I	PP	I
think	VVP	think
they	PP	they
killed	VVD	kill
the	DT	the
civilian	JJ	civilian
civilian	NN	civilian
sometimes	RB	sometimes
on	IN	on
purpose	NN	purpose
is	VBZ	be
there	RB	there
any	DT	any
sign	NN	sign
that	IN/that	that
that	DT	that
pressure	NN	pressure
is	VBZ	be
achieving	VVG	achieve
the	DT	the
results	NNS	result
of	IN	of
the	DT	the
israelies	NNS	israelies
wanteded	VVD	wanteded
to	TO	to
achieve	VV	achieve
so	RB	so
what	WP	what
is	VBZ	be
the	DT	the
result	NN	result
what	WP	what
is	VBZ	be
the	DT	the
outcome	NN	outcome
to	TO	to
liberate	VV	liberate
the	DT	the
hostages	NNS	hostage
the	DT	the
Palestinians	NPS	Palestinians
are	VBP	be
unwilling	JJ	unwilling
to	TO	to
do	VV	do
this	DT	this
and	CC	and
until	IN	until
they	PP	they
come	VV	come
uh	UH	uh
to	TO	to
to	TO	to
agree	VV	agree
on	IN	on
a	DT	a
deal	NN	deal
and	CC	and
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
unwilling	JJ	unwilling
to	TO	to
do	VV	do
uh	UH	uh
to	TO	to
agree	VV	agree
on	IN	on
a	DT	a
deal	NN	deal
unless	IN	unless
Hamas	NP	Hamas
came	VVD	come
in	IN	in
and	CC	and
Hamas	NNS	Hamas
I	PP	I
think	VVP	think
is	VBZ	be
not	RB	not
going	VVG	go
to	TO	to
came	NN	came
in	IN	in
at	IN	at
this	DT	this
moment	NN	moment
especially	RB	especially
after	IN	after
all	PDT	all
this	DT	this
sacrifices	NNS	sacrifice
okay	JJ	okay
Hassan	NP	Hassan
barari	NNS	barari
thank	VVP	thank
you	PP	you
so	RB	so
much	JJ	much
</doc>	NN	</doc>
