<video_id>Niri_a_Vv7k</video_id>	JJ	<video_id>Niri_a_Vv7k</video_id>
despair	NN	despair
they're	NNS	they're
saying	VVG	say
that	IN/that	that
the	DT	the
quad	NN	quad
captures	NNS	capture
came	VVD	come
into	IN	into
the	DT	the
school	NN	school
and	CC	and
where	WRB	where
they	PP	they
were	VBD	be
seeking	VVG	seek
refuge	NN	refuge
in	IN	in
their	PP$	their
tents	NNS	tent
and	CC	and
started	VVD	start
shooting	VVG	shoot
live	JJ	live
ammunition	NN	ammunition
on	IN	on
people	NNS	people
at	IN	at
least	JJS	least
60	CD	@card@
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
rafah	NN	rafah
last	JJ	last
night	NN	night
people	NNS	people
say	VVP	say
that	IN/that	that
they're	NN	they're
stuck	VVN	stick
between	IN	between
death	NN	death
starvation	NN	starvation
and	CC	and
displacement	NN	displacement
this	DT	this
is	VBZ	be
hind	JJ	hind
Al	NP	Al
</doc>	NN	</doc>
