<video_id>PCvBTMITO1o</video_id>	JJ	<video_id>PCvBTMITO1o</video_id>
to	TO	to
support	VV	support
across	IN	across
the	DT	the
Gaza	NP	Gaza
trip	NN	trip
so	RB	so
make	VV	make
sure	JJ	sure
that	IN/that	that
we	PP	we
can	MD	can
get	VV	get
to	TO	to
where	WRB	where
people	NNS	people
are	VBP	be
most	RBS	most
in	IN	in
need	NN	need
but	CC	but
it's	NNS	it's
incredibly	RB	incredibly
difficult	JJ	difficult
now	RB	now
I	PP	I
mean	VVP	mean
unra	NN	unra
un	NN	un
palestin	NN	palestin
Refugee	NN	refugee
has	VHZ	have
now	RB	now
had	VHN	have
more	JJR	more
than	IN	than
100	CD	@card@
staff	NN	staff
members	NNS	member
killed	VVN	kill
we've	NN	we've
had	VHD	have
UNICEF	NP	UNICEF
staff	NN	staff
members	NNS	member
whose	WP$	whose
family	NN	family
members	NNS	member
have	VHP	have
been	VBN	be
killed	VVN	kill
so	IN	so
it's	NNS	it's
incredibly	RB	incredibly
dangerous	JJ	dangerous
as	IN	as
you	PP	you
know	VVP	know
thank	VV	thank
you	PP	you
for	IN	for
for	IN	for
your	PP$	your
time	NN	time
thank	VV	thank
you	PP	you
for	IN	for
telling	VVG	tell
us	PP	us
about	IN	about
what's	NNS	what's
being	VBG	be
done	VVN	do
there	RB	there
on	IN	on
the	DT	the
ground	JJ	ground
Toby	NP	Toby
frer	NN	frer
spokesman	NN	spokesman
for	IN	for
Unicef	NN	Unicef
joining	VVG	join
us	PP	us
here	RB	here
from	IN	from
Aman	NP	Aman
Jordan	NP	Jordan
</doc>	NN	</doc>
