<video_id>D4UujuDNmZc</video_id>	JJ	<video_id>D4UujuDNmZc</video_id>
these	DT	these
are	VBP	be
not	RB	not
the	DT	the
official	JJ	official
standards	NNS	standard
of	IN	of
the	DT	the
Israeli	JJ	Israeli
military	NN	military
and	CC	and
they	PP	they
do	VVP	do
not	RB	not
Target	NP	Target
civilian	JJ	civilian
objects	NNS	object
but	CC	but
it	PP	it
is	VBZ	be
worth	JJ	worth
mentioning	VVG	mention
that	IN/that	that
the	DT	the
reality	NN	reality
on	IN	on
the	DT	the
ground	NN	ground
has	VHZ	have
shown	VVN	show
a	DT	a
much	JJ	much
different	JJ	different
story	NN	story
as	IN	as
part	NN	part
of	IN	of
this	DT	this
investigation	NN	investigation
it	PP	it
found	VVD	find
that	IN/that	that
at	IN	at
least	JJS	least
23	CD	@card@
members	NNS	member
of	IN	of
the	DT	the
AL	NP	al
AA	NN	aa
media	NNS	medium
network	NN	network
based	VVN	base
in	IN	in
Gaza	NP	Gaza
were	VBD	be
killed	VVN	kill
now	RB	now
the	DT	the
Israeli	JJ	Israeli
military	NN	military
as	IN	as
part	NN	part
of	IN	of
their	PP$	their
statement	NN	statement
gave	VVD	give
the	DT	the
guardian	NN	guardian
a	DT	a
list	NN	list
of	IN	of
six	CD	six
journalists	NNS	journalist
that	WDT	that
had	VHD	have
been	VBN	be
killed	VVN	kill
and	CC	and
said	VVD	say
they	PP	they
were	VBD	be
quote	NN	quote
members	NNS	member
of	IN	of
Hamas	NNS	Hamas
without	IN	without
providing	VVG	provide
any	DT	any
sort	NN	sort
of	IN	of
information	NN	information
or	CC	or
intelligence	NN	intelligence
saying	VVG	say
that	IN/that	that
this	DT	this
was	VBD	be
based	VVN	base
on	IN	on
their	PP$	their
findings	NNS	finding
but	CC	but
not	RB	not
providing	VVG	provide
that	DT	that
proof	NN	proof
this	DT	this
is	VBZ	be
a	DT	a
pattern	NN	pattern
we've	NN	we've
seen	VVN	see
from	IN	from
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
accusing	VVG	accuse
journalists	NNS	journalist
of	IN	of
being	VBG	be
fighters	NNS	fighter
in	IN	in
Palestinian	JJ	Palestinian
organizations	NNS	organization
but	CC	but
without	IN	without
providing	VVG	provide
any	DT	any
sort	NN	sort
of	IN	of
proof	NN	proof
or	CC	or
evidence	NN	evidence
to	TO	to
those	DT	those
claims	NNS	claim
right	NN	right
and	CC	and
Israel's	NP	Israel's
Army	NP	Army
has	VHZ	have
maintained	VVN	maintain
their	PP$	their
position	NN	position
hamda	NN	hamda
from	IN	from
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
war	NN	war
that	IN/that	that
they	PP	they
do	VVP	do
not	RB	not
intentionally	RB	intentionally
Target	NP	Target
journalists	NNS	journalist
but	CC	but
more	JJR	more
than	IN	than
150	CD	@card@
journalists	NNS	journalist
and	CC	and
media	NNS	medium
workers	NNS	worker
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
the	DT	the
conflict	NN	conflict
so	RB	so
far	RB	far
what	WP	what
is	VBZ	be
their	PP$	their
justification	NN	justification
for	IN	for
this	DT	this
152	CD	@card@
journalists	NNS	journalist
and	CC	and
media	NNS	medium
workers	NNS	worker
have	VHP	have
been	VBN	be
killed	VVN	kill
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
this	DT	this
conflict	NN	conflict
it	PP	it
is	VBZ	be
the	DT	the
deadliest	JJS	deadly
conflict	NN	conflict
to	TO	to
four	CD	four
journalists	NNS	journalist
in	IN	in
in	IN	in
history	NN	history
and	CC	and
the	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VHZ	have
never	RB	never
once	RB	once
given	VVN	give
an	DT	an
admission	NN	admission
of	IN	of
an	DT	an
unlawful	JJ	unlawful
killing	NN	killing
of	IN	of
a	DT	a
Palestinian	JJ	Palestinian
civilian	JJ	civilian
or	CC	or
even	RB	even
a	DT	a
journalist	NN	journalist
they	PP	they
maintain	VVP	maintain
that	IN/that	that
they	PP	they
go	VVP	go
after	IN	after
Hamas	JJ	Hamas
targets	NNS	target
Hamas	JJ	Hamas
sites	NNS	site
but	CC	but
when	WRB	when
they	PP	they
are	VBP	be
on	IN	on
the	DT	the
ground	NN	ground
targeting	VVG	target
these	DT	these
densely	RB	densely
populated	VVN	populate
areas	NNS	area
journalists	NNS	journalist
included	VVD	include
now	RB	now
some	DT	some
legal	JJ	legal
experts	NNS	expert
say	VVP	say
that	IN/that	that
perhaps	RB	perhaps
this	DT	this
is	VBZ	be
part	NN	part
of	IN	of
Israel's	NP	Israel's
strategy	NN	strategy
to	TO	to
remove	VV	remove
the	DT	the
Palestinian	JJ	Palestinian
journalists	NNS	journalist
who	WP	who
are	VBP	be
there	RB	there
to	TO	to
not	RB	not
bring	VV	bring
us	PP	us
the	DT	the
stories	NNS	story
on	IN	on
the	DT	the
ground	NN	ground
that	IN/that	that
we	PP	we
see	VVP	see
every	DT	every
day	NN	day
as	IN	as
we	PP	we
know	VVP	know
foreign	JJ	foreign
journalists	NNS	journalist
are	VBP	be
not	RB	not
allowed	VVN	allow
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
unless	IN	unless
it	PP	it
is	VBZ	be
through	IN	through
Israeli	JJ	Israeli
Army	NP	Army
imeds	NNS	imeds
where	WRB	where
they	PP	they
control	VVP	control
what	WP	what
the	DT	the
media	NN	media
sees	VVZ	see
they're	NN	they're
not	RB	not
allowed	VVD	allow
to	TO	to
go	VV	go
on	IN	on
their	PP$	their
own	JJ	own
into	IN	into
Gaza	NP	Gaza
so	CC	so
this	DT	this
is	VBZ	be
something	NN	something
that	WDT	that
is	VBZ	be
still	RB	still
of	IN	of
the	DT	the
conversation	NN	conversation
but	CC	but
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
maintains	VVZ	maintain
that	IN/that	that
they	PP	they
are	VBP	be
not	RB	not
targeting	VVG	target
journalists	NNS	journalist
but	CC	but
again	RB	again
this	DT	this
is	VBZ	be
the	DT	the
deadliest	JJS	deadly
Conflict	NN	conflict
for	IN	for
journalists	NNS	journalist
indeed	RB	indeed
H	NN	H
thank	VVP	thank
you	PP	you
very	RB	very
much	JJ	much
that's	NNS	that's
hamda	NN	hamda
salut	NN	salut
live	VVP	live
there	RB	there
in	IN	in
a	DT	a
man	NN	man
Jordan	NP	Jordan
because	IN	because
again	RB	again
the	DT	the
Israeli	JJ	Israeli
government	NN	government
has	VHZ	have
banned	VVN	ban
Al	NP	Al
jaaz	NP	jaaz
from	IN	from
operating	VVG	operate
in	IN	in
Israel	NP	Israel
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NN	jazer
</doc>	NN	</doc>
