<video_id>WwQXAmW4tUk</video_id>	NP	<video_id>WwQXAmW4tUk</video_id>
rise	VV	rise
to	TO	to
the	DT	the
occasion	VV	occasion
uh	UH	uh
uh	UH	uh
if	IN	if
you	PP	you
will	MD	will
of	IN	of
course	NN	course
everybody	NN	everybody
has	VHZ	have
to	TO	to
wait	VV	wait
for	IN	for
the	DT	the
mechanisms	NNS	mechanism
within	IN	within
Hamas	NP	Hamas
to	TO	to
kick	VV	kick
uh	UH	uh
uh	UH	uh
to	TO	to
come	VV	come
into	IN	into
play	NN	play
to	TO	to
replace	VV	replace
uh	UH	uh
through	IN	through
their	PP$	their
own	JJ	own
mechanisms	NNS	mechanism
is	VBZ	be
hania	NN	hania
the	DT	the
head	NN	head
of	IN	of
the	DT	the
political	JJ	political
the	DT	the
polit	NN	polit
bureau	NN	bureau
the	DT	the
political	JJ	political
wing	NN	wing
of	IN	of
the	DT	the
movement	NN	movement
uh	UH	uh
but	CC	but
certainly	RB	certainly
an	DT	an
opportunity	NN	opportunity
for	IN	for
a	DT	a
different	JJ	different
path	NN	path
forward	RB	forward
no	RB	no
let	VV	let
me	PP	me
get	VV	get
a	DT	a
final	JJ	final
thought	NN	thought
from	IN	from
you	PP	you
um	JJ	um
because	IN	because
I	PP	I
think	VVP	think
this	DT	this
kind	NN	kind
of	IN	of
encompasses	VVZ	encompass
all	DT	all
of	IN	of
what	WDT	what
we've	NN	we've
been	VBN	be
talking	VVG	talk
about	IN	about
all	DT	all
morning	NN	morning
I	PP	I
mean	VVP	mean
despite	IN	despite
the	DT	the
political	JJ	political
differences	NNS	difference
does	VVZ	do
this	DT	this
do	VVP	do
you	PP	you
think	VV	think
Harden	NP	Harden
the	DT	the
resolve	NN	resolve
of	IN	of
Palestinians	NPS	Palestinians
across	IN	across
the	DT	the
occupied	JJ	occupied
territories	NNS	territory
Gaza	NP	Gaza
and	CC	and
the	DT	the
West	NP	West
Bank	NP	Bank
yes	NN	yes
you	PP	you
know	VVP	know
one	PP	one
of	IN	of
the	DT	the
ironies	NNS	irony
of	IN	of
the	DT	the
Palestinian	NN	Palestinian
of	IN	of
Palestinian	JJ	Palestinian
politics	NNS	politics
is	VBZ	be
that	IN/that	that
politicians	NNS	politician
are	VBP	be
fractured	VVN	fracture
public	JJ	public
opinion	NN	opinion
and	CC	and
the	DT	the
public	JJ	public
wider	JJR	wide
public	JJ	public
isn't	NN	isn't
there	EX	there
is	VBZ	be
consensus	NN	consensus
among	IN	among
Palestinians	NPS	Palestinians
that	IN/that	that
the	DT	the
Only	JJ	only
Way	NP	Way
Forward	NP	Forward
is	VBZ	be
Unity	NP	Unity
that	IN/that	that
the	DT	the
only	JJ	only
way	NN	way
forward	RB	forward
is	VBZ	be
to	TO	to
defend	VV	defend
against	IN	against
what	WP	what
Palestinians	NNS	Palestinian
view	VVP	view
as	IN	as
an	DT	an
existential	JJ	existential
Threat	NP	Threat
by	IN	by
Israel	NP	Israel
by	IN	by
way	NN	way
of	IN	of
either	DT	either
genocide	NN	genocide
direct	JJ	direct
genocide	NN	genocide
in	IN	in
Gaza	NP	Gaza
or	CC	or
ethnic	JJ	ethnic
cleansing	NN	cleansing
and	CC	and
land	NN	land
grab	NN	grab
here	RB	here
in	IN	in
the	DT	the
occupied	JJ	occupied
West	JJ	West
backck	NN	backck
and	CC	and
c	NN	c
and	CC	and
certainly	RB	certainly
the	DT	the
barring	VVG	bar
of	IN	of
the	DT	the
right	NN	right
of	IN	of
return	NN	return
for	IN	for
Palestinians	NNS	Palestinian
in	IN	in
Exile	NN	exile
so	IN	so
um	JJ	um
that's	NNS	that's
why	WRB	why
I	PP	I
was	VBD	be
talking	VVG	talk
about	IN	about
an	DT	an
opportunity	NN	opportunity
for	IN	for
politicians	NNS	politician
to	TO	to
kind	NN	kind
of	IN	of
redeem	VV	redeem
themselves	PP	themselves
and	CC	and
join	VV	join
the	DT	the
and	CC	and
file	VV	file
of	IN	of
Palestinian	JJ	Palestinian
public	JJ	public
opinion	NN	opinion
that	WDT	that
wants	VVZ	want
to	TO	to
see	VV	see
a	DT	a
unified	JJ	unified
political	JJ	political
system	NN	system
you	PP	you
know	VVP	know
in	IN	in
confrontation	NN	confrontation
uh	UH	uh
or	CC	or
in	IN	in
defense	NN	defense
uh	UH	uh
uh	UH	uh
for	IN	for
of	IN	of
Palestinian	JJ	Palestinian
existence	NN	existence
and	CC	and
and	CC	and
in	IN	in
defiance	NN	defiance
of	IN	of
the	DT	the
Israeli	JJ	Israeli
agenda	NN	agenda
that	WDT	that
seems	VVZ	seem
to	TO	to
only	RB	only
want	VV	want
absolute	JJ	absolute
surrender	NN	surrender
from	IN	from
Palestinians	NPS	Palestinians
rather	RB	rather
than	IN	than
dialogue	NN	dialogue
or	CC	or
a	DT	a
political	JJ	political
solution	NN	solution
at	IN	at
this	DT	this
point	NN	point
all	DT	all
right	NN	right
nor	CC	nor
de	NP	de
live	VVP	live
for	IN	for
us	PP	us
there	EX	there
uh	UH	uh
in	IN	in
rala	NN	rala
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
no	RB	no
for	IN	for
now	RB	now
thank	VV	thank
you	PP	you
will	MD	will
make	VV	make
sure	RB	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jaer	NP	jaer
</doc>	NN	</doc>
