<video_id>LCEhO9PCyhQ</video_id>	JJ	<video_id>LCEhO9PCyhQ</video_id>
military	JJ	military
operations	NNS	operation
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
the	DT	the
territory	NN	territory
but	CC	but
the	DT	the
Grim	NP	Grim
reality	NN	reality
is	VBZ	be
not	RB	not
not	RB	not
only	RB	only
a	DT	a
shti	NN	shti
refugee	NN	refugee
camp	NN	camp
that	WDT	that
was	VBD	be
targeted	VVN	target
in	IN	in
the	DT	the
course	NN	course
of	IN	of
the	DT	the
past	JJ	past
24	CD	@card@
hours	NNS	hour
but	CC	but
earlier	RBR	earlier
this	DT	this
morning	NN	morning
at	IN	at
least	JJS	least
three	CD	three
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
targeted	VVN	target
directly	RB	directly
by	IN	by
a	DT	a
drone	NN	drone
attack	NN	attack
attack	NN	attack
in	IN	in
alw	JJ	alw
Street	NP	Street
Central	NP	Central
Gaza	NP	Gaza
City	NP	City
they	PP	they
have	VHP	have
been	VBN	be
immediately	RB	immediately
killed	VVN	kill
and	CC	and
being	VBG	be
transferred	VVN	transfer
later	RBR	later
for	IN	for
the	DT	the
Baptist	JJ	Baptist
Hospital	NN	hospital
to	TO	to
be	VB	be
prepared	VVN	prepare
for	IN	for
burial	NN	burial
while	IN	while
in	IN	in
the	DT	the
central	JJ	central
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
we	PP	we
can	MD	can
see	VV	see
that	IN/that	that
Al	NP	Al
magazi	NP	magazi
was	VBD	be
targeted	VVN	target
intensively	RB	intensively
by	IN	by
the	DT	the
Israeli	JJ	Israeli
fighter	NN	fighter
jets	NNS	jet
as	IN	as
a	DT	a
residential	JJ	residential
building	NN	building
was	VBD	be
completely	RB	completely
destroyed	VVN	destroy
five	CD	five
Palestinians	NNS	Palestinian
so	IN	so
far	RB	far
being	VBG	be
killed	VVN	kill
as	IN	as
the	DT	the
uh	UH	uh
Palestinian	JJ	Palestinian
uh	UH	uh
Rescuers	NNS	rescuer
managed	VVN	manage
to	TO	to
recover	VV	recover
a	DT	a
number	NN	number
of	IN	of
children	NNS	child
from	IN	from
under	IN	under
the	DT	the
remnant	NN	remnant
of	IN	of
that	DT	that
destroyed	VVN	destroy
house	NN	house
while	IN	while
in	IN	in
the	DT	the
Sou	NN	sou
part	NN	part
of	IN	of
Gaza	NP	Gaza
Israel	NP	Israel
is	VBZ	be
targeting	VVG	target
also	RB	also
citizens	NNS	citizen
in	IN	in
kanun	NN	kanun
city	NN	city
or	CC	or
at	IN	at
least	JJS	least
Ting	NP	Ting
so	IN	so
far	RB	far
being	VBG	be
killed	VVN	kill
but	CC	but
what	WP	what
we	PP	we
have	VHP	have
been	VBN	be
really	RB	really
discovering	VVG	discover
and	CC	and
observing	VVG	observe
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
chasing	VVG	chase
Palestinians	NNS	Palestinian
in	IN	in
areas	NNS	area
that	IN/that	that
they	PP	they
were	VBD	be
designated	VVN	designate
to	TO	to
be	VB	be
safe	JJ	safe
areas	NNS	area
and	CC	and
even	RB	even
in	IN	in
the	DT	the
north	NN	north
of	IN	of
this	DT	this
strip	NN	strip
we	PP	we
can	MD	can
continue	VV	continue
to	TO	to
hear	VV	hear
from	IN	from
locals	NNS	local
that	IN/that	that
they	PP	they
were	VBD	be
escaping	VVG	escape
to	TO	to
the	DT	the
west	NN	west
of	IN	of
Gaza	NP	Gaza
as	IN	as
they	PP	they
have	VHP	have
been	VBN	be
told	VVN	tell
by	IN	by
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
and	CC	and
now	RB	now
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
these	DT	these
attacks	NNS	attack
are	VBP	be
in	IN	in
the	DT	the
Western	JJ	Western
portion	NN	portion
of	IN	of
the	DT	the
city	NN	city
there	RB	there
it	PP	it
means	VVZ	mean
that	IN/that	that
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
is	VBZ	be
trying	VVG	try
to	TO	to
destroy	VV	destroy
all	DT	all
means	NN	means
of	IN	of
Life	NP	Life
there	RB	there
ammed	VVD	ammed
that	IN/that	that
recently	RB	recently
in	IN	in
ASAT	NP	ASAT
refugee	NN	refugee
camp	NN	camp
in	IN	in
particular	JJ	particular
a	DT	a
number	NN	number
of	IN	of
Palestinian	JJ	Palestinian
Volunteers	NNS	volunteer
started	VVD	start
to	TO	to
uh	UH	uh
fix	NN	fix
and	CC	and
reer	NN	reer
water	NN	water
pipes	NNS	pipe
that	WDT	that
were	VBD	be
broken	VVN	break
into	IN	into
the	DT	the
Israeli	JJ	Israeli
due	JJ	due
to	TO	to
the	DT	the
Israeli	JJ	Israeli
bombardment	NN	bombardment
alongside	IN	alongside
they	PP	they
started	VVD	start
to	TO	to
partially	RB	partially
remove	VV	remove
rles	NNS	rles
from	IN	from
the	DT	the
destroyed	VVN	destroy
roads	NNS	road
in	IN	in
order	NN	order
to	TO	to
facilitate	VV	facilitate
Mobility	NN	mobility
for	IN	for
civilians	NNS	civilian
so	RB	so
generally	RB	generally
what	WP	what
Israel	NP	Israel
is	VBZ	be
doing	VVG	do
is	VBZ	be
destroying	VVG	destroy
and	CC	and
attacking	VVG	attack
Palestinians	NNS	Palestinian
who	WP	who
are	VBP	be
trying	VVG	try
to	TO	to
uh	UH	uh
recall	VV	recall
scenes	NNS	scene
of	IN	of
normality	NN	normality
PR	NP	PR
October	NP	October
the	DT	the
7th	JJ	7th
as	RB	as
till	IN	till
now	RB	now
at	IN	at
least	JJS	least
30	CD	@card@
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
killed	VVN	kill
so	RB	so
far	RB	far
due	JJ	due
to	TO	to
the	DT	the
Israel	NP	Israel
unrelenting	JJ	unrelenting
circle	NN	circle
of	IN	of
attacks	NNS	attack
on	IN	on
the	DT	the
cross	NN	cross
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
okay	RB	okay
thank	VVP	thank
you	PP	you
for	IN	for
that	DT	that
TK	NP	TK
Abu	NP	Abu
AUM	NP	AUM
there	RB	there
for	IN	for
us	PP	us
in	IN	in
Dar	NP	Dar
Al	NP	Al
Bala	NP	Bala
in	IN	in
central	JJ	central
Gaza	NP	Gaza
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NN	jazer
</doc>	NN	</doc>
