<video_id>A0Ej_49hLos</video_id>	JJ	<video_id>A0Ej_49hLos</video_id>
ceasefire	NN	ceasefire
immediate	JJ	immediate
ceasefire	NN	ceasefire
release	NN	release
of	IN	of
captives	NNS	captive
particularly	RB	particularly
women	NNS	woman
elderly	JJ	elderly
and	CC	and
wounded	VVN	wound
in	IN	in
exchange	NN	exchange
for	IN	for
the	DT	the
release	NN	release
of	IN	of
some	DT	some
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
held	VVN	hold
in	IN	in
Israel	NP	Israel
it	PP	it
calls	VVZ	call
for	IN	for
the	DT	the
Palestinians	NPS	Palestinians
to	TO	to
be	VB	be
allowed	VVN	allow
to	TO	to
return	VV	return
to	TO	to
their	PP$	their
homes	NNS	home
including	VVG	include
in	IN	in
the	DT	the
north	NN	north
and	CC	and
calls	VVZ	call
for	IN	for
a	DT	a
ramp	NN	ramp
up	RB	up
of	IN	of
Aid	NN	aid
including	VVG	include
housing	NN	housing
aid	VV	aid
uh	UH	uh
for	IN	for
Palestinians	NNS	Palestinian
that	IN/that	that
no	RB	no
longer	RBR	longer
have	VH	have
a	DT	a
home	NN	home
to	TO	to
go	VV	go
back	RB	back
to	TO	to
after	IN	after
stage	NN	stage
one	CD	one
uh	UH	uh
this	DT	this
resolution	NN	resolution
draft	NN	draft
resolution	NN	resolution
by	IN	by
the	DT	the
US	NP	US
calls	VVZ	call
for	IN	for
a	DT	a
permanent	JJ	permanent
IND	NP	Ind
hostilities	NNS	hostility
uh	UH	uh
in	IN	in
exchange	NN	exchange
for	IN	for
the	DT	the
release	NN	release
of	IN	of
all	PDT	all
the	DT	the
remaining	VVG	remain
captives	NNS	captive
and	CC	and
the	DT	the
full	JJ	full
withdrawal	NN	withdrawal
of	IN	of
Israeli	JJ	Israeli
forces	NNS	force
and	CC	and
then	RB	then
the	DT	the
third	JJ	third
stage	NN	stage
is	VBZ	be
a	DT	a
multi-year	NN	multi-year
uh	UH	uh
reconstruction	NN	reconstruction
plan	NN	plan
for	IN	for
Gaza	NP	Gaza
now	RB	now
the	DT	the
big	JJ	big
question	NN	question
is	VBZ	be
uh	UH	uh
the	DT	the
first	JJ	first
stage	NN	stage
it	PP	it
lays	VVZ	lay
out	RB	out
6	CD	@card@
weeks	NNS	week
uh	UH	uh
for	IN	for
that	DT	that
first	JJ	first
stage	NN	stage
to	TO	to
be	VB	be
implemented	VVN	implement
if	IN	if
it	PP	it
is	VBZ	be
not	RB	not
implemented	VVN	implement
within	IN	within
6	CD	@card@
weeks	NNS	week
uh	UH	uh
they	PP	they
say	VVP	say
that	IN/that	that
this	DT	this
will	MD	will
continue	VV	continue
on	IN	on
uh	UH	uh
this	DT	this
uh	UH	uh
plan	NN	plan
will	MD	will
continue	VV	continue
on	IN	on
as	RB	as
long	JJ	long
as	IN	as
negotiations	NNS	negotiation
to	TO	to
implement	VV	implement
stage	NN	stage
one	PP	one
continue	VVP	continue
on	IN	on
as	RB	as
well	RB	well
now	RB	now
we	PP	we
caught	VVD	catch
up	RP	up
with	IN	with
the	DT	the
uh	UH	uh
us	PP	us
Deputy	NP	Deputy
ambassadors	NNS	ambassador
he	PP	he
was	VBD	be
here	RB	here
at	IN	at
the	DT	the
UN	NP	UN
about	IN	about
an	DT	an
hour	NN	hour
ago	RB	ago
and	CC	and
this	DT	this
is	VBZ	be
what	WP	what
he	PP	he
had	VHD	have
to	TO	to
say	VV	say
about	IN	about
this	DT	this
draft	NN	draft
resolution	NN	resolution
we	PP	we
expect	VVP	expect
to	TO	to
be	VB	be
voted	VVN	vote
on	IN	on
later	RBR	later
on	IN	on
Monday	NP	Monday
this	DT	this
proposal	NN	proposal
is	VBZ	be
the	DT	the
best	JJS	good
opportunity	NN	opportunity
we	PP	we
have	VHP	have
right	RB	right
now	RB	now
to	TO	to
bring	VV	bring
at	IN	at
least	JJS	least
a	DT	a
temporary	JJ	temporary
Hal	NP	Hal
to	TO	to
this	DT	this
fighting	VVG	fight
uh	UH	uh
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
get	VV	get
um	NNS	um
more	JJR	more
assistance	NN	assistance
in	IN	in
get	VV	get
hostages	NNS	hostage
released	VVN	release
and	CC	and
all	PDT	all
the	DT	the
other	JJ	other
things	NNS	thing
are	VBP	be
included	VVN	include
in	IN	in
the	DT	the
proposal	NN	proposal
so	IN	so
we	PP	we
want	VVP	want
to	TO	to
work	VV	work
hard	RB	hard
to	TO	to
get	VV	get
that	DT	that
done	VVN	do
and	CC	and
this	DT	this
proposal	NN	proposal
Al	NP	Al
gives	VVZ	give
us	PP	us
the	DT	the
best	JJS	good
opportunity	NN	opportunity
to	TO	to
do	VV	do
that	IN/that	that
yes	RB	yes
there'll	RB	there'll
be	VB	be
differences	NNS	difference
of	IN	of
opinion	NN	opinion
on	IN	on
you	PP	you
know	VVP	know
which	WDT	which
side	NN	side
wants	VVZ	want
this	DT	this
and	CC	and
which	WDT	which
side	NN	side
wants	VVZ	want
that	IN/that	that
but	RB	but
overall	JJ	overall
this	DT	this
proposal	NN	proposal
I	PP	I
think	VVP	think
is	VBZ	be
the	DT	the
best	RBS	well
realistic	JJ	realistic
opportunity	NN	opportunity
we	PP	we
want	VVP	want
to	TO	to
put	VV	put
pressure	NN	pressure
on	IN	on
Hamas	NP	Hamas
to	TO	to
accept	VV	accept
this	DT	this
deal	VV	deal
uh	UH	uh
so	RB	so
far	RB	far
it	PP	it
hasn't	VVD	hasn't
uh	UH	uh
accepted	VVD	accept
this	DT	this
deal	NN	deal
so	IN	so
that's	NNS	that's
why	WRB	why
we	PP	we
want	VVP	want
to	TO	to
have	VH	have
this	DT	this
resolution	NN	resolution
because	IN	because
we	PP	we
think	VVP	think
right	RB	right
now	RB	now
we're	JJ	we're
on	IN	on
the	DT	the
you	PP	you
know	VV	know
uh	UH	uh
we're	NN	we're
on	IN	on
the	DT	the
cusp	NN	cusp
of	IN	of
doing	VVG	do
something	NN	something
very	RB	very
very	RB	very
important	JJ	important
and	CC	and
so	RB	so
we	PP	we
want	VVP	want
to	TO	to
see	VV	see
it	PP	it
done	VVN	do
and	CC	and
that's	NNS	that's
why	WRB	why
we're	NN	we're
working	VVG	work
so	RB	so
hard	JJ	hard
to	TO	to
try	VV	try
to	TO	to
get	VV	get
everybody	NN	everybody
on	IN	on
board	NN	board
Israel	NP	Israel
has	VHZ	have
informed	VVN	inform
normally	RB	normally
accepted	VVD	accept
it	PP	it
either	RB	either
even	RB	even
though	IN	though
it's	NNS	it's
supposedly	RB	supposedly
their	PP$	their
Israel's	NNS	Israel's
accepted	VVD	accept
the	DT	the
deal	NN	deal
it's	NN	it's
Hamas	NP	Hamas
Hamas	NP	Hamas
needs	VVZ	need
to	TO	to
accept	VV	accept
this	DT	this
deal	NN	deal
now	RB	now
we	PP	we
don't	VVD	don't
want	VV	want
to	TO	to
speculate	VV	speculate
on	IN	on
what's	NNS	what's
going	VVG	go
to	TO	to
happen	VV	happen
with	IN	with
this	DT	this
vote	NN	vote
later	RBR	later
on	IN	on
Monday	NP	Monday
but	CC	but
it's	NNS	it's
clear	VVP	clear
that	IN/that	that
Russia	NP	Russia
and	CC	and
uh	UH	uh
China	NP	China
have	VHP	have
expressed	VVN	express
some	DT	some
concerns	NNS	concern
about	IN	about
previous	JJ	previous
language	NN	language
and	CC	and
previous	JJ	previous
drafts	VVZ	draft
uh	UH	uh
they've	NN	they've
said	VVD	say
in	IN	in
the	DT	the
past	NN	past
that	IN/that	that
it	PP	it
should	MD	should
be	VB	be
an	DT	an
unconditional	JJ	unconditional
ceasefire	NN	ceasefire
full	RB	full
stop	VV	stop
uh	UH	uh
not	RB	not
tied	VVN	tie
to	TO	to
anything	NN	anything
else	JJ	else
uh	UH	uh
and	CC	and
that's	NNS	that's
spend	VVP	spend
the	DT	the
uh	UH	uh
opinion	NN	opinion
and	CC	and
the	DT	the
view	NN	view
of	IN	of
Russia	NP	Russia
and	CC	and
China	NP	China
and	CC	and
some	DT	some
other	JJ	other
Security	NP	Security
Council	NP	Council
Members	NP	Members
as	RB	as
well	RB	well
quite	RB	quite
frankly	RB	frankly
uh	UH	uh
we	PP	we
did	VVD	do
catch	VV	catch
up	RP	up
with	IN	with
the	DT	the
Russian	NP	Russian
Deputy	NP	Deputy
Ambassador	NP	Ambassador
she	PP	she
was	VBD	be
walking	VVG	walk
into	IN	into
a	DT	a
meeting	NN	meeting
here	RB	here
at	IN	at
the	DT	the
UN	NP	UN
earlier	RBR	earlier
this	DT	this
morning	NN	morning
as	IN	as
well	RB	well
we	PP	we
asked	VVD	ask
her	PP	her
as	IN	as
her	PP$	her
country	NN	country
reached	VVD	reach
a	DT	a
decision	NN	decision
on	IN	on
this	DT	this
draft	NN	draft
resolution	NN	resolution
she	PP	she
said	VVD	say
basically	RB	basically
no	RB	no
comment	VV	comment
you	PP	you
can	MD	can
imagine	VV	imagine
that	IN/that	that
there's	NPS	there's
probably	RB	probably
uh	UH	uh
talks	NNS	talk
going	VVG	go
back	RB	back
and	CC	and
forth	RB	forth
between	IN	between
Moscow	NP	Moscow
and	CC	and
New	NP	New
York	NP	York
between	IN	between
uh	UH	uh
the	DT	the
Russian	NP	Russian
Mission	NP	Mission
as	IN	as
we	PP	we
speak	VVP	speak
so	RB	so
we	PP	we
do	VVP	do
not	RB	not
know	VV	know
how	WRB	how
this	DT	this
vote	NN	vote
will	MD	will
go	VV	go
but	CC	but
clearly	RB	clearly
uh	UH	uh
this	DT	this
will	MD	will
be	VB	be
a	DT	a
very	RB	very
important	JJ	important
vote	NN	vote
that	IN/that	that
we	PP	we
expect	VVP	expect
here	RB	here
at	IN	at
un	JJ	un
headquarters	NNS	headquarters
later	RBR	later
on	IN	on
Monday	NP	Monday
and	CC	and
certainly	RB	certainly
is	VBZ	be
we	PP	we
will	MD	will
be	VB	be
keeping	VVG	keep
a	DT	a
very	RB	very
close	JJ	close
eye	NN	eye
on	IN	on
how	WRB	how
that	DT	that
plays	NNS	play
out	IN	out
that	WDT	that
is	VBZ	be
Gabrielle	NP	Gabrielle
alzando	NP	alzando
for	IN	for
us	PP	us
there	RB	there
in	IN	in
the	DT	the
UN	NP	UN
thanks	NNS	thanks
so	RB	so
much	RB	much
well	RB	well
more	JJR	more
on	IN	on
this	DT	this
we're	NN	we're
going	VVG	go
now	RB	now
to	TO	to
Thomas	NP	Thomas
Pickering	NP	Pickering
who	WP	who
is	VBZ	be
a	DT	a
former	JJ	former
US	NP	US
ambassador	NN	ambassador
to	TO	to
the	DT	the
UN	NP	UN
Jordan	NP	Jordan
and	CC	and
Israel	NP	Israel
he	PP	he
joins	VVZ	join
us	PP	us
from	IN	from
Washington	NP	Washington
DC	NP	DC
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
being	VBG	be
with	IN	with
us	PP	us
sir	NN	sir
uh	UH	uh
first	RB	first
of	IN	of
all	DT	all
you	PP	you
seem	VVP	seem
like	IN	like
the	DT	the
perfect	JJ	perfect
person	NN	person
to	TO	to
talk	VV	talk
to	TO	to
right	RB	right
now	RB	now
as	IN	as
we	PP	we
wait	VVP	wait
for	IN	for
this	DT	this
uh	UH	uh
draft	NN	draft
resolution	NN	resolution
to	TO	to
be	VB	be
put	VVN	put
forward	RB	forward
by	IN	by
the	DT	the
United	NP	United
States	NPS	States
will	MD	will
this	RB	this
go	VV	go
the	DT	the
same	JJ	same
way	NN	way
as	IN	as
we've	NN	we've
seen	VVN	see
the	DT	the
others	NNS	other
go	VV	go
and	CC	and
be	VB	be
VTO	NP	VTO
how	WRB	how
do	VVP	do
you	PP	you
think	VVP	think
it's	NNS	it's
going	VVG	go
to	TO	to
play	VV	play
out	RP	out
it's	NNS	it's
a	DT	a
great	JJ	great
question	NN	question
and	CC	and
thank	VV	thank
you	PP	you
for	IN	for
having	VHG	have
me	PP	me
on	IN	on
and	CC	and
at	IN	at
the	DT	the
moment	NN	moment
there	EX	there
is	VBZ	be
enough	RB	enough
uncertainty	NN	uncertainty
about	IN	about
how	WRB	how
this	DT	this
would	MD	would
come	VV	come
out	RP	out
to	TO	to
say	VV	say
that	DT	that
we're	NN	we're
in	IN	in
a	DT	a
classic	JJ	classic
situation	NN	situation
the	DT	the
security	NN	security
Council	NN	council
where	WRB	where
in	IN	in
fact	NN	fact
we	PP	we
have	VHP	have
increasing	JJ	increasing
confidence	NN	confidence
that	IN/that	that
we	PP	we
can	MD	can
bring	VV	bring
along	IN	along
the	DT	the
vetos	NNS	veto
uh	UH	uh
that	WDT	that
are	VBP	be
at	IN	at
this	DT	this
point	NN	point
Potential	JJ	potential
from	IN	from
either	DT	either
Russia	NP	Russia
or	CC	or
China	NP	China
or	CC	or
both	DT	both
or	CC	or
the	DT	the
alternative	NN	alternative
is	VBZ	be
that	IN/that	that
they	PP	they
will	MD	will
have	VH	have
to	TO	to
bear	VV	bear
the	DT	the
responsibility	NN	responsibility
for	IN	for
interrupting	VVG	interrupt
a	DT	a
process	NN	process
that	IN/that	that
at	IN	at
the	DT	the
moment	NN	moment
seems	VVZ	seem
to	TO	to
offer	VV	offer
one	CD	one
of	IN	of
the	DT	the
few	JJ	few
hopes	NNS	hope
for	IN	for
an	DT	an
end	NN	end
to	TO	to
Carnage	NN	carnage
in	IN	in
the	DT	the
region	NN	region
the	DT	the
rebuilding	NN	rebuilding
of	IN	of
stability	NN	stability
the	DT	the
protection	NN	protection
of	IN	of
human	JJ	human
life	NN	life
the	DT	the
return	NN	return
of	IN	of
host	NN	host
and	CC	and
the	DT	the
release	NN	release
of	IN	of
any	DT	any
the	DT	the
stakes	NNS	stake
are	VBP	be
large	JJ	large
uh	UH	uh
in	IN	in
effect	NN	effect
using	VVG	use
the	DT	the
security	NN	security
Council	NN	council
as	IN	as
a	DT	a
leverage	NN	leverage
point	NN	point
is	VBZ	be
a	DT	a
risky	JJ	risky
proposition	NN	proposition
but	CC	but
not	RB	not
one	CD	one
that	WDT	that
has	VHZ	have
been	VBN	be
abandoned	VVN	abandon
by	IN	by
the	DT	the
US	NP	US
in	IN	in
the	DT	the
past	NN	past
with	IN	with
mixed	JJ	mixed
success	NN	success
so	IN	so
I	PP	I
say	VVP	say
keep	VV	keep
your	PP$	your
eye	NN	eye
on	IN	on
this	DT	this
space	NN	space
anybody	NN	anybody
who	WP	who
tells	VVZ	tell
you	PP	you
they	PP	they
know	VVP	know
how	WRB	how
it's	NNS	it's
going	VVG	go
to	TO	to
come	VV	come
out	RP	out
is	VBZ	be
to	TO	to
be	VB	be
listened	VVN	listen
to	TO	to
but	CC	but
skeptical	JJ	skeptical
about	RB	about
indeed	RB	indeed
as	RB	as
well	RB	well
as	IN	as
being	VBG	be
an	DT	an
ambassador	NN	ambassador
to	TO	to
the	DT	the
UN	NP	UN
Jordan	NP	Jordan
and	CC	and
Israel	NP	Israel
also	RB	also
understand	VVP	understand
you	PP	you
the	DT	the
former	JJ	former
ambassador	NN	ambassador
to	TO	to
Russia	NP	Russia
they	PP	they
obviously	RB	obviously
will	MD	will
play	VV	play
a	DT	a
very	RB	very
crucial	JJ	crucial
role	NN	role
here	RB	here
what	WP	what
do	VVP	do
you	PP	you
make	VV	make
of	IN	of
how	WRB	how
or	CC	or
how	WRB	how
do	VVP	do
you	PP	you
believe	VVP	believe
that	IN/that	that
they	PP	they
might	MD	might
vote	VV	vote
here	RB	here
I	PP	I
think	VVP	think
it's	NNS	it's
very	RB	very
difficult	JJ	difficult
to	TO	to
tell	VV	tell
they're	NN	they're
guarding	VVG	guard
their	PP$	their
public	JJ	public
record	NN	record
on	IN	on
how	WRB	how
they're	NN	they're
going	VVG	go
to	TO	to
vote	VV	vote
on	IN	on
this	DT	this
uh	UH	uh
in	IN	in
the	DT	the
past	NN	past
at	IN	at
Good	NP	Good
Times	NP	Times
in	IN	in
the	DT	the
security	NN	security
Council	NP	Council
uh	UH	uh
we	PP	we
wouldn't	VVD	wouldn't
have	VH	have
taken	VVN	take
a	DT	a
resolution	NN	resolution
to	TO	to
a	DT	a
vote	NN	vote
without	IN	without
assurance	NN	assurance
that	IN/that	that
we	PP	we
would	MD	would
not	RB	not
face	VV	face
a	DT	a
veto	NN	veto
in	IN	in
bad	JJ	bad
time	NN	time
which	WDT	which
is	VBZ	be
certainly	RB	certainly
characteristic	JJ	characteristic
of	IN	of
what	WP	what
we	PP	we
have	VHP	have
to	TO	to
do	VV	do
now	RB	now
between	IN	between
the	DT	the
US	NP	US
and	CC	and
Russia	NP	Russia
for	IN	for
a	DT	a
whole	JJ	whole
host	NN	host
of	IN	of
reasons	NNS	reason
it	PP	it
is	VBZ	be
hard	JJ	hard
to	TO	to
know	VV	know
and	CC	and
I've	NP	I've
sketched	VVD	sketch
out	RP	out
for	IN	for
you	PP	you
how	WRB	how
and	CC	and
in	IN	in
what	WP	what
way	NN	way
the	DT	the
council	NN	council
might	MD	might
be	VB	be
used	VVN	use
as	IN	as
a	DT	a
leveraging	VVG	leverage
question	NN	question
in	IN	in
order	NN	order
to	TO	to
in	RB	in
effect	VV	effect
uh	UH	uh
separate	VV	separate
Russia	NP	Russia
further	JJR	further
from	IN	from
the	DT	the
International	NP	International
Community	NP	Community
uh	UH	uh
should	MD	should
they	PP	they
produce	VV	produce
a	DT	a
veto	NN	veto
at	IN	at
this	DT	this
particular	JJ	particular
stage	NN	stage
and	CC	and
cast	VVD	cast
the	DT	the
responsibility	NN	responsibility
uh	UH	uh
for	IN	for
the	DT	the
death	NN	death
and	CC	and
destruction	NN	destruction
and	CC	and
humanitarian	JJ	humanitarian
danger	NN	danger
that	IN/that	that
they	PP	they
might	MD	might
lead	VV	lead
to	TO	to
certainly	RB	certainly
on	IN	on
Moscow	NP	Moscow
I	PP	I
want	VVP	want
to	TO	to
um	NNS	um
just	RB	just
turn	VVP	turn
now	RB	now
to	TO	to
the	DT	the
other	JJ	other
big	JJ	big
diplomatic	JJ	diplomatic
move	NN	move
over	IN	over
the	DT	the
last	JJ	last
few	JJ	few
hours	NNS	hour
uh	UH	uh
with	IN	with
the	DT	the
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
Anthony	NP	Anthony
blinkin	NN	blinkin
who	WP	who
has	VHZ	have
just	RB	just
landed	VVN	land
in	IN	in
Israel	NP	Israel
we	PP	we
heard	VVD	hear
from	IN	from
him	PP	him
as	IN	as
he	PP	he
left	VVD	leave
Cairo	NP	Cairo
he	PP	he
said	VVD	say
Hamas	NP	Hamas
continues	VVZ	continue
to	TO	to
show	VV	show
extraordinary	JJ	extraordinary
cynicism	NN	cynicism
quote	NN	quote
basically	RB	basically
blaming	VVG	blame
them	PP	them
for	IN	for
a	DT	a
lack	NN	lack
of	IN	of
a	DT	a
deal	NN	deal
what	WP	what
did	VVD	do
you	PP	you
make	VVP	make
of	IN	of
uh	UH	uh
of	IN	of
those	DT	those
comments	NNS	comment
in	IN	in
particular	JJ	particular
and	CC	and
how	WRB	how
helpful	JJ	helpful
are	VBP	be
they	PP	they
in	IN	in
actually	RB	actually
trying	VVG	try
to	TO	to
get	VV	get
a	DT	a
deal	NN	deal
across	IN	across
the	DT	the
line	NN	line
I	PP	I
think	VVP	think
there	EX	there
was	VBD	be
some	DT	some
hope	NN	hope
that	IN/that	that
Egypt	NP	Egypt
could	MD	could
play	VV	play
a	DT	a
more	RBR	more
useful	JJ	useful
forceful	JJ	forceful
role	NN	role
in	IN	in
bringing	VVG	bring
Hamas	NNS	Hamas
along	RP	along
along	IN	along
with	IN	with
Qatar	NP	Qatar
where	WRB	where
Hamas	NP	Hamas
resides	VVZ	reside
in	IN	in
one	CD	one
form	NN	form
or	CC	or
another	DT	another
uh	UH	uh
blinken	VV	blinken
uh	UH	uh
the	DT	the
secretary	NN	secretary
has	VHZ	have
made	VVN	make
it	PP	it
L	NN	L
clear	JJ	clear
that	IN/that	that
he	PP	he
did	VVD	do
not	RB	not
reach	VV	reach
a	DT	a
success	NN	success
in	IN	in
bringing	VVG	bring
Hamas	NN	Hamas
along	IN	along
uh	UH	uh
the	DT	the
resolution	NN	resolution
Security	NP	Security
Council	NP	Council
I	PP	I
think	VVP	think
had	VHD	have
as	IN	as
its	PP$	its
initial	JJ	initial
purpose	NN	purpose
if	IN	if
it	PP	it
could	MD	could
be	VB	be
passed	VVN	pass
a	DT	a
further	JJR	further
leveraging	VVG	leverage
Point	NP	Point
further	RBR	further
pressure	NN	pressure
on	IN	on
Hamas	NNS	Hamas
and	CC	and
further	JJR	further
indication	NN	indication
that	IN/that	that
if	IN	if
we	PP	we
can't	VVD	can't
get	VV	get
that	IN/that	that
through	IN	through
persuasion	NN	persuasion
and	CC	and
diplomacy	NN	diplomacy
we	PP	we
can	MD	can
get	VV	get
it	PP	it
through	IN	through
security	NN	security
Council	NP	Council
action	NN	action
and	CC	and
perhaps	RB	perhaps
international	JJ	international
support	NN	support
for	IN	for
the	DT	the
uh	UH	uh
plan	NN	plan
that	IN/that	that
president	NN	president
President	NP	President
Biden	NP	Biden
unruled	VVD	unruled
yeah	RB	yeah
just	RB	just
going	VVG	go
back	NN	back
to	TO	to
uh	UH	uh
the	DT	the
proposed	VVD	propose
vote	VV	vote
uh	UH	uh
at	IN	at
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
later	JJR	late
today	NN	today
I	PP	I
mean	VVP	mean
is	VBZ	be
it	PP	it
relevant	JJ	relevant
at	IN	at
all	DT	all
because	IN	because
we've	NN	we've
seen	VVN	see
uh	UH	uh
so	RB	so
so	RB	so
much	JJ	much
division	NN	division
within	IN	within
uh	UH	uh
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
in	IN	in
recent	JJ	recent
times	NNS	time
especially	RB	especially
compared	VVN	compare
with	IN	with
uh	UH	uh
the	DT	the
general	JJ	general
assembly	NN	assembly
which	WDT	which
has	VHZ	have
so	RB	so
far	RB	far
backed	VVN	back
ceasefire	NN	ceasefire
deals	NNS	deal
pretty	RB	pretty
much	RB	much
from	IN	from
the	DT	the
very	JJ	very
beginning	NN	beginning
of	IN	of
this	DT	this
war	NN	war
is	VBZ	be
it	PP	it
relevant	JJ	relevant
this	DT	this
vote	NN	vote
in	IN	in
the	DT	the
next	JJ	next
four	CD	four
or	CC	or
5	CD	@card@
hours	NNS	hour
the	DT	the
simple	JJ	simple
answer	NN	answer
to	TO	to
that	DT	that
question	NN	question
is	VBZ	be
general	JJ	general
assembly	NN	assembly
resolutions	NNS	resolution
are	VBP	be
kind	JJ	kind
of	IN	of
advisory	JJ	advisory
Security	NP	Security
Council	NP	Council
resolutions	NNS	resolution
put	VVD	put
together	RB	together
in	IN	in
a	DT	a
particular	JJ	particular
framework	NN	framework
uh	UH	uh
of	IN	of
the	DT	the
language	NN	language
are	VBP	be
seen	VVN	see
to	TO	to
be	VB	be
mandatory	JJ	mandatory
and	CC	and
people	NNS	people
who	WP	who
are	VBP	be
members	NNS	member
of	IN	of
the	DT	the
security	NN	security
Council	NN	council
are	VBP	be
obliged	VVN	oblige
to	TO	to
accept	VV	accept
him	PP	him
others	NNS	other
believe	VVP	believe
everybody	NN	everybody
is	VBZ	be
obliged	VVN	oblige
to	TO	to
accept	VV	accept
them	PP	them
uh	UH	uh
I	PP	I
have	VHP	have
in	IN	in
one	CD	one
way	NN	way
or	CC	or
another	DT	another
attempted	VVN	attempt
in	IN	in
your	PP$	your
with	IN	with
your	PP$	your
question	NN	question
s	NNS	s
to	TO	to
deal	VV	deal
with	IN	with
the	DT	the
issue	NN	issue
of	IN	of
if	IN	if
a	DT	a
resolution	NN	resolution
is	VBZ	be
not	RB	not
mandatory	JJ	mandatory
can	MD	can
it	PP	it
still	RB	still
reflect	VVP	reflect
influence	NN	influence
of	IN	of
the	DT	the
International	NP	International
Community	NP	Community
and	CC	and
in	IN	in
the	DT	the
general	JJ	general
assembly	NN	assembly
if	IN	if
there	EX	there
is	VBZ	be
a	DT	a
very	RB	very
large	JJ	large
majority	NN	majority
then	RB	then
countries	NNS	country
move	NN	move
at	IN	at
their	PP$	their
Peril	NN	peril
because	IN	because
maybe	RB	maybe
the	DT	the
next	JJ	next
step	NN	step
will	MD	will
be	VB	be
sanctions	NNS	sanction
and	CC	and
other	JJ	other
kinds	NNS	kind
of	IN	of
steps	NNS	step
taken	VVN	take
uh	UH	uh
further	RBR	further
to	TO	to
