C	SYM	c
to	TO	to
unra	NN	unra
in	IN	in
an	DT	an
effort	NN	effort
to	TO	to
reassure	VV	reassure
donor	NN	donor
Secretary	NP	Secretary
General	NP	General
Antonio	NP	Antonio
gutterz	NP	gutterz
called	VVD	call
a	DT	a
meeting	NN	meeting
with	IN	with
member	NN	member
states	NNS	state
detailing	VVG	detail
actions	NNS	action
the	DT	the
UN	NP	UN
has	VHZ	have
taken	VVN	take
since	IN	since
Israel	NP	Israel
accused	VVD	accuse
12	CD	@card@
UNR	NP	UNR
employees	NNS	employee
of	IN	of
taking	VVG	take
part	NN	part
in	IN	in
the	DT	the
October	NP	October
7th	JJ	7th
attacks	NNS	attack
those	DT	those
named	VVD	name
have	VH	have
been	VBN	be
sacked	VVN	sack
a	DT	a
comprehensive	JJ	comprehensive
investigation	NN	investigation
launched	VVD	launch
the	DT	the
United	NP	United
States	NP	States
un	NN	un
'	POS	'
s	JJ	s
largest	JJS	large
donor	NN	donor
praised	VVD	praise
the	DT	the
organization	NN	organization
'	POS	'
s	NN	S
work	NN	work
even	RB	even
as	IN	as
it	PP	it
called	VVD	call
for	IN	for
changes	NNS	change
we	PP	we
need	VVP	need
to	TO	to
see	VV	see
fundamental	JJ	fundamental
uh	UH	uh
changes	NNS	change
before	IN	before
we	PP	we
can	MD	can
resume	VV	resume
providing	VVG	provide
uh	UH	uh
funding	NN	funding
directly	RB	directly
to	TO	to
UNR	NP	UNR
as	IN	as
you	PP	you
know	VVP	know
um	NNS	um
we	PP	we
shouldn	NP	shouldn
'	POS	'
t	NN	t
let	VVD	let
that	DT	that
cloud	NN	cloud
the	DT	the
great	JJ	great
work	NN	work
that	IN/that	that
Andra	NP	Andra
does	VVZ	do
Andra	NP	Andra
has	VHZ	have
provided	VVN	provide
essential	JJ	essential
humanitarian	JJ	humanitarian
assistance	NN	assistance
to	TO	to
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
and	CC	and
unra	NN	unra
is	VBZ	be
the	DT	the
only	JJ	only
organization	NN	organization
on	IN	on
the	DT	the
ground	NN	ground
that	WDT	that
has	VHZ	have
the	DT	the
capacity	NN	capacity
to	TO	to
continue	VV	continue
to	TO	to
provide	VV	provide
that	DT	that
assistance	NN	assistance
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
time	NN	time
to	TO	to
withhold	VV	withhold
funds	NNS	fund
or	CC	or
suspend	VV	suspend
funds	NNS	fund
we	PP	we
need	VVP	need
to	TO	to
have	VH	have
humanitarian	JJ	humanitarian
assistance	NN	assistance
up	RB	up
to	TO	to
the	DT	the
level	NN	level
of	IN	of
the	DT	the
needs	NNS	need
of	IN	of
the	DT	the
people	NNS	people
of	IN	of
the	DT	the
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
without	IN	without
funding	NN	funding
resuming	VVG	resume
the	DT	the
UN	NP	UN
is	VBZ	be
warning	VVG	warn
unr	NP	unr
'	POS	'
s	JJ	s
life	NN	life
-	NN	-
saving	VVG	save
work	NN	work
could	MD	could
be	VB	be
severely	RB	severely
impacted	VVN	impact
in	IN	in
a	DT	a
matter	NN	matter
of	IN	of
weeks	NNS	week
Kristen	NP	Kristen
salumi	NP	salumi
Al	NP	Al
jazer	NN	jazer
the	DT	the
United	NP	United
Nations	NPS	Nations
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
