<video_id>D33ioQTcwrM</video_id>	JJ	<video_id>D33ioQTcwrM</video_id>
that	IN/that	that
our	PP$	our
struggles	NNS	struggle
were	VBD	be
similar	JJ	similar
and	CC	and
we	PP	we
also	RB	also
came	VVD	come
to	TO	to
conclusions	NNS	conclusion
that	IN/that	that
the	DT	the
people	NNS	people
who	WP	who
oppressed	VVD	oppress
us	PP	us
were	VBD	be
quite	RB	quite
friendly	JJ	friendly
to	TO	to
one	CD	one
another	DT	another
I	NP	I
mean	VV	mean
uh	UH	uh
apart	RB	apart
South	NP	South
Africa	NP	Africa
to	TO	to
a	DT	a
very	RB	very
large	JJ	large
extent	NN	extent
militarily	RB	militarily
and	CC	and
and	CC	and
so	RB	so
on	RB	on
was	VBD	be
maintained	VVN	maintain
by	IN	by
Israel	NP	Israel
so	RB	so
so	RB	so
so	RB	so
so	RB	so
so	IN	so
we	PP	we
had	VHD	have
all	PDT	all
those	DT	those
commonalities	NNS	commonality
and	CC	and
uh	UH	uh
we	PP	we
thought	VVD	think
that	IN/that	that
we	PP	we
can't	VVD	can't
just	RB	just
sit	VV	sit
and	CC	and
do	VV	do
nothing	NN	nothing
and	CC	and
watch	VV	watch
them	PP	them
getting	VVG	get
from	IN	from
bad	JJ	bad
to	TO	to
worse	JJR	bad
and	CC	and
that	WDT	that
let	VVP	let
us	PP	us
do	VVP	do
something	NN	something
something	NN	something
just	RB	just
to	TO	to
stop	VV	stop
their	PP$	their
uh	UH	uh
their	PP$	their
everyday	JJ	everyday
uh	UH	uh
sufferings	NNS	suffering
last	JJ	last
Friday	NP	Friday
the	DT	the
icj	JJ	icj
uh	UH	uh
issued	VVD	issue
a	DT	a
provisional	NN	provisional
ruling	VVG	rule
uh	UH	uh
on	IN	on
your	PP$	your
case	NN	case
South	JJ	South
Africa's	NN	Africa's
case	NN	case
against	IN	against
Israel	NP	Israel
and	CC	and
the	DT	the
court	NN	court
said	VVD	say
that	IN/that	that
it	PP	it
was	VBD	be
quote	NN	quote
plausible	JJ	plausible
that	IN/that	that
Israel	NP	Israel
uh	UH	uh
had	VHD	have
committed	VVN	commit
genocidal	JJ	genocidal
acts	NNS	act
in	IN	in
Palestine	NP	Palestine
the	DT	the
court	NN	court
called	VVN	call
on	IN	on
Israel	NP	Israel
to	TO	to
take	VV	take
quote	VV	quote
all	DT	all
measures	NNS	measure
to	TO	to
prevent	VV	prevent
genocide	NN	genocide
uh	UH	uh
and	CC	and
also	RB	also
uh	UH	uh
to	TO	to
prevent	VV	prevent
and	CC	and
punish	VV	punish
the	DT	the
direct	JJ	direct
and	CC	and
public	JJ	public
incitement	NN	incitement
to	TO	to
commit	VV	commit
genocide	NN	genocide
however	RB	however
despite	IN	despite
those	DT	those
rulings	NNS	ruling
or	CC	or
decisions	NNS	decision
the	DT	the
world	NN	world
Court	NP	Court
stopped	VVD	stop
short	JJ	short
of	IN	of
calling	VVG	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
uh	UH	uh
and	CC	and
that's	NNS	that's
what	WP	what
the	DT	the
South	JJ	South
African	JJ	African
government	NN	government
was	VBD	be
actually	RB	actually
asking	NN	asking
for	IN	for
oh	UH	oh
was	VBD	be
that	DT	that
uh	UH	uh
surprising	JJ	surprising
to	TO	to
you	PP	you
it	PP	it
was	VBD	be
surprising	JJ	surprising
because	IN	because
we	PP	we
had	VHD	have
hoped	VVN	hope
that	IN/that	that
we	PP	we
were	VBD	be
going	VVG	go
to	TO	to
get	VV	get
that	IN/that	that
this	DT	this
is	VBZ	be
fire	NN	fire
because	IN	because
we	PP	we
still	RB	still
believe	VVP	believe
that	IN/that	that
that	DT	that
is	VBZ	be
the	DT	the
best	JJS	good
under	IN	under
this	DT	this
circumstance	NN	circumstance
you	PP	you
know	VV	know
uh	UH	uh
to	TO	to
get	VV	get
a	DT	a
c	NN	c
fire	NN	fire
as	IN	as
a	DT	a
way	NN	way
of	IN	of
stopping	VVG	stop
the	DT	the
the	DT	the
the	DT	the
carage	NN	carage
you	PP	you
know	VVP	know
that	IN/that	that
that's	NNS	that's
this	DT	this
fire	NN	fire
will	MD	will
be	VB	be
very	RB	very
but	CC	but
having	VHG	have
said	VVD	say
that	IN/that	that
if	IN	if
you	PP	you
look	VVP	look
at	IN	at
these	DT	these
provisional	JJ	provisional
measures	NNS	measure
they	PP	they
will	MD	will
actually	RB	actually
be	VB	be
amounting	VVG	amount
to	TO	to
a	DT	a
ceasefire	NN	ceasefire
because	IN	because
it	PP	it
will	MD	will
be	VB	be
very	RB	very
difficult	JJ	difficult
to	TO	to
carry	VV	carry
out	RP	out
these	DT	these
provisional	JJ	provisional
measures	NNS	measure
and	CC	and
be	VB	be
able	JJ	able
to	TO	to
reporting	VVG	report
in	IN	in
a	DT	a
month's	JJ	month's
time	NN	time
without	IN	without
doing	VVG	do
things	NNS	thing
differently	RB	differently
you	PP	you
see	VVP	see
um	NNS	um
so	RB	so
to	TO	to
let	VV	let
me	PP	me
push	VV	push
you	PP	you
on	IN	on
that	IN/that	that
a	DT	a
little	JJ	little
bit	NN	bit
because	RB	because
is	VBZ	be
Israel's	NP	Israel's
position	NN	position
is	VBZ	be
we're	NN	we're
happy	JJ	happy
to	TO	to
take	VV	take
all	DT	all
measures	NNS	measure
to	TO	to
prevent	VV	prevent
civilian	JJ	civilian
deaths	NNS	death
to	TO	to
prevent	VV	prevent
you	PP	you
know	VV	know
violence	NN	violence
or	CC	or
death	NN	death
Etc	NN	etc
because	IN	because
that's	NNS	that's
what	WP	what
we've	VVP	we've
always	RB	always
been	VBN	be
doing	VVG	do
so	IN	so
they're	NN	they're
going	VVG	go
to	TO	to
make	VV	make
the	DT	the
case	NN	case
that	IN/that	that
whatever	WDT	whatever
the	DT	the
court	NN	court
is	VBZ	be
asking	VVG	ask
them	PP	them
to	TO	to
do	VV	do
they're	NN	they're
going	VVG	go
to	TO	to
carry	VV	carry
out	RP	out
because	IN	because
they've	NN	they've
always	RB	always
been	VBN	be
carrying	VVG	carry
it	PP	it
out	RP	out
and	CC	and
that	IN/that	that
the	DT	the
deaths	NNS	death
that	IN/that	that
we're	NN	we're
seeing	VVG	see
uh	UH	uh
the	DT	the
26,000	CD	@card@
deaths	NNS	death
in	IN	in
three	CD	three
months	NNS	month
um	NNS	um
are	VBP	be
not	RB	not
because	IN	because
they	PP	they
want	VVP	want
to	TO	to
kill	VV	kill
people	NNS	people
but	CC	but
because	IN	because
Hamas	NP	Hamas
has	VHZ	have
left	VVN	leave
them	PP	them
no	DT	no
Choice	NN	choice
by	IN	by
hiding	VVG	hide
in	IN	in
hospitals	NNS	hospital
and	CC	and
refugee	NN	refugee
camps	NNS	camp
and	CC	and
all	PDT	all
this	DT	this
stuff	NN	stuff
what	WP	what
do	VVP	do
you	PP	you
say	VVP	say
to	TO	to
that	WDT	that
you	PP	you
see	VVP	see
that	IN/that	that
those	DT	those
provisional	JJ	provisional
measures	NNS	measure
as	IN	as
I'm	NP	I'm
saying	VVG	say
if	IN	if
you	PP	you
if	IN	if
you're	NN	you're
talking	NN	talking
about	IN	about
uh	UH	uh
people	NNS	people
access	NN	access
to	TO	to
to	TO	to
to	TO	to
medical	JJ	medical
and	CC	and
Healthcare	NP	Healthcare
facilities	NNS	facility
all	DT	all
right	NN	right
yeah	RB	yeah
then	RB	then
it	PP	it
it	PP	it
means	VVZ	mean
that	IN/that	that
they	PP	they
must	MD	must
be	VB	be
secured	VVN	secure
they	PP	they
must	MD	must
be	VB	be
able	JJ	able
to	TO	to
go	VV	go
there	RB	there
they	PP	they
must	MD	must
not	RB	not
be	VB	be
afraid	JJ	afraid
that	IN/that	that
they'll	JJ	they'll
be	VB	be
bombed	VVN	bomb
if	IN	if
we	PP	we
are	VBP	be
talking	VVG	talk
about	IN	about
people	NNS	people
having	VHG	have
access	NN	access
to	TO	to
medic	NN	medic
to	TO	to
um	NNS	um
to	TO	to
water	VV	water
electricity	NN	electricity
and	CC	and
all	DT	all
of	IN	of
that	WDT	that
it	PP	it
must	MD	must
be	VB	be
available	JJ	available
if	IN	if
we	PP	we
are	VBP	be
talking	VVG	talk
about	IN	about
U	NP	U
humanitarian	JJ	humanitarian
Aid	NN	aid
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
reach	VV	reach
where	WRB	where
it	PP	it
is	VBZ	be
most	RBS	most
needed	VVN	need
then	RB	then
there	RB	there
must	MD	must
not	RB	not
be	VB	be
any	DT	any
firing	NN	firing
that	WDT	that
is	VBZ	be
going	VVG	go
on	IN	on
it	PP	it
must	MD	must
be	VB	be
able	JJ	able
to	TO	to
go	VV	go
so	IN	so
it	PP	it
will	MD	will
be	VB	be
very	RB	very
difficult	JJ	difficult
for	IN	for
Israel	NP	Israel
to	TO	to
tell	VV	tell
why	WRB	why
they	PP	they
should	MD	should
I	PP	I
mean	VV	mean
why	WRB	why
they	PP	they
should	MD	should
a	DT	a
school	NN	school
why	WRB	why
they	PP	they
they	PP	they
bomb	VVP	bomb
a	DT	a
school	NN	school
and	CC	and
the	DT	the
carpet	NN	carpet
bombings	NNS	bombing
that	IN/that	that
that	WDT	that
we	PP	we
have	VHP	have
been	VBN	be
we	PP	we
have	VHP	have
been	VBN	be
seeing	VVG	see
our	PP$	our
we	PP	we
can't	VVD	can't
see	VV	see
you	PP	you
use	VV	use
carpet	NN	carpet
bombing	NN	bombing
because	IN	because
Hamas	NP	Hamas
is	VBZ	be
hiding	VVG	hide
behind	IN	behind
civilians	NNS	civilian
and	CC	and
all	PDT	all
that	DT	that
doesn't	JJ	doesn't
work	NN	work
that	IN/that	that
way	NN	way
what	WP	what
it	PP	it
says	VVZ	say
is	VBZ	be
that	IN/that	that
you're	NN	you're
indiscriminate	JJ	indiscriminate
in	IN	in
your	PP$	your
in	IN	in
in	IN	in
your	PP$	your
killing	NN	killing
and	CC	and
I	PP	I
don't	VVD	don't
think	VV	think
we	PP	we
are	VBP	be
saying	VVG	say
they	PP	they
should	MD	should
not	RB	not
chase	VV	chase
their	PP$	their
enemies	NNS	enemy
and	CC	and
all	DT	all
of	IN	of
that	DT	that
we're	NN	we're
not	RB	not
saying	VVG	say
that	IN/that	that
but	CC	but
what	WP	what
we	PP	we
are	VBP	be
saying	VVG	say
leave	VV	leave
the	DT	the
civilians	NNS	civilian
out	RP	out
of	IN	of
this	DT	this
and	CC	and
what	WP	what
worries	VVZ	worry
us	PP	us
most	RBS	most
is	VBZ	be
the	DT	the
number	NN	number
of	IN	of
young	JJ	young
people	NNS	people
children	NNS	child
included	VVD	include
that	WDT	that
are	VBP	be
dying	VVG	die
that	IN/that	that
they	PP	they
seem	VVP	seem
to	TO	to
be	VB	be
in	IN	in
the	DT	the
majority	NN	majority
women	NNS	woman
and	CC	and
children	NNS	child
are	VBP	be
the	DT	the
majority	NN	majority
collectively	RB	collectively
and	CC	and
of	IN	of
the	DT	the
20	CD	@card@
more	JJR	more
than	IN	than
26,000	CD	@card@
people	NNS	people
who	WP	who
have	VHP	have
died	VVN	die
10,000	CD	@card@
of	IN	of
them	PP	them
are	VBP	be
are	NN	are
children	NNS	child
it's	JJ	it's
uh	UH	uh
somewhere	RB	somewhere
around	IN	around
1%	CD	@card@
of	IN	of
the	DT	the
overall	JJ	overall
child	NN	child
population	NN	population
of	IN	of
Gaza	NP	Gaza
has	VHZ	have
been	VBN	be
killed	VVN	kill
that	IN/that	that
that's	NNS	that's
a	DT	a
that's	NN	that's
a	DT	a
stunning	JJ	stunning
number	NN	number
that's	NNS	that's
a	DT	a
lot	NN	lot
do	VVP	do
do	VVP	do
you	PP	you
do	VVP	do
you	PP	you
have	VHP	have
confidence	NN	confidence
that	IN/that	that
Israel	NP	Israel
will	MD	will
do	VV	do
anything	NN	anything
different	JJ	different
in	IN	in
the	DT	the
aftermath	NN	aftermath
of	IN	of
the	DT	the
ruling	NN	ruling
and	CC	and
if	IN	if
so	RB	so
what	WP	what
we	PP	we
don't	VVD	don't
know	VV	know
we	PP	we
don't	NN	don't
know	VVP	know
really	RB	really
we	PP	we
don't	VVD	don't
know	VV	know
we	PP	we
don't	NN	don't
know	VVP	know
but	CC	but
I	PP	I
think	VVP	think
that	IN/that	that
will	MD	will
really	RB	really
depend	VV	depend
on	IN	on
the	DT	the
resolve	NN	resolve
of	IN	of
International	NP	International
Community	NP	Community
because	IN	because
I	PP	I
think	VVP	think
the	DT	the
judges	NNS	judge
have	VHP	have
done	VVN	do
their	PP$	their
best	JJS	good
and	CC	and
I	PP	I
think	VVP	think
they've	NN	they've
given	VVN	give
us	PP	us
the	DT	the
best	JJS	good
decisions	NNS	decision
that	IN/that	that
that	WDT	that
they	PP	they
could	MD	could
under	IN	under
the	DT	the
the	DT	the
circumstances	NNS	circumstance
now	RB	now
it's	JJ	it's
up	RB	up
to	TO	to
International	NP	International
Community	NP	Community
because	IN	because
it's	NNS	it's
going	VVG	go
to	TO	to
the	DT	the
UN	NP	UN
now	RB	now
so	RB	so
it's	JJ	it's
up	RB	up
to	TO	to
International	NP	International
Community	NP	Community
to	TO	to
make	VV	make
up	RP	up
its	PP$	its
mind	NN	mind
whether	IN	whether
it	PP	it
wants	VVZ	want
to	TO	to
protect	VV	protect
the	DT	the
Palestinians	NPS	Palestinians
you	PP	you
talk	VVP	talk
about	IN	about
the	DT	the
will	NN	will
of	IN	of
the	DT	the
of	IN	of
the	DT	the
International	NP	International
Community	NP	Community
what	WP	what
can	MD	can
the	DT	the
International	NP	International
Community	NP	Community
do	VVP	do
if	IN	if
Israel	NP	Israel
says	VVZ	say
we're	NN	we're
not	RB	not
going	VVG	go
to	TO	to
change	VV	change
oh	UH	oh
they've	NN	they've
got	VVD	get
a	DT	a
lot	NN	lot
of	IN	of
things	NNS	thing
they	PP	they
can	MD	can
do	VV	do
I	PP	I
mean	VV	mean
as	IN	as
International	NP	International
Community	NP	Community
can	MD	can
do	VV	do
a	DT	a
lot	NN	lot
of	IN	of
things	NNS	thing
like	VVP	like
like	IN	like
for	IN	for
instance	NN	instance
the	DT	the
complete	JJ	complete
isolation	NN	isolation
of	IN	of
Israel	NP	Israel
right	RB	right
complete	VV	complete
100%	CD	@card@
isolation	NN	isolation
of	IN	of
Israel	NP	Israel
forcing	VVG	force
Israel	NP	Israel
uh	UH	uh
to	TO	to
do	VV	do
to	TO	to
behave	VV	behave
in	IN	in
a	DT	a
certain	JJ	certain
mind	NN	mind
now	RB	now
and	CC	and
that	DT	that
will	NN	will
that	WDT	that
will	MD	will
mean	VV	mean
um	JJ	um
things	NNS	thing
like	VV	like
uh	UH	uh
uh	UH	uh
denying	VVG	deny
them	PP	them
uh	UH	uh
Market	NN	market
you	PP	you
know	VVP	know
um	VVG	um
uh	UH	uh
in	IN	in
them	PP	them
to	TO	to
the	DT	the
extreme	NN	extreme
embargoing	VVG	embargo
them	PP	them
so	RB	so
to	TO	to
say	VV	say
and	CC	and
all	DT	all
of	IN	of
that	WDT	that
they	PP	they
that	IN/that	that
those	DT	those
measures	NNS	measure
have	VHP	have
been	VBN	be
used	VVN	use
before	IN	before
they	PP	they
can	MD	can
still	RB	still
be	VB	be
used	VVN	use
so	RB	so
hence	RB	hence
I'm	NN	I'm
saying	VVG	say
it's	NNS	it's
not	RB	not
as	RB	as
if	IN	if
International	NP	International
Community	NP	Community
doesn't	NP	doesn't
have	VHP	have
ways	NNS	way
of	IN	of
dealing	VVG	deal
with	IN	with
International	NP	International
Community	NP	Community
we	PP	we
do	VVP	do
as	IN	as
International	NP	International
Community	NP	Community
have	VHP	have
means	NNS	mean
and	CC	and
leverages	NNS	leverage
and	CC	and
all	DT	all
of	IN	of
that	WDT	that
it	PP	it
is	VBZ	be
up	RB	up
to	TO	to
us	PP	us
to	TO	to
decide	VV	decide
that	IN/that	that
we	PP	we
are	VBP	be
going	VVG	go
to	TO	to
uh	UH	uh
follow	VV	follow
what	WP	what
the	DT	the
judges	NNS	judge
have	VHP	have
said	VVN	say
and	CC	and
the	DT	the
judges	NNS	judge
have	VHP	have
told	VVN	tell
us	PP	us
what	WP	what
we've	VVP	we've
always	RB	always
been	VBN	be
suspecting	VVG	suspect
there	EX	there
are	VBP	be
people	NNS	people
who	WP	who
say	VVP	say
there	EX	there
are	VBP	be
lots	NNS	lot
of	IN	of
places	NNS	place
that	WDT	that
did	VVD	do
something	NN	something
wrong	JJ	wrong
but	CC	but
only	RB	only
the	DT	the
Jewish	JJ	Jewish
state	NN	state
is	VBZ	be
getting	VVG	get
isolated	JJ	isolated
itamar	NN	itamar
Bing	NP	Bing
gav	NP	Gav
Israel's	NP	Israel's
national	JJ	national
security	NN	security
minister	VV	minister
uh	UH	uh
in	IN	in
addition	NN	addition
to	TO	to
just	RB	just
dismissing	VVG	dismiss
the	DT	the
ruling	NN	ruling
in	IN	in
and	CC	and
of	IN	of
itself	PP	itself
he	PP	he
said	VVD	say
heg	NN	heg
schm	NN	schm
on	IN	on
his	PP$	his
uh	UH	uh
ex	FW	ex
account	VV	account
uh	UH	uh
he	PP	he
also	RB	also
said	VVD	say
that	IN/that	that
it	PP	it
was	VBD	be
anti-semitic	JJ	anti-semitic
uh	UH	uh
do	VVP	do
you	PP	you
have	VHP	have
a	DT	a
concern	VV	concern
uh	UH	uh
or	CC	or
how	WRB	how
do	VVP	do
you	PP	you
respond	VV	respond
to	TO	to
the	DT	the
concern	NN	concern
that	IN/that	that
the	DT	the
specific	JJ	specific
choice	NN	choice
to	TO	to
bring	VV	bring
Israel	NP	Israel
to	TO	to
the	DT	the
internet	NN	Internet
court	NN	court
is	VBZ	be
an	DT	an
anti-semitic	JJ	anti-semitic
one	CD	one
you	PP	you
see	VVP	see
that	IN/that	that
that	WDT	that
I	PP	I
find	VVP	find
also	RB	also
very	RB	very
very	RB	very
sad	JJ	sad
you	PP	you
know	VVP	know
that	IN/that	that
you	PP	you
do	VVP	do
horrible	JJ	horrible
things	NNS	thing
and	CC	and
then	RB	then
you	PP	you
hide	VV	hide
behind	IN	behind
such	JJ	such
things	NNS	thing
as	IN	as
anti-em	NN	anti-em
in	IN	in
order	NN	order
to	TO	to
morally	RB	morally
bmail	VV	bmail
people	NNS	people
and	CC	and
to	TO	to
Blackmail	VV	blackmail
us	PP	us
into	IN	into
submission	NN	submission
and	CC	and
keeping	VVG	keep
quiet	NN	quiet
that	WDT	that
has	VHZ	have
been	VBN	be
used	VVN	use
as	RB	as
as	IN	as
a	DT	a
sck	NN	sck
and	CC	and
I	PP	I
I	PP	I
will	MD	will
tell	VV	tell
you	PP	you
how	WRB	how
hollow	NN	hollow
that	WDT	that
is	VBZ	be
that	IN/that	that
to	TO	to
say	VV	say
that	IN/that	that
this	DT	this
is	VBZ	be
anti-i	NP	anti-i
some	DT	some
of	IN	of
the	DT	the
most	RBS	most
prominent	JJ	prominent
um	JJ	um
Palestinian	JJ	Palestinian
supporters	NNS	supporter
in	IN	in
South	NP	South
Africa	NP	Africa
are	VBP	be
Jews	NNS	jew
who	WP	who
are	VBP	be
in	IN	in
the	DT	the
Forefront	NN	forefront
of	IN	of
pushing	VVG	push
that	DT	that
something	NN	something
has	VHZ	have
to	TO	to
be	VB	be
done	VVN	do
there	EX	there
are	VBP	be
South	JJ	South
African	JJ	African
Jews	NNS	jew
who	WP	who
were	VBD	be
involved	VVN	involve
in	IN	in
the	DT	the
anti-ar	JJ	anti-ar
struggle	NN	struggle
and	CC	and
are	VBP	be
still	RB	still
alive	JJ	alive
and	CC	and
they	PP	they
are	VBP	be
pushing	VVG	push
for	IN	for
this	DT	this
because	IN	because
they	PP	they
say	VVP	say
they	PP	they
can't	NN	can't
say	VVP	say
apartate	NN	apartate
was	VBD	be
um	JJ	um
um	NNS	um
was	VBD	be
was	VBD	be
wrong	RB	wrong
but	CC	but
be	VB	be
quiet	JJ	quiet
about	IN	about
the	DT	the
occupation	NN	occupation
of	IN	of
of	IN	of
Palestines	NPS	Palestine
so	RB	so
now	RB	now
are	VBP	be
we	PP	we
then	RB	then
going	VVG	go
to	TO	to
say	VV	say
what	WP	what
these	DT	these
people	NNS	people
the	DT	the
type	NN	type
of	IN	of
people	NNS	people
you're	NN	you're
talking	VVG	talk
about	IN	about
they	PP	they
then	RB	then
call	VVP	call
them	PP	them
they	PP	they
say	VVP	say
they	PP	they
are	VBP	be
self-hating	VVG	self-hating
are	VBP	be
they	PP	they
self-hating	VVG	self-hating
because	IN	because
they've	NN	they've
got	VVD	get
a	DT	a
gut	NN	gut
to	TO	to
stand	VV	stand
up	RP	up
that	IN/that	that
what	WP	what
we	PP	we
are	VBP	be
doing	VVG	do
is	VBZ	be
wrong	JJ	wrong
that's	NNS	that's
why	WRB	why
I'm	NP	I'm
saying	VVG	say
it	PP	it
BEC	NP	BEC
so	RB	so
sad	JJ	sad
that	IN/that	that
for	IN	for
so	RB	so
long	JJ	long
they	PP	they
have	VHP	have
managed	VVN	manage
to	TO	to
do	VV	do
a	DT	a
moral	JJ	moral
blackmail	NN	blackmail
on	IN	on
Nations	NPS	Nations
on	IN	on
people	NNS	people
and	CC	and
saying	VVG	say
that	IN/that	that
once	RB	once
you	PP	you
criticize	VVP	criticize
what	WP	what
they're	NN	they're
doing	VVG	do
in	IN	in
in	IN	in
Palestine	NP	Palestine
their	PP$	their
oppression	NN	oppression
of	IN	of
Palestinians	NPS	Palestinians
and	CC	and
the	DT	the
slaughter	NN	slaughter
of	IN	of
Palestinians	NPS	Palestinians
they	PP	they
call	VVP	call
that	IN/that	that
anti-semitic	JJ	anti-semitic
so	IN	so
I	PP	I
don't	VVD	don't
know	VV	know
what	WP	what
is	VBZ	be
anti-Semitism	NN	anti-Semitism
anymore	RB	anymore
Germany	NP	Germany
uh	UH	uh
had	VHD	have
previously	RB	previously
said	VVN	say
that	IN/that	that
it	PP	it
would	MD	would
intervene	VV	intervene
on	IN	on
behalf	NN	behalf
of	IN	of
Israel	NP	Israel
at	IN	at
the	DT	the
world	NN	world
Court	NN	court
saying	VVG	say
there	EX	there
was	VBD	be
quote	NN	quote
no	DT	no
basis	NN	basis
whatsoever	RB	whatsoever
for	IN	for
the	DT	the
accusation	NN	accusation
of	IN	of
genocide	NN	genocide
they	PP	they
argued	VVD	argue
that	IN/that	that
uh	UH	uh
the	DT	the
interpretation	NN	interpretation
of	IN	of
genocidal	JJ	genocidal
intent	NN	intent
has	VHZ	have
to	TO	to
be	VB	be
more	RBR	more
restrictive	JJ	restrictive
yeah	RB	yeah
um	RB	um
however	RB	however
an	DT	an
announcement	NN	announcement
uh	UH	uh
came	VVD	come
after	IN	after
the	DT	the
icj's	NN	icj's
decision	NN	decision
where	WRB	where
a	DT	a
German	JJ	German
foreign	JJ	foreign
minister	NN	minister
analina	NP	analina
barbach	NP	barbach
said	VVD	say
that	IN/that	that
Israel	NP	Israel
still	RB	still
must	MD	must
adhere	VV	adhere
to	TO	to
the	DT	the
icj	NN	icj
ruling	VVG	rule
uh	UH	uh
based	VVN	base
on	IN	on
what	WP	what
we	PP	we
see	VVP	see
now	RB	now
do	VV	do
you	PP	you
believe	VVP	believe
that	IN/that	that
Germany	NP	Germany
will	MD	will
be	VB	be
intervening	VVG	intervene
on	IN	on
Israel's	NP	Israel's
behalf	NN	behalf
in	IN	in
the	DT	the
next	JJ	next
stage	NN	stage
of	IN	of
this	DT	this
we	PP	we
really	RB	really
don't	VVD	don't
know	VV	know
and	CC	and
of	IN	of
course	NN	course
if	IN	if
that's	NNS	that's
what	WP	what
they	PP	they
want	VVP	want
to	TO	to
do	VV	do
is	VBZ	be
their	PP$	their
right	NN	right
let	VVD	let
let	VV	let
them	PP	them
do	VV	do
it	PP	it
but	CC	but
we	PP	we
still	RB	still
are	VBP	be
insisting	VVG	insist
on	IN	on
what	WP	what
we	PP	we
think	VVP	think
is	VBZ	be
happening	VVG	happen
in	IN	in
Palestine	NP	Palestine
but	CC	but
why	RB	why
why	WRB	why
I	PP	I
think	VVP	think
about	IN	about
Germany	NP	Germany
and	CC	and
I	PP	I
just	RB	just
think	VVP	think
about	IN	about
the	DT	the
why	NN	why
of	IN	of
it	PP	it
you	PP	you
know	VVP	know
you	PP	you
talked	VVD	talk
about	RB	about
moral	JJ	moral
blackmail	NN	blackmail
I	PP	I
mean	VVP	mean
is	VBZ	be
there	EX	there
is	VBZ	be
there	RB	there
a	DT	a
heightened	JJ	heightened
guilt	NN	guilt
from	IN	from
European	JJ	European
nations	NNS	nation
given	VVN	give
their	PP$	their
own	JJ	own
role	NN	role
in	IN	in
the	DT	the
Nazi	JJ	Nazi
Holocaust	NN	holocaust
I	PP	I
don't	VVD	don't
know	VV	know
well	RB	well
if	IN	if
they	PP	they
feel	VVP	feel
guilty	JJ	guilty
they	PP	they
should	MD	should
