isra	NN	isra
a	DT	a
lot	NN	lot
a	DT	a
lot	NN	lot
I	PP	I
can	MD	can
say	VV	say
that	IN/that	that
since	IN	since
the	DT	the
events	NNS	event
happened	VVN	happen
since	IN	since
the	DT	the
first	JJ	first
day	NN	day
they	PP	they
took	VVD	take
marah	NN	marah
to	TO	to
another	DT	another
prison	NN	prison
cell	NN	cell
and	CC	and
it	PP	it
was	VBD	be
ongoing	JJ	ongoing
taking	VVG	take
girls	NNS	girl
to	TO	to
separate	JJ	separate
cells	NNS	cell
and	CC	and
on	IN	on
the	DT	the
same	JJ	same
day	NN	day
the	DT	the
first	JJ	first
day	NN	day
of	IN	of
the	DT	the
event	NN	event
they	PP	they
used	VVD	use
gas	NN	gas
pums	NNS	pums
on	IN	on
the	DT	the
prisoners	NNS	prisoner
they	PP	they
used	VVD	use
it	PP	it
in	IN	in
a	DT	a
room	NN	room
next	JJ	next
to	TO	to
me	PP	me
and	CC	and
I	PP	I
had	VHD	have
like	IN	like
lung	NN	lung
infection	NN	infection
and	CC	and
it	PP	it
took	VVD	take
a	DT	a
whole	NN	whole
a	DT	a
lot	NN	lot
of	IN	of
time	NN	time
like	IN	like
only	RB	only
a	DT	a
week	NN	week
ago	RB	ago
I	PP	I
was	VBD	be
improved	VVN	improve
that	RB	that
'	''	'
s	NN	S
it	PP	it
