<video_id>DrDtwqKdxFc</video_id>	JJ	<video_id>DrDtwqKdxFc</video_id>
to	TO	to
leave	VV	leave
stuff	NN	stuff
in	IN	in
ra	NNS	ra
from	IN	from
that	WDT	that
it	PP	it
was	VBD	be
absolutely	RB	absolutely
terrifying	JJ	terrifying
and	CC	and
the	DT	the
fact	NN	fact
that	IN/that	that
um	NNS	um
we	PP	we
had	VHD	have
to	TO	to
go	VV	go
in	IN	in
two	CD	two
groups	NNS	group
two	CD	two
different	JJ	different
cars	NNS	car
and	CC	and
two	CD	two
different	JJ	different
times	NNS	time
it	PP	it
was	VBD	be
absolutely	RB	absolutely
terrifying	JJ	terrifying
because	IN	because
we	PP	we
left	VVD	leave
people	NNS	people
behind	IN	behind
and	CC	and
we	PP	we
were	VBD	be
terrified	VVN	terrify
for	IN	for
them	PP	them
where	IN	where
where	WRB	where
are	VBP	be
they	PP	they
going	VVG	go
to	TO	to
go	VV	go
how	WRB	how
are	VBP	be
they	PP	they
going	VVG	go
to	TO	to
get	VV	get
out	RP	out
those	DT	those
are	VBP	be
questions	NNS	question
that	WDT	that
came	VVD	come
in	IN	in
my	PP$	my
head	NN	head
we	PP	we
were	VBD	be
stuffed	VVN	stuff
in	IN	in
that	DT	that
car	NN	car
and	CC	and
when	WRB	when
I	PP	I
tell	VVP	tell
you	PP	you
stuffed	VVD	stuff
stuffs	NNS	stuff
on	IN	on
our	PP$	our
laps	NNS	lap
people	NNS	people
on	IN	on
on	IN	on
top	NN	top
of	IN	of
each	DT	each
other	JJ	other
we	PP	we
had	VHD	have
at	IN	at
least	JJS	least
10	CD	@card@
people	NNS	people
in	IN	in
one	CD	one
car	NN	car
with	IN	with
all	DT	all
of	IN	of
our	PP$	our
stuff	NN	stuff
too	RB	too
it	PP	it
was	VBD	be
absolutely	RB	absolutely
terrifying	JJ	terrifying
and	CC	and
I	PP	I
never	RB	never
want	VVP	want
to	TO	to
experience	VV	experience
that	IN/that	that
no	DT	no
child	NN	child
should	MD	should
experience	VV	experience
that	IN/that	that
no	DT	no
child	NN	child
should	MD	should
see	VV	see
that	RB	that
or	CC	or
even	RB	even
view	VVP	view
that	IN/that	that
it	PP	it
is	VBZ	be
absolutely	RB	absolutely
terrifying	VVG	terrify
these	DT	these
children	NNS	child
do	VVP	do
not	RB	not
deserve	VV	deserve
to	TO	to
live	VV	live
like	IN	like
this	DT	this
as	IN	as
a	DT	a
Palestinian	JJ	Palestinian
girl	NN	girl
how	WRB	how
do	VVP	do
you	PP	you
see	VV	see
now	RB	now
your	PP$	your
future	NN	future
in	IN	in
light	NN	light
of	IN	of
the	DT	the
unrelenting	JJ	unrelenting
circle	NN	circle
of	IN	of
Destruction	NN	destruction
and	CC	and
with	IN	with
the	DT	the
ongoing	JJ	ongoing
military	JJ	military
offensive	NN	offensive
only	RB	only
the	DT	the
territory	NN	territory
if	IN	if
this	DT	this
keeps	VVZ	keep
going	VVG	go
on	IN	on
they're	NN	they're
going	VVG	go
to	TO	to
keep	VV	keep
killing	VVG	kill
their	PP$	their
future	NN	future
and	CC	and
you	PP	you
know	VVP	know
what	WP	what
their	PP$	their
future	NN	future
is	VBZ	be
is	VBZ	be
our	PP$	our
children	NNS	child
it's	NNS	it's
us	PP	us
we're	VVP	we're
the	DT	the
W's	NP	W's
future	NN	future
every	DT	every
child	NN	child
is	VBZ	be
the	DT	the
W's	NP	W's
future	NN	future
and	CC	and
you're	JJ	you're
killing	VVG	kill
millions	NNS	million
and	CC	and
yet	RB	yet
thousands	NNS	thousand
of	IN	of
children	NNS	child
you're	NN	you're
killing	VVG	kill
your	PP$	your
future	JJ	future
you're	NN	you're
destroying	VVG	destroy
your	PP$	your
future	JJ	future
you're	NN	you're
destroying	VVG	destroy
your	PP$	your
life	NN	life
these	DT	these
children	NNS	child
don't	NN	don't
deserve	VVP	deserve
this	DT	this
I	PP	I
do	VVP	do
not	RB	not
see	VV	see
a	DT	a
future	NN	future
in	IN	in
Palestine	NP	Palestine
if	IN	if
this	DT	this
keeps	VVZ	keep
going	VVG	go
on	IN	on
and	CC	and
this	DT	this
indeed	RB	indeed
and	CC	and
yes	RB	yes
indeed	RB	indeed
has	VHZ	have
to	TO	to
stop	VV	stop
we	PP	we
have	VHP	have
asked	VVN	ask
so	IN	so
many	JJ	many
times	NNS	time
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
yet	RB	yet
again	RB	again
the	DT	the
the	DT	the
odd	JJ	odd
one	CD	one
out	IN	out
the	DT	the
occupation	NN	occupation
comes	VVZ	come
out	RB	out
and	CC	and
says	VVZ	say
it	PP	it
is	VBZ	be
not	RB	not
your	PP$	your
right	NN	right
you	PP	you
should	MD	should
die	VV	die
you	PP	you
should	MD	should
be	VB	be
killed	VVN	kill
I	PP	I
it's	NN	it's
it's	NNS	it's
not	RB	not
fair	JJ	fair
it's	NNS	it's
not	RB	not
fair	JJ	fair
since	IN	since
when	WRB	when
was	VBD	be
it	PP	it
a	DT	a
law	NN	law
to	TO	to
not	RB	not
like	VV	like
not	RB	not
like	IN	like
the	DT	the
fact	NN	fact
that	IN/that	that
you're	NN	you're
not	RB	not
you're	JJ	you're
killing	VVG	kill
children	NNS	child
since	IN	since
when	WRB	when
was	VBD	be
that	IN/that	that
a	DT	a
law	NN	law
since	IN	since
when	WRB	when
was	VBD	be
that	DT	that
existent	NN	existent
where	WRB	where
where	WRB	where
are	VBP	be
the	DT	the
papers	NNS	paper
that	WDT	that
were	VBD	be
signed	VVN	sign
from	IN	from
all	DT	all
of	IN	of
those	DT	those
countries	NNS	country
about	IN	about
children	NNS	child
rights	NNS	right
about	IN	about
human	JJ	human
rights	NNS	right
where	WRB	where
did	VVD	do
those	DT	those
go	NN	go
again	RB	again
I	PP	I
do	VVP	do
not	RB	not
see	VV	see
any	DT	any
kind	NN	kind
of	IN	of
future	NN	future
here	RB	here
in	IN	in
Gaza	NP	Gaza
if	IN	if
this	DT	this
keeps	VVZ	keep
going	VVG	go
on	RP	on
and	CC	and
I	PP	I
do	VVP	do
not	RB	not
see	VV	see
any	DT	any
process	NN	process
nor	CC	nor
future	NN	future
around	IN	around
the	DT	the
world	NN	world
let	VV	let
me	PP	me
tell	VV	tell
you	PP	you
they're	NN	they're
not	RB	not
going	VVG	go
to	TO	to
stop	VV	stop
in	IN	in
ra	NNS	ra
if	IN	if
they're	NN	they're
not	RB	not
sto	JJ	sto
they're	NN	they're
going	VVG	go
to	TO	to
continue	VV	continue
and	CC	and
go	VV	go
around	RP	around
old	JJ	old
Gaza	NP	Gaza
once	RB	once
again	RB	again
so	IN	so
many	JJ	many
times	NNS	time
if	IN	if
they	PP	they
don't	VVD	don't
stop	VV	stop
them	PP	them
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
</doc>	NP	</doc>
