hundreds	NNS	hundred
here	RB	here
to	TO	to
say	VV	say
that	IN/that	that
only	RB	only
a	DT	a
way	NN	way
of	IN	of
Israeli	JJ	Israeli
Palestinian	JJ	Palestinian
peace	NN	peace
ending	VVG	end
the	DT	the
occup	NN	occup
achieving	VVG	achieve
a	DT	a
reality	NN	reality
of	IN	of
equality	NN	equality
and	CC	and
freedom	NN	freedom
and	CC	and
Independence	NN	independence
to	TO	to
everyone	NN	everyone
on	IN	on
this	DT	this
land	NN	land
only	RB	only
this	DT	this
will	MD	will
achieve	VV	achieve
security	NN	security
to	TO	to
me	PP	me
as	IN	as
a	DT	a
Jewish	JJ	Jewish
Israeli	NP	Israeli
Citizen	NP	Citizen
and	CC	and
we	PP	we
here	RB	here
to	TO	to
say	VV	say
that	IN/that	that
we	PP	we
are	VBP	be
combining	VVG	combine
our	PP$	our
hands	NNS	hand
Palestinian	JJ	Palestinian
citizens	NNS	citizen
of	IN	of
Israel	NP	Israel
and	CC	and
Jewish	JJ	Jewish
citizens	NNS	citizen
of	IN	of
Israel	NP	Israel
and	CC	and
only	RB	only
by	IN	by
working	VVG	work
together	RB	together
we	PP	we
can	MD	can
build	VV	build
the	DT	the
power	NN	power
in	IN	in
our	PP$	our
society	NN	society
to	TO	to
also	RB	also
change	VV	change
the	DT	the
society	NN	society
to	TO	to
also	RB	also
build	VV	build
what	WP	what
is	VBZ	be
necessary	JJ	necessary
to	TO	to
be	VB	be
a	DT	a
majority	NN	majority
that	WDT	that
demands	VVZ	demand
space	NN	space
here	RB	here
in	IN	in
Israel	NP	Israel
and	CC	and
Palestine	NP	Palestine
and	CC	and
who	WP	who
do	VVP	do
you	PP	you
think	VVP	think
is	VBZ	be
actually	RB	actually
going	VVG	go
to	TO	to
be	VB	be
listening	VVG	listen
to	TO	to
this	DT	this
when	WRB	when
polls	NNS	poll
in	IN	in
Israel	NP	Israel
are	VBP	be
showing	VVG	show
that	IN/that	that
there	EX	there
'	''	'
s	VVG	s
an	DT	an
overwhelming	JJ	overwhelming
support	NN	support
for	IN	for
uh	UH	uh
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
you	PP	you
already	RB	already
had	VHD	have
some	DT	some
people	NNS	people
heckling	VVG	heckle
you	PP	you
uh	UH	uh
just	RB	just
earlier	RBR	earlier
saying	VVG	say
shame	NN	shame
on	IN	on
you	PP	you
we	PP	we
have	VHP	have
troops	NNS	troop
being	VBG	be
killed	VVN	kill
what	WP	what
do	VVP	do
you	PP	you
what	WP	what
how	WRB	how
much	RB	much
do	VVP	do
you	PP	you
think	VVP	think
you	PP	you
can	MD	can
achieve	VV	achieve
in	IN	in
getting	VVG	get
that	DT	that
message	NN	message
how	WRB	how
will	MD	will
you	PP	you
convince	VV	convince
the	DT	the
masses	VVZ	mass
uh	UH	uh
for	IN	for
a	DT	a
political	JJ	political
solution	NN	solution
moving	VVG	move
forward	RB	forward
away	RB	away
from	IN	from
the	DT	the
deaths	NNS	death
and	CC	and
destruction	NN	destruction
so	IN	so
we	PP	we
are	VBP	be
growing	VVG	grow
the	DT	the
movement	NN	movement
is	VBZ	be
growing	VVG	grow
standing	NN	standing
together	RB	together
is	VBZ	be
a	DT	a
Grassroots	NNS	grassroots
uh	UH	uh
Jewish	JJ	Jewish
Palestinian	JJ	Palestinian
movement	NN	movement
in	IN	in
Israel	NP	Israel
that	WDT	that
has	VHZ	have
been	VBN	be
growing	VVG	grow
since	IN	since
the	DT	the
war	NN	war
started	VVD	start
because	IN	because
of	IN	of
our	PP$	our
message	NN	message
of	IN	of
alternative	NN	alternative
to	TO	to
this	DT	this
war	NN	war
of	IN	of
Israeli	JJ	Israeli
Palestinian	JJ	Palestinian
peace	NN	peace
of	IN	of
ending	VVG	end
the	DT	the
occupation	NN	occupation
and	CC	and
we	PP	we
understand	VVP	understand
that	IN/that	that
we	PP	we
cannot	MD	can
take	VV	take
the	DT	the
moral	JJ	moral
High	NP	High
ground	NN	ground
and	CC	and
lecture	VV	lecture
you	PP	you
know	VV	know
to	TO	to
people	NNS	people
and	CC	and
tell	VV	tell
them	PP	them
no	RB	no
no	RB	no
no	RB	no
you	PP	you
'	POS	'
re	NN	re
racist	NN	racist
or	CC	or
you	PP	you
'	POS	'
re	NN	re
fascist	NN	fascist
no	RB	no
we	PP	we
need	VVP	need
to	TO	to
talk	VV	talk
about	RB	about
also	RB	also
the	DT	the
interest	NN	interest
of	IN	of
Israeli	JJ	Israeli
citizen	NN	citizen
to	TO	to
end	VV	end
occupation	NN	occupation
to	TO	to
achieve	VV	achieve
security	NN	security
this	DT	this
way	NN	way
of	IN	of
controlling	VVG	control
millions	NNS	million
of	IN	of
of	IN	of
people	NNS	people
millions	NNS	million
of	IN	of
people	NNS	people
that	WDT	that
are	VBP	be
not	RB	not
Israeli	JJ	Israeli
citizens	NNS	citizen
Palestinians	NPS	Palestinians
living	VVG	live
under	IN	under
the	DT	the
occupation	NN	occupation
of	IN	of
Israel	NP	Israel
cannot	MD	can
bring	VV	bring
us	PP	us
security	NN	security
it	PP	it
can	MD	can
only	RB	only
bring	VV	bring
us	PP	us
resistance	NN	resistance
and	CC	and
violence	NN	violence
and	CC	and
we	PP	we
see	VVP	see
where	WRB	where
it	PP	it
led	VVD	lead
us	PP	us
well	RB	well
earlier	RBR	earlier
on	IN	on
Thursday	NP	Thursday
hundreds	NNS	hundred
of	IN	of
young	JJ	young
Israelis	NPS	Israelis
attended	VVD	attend
another	DT	another
rally	NN	rally
near	IN	near
the	DT	the
knesset	NN	Knesset
in	IN	in
West	NP	West
Jerusalem	NP	Jerusalem
demanding	VVG	demand
the	DT	the
government	NN	government
do	VVP	do
more	RBR	more
to	TO	to
secure	VV	secure
the	DT	the
return	NN	return
of	IN	of
captives	NNS	captive
being	VBG	be
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
the	DT	the
protesters	NNS	protester
set	VVN	set
out	RP	out
on	IN	on
a	DT	a
March	NP	March
from	IN	from
Tel	NP	Tel
Aviv	NP	Aviv
on	IN	on
Sunday	NP	Sunday
Israel	NP	Israel
says	VVZ	say
that	IN/that	that
mass	NN	mass
is	VBZ	be
still	RB	still
holding	VVG	hold
129	CD	@card@
captives	NNS	captive
taken	VVN	take
on	IN	on
October	NP	October
the	DT	the
7th	JJ	7th
while	IN	while
all	PDT	all
this	DT	this
is	VBZ	be
happening	VVG	happen
on	IN	on
the	DT	the
streets	NNS	street
Israel	NP	Israel
'	POS	'
s	JJ	s
war	NN	war
cabinet	NN	cabinet
has	VHZ	have
been	VBN	be
meeting	VVG	meet
muham	NP	muham
Salu	NP	Salu
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
so	RB	so
as	IN	as
we	PP	we
say	VVP	say
the	DT	the
cabinet	NN	cabinet
is	VBZ	be
meeting	VVG	meet
do	VV	do
we	PP	we
know	VV	know
anything	NN	anything
about	IN	about
the	DT	the
particular	JJ	particular
agenda	NN	agenda
for	IN	for
that	DT	that
meeting	VVG	meet
Israel	NP	Israel
'	POS	'
s	JJ	s
war	NN	war
cabinet	NN	cabinet
convening	VVG	convene
this	DT	this
evening	NN	evening
with	IN	with
a	DT	a
few	JJ	few
items	NNS	item
on	IN	on
the	DT	the
agenda	NN	agenda
the	DT	the
first	JJ	first
is	VBZ	be
actually	RB	actually
discussions	NNS	discussion
for	IN	for
a	DT	a
katari	NN	katari
proposal	NN	proposal
for	IN	for
a	DT	a
deal	NN	deal
to	TO	to
release	VV	release
Israeli	JJ	Israeli
captives	NNS	captive
in	IN	in
exchange	NN	exchange
for	IN	for
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
now	RB	now
the	DT	the
mosad	NN	mosad
chief	JJ	chief
David	NP	David
Baria	NP	Baria
is	VBZ	be
said	VVN	say
to	TO	to
be	VB	be
in	IN	in
this	DT	this
meeting	NN	meeting
to	TO	to
discuss	VV	discuss
the	DT	the
details	NNS	detail
of	IN	of
that	DT	that
proposal	NN	proposal
but	CC	but
also	RB	also
on	IN	on
the	DT	the
agenda	NN	agenda
what	WP	what
was	VBD	be
supposed	VVN	suppose
to	TO	to
be	VB	be
discussed	VVN	discuss
this	DT	this
evening	NN	evening
between	IN	between
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
and	CC	and
his	PP$	his
War	NP	War
cabinet	NN	cabinet
they	PP	they
were	VBD	be
supposed	VVN	suppose
to	TO	to
talk	VV	talk
about	RB	about
what	WP	what
'	POS	'
s	NNS	s
going	VVG	go
to	TO	to
happen	VV	happen
the	DT	the
day	NN	day
after	IN	after
the	DT	the
war	NN	war
as	IN	as
Israel	NP	Israel
refers	VVZ	refer
to	TO	to
it	PP	it
quote	VVP	quote
the	DT	the
day	NN	day
after	IN	after
Hamas	NNS	Hamas
however	RB	however
there	EX	there
have	VHP	have
been	VBN	be
several	JJ	several
objections	NNS	objection
among	IN	among
netanyahu	NP	netanyahu
'	POS	'
s	NN	S
own	JJ	own
Coalition	NP	Coalition
within	IN	within
the	DT	the
government	NN	government
itself	PP	itself
to	TO	to
have	VH	have
these	DT	these
discussions	NNS	discussion
and	CC	and
Israeli	JJ	Israeli
media	NNS	medium
is	VBZ	be
now	RB	now
reporting	VVG	report
that	IN/that	that
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
has	VHZ	have
succumbed	VVN	succumb
to	TO	to
that	DT	that
pressure	NN	pressure
and	CC	and
those	DT	those
discussions	NNS	discussion
will	MD	will
not	RB	not
happen	VV	happen
just	RB	just
yet	RB	yet
but	CC	but
it	PP	it
was	VBD	be
previously	RB	previously
reported	VVN	report
that	IN/that	that
these	DT	these
discussions	NNS	discussion
were	VBD	be
just	RB	just
supposed	VVN	suppose
to	TO	to
be	VB	be
preliminary	JJ	preliminary
and	CC	and
no	DT	no
decisions	NNS	decision
were	VBD	be
going	VVG	go
to	TO	to
made	VVN	make
there	RB	there
'	''	'
s	RB	s
been	VBN	be
Fierce	JJ	fierce
opposition	NN	opposition
by	IN	by
members	NNS	member
of	IN	of
the	DT	the
far	RB	far
right	JJ	right
specifically	RB	specifically
Ultra	JJ	ultra
nationalists	NNS	nationalist
within	IN	within
netanyahu	NP	netanyahu
'	POS	'
s	JJ	s
government	NN	government
like	IN	like
bet	NN	bet
smotr	NN	smotr
and	CC	and
itamar	NN	itamar
benir	NN	benir
who	WP	who
have	VHP	have
been	VBN	be
against	IN	against
some	DT	some
of	IN	of
these	DT	these
policies	NNS	policy
that	IN/that	that
the	DT	the
war	NN	war
cabinet	NN	cabinet
has	VHZ	have
been	VBN	be
maintaining	VVG	maintain
throughout	IN	throughout
this	DT	this
conflict	NN	conflict
SMR	NP	SMR
and	CC	and
benir	NP	benir
are	VBP	be
also	RB	also
not	RB	not
part	NN	part
of	IN	of
the	DT	the
makeup	NN	makeup
of	IN	of
the	DT	the
war	NN	war
cabinet	NN	cabinet
and	CC	and
they	PP	they
had	VHD	have
previously	RB	previously
demanded	VVN	demand
to	TO	to
be	VB	be
part	NN	part
of	IN	of
it	PP	it
because	IN	because
they	PP	they
had	VHD	have
been	VBN	be
objecting	VVG	object
to	TO	to
some	DT	some
of	IN	of
these	DT	these
decisions	NNS	decision
that	IN/that	that
Netanyahu	NP	Netanyahu
and	CC	and
other	JJ	other
officials	NNS	official
were	VBD	be
making	VVG	make
but	CC	but
still	RB	still
they	PP	they
are	VBP	be
not	RB	not
part	NN	part
of	IN	of
the	DT	the
war	NN	war
cabinet	NN	cabinet
but	CC	but
they	PP	they
are	VBP	be
still	RB	still
part	NN	part
of	IN	of
netanyahu	NP	netanyahu
'	POS	'
s	NN	S
government	NN	government
Coalition	NP	Coalition
and	CC	and
if	IN	if
they	PP	they
left	VVD	leave
that	IN/that	that
Coalition	NP	Coalition
it	PP	it
could	MD	could
supposedly	RB	supposedly
fall	VV	fall
apart	RB	apart
so	RB	so
there	EX	there
are	VBP	be
a	DT	a
lot	NN	lot
of	IN	of
different	JJ	different
pressures	NNS	pressure
Netanyahu	NP	Netanyahu
is	VBZ	be
under	IN	under
but	CC	but
this	DT	this
evening	NN	evening
there	EX	there
is	VBZ	be
internal	JJ	internal
political	JJ	political
pressure	NN	pressure
between	IN	between
him	PP	him
and	CC	and
his	PP$	his
own	JJ	own
government	NN	government
H	NN	H
thanks	NNS	thanks
very	RB	very
much	RB	much
indeed	RB	indeed
for	IN	for
that	DT	that
update	NN	update
the	DT	the
