<video_id>K8AdlUpU9H8</video_id>	JJ	<video_id>K8AdlUpU9H8</video_id>
are	VBP	be
ready	JJ	ready
to	TO	to
sacrifice	VV	sacrifice
their	PP$	their
lives	NNS	life
in	IN	in
order	NN	order
to	TO	to
defend	VV	defend
Israel	NP	Israel
which	WDT	which
is	VBZ	be
our	PP$	our
home	NN	home
and	CC	and
our	PP$	our
land	NN	land
the	DT	the
land	NN	land
of	IN	of
the	DT	the
Jews	NPS	Jews
and	CC	and
Drews	NP	Drews
and	CC	and
Muslims	NPS	Muslims
and	CC	and
Christians	NPS	Christian
all	RB	all
the	DT	the
citizens	NNS	citizen
they	PP	they
are	VBP	be
defending	VVG	defend
all	PDT	all
the	DT	the
citizens	NNS	citizen
of	IN	of
Israel	NP	Israel
our	PP$	our
thoughts	NNS	thought
are	VBP	be
with	IN	with
the	DT	the
families	NNS	family
during	IN	during
those	DT	those
difficult	JJ	difficult
moments	NNS	moment
Arnon	NP	Arnon
and	CC	and
we	PP	we
were	VBD	be
able	JJ	able
also	RB	also
to	TO	to
bring	VV	bring
back	RB	back
four	CD	four
captives	NNS	captive
but	CC	but
we	PP	we
will	MD	will
not	RB	not
forget	VV	forget
the	DT	the
120	CD	@card@
captives	NNS	captive
who	WP	who
are	VBP	be
still	RB	still
not	RB	not
back	JJ	back
home	NN	home
and	CC	and
we	PP	we
need	VVP	need
to	TO	to
be	VB	be
honest	JJ	honest
here	RB	here
we	PP	we
will	MD	will
not	RB	not
be	VB	be
able	JJ	able
to	TO	to
bring	VV	bring
them	PP	them
back	RB	back
home	RB	home
all	RB	all
of	IN	of
them	PP	them
in	IN	in
this	DT	this
right	NN	right
now	RB	now
but	CC	but
we	PP	we
will	MD	will
continue	VV	continue
to	TO	to
create	VV	create
the	DT	the
uh	UH	uh
appropriate	JJ	appropriate
and	CC	and
the	DT	the
right	JJ	right
conditions	NNS	condition
and	CC	and
circumstances	NNS	circumstance
in	IN	in
order	NN	order
to	TO	to
bring	VV	bring
them	PP	them
back	RB	back
home	RB	home
and	CC	and
here	RB	here
I	PP	I
would	MD	would
like	VV	like
to	TO	to
talk	VV	talk
to	TO	to
the	DT	the
people	NNS	people
of	IN	of
the	DT	the
north	NN	north
at	IN	at
the	DT	the
northern	JJ	northern
borders	NNS	border
we	PP	we
are	VBP	be
conducting	VVG	conduct
a	DT	a
military	JJ	military
operations	NNS	operation
and	CC	and
our	PP$	our
main	NN	main
the	DT	the
main	JJ	main
challenge	NN	challenge
is	VBZ	be
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
let	VV	let
the	DT	the
citizens	NNS	citizen
of	IN	of
the	DT	the
north	NN	north
to	TO	to
go	VV	go
back	RB	back
to	TO	to
their	PP$	their
places	NNS	place
we	PP	we
have	VHP	have
killed	VVN	kill
Sami	NP	Sami
abdah	NN	abdah
from	IN	from
one	CD	one
of	IN	of
the	DT	the
main	JJ	main
leaders	NNS	leader
ofah	NN	ofah
who	WP	who
LED	VVD	lead
several	JJ	several
operations	NNS	operation
during	IN	during
the	DT	the
past	JJ	past
year	NN	year
terrorist	JJ	terrorist
operations	NNS	operation
against	IN	against
Israel	NP	Israel
he	PP	he
was	VBD	be
responsible	JJ	responsible
for	IN	for
launching	VVG	launch
several	JJ	several
missiles	NNS	missile
on	IN	on
Israel	NP	Israel
which	WDT	which
is	VBZ	be
a	DT	a
great	JJ	great
threat	NN	threat
for	IN	for
PE	NN	pe
the	DT	the
people	NNS	people
of	IN	of
the	DT	the
north	NN	north
this	DT	this
is	VBZ	be
a	DT	a
very	RB	very
precise	JJ	precise
operation	NN	operation
that	WDT	that
also	RB	also
reflects	VVZ	reflect
our	PP$	our
willingness	NN	willingness
and	CC	and
commitment	NN	commitment
to	TO	to
create	VV	create
a	DT	a
a	DT	a
safe	JJ	safe
environment	NN	environment
that	WDT	that
would	MD	would
allow	VV	allow
the	DT	the
people	NNS	people
of	IN	of
the	DT	the
north	NN	north
to	TO	to
go	VV	go
back	RB	back
to	TO	to
their	PP$	their
home	NN	home
a	DT	a
reminder	NN	reminder
of	IN	of
the	DT	the
high	JJ	high
price	NN	price
we	PP	we
are	VBP	be
paying	VVG	pay
for	IN	for
this	DT	this
war	NN	war
the	DT	the
words	NNS	word
there	RB	there
of	IN	of
Daniel	NP	Daniel
hagari	NP	hagari
military	JJ	military
spokesperson	NN	spokesperson
commenting	VVG	comment
on	IN	on
the	DT	the
deaths	NNS	death
of	IN	of
confirmed	VVN	confirm
deaths	NNS	death
of	IN	of
eight	CD	eight
Israeli	JJ	Israeli
soldiers	NNS	soldier
in	IN	in
Gaza	NP	Gaza
today	NN	today
now	RB	now
the	DT	the
Israeli	JJ	Israeli
government	NN	government
has	VHZ	have
banned	VVN	ban
Al	NP	Al
jazer	NN	jazer
from	IN	from
reporting	VVG	report
there	RB	there
so	RB	so
Hamas	NP	Hamas
is	VBZ	be
joining	VVG	join
us	PP	us
now	RB	now
from	IN	from
the	DT	the
Jordanian	JJ	Jordanian
capital	NN	capital
and	CC	and
what	WP	what
the	DT	the
</doc>	NN	</doc>
