Palestinians	NPS	Palestinians
been	VBN	be
described	VVN	describe
by	IN	by
the	DT	the
family	NN	family
member	NN	member
as	IN	as
someone	NN	someone
who	WP	who
has	VHZ	have
so	RB	so
much	RB	much
patience	NN	patience
uh	UH	uh
I	NP	I
'	POS	'
m	NN	m
going	VVG	go
to	TO	to
be	VB	be
asking	VVG	ask
her	PP	her
she	PP	she
doesn	NP	doesn
'	POS	'
t	NN	t
hear	VVP	hear
very	RB	very
well	RB	well
so	IN	so
I	PP	I
'	POS	'
m	NN	m
going	VVG	go
to	TO	to
be	VB	be
a	DT	a
bit	NN	bit
louder	RBR	louder
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
coming	VVG	come
here	RB	here
have	VHP	have
you	PP	you
expected	VVN	expect
this	DT	this
yes	NN	yes
I	PP	I
was	VBD	be
expecting	VVG	expect
this	DT	this
they	PP	they
have	VH	have
BN	NP	BN
that	IN/that	that
they	PP	they
will	MD	will
assassinate	VV	assassinate
him	PP	him
so	IN	so
we	PP	we
were	VBD	be
a	DT	a
bit	NN	bit
scared	VVN	scare
about	IN	about
existence	NN	existence
this	DT	this
has	VHZ	have
been	VBN	be
said	VVN	say
long	JJ	long
time	NN	time
was	VBD	be
he	PP	he
aware	JJ	aware
of	IN	of
this	DT	this
was	VBD	be
he	PP	he
aware	JJ	aware
of	IN	of
[	SYM	[
Music	NN	music
]	SYM	]
this	DT	this
he	PP	he
he	PP	he
yes	RB	yes
of	IN	of
course	NN	course
because	IN	because
he	PP	he
was	VBD	be
expecting	VVG	expect
this	DT	this
was	VBD	be
it	PP	it
difficult	JJ	difficult
for	IN	for
you	PP	you
to	TO	to
be	VB	be
reported	VVN	report
or	CC	or
to	TO	to
be	VB	be
in	IN	in
the	DT	the
jails	NNS	jail
in	IN	in
Israel	NP	Israel
being	VBG	be
in	IN	in
the	DT	the
jail	NN	jail
was	VBD	be
very	RB	very
tough	JJ	tough
for	IN	for
me	PP	me
because	IN	because
he	PP	he
is	VBZ	be
in	IN	in
a	DT	a
prison	NN	prison
he	PP	he
is	VBZ	be
in	IN	in
a	DT	a
jail	NN	jail
and	CC	and
when	WRB	when
he	PP	he
was	VBD	be
released	VVN	release
I	PP	I
say	VVP	say
thank	VV	thank
God	NP	God
he	PP	he
was	VBD	be
released	VVN	release
better	RBR	well
than	IN	than
being	VBG	be
in	IN	in
in	IN	in
the	DT	the
jail	NN	jail
in	IN	in
prison	NN	prison
when	WRB	when
he	PP	he
left	VVD	leave
I	PP	I
was	VBD	be
there	RB	there
and	CC	and
he	PP	he
asked	VVD	ask
me	PP	me
to	TO	to
whether	IN	whether
to	TO	to
return	VV	return
back	RB	back
to	TO	to
the	DT	the
jail	NN	jail
or	CC	or
to	TO	to
be	VB	be
deported	VVN	deport
and	CC	and
I	PP	I
told	VVD	tell
him	PP	him
now	RB	now
you	PP	you
better	JJR	good
to	TO	to
be	VB	be
deported	VVN	deport
we	PP	we
will	MD	will
get	VV	get
married	VVN	marry
and	CC	and
your	PP$	your
wife	NN	wife
will	MD	will
join	VV	join
you	PP	you
later	RBR	later
he	PP	he
said	VVD	say
okay	RB	okay
and	CC	and
thank	VV	thank
God	NP	God
he	PP	he
has	VHZ	have
two	CD	two
daughters	NNS	daughter
and	CC	and
one	CD	one
son	NN	son
how	WRB	how
sad	JJ	sad
are	VBP	be
you	PP	you
today	NN	today
she	PP	she
can	MD	can
'	''	'
t	NN	t
hear	VVP	hear
very	RB	very
well	RB	well
but	CC	but
she	PP	she
said	VVD	say
I	NP	I
'	POS	'
m	NN	m
really	RB	really
sad	JJ	sad
she	PP	she
says	VVZ	say
that	IN/that	that
it	PP	it
'	POS	'
s	NN	S
not	RB	not
easy	JJ	easy
for	IN	for
her	PP	her
to	TO	to
part	VV	part
her	PP$	her
son	NN	son
she	PP	she
was	VBD	be
telling	VVG	tell
me	PP	me
earlier	RBR	earlier
that	IN/that	that
it	PP	it
'	POS	'
s	NNS	s
difficult	JJ	difficult
as	IN	as
we	PP	we
say	VVP	say
she	PP	she
'	''	'
s	VVG	s
an	DT	an
old	JJ	old
lady	NN	lady
81	CD	@card@
years	NNS	year
old	JJ	old
and	CC	and
uh	UH	uh
it	PP	it
was	VBD	be
difficult	JJ	difficult
for	IN	for
her	PP	her
to	TO	to
hear	VV	hear
all	DT	all
of	IN	of
our	PP$	our
questions	NNS	question
let	VV	let
us	PP	us
talk	VV	talk
to	TO	to
his	PP$	his
sister	JJ	sister
Dal	NP	Dal
what	WP	what
was	VBD	be
the	DT	the
difficult	JJ	difficult
point	NN	point
in	IN	in
his	PP$	his
life	NN	life
the	DT	the
difficult	JJ	difficult
point	NN	point
in	IN	in
his	PP$	his
life	NN	life
was	VBD	be
he	PP	he
one	CD	one
he	PP	he
was	VBD	be
arrested	VVN	arrest
and	CC	and
he	PP	he
was	VBD	be
tortured	VVN	torture
and	CC	and
he	PP	he
lost	VVD	lose
45	CD	@card@
kilograms	NNS	kilogram
we	PP	we
didn	NP	didn
'	POS	'
t	NN	t
even	RB	even
recognize	VV	recognize
him	PP	him
when	WRB	when
we	PP	we
saw	VVD	see
him	PP	him
and	CC	and
he	PP	he
was	VBD	be
in	RP	in
in	IN	in
in	IN	in
the	DT	the
jail	NN	jail
for	IN	for
some	DT	some
long	JJ	long
time	NN	time
separated	VVN	separate
for	IN	for
10	CD	@card@
years	NNS	year
but	CC	but
he	PP	he
has	VHZ	have
a	DT	a
strong	JJ	strong
belief	NN	belief
and	CC	and
the	DT	the
difficult	JJ	difficult
thing	NN	thing
is	VBZ	be
that	IN/that	that
he	PP	he
was	VBD	be
seeing	VVG	see
his	PP$	his
uh	UH	uh
brothers	NNS	brother
and	CC	and
his	PP$	his
companions	NNS	companion
being	VBG	be
assassinated	VVN	assassinate
and	CC	and
killed	VVN	kill
this	DT	this
was	VBD	be
difficult	JJ	difficult
for	IN	for
him	PP	him
thank	VVP	thank
Allah	NP	Allah
Almighty	JJ	almighty
uh	UH	uh
while	IN	while
he	PP	he
was	VBD	be
in	IN	in
prison	NN	prison
he	PP	he
was	VBD	be
like	IN	like
studying	VVG	study
the	DT	the
whole	JJ	whole
situation	NN	situation
uh	UH	uh
around	IN	around
him	PP	him
I	PP	I
was	VBD	be
expecting	VVG	expect
uh	UH	uh
uh	UH	uh
for	IN	for
him	PP	him
to	TO	to
be	VB	be
assassinated	VVN	assassinate
yeah	RB	yeah
we	PP	we
were	VBD	be
in	IN	in
contact	NN	contact
with	IN	with
him	PP	him
almost	RB	almost
every	DT	every
day	NN	day
but	CC	but
because	IN	because
of	IN	of
the	DT	the
circumstances	NNS	circumstance
of	IN	of
the	DT	the
war	NN	war
since	IN	since
the	DT	the
7eventh	NP	7eventh
of	IN	of
October	NP	October
we	PP	we
haven	NN	haven
'	POS	'
t	NN	t
talked	VVD	talk
to	TO	to
him	PP	him
and	CC	and
uh	UH	uh
when	WRB	when
we	PP	we
heard	VVD	hear
about	IN	about
the	DT	the
difficult	JJ	difficult
situation	NN	situation
we	PP	we
called	VVD	call
him	PP	him
and	CC	and
he	PP	he
was	VBD	be
fine	JJ	fine
but	CC	but
I	PP	I
went	VVD	go
to	TO	to
the	DT	the
intelligence	NN	intelligence
of	IN	of
Israel	NP	Israel
kept	VVD	keep
me	PP	me
for	IN	for
five	CD	five
hours	NNS	hour
and	CC	and
I	PP	I
was	VBD	be
laughing	VVG	laugh
and	CC	and
I	PP	I
told	VVD	tell
him	PP	him
thank	VVP	thank
told	VVD	tell
them	PP	them
thank	VVP	thank
God	NP	God
and	CC	and
uh	UH	uh
we	PP	we
were	VBD	be
like	IN	like
little	JJ	little
little	JJ	little
opening	NN	opening
and	CC	and
I	PP	I
said	VVD	say
to	TO	to
them	PP	them
Allah	NP	Allah
Almighty	JJ	almighty
is	VBZ	be
the	DT	the
one	CD	one
to	TO	to
decide	VV	decide
everything	NN	everything
that	WDT	that
is	VBZ	be
good	JJ	good
for	IN	for
us	PP	us
and	CC	and
they	PP	they
all	RB	all
want	VVP	want
to	TO	to
be	VB	be
Mars	NP	Mars
we	PP	we
all	RB	all
want	VVP	want
to	TO	to
be	VB	be
Mars	NP	Mars
every	DT	every
child	NN	child
in	IN	in
in	IN	in
in	IN	in
the	DT	the
Palestinian	JJ	Palestinian
territories	NNS	territory
want	VVP	want
to	TO	to
be	VB	be
a	DT	a
Marty	NP	Marty
so	RB	so
just	RB	just
to	TO	to
elaborate	VV	elaborate
further	RBR	further
she	PP	she
was	VBD	be
saying	VVG	say
that	IN/that	that
as	IN	as
she	PP	she
was	VBD	be
making	VVG	make
her	PP$	her
way	NN	way
back	RB	back
from	IN	from
Jordan	NP	Jordan
after	IN	after
she	PP	she
com	NN	com
conducted	VVN	conduct
Hajj	NN	hajj
back	RB	back
to	TO	to
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
she	PP	she
was	VBD	be
stopped	VVN	stop
by	IN	by
the	DT	the
Israeli	JJ	Israeli
intelligence	NN	intelligence
they	PP	they
told	VVD	tell
her	PP	her
this	DT	this
much	RB	much
is	VBZ	be
left	VVN	leave
in	IN	in
your	PP$	your
brother	NN	brother
'	POS	'
s	JJ	s
life	NN	life
meaning	VVG	mean
that	IN/that	that
they	PP	they
will	MD	will
kill	VV	kill
him	PP	him
soon	RB	soon
he	PP	he
told	VVD	tell
her	PP	her
that	IN/that	that
they	PP	they
will	MD	will
assassinate	VV	assassinate
him	PP	him
so	RB	so
basically	RB	basically
this	DT	this
is	VBZ	be
part	NN	part
of	IN	of
what	WP	what
the	DT	the
family	NN	family
has	VHZ	have
been	VBN	be
going	VVG	go
through	IN	through
being	VBG	be
sisters	NNS	sister
and	CC	and
and	CC	and
the	DT	the
mother	NN	mother
of	IN	of
Sal	NP	Sal
Ali	NP	Ali
today	NN	today
has	VHZ	have
been	VBN	be
declared	VVN	declare
as	IN	as
a	DT	a
general	JJ	general
strike	NN	strike
and	CC	and
Palestinians	NNS	Palestinian
are	VBP	be
expected	VVN	expect
to	TO	to
be	VB	be
taken	VVN	take
to	TO	to
the	DT	the
street	NN	street
to	TO	to
mourn	VV	mourn
his	PP$	his
death	NN	death
he	PP	he
'	POS	'
s	NN	S
remembered	VVD	remember
here	RB	here
as	IN	as
someone	NN	someone
who	WP	who
has	VHZ	have
been	VBN	be
keen	JJ	keen
on	IN	on
preserving	VVG	preserve
National	NP	National
Unity	NP	Unity
he	PP	he
has	VHZ	have
been	VBN	be
more	JJR	more
by	IN	by
the	DT	the
Palestinian	JJ	Palestinian
prime	JJ	prime
minister	NN	minister
and	CC	and
by	IN	by
senior	JJ	senior
fat	JJ	fat
leaders	NNS	leader
thanks	NNS	thanks
so	IN	so
much	JJ	much
Nita	NP	Nita
Nita	NP	Nita
Ibrahim	NP	Ibrahim
for	IN	for
us	PP	us
there	RB	there
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
