<video_id>arFhJZPBV9U</video_id>	JJ	<video_id>arFhJZPBV9U</video_id>
know	VVP	know
dark	JJ	dark
moment	NN	moment
reminds	VVZ	remind
us	PP	us
that	IN/that	that
Gaza	NP	Gaza
has	VHZ	have
been	VBN	be
made	VVN	make
unlivable	JJ	unlivable
for	IN	for
um	NNS	um
you	PP	you
know	VVP	know
for	IN	for
a	DT	a
military	JJ	military
reasons	NNS	reason
for	IN	for
which	WDT	which
civilians	NNS	civilian
are	VBP	be
paying	VVG	pay
the	DT	the
price	NN	price
and	CC	and
sadly	RB	sadly
we	PP	we
are	VBP	be
here	RB	here
100	CD	@card@
days	NNS	day
after	IN	after
repeating	VVG	repeat
the	DT	the
same	JJ	same
thing	NN	thing
saying	VVG	say
the	DT	the
same	JJ	same
thing	NN	thing
and	CC	and
you	PP	you
know	VVP	know
sending	VVG	send
out	RP	out
the	DT	the
same	JJ	same
appeals	NNS	appeal
to	TO	to
stop	VV	stop
the	DT	the
bloodshed	NN	bloodshed
now	RB	now
when	WRB	when
you	PP	you
look	VVP	look
at	IN	at
the	DT	the
the	DT	the
past	JJ	past
100	CD	@card@
days	NNS	day
and	CC	and
you	PP	you
look	VVP	look
at	IN	at
the	DT	the
the	DT	the
amount	NN	amount
of	IN	of
Aid	NP	Aid
that's	NN	that's
been	VBN	be
getting	VVG	get
in	IN	in
give	VV	give
us	PP	us
an	DT	an
idea	NN	idea
of	IN	of
just	RB	just
how	WRB	how
far	RB	far
how	WRB	how
far	RB	far
it	PP	it
falls	VVZ	fall
short	JJ	short
of	IN	of
what	WP	what
is	VBZ	be
needed	VVN	need
given	VVN	give
as	IN	as
you	PP	you
say	VVP	say
the	DT	the
conditions	NNS	condition
within	IN	within
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
are	VBP	be
unli	NNS	unli
unlivable	JJ	unlivable
without	IN	without
a	DT	a
clean	JJ	clean
hot	JJ	hot
without	IN	without
a	DT	a
hot	JJ	hot
meal	NN	meal
without	IN	without
clean	JJ	clean
drinking	NN	drinking
water	NN	water
and	CC	and
in	IN	in
many	JJ	many
cases	NNS	case
without	IN	without
even	JJ	even
shelter	NN	shelter
I	PP	I
think	VVP	think
the	DT	the
answer	NN	answer
is	VBZ	be
the	DT	the
in	IN	in
the	DT	the
in	IN	in
the	DT	the
numbers	NNS	number
we're	NN	we're
looking	VVG	look
at	IN	at
in	IN	in
2024	CD	@card@
now	RB	now
we're	NN	we're
looking	VVG	look
at	IN	at
an	DT	an
entire	JJ	entire
population	NN	population
um	NNS	um
on	IN	on
the	DT	the
brink	NN	brink
of	IN	of
starvation	NN	starvation
and	CC	and
famine	NN	famine
this	DT	this
should	MD	should
have	VH	have
never	RB	never
come	VVN	come
down	RP	down
to	TO	to
this	DT	this
you	PP	you
should	MD	should
we	PP	we
should	MD	should
have	VH	have
never	RB	never
come	VVN	come
to	TO	to
you	PP	you
know	VVP	know
a	DT	a
a	DT	a
green	JJ	green
figure	NN	figure
like	IN	like
that	DT	that
uh	UH	uh
2.3	CD	@card@
million	CD	million
people	NNS	people
can't	JJ	can't
U	NP	U
you	PP	you
know	VVP	know
don't	NN	don't
know	VV	know
where	WRB	where
the	DT	the
next	JJ	next
meeter	NN	meeter
is	VBZ	be
going	VVG	go
to	TO	to
come	VV	come
from	IN	from
the	DT	the
Norwegian	JJ	Norwegian
Refugee	NN	refugee
Council	NN	council
and	CC	and
other	JJ	other
organizations	NNS	organization
are	VBP	be
bringing	VVG	bring
in	IN	in
a	DT	a
which	WDT	which
is	VBZ	be
nowhere	RB	nowhere
near	JJ	near
enough	JJ	enough
we're	NN	we're
hardly	RB	hardly
able	JJ	able
to	TO	to
operate	VV	operate
in	IN	in
these	DT	these
little	JJ	little
pockets	NNS	pocket
tiny	JJ	tiny
Poets	NNS	poet
of	IN	of
shelters	NNS	shelter
of	IN	of
areas	NNS	area
where	WRB	where
people	NNS	people
are	VBP	be
being	VBG	be
told	VVN	tell
to	TO	to
uh	UH	uh
you	PP	you
know	VVP	know
to	TO	to
flee	VV	flee
to	TO	to
and	CC	and
then	RB	then
go	VV	go
back	RB	back
to	TO	to
the	DT	the
areas	NNS	area
where	WRB	where
they	PP	they
have	VHP	have
been	VBN	be
and	CC	and
of	IN	of
course	NN	course
the	DT	the
Israeli	JJ	Israeli
attacks	NNS	attack
have	VHP	have
turned	VVN	turn
the	DT	the
entire	NN	entire
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
into	IN	into
this	DT	this
um	NNS	um
you	PP	you
know	VVP	know
game	NN	game
of	IN	of
of	IN	of
uh	UH	uh
you	PP	you
know	VVP	know
table	NN	table
tennis	NN	tennis
almost	RB	almost
ping	VV	ping
ponging	VVG	pong
people	NNS	people
around	RP	around
around	IN	around
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
as	IN	as
if	IN	if
they	PP	they
are	VBP	be
objects	NNS	object
they're	NN	they're
not	RB	not
as	RB	as
if	IN	if
they're	NN	they're
not	RB	not
humans	NNS	human
and	CC	and
I	PP	I
think	VVP	think
that	WDT	that
has	VHZ	have
to	TO	to
stop	VV	stop
as	RB	as
well	RB	well
I	PP	I
think	VVP	think
what	WP	what
is	VBZ	be
most	RBS	most
disappointing	JJ	disappointing
is	VBZ	be
with	IN	with
all	PDT	all
the	DT	the
rhetoric	NN	rhetoric
you	PP	you
know	VVP	know
with	IN	with
all	PDT	all
the	DT	the
hopeful	JJ	hopeful
rhetoric	NN	rhetoric
that	IN/that	that
we	PP	we
have	VHP	have
heard	VVN	hear
with	IN	with
all	PDT	all
the	DT	the
promises	VVZ	promise
that	IN/that	that
we	PP	we
have	VHP	have
heard	VVN	hear
about	RB	about
more	JJR	more
Aid	NN	aid
that	WDT	that
will	MD	will
come	VV	come
in	IN	in
on	IN	on
the	DT	the
ground	NN	ground
we	PP	we
are	VBP	be
still	RB	still
seeing	VVG	see
these	DT	these
difficulties	NNS	difficulty
with	IN	with
you	PP	you
know	VVP	know
with	IN	with
the	DT	the
bureaucracy	NN	bureaucracy
with	IN	with
the	DT	the
with	IN	with
the	DT	the
scale	NN	scale
of	IN	of
of	IN	of
insufficient	JJ	insufficient
Aid	NP	Aid
uh	UH	uh
that	WDT	that
is	VBZ	be
coming	VVG	come
in	IN	in
and	CC	and
in	IN	in
the	DT	the
end	NN	end
it's	NN	it's
civilians	NNS	civilian
that	WDT	that
are	VBP	be
suffering	VVG	suffer
it's	NNS	it's
children	NNS	child
that	WDT	that
are	VBP	be
suffering	VVG	suffer
with	IN	with
you	PP	you
know	VVP	know
contagious	JJ	contagious
diseases	NNS	disease
uh	UH	uh
lack	NN	lack
of	IN	of
food	NN	food
lack	NN	lack
of	IN	of
fuel	NN	fuel
and	CC	and
lack	NN	lack
of	IN	of
water	NN	water
the	DT	the
Norwegian	JJ	Norwegian
Refugee	NN	refugee
Council	NP	Council
has	VHZ	have
uh	UH	uh
just	RB	just
in	IN	in
the	DT	the
past	JJ	past
couple	NN	couple
of	IN	of
months	NNS	month
said	VVD	say
that	IN/that	that
the	DT	the
pulverizing	VVG	pulverize
of	IN	of
Gaza	NP	Gaza
ranks	NNS	rank
amongst	IN	amongst
the	DT	the
worst	JJS	bad
assaults	NNS	assault
on	IN	on
any	DT	any
civilian	JJ	civilian
population	NN	population
in	IN	in
our	PP$	our
time	NN	time
what	WP	what
do	VVP	do
you	PP	you
make	VV	make
of	IN	of
the	DT	the
international	JJ	international
response	NN	response
to	TO	to
this	DT	this
war	NN	war
on	IN	on
Gaza	NP	Gaza
it	PP	it
has	VHZ	have
been	VBN	be
disappointing	JJ	disappointing
and	CC	and
we	PP	we
have	VHP	have
been	VBN	be
disappointed	VVN	disappoint
at	IN	at
the	DT	the
Norwegian	JJ	Norwegian
Refugee	NN	refugee
Council	NN	council
despite	IN	despite
our	PP$	our
constant	JJ	constant
know	VVP	know
consistent	JJ	consistent
appealing	VVG	appeal
uh	UH	uh
constant	JJ	constant
um	NNS	um
you	PP	you
know	VVP	know
calls	NNS	call
for	IN	for
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
I	PP	I
think	VVP	think
the	DT	the
answer	NN	answer
has	VHZ	have
still	RB	still
not	RB	not
come	VV	come
uh	UH	uh
the	DT	the
answer	NN	answer
for	IN	for
civilians	NNS	civilian
has	VHZ	have
not	RB	not
come	VVN	come
the	DT	the
answer	NN	answer
of	IN	of
of	IN	of
you	PP	you
know	VVP	know
a	DT	a
complete	JJ	complete
um	JJ	um
suspension	NN	suspension
of	IN	of
hostilities	NNS	hostility
and	CC	and
uh	UH	uh
of	IN	of
course	NN	course
the	DT	the
return	NN	return
of	IN	of
people	NNS	people
displaced	VVD	displace
we	PP	we
are	VBP	be
talking	VVG	talk
now	RB	now
about	IN	about
you	PP	you
know	VVP	know
almost	RB	almost
everybody	NN	everybody
in	IN	in
Gaza	NP	Gaza
being	VBG	be
displaced	VVN	displace
some	RB	some
of	IN	of
them	PP	them
have	VHP	have
been	VBN	be
displaced	VVN	displace
twice	RB	twice
three	CD	three
times	NNS	time
and	CC	and
and	CC	and
you	PP	you
know	VVP	know
all	PDT	all
these	DT	these
CS	NP	CS
have	VHP	have
been	VBN	be
unheeded	JJ	unheeded
Israel	NP	Israel
continues	VVZ	continue
its	PP$	its
boming	NN	boming
from	IN	from
from	IN	from
all	DT	all
sides	NNS	side
and	CC	and
now	RB	now
we've	NN	we've
heard	VVD	hear
you	PP	you
know	VVP	know
even	RB	even
in	IN	in
MO	NN	mo
for	IN	for
example	NN	example
where	WRB	where
people	NNS	people
have	VHP	have
been	VBN	be
told	VVN	tell
to	TO	to
go	VV	go
now	RB	now
they	PP	they
have	VHP	have
been	VBN	be
told	VVN	tell
you	PP	you
know	VVP	know
that	IN/that	that
you	PP	you
know	VV	know
Israel	NP	Israel
continue	VV	continue
its	PP$	its
operations	NNS	operation
in	IN	in
alasi	NNS	alasi
where	WRB	where
they	PP	they
have	VHP	have
been	VBN	be
asked	VVN	ask
to	TO	to
go	VV	go
and	CC	and
now	RB	now
they	PP	they
have	VHP	have
to	TO	to
go	VV	go
back	RB	back
to	TO	to
areas	NNS	area
where	WRB	where
it	PP	it
has	VHZ	have
asked	VVN	ask
people	NNS	people
to	TO	to
leave	VV	leave
it's	NNS	it's
so	RB	so
confusing	VVG	confuse
for	IN	for
people	NNS	people
people	NNS	people
have	VHP	have
lost	VVN	lose
communication	NN	communication
with	IN	with
their	PP$	their
family	NN	family
members	NNS	member
and	CC	and
I	PP	I
have	VHP	have
teams	NNS	team
you	PP	you
know	VVP	know
we	PP	we
have	VH	have
teams	NNS	team
NRC	NP	NRC
teams	NNS	team
on	IN	on
the	DT	the
ground	NN	ground
have	VHP	have
lost	VVN	lose
communication	NN	communication
with	IN	with
their	PP$	their
own	JJ	own
people	NNS	people
and	CC	and
with	IN	with
their	PP$	their
own	JJ	own
colleagues	NNS	colleague
we	PP	we
have	VHP	have
to	TO	to
stop	VV	stop
this	DT	this
and	CC	and
Israel	NP	Israel
has	VHZ	have
to	TO	to
stop	VV	stop
these	DT	these
attacks	NNS	attack
and	CC	and
we	PP	we
have	VHP	have
to	TO	to
to	TO	to
reach	VV	reach
a	DT	a
ceasefire	NN	ceasefire
as	RB	as
soon	RB	soon
as	IN	as
possible	JJ	possible
are	VBP	be
you	PP	you
concerned	JJ	concerned
that	IN/that	that
when	WRB	when
the	DT	the
war	NN	war
does	VVZ	do
eventually	RB	eventually
come	VV	come
to	TO	to
an	DT	an
end	NN	end
that	IN/that	that
if	IN	if
people	NNS	people
are	VBP	be
able	JJ	able
to	TO	to
leave	VV	leave
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
that	IN/that	that
they	PP	they
will	MD	will
in	IN	in
large	JJ	large
numbers	NNS	number
and	CC	and
we'll	NN	we'll
see	VVP	see
a	DT	a
mass	JJ	mass
displacement	NN	displacement
of	IN	of
a	DT	a
population	NN	population
what	WP	what
we	PP	we
have	VHP	have
been	VBN	be
saying	VVG	say
from	IN	from
from	IN	from
the	DT	the
Geto	NP	Geto
really	RB	really
is	VBZ	be
that	IN/that	that
when	WRB	when
Israel	NP	Israel
forcibly	RB	forcibly
transfers	VVZ	transfer
people	NNS	people
it	PP	it
Bears	NPS	Bears
responsibility	NN	responsibility
it	PP	it
violates	VVZ	violate
international	JJ	international
law	NN	law
and	CC	and
it	PP	it
be's	NN	be's
responsibility	NN	responsibility
for	IN	for
the	DT	the
return	NN	return
of	IN	of
these	DT	these
people	NNS	people
people	NNS	people
have	VHP	have
choice	NN	choice
and	CC	and
they	PP	they
have	VHP	have
been	VBN	be
stripped	VVN	strip
of	IN	of
that	DT	that
choice	NN	choice
they	PP	they
have	VHP	have
been	VBN	be
stripped	VVN	strip
of	IN	of
that	DT	that
voluntary	JJ	voluntary
movement	NN	movement
they	PP	they
are	VBP	be
now	RB	now
going	VVG	go
to	TO	to
places	NNS	place
they	PP	they
don't	VVD	don't
want	VV	want
to	TO	to
go	VV	go
to	TO	to
so	RB	so
what	WP	what
we	PP	we
need	VVP	need
to	TO	to
see	VV	see
is	VBZ	be
the	DT	the
opposite	NN	opposite
is	VBZ	be
for	IN	for
people	NNS	people
to	TO	to
go	VV	go
back	RB	back
home	NN	home
it's	NNS	it's
for	IN	for
people	NNS	people
to	TO	to
return	VV	return
and	CC	and
for	IN	for
Gaza	NP	Gaza
to	TO	to
be	VB	be
made	VVN	make
livable	JJ	livable
again	RB	again
and	CC	and
that	IN/that	that
you	PP	you
know	VVP	know
that	WDT	that
is	VBZ	be
responsibility	NN	responsibility
of	IN	of
not	RB	not
just	RB	just
the	DT	the
International	NP	International
Community	NP	Community
and	CC	and
of	IN	of
course	NN	course
Israel	NP	Israel
as	IN	as
the	DT	the
occupier	NN	occupier
which	WDT	which
should	MD	should
guarantee	VV	guarantee
the	DT	the
well-being	NN	well-being
of	IN	of
the	DT	the
people	NNS	people
we	PP	we
have	VHP	have
been	VBN	be
very	RB	very
clear	JJ	clear
n	NN	n
compromising	VVG	compromise
about	RB	about
that	IN/that	that
there	EX	there
cannot	MD	can
be	VB	be
any	DT	any
involuntary	JJ	involuntary
movement	NN	movement
for	IN	for
people	NNS	people
wherever	WRB	wherever
that	WDT	that
is	VBZ	be
if	IN	if
if	IN	if
someone	NN	someone
you	PP	you
know	VVP	know
makes	VVZ	make
the	DT	the
choice	NN	choice
that	WDT	that
is	VBZ	be
up	RB	up
to	TO	to
them	PP	them
but	CC	but
of	IN	of
course	NN	course
they	PP	they
should	MD	should
not	RB	not
make	VV	make
that	DT	that
choice	NN	choice
out	RP	out
of	IN	of
being	VBG	be
forced	VVN	force
to	TO	to
leave	VV	leave
home	NN	home
when	WRB	when
they	PP	they
don't	VVD	don't
want	VV	want
to	TO	to
with	IN	with
their	PP$	their
children	NNS	child
and	CC	and
with	IN	with
their	PP$	their
family	NN	family
ammed	VVN	ammed
Bam	NP	Bam
from	IN	from
the	DT	the
Norwegian	JJ	Norwegian
Refugee	NN	refugee
Council	NP	Council
many	JJ	many
thanks	NNS	thanks
for	IN	for
talking	VVG	talk
to	TO	to
us	PP	us
thank	VVP	thank
okay	JJ	okay
</doc>	NN	</doc>
