<video_id>GeRrWg-yRy8</video_id>	JJ	<video_id>GeRrWg-yRy8</video_id>
Canadian	JJ	Canadian
and	CC	and
an	DT	an
American	NP	American
and	CC	and
a	DT	a
Palestinian	JJ	Palestinian
uh	UH	uh
Aid	NN	aid
workers	NNS	worker
were	VBD	be
targeted	VVN	target
in	IN	in
those	DT	those
three	CD	three
cars	NNS	car
it's	NNS	it's
very	RB	very
obvious	JJ	obvious
that	IN/that	that
these	DT	these
um	JJ	um
workers	NNS	worker
were	VBD	be
working	VVG	work
with	IN	with
the	DT	the
world	NN	world
Central	NP	Central
Kitchen	NP	Kitchen
as	IN	as
we	PP	we
see	VVP	see
vests	NNS	vest
and	CC	and
uh	UH	uh
the	DT	the
logos	NNS	logo
of	IN	of
the	DT	the
wck	JJ	wck
organization	NN	organization
we	PP	we
know	VVP	know
that	IN/that	that
these	DT	these
um	JJ	um
uh	UH	uh
cars	NNS	car
were	VBD	be
on	IN	on
their	PP$	their
way	NN	way
back	RB	back
from	IN	from
the	DT	the
port	NN	port
Northern	JJ	northern
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
to	TO	to
their	PP$	their
guest	JJ	guest
house	NN	house
in	IN	in
Raa	NP	Raa
and	CC	and
every	DT	every
car	NN	car
is	VBZ	be
is	VBZ	be
separated	VVN	separate
by	IN	by
at	IN	at
least	JJS	least
500	CD	@card@
M	NN	M
which	WDT	which
shows	VVZ	show
that	IN/that	that
this	DT	this
Convoy	NN	convoy
was	VBD	be
directly	RB	directly
targeted	VVN	target
by	IN	by
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
this	DT	this
will	MD	will
have	VH	have
a	DT	a
lot	NN	lot
of	IN	of
negative	JJ	negative
consequences	NNS	consequence
not	RB	not
only	RB	only
on	IN	on
the	DT	the
humanitarian	JJ	humanitarian
sector	NN	sector
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
it	PP	it
will	MD	will
also	RB	also
have	VH	have
a	DT	a
huge	JJ	huge
major	JJ	major
consequences	NNS	consequence
and	CC	and
a	DT	a
negative	JJ	negative
impact	NN	impact
on	IN	on
a	DT	a
lot	NN	lot
of	IN	of
Aid	NN	aid
workers	NNS	worker
on	IN	on
International	NP	International
agencies	NNS	agency
currently	RB	currently
operating	VVG	operate
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
these	DT	these
Aid	NP	Aid
workers	NNS	worker
were	VBD	be
having	VHG	have
an	DT	an
aid	NN	aid
ship	NN	ship
and	CC	and
a	DT	a
convoy	NN	convoy
that	WDT	that
had	VHD	have
at	IN	at
least	JJS	least
400	CD	@card@
uh	UH	uh
metric	JJ	metric
tons	NNS	ton
of	IN	of
food	NN	food
to	TO	to
the	DT	the
north	NN	north
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
on	IN	on
the	DT	the
day	NN	day
they	PP	they
were	VBD	be
targeted	VVN	target
this	DT	this
is	VBZ	be
alaz	NP	alaz
Gaz	NP	Gaz
well	RB	well
let's	NNS	let's
now	RB	now
speak	VVP	speak
to	TO	to
Tess	NP	Tess
Ingram	NP	Ingram
who	WP	who
spokesperson	NN	spokesperson
for	IN	for
Unicef	NN	Unicef
and	CC	and
she's	NNS	she's
joining	VVG	join
us	PP	us
from	IN	from
arafa	NN	arafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
Tess	NP	Tess
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
with	IN	with
us	PP	us
on	IN	on
Al	NP	Al
jazer	NN	jazer
the	DT	the
killing	NN	killing
of	IN	of
these	DT	these
Aid	NP	Aid
workers	NNS	worker
must	MD	must
be	VB	be
extremely	RB	extremely
worrying	JJ	worrying
for	IN	for
you	PP	you
and	CC	and
your	PP$	your
teams	NNS	team
in	IN	in
Gaza	NP	Gaza
yeah	RB	yeah
it's	NNS	it's
incredibly	RB	incredibly
worrying	VVG	worry
for	IN	for
all	DT	all
of	IN	of
us	PP	us
we	PP	we
just	RB	just
had	VHD	have
a	DT	a
meeting	NN	meeting
about	IN	about
it	PP	it
here	RB	here
among	IN	among
agencies	NNS	agency
and	CC	and
it	PP	it
really	RB	really
just	RB	just
speaks	VVZ	speak
to	TO	to
the	DT	the
unacceptable	JJ	unacceptable
conditions	NNS	condition
that	IN/that	that
people	NNS	people
are	VBP	be
living	VVG	live
in	IN	in
here	RB	here
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
that	DT	that
humanitarian	JJ	humanitarian
Aid	NN	aid
workers	NNS	worker
are	VBP	be
operating	VVG	operate
in	IN	in
it's	NNS	it's
an	DT	an
immense	JJ	immense
tragedy	NN	tragedy
and	CC	and
it	PP	it
adds	VVZ	add
to	TO	to
the	DT	the
toll	NN	toll
of	IN	of
you	PP	you
know	VVP	know
30,000	CD	@card@
people	NNS	people
who've	NNS	who've
been	VBN	be
killed	VVN	kill
since	IN	since
the	DT	the
escalation	NN	escalation
and	CC	and
174	CD	@card@
un	NN	un
colleagues	NNS	colleague
who've	VVP	who've
also	RB	also
been	VBN	be
killed	VVN	kill
so	IN	so
it's	NNS	it's
it's	NNS	it's
a	DT	a
dark	JJ	dark
day	NN	day
for	IN	for
us	PP	us
here	RB	here
those	DT	those
conditions	NNS	condition
that	WDT	that
you	PP	you
talk	VVP	talk
about	IN	about
the	DT	the
extremely	RB	extremely
difficult	JJ	difficult
conditions	NNS	condition
that	IN/that	that
you	PP	you
talk	VVP	talk
about	RB	about
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
a	DT	a
bit	NN	bit
more	RBR	more
about	IN	about
them	PP	them
because	IN	because
world	NN	world
Central	NP	Central
Kitchen	NP	Kitchen
in	IN	in
their	PP$	their
statement	NN	statement
said	VVD	say
that	IN/that	that
they	PP	they
uh	UH	uh
actually	RB	actually
coordinated	VVN	coordinate
with	IN	with
the	DT	the
Israelis	NPS	Israelis
uh	UH	uh
about	IN	about
their	PP$	their
their	PP$	their
location	NN	location
and	CC	and
where	WRB	where
they	PP	they
were	VBD	be
going	VVG	go
their	PP$	their
car	NN	car
was	VBD	be
clearly	RB	clearly
marked	VVN	mark
their	PP$	their
vehicle	NN	vehicle
was	VBD	be
clearly	RB	clearly
marked	VVN	mark
what	WP	what
sort	NN	sort
of	IN	of
uh	UH	uh
you	PP	you
know	VV	know
uh	UH	uh
talk	NN	talk
do	VVP	do
you	PP	you
have	VHP	have
with	IN	with
the	DT	the
Israelis	NNS	Israeli
when	WRB	when
you're	NN	you're
you're	VV	you're
uh	UH	uh
operating	VVG	operate
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
Gaza	NP	Gaza
and	CC	and
how	WRB	how
difficult	JJ	difficult
it	PP	it
is	VBZ	be
to	TO	to
actually	RB	actually
coordinate	VV	coordinate
with	IN	with
them	PP	them
so	RB	so
like	VVP	like
conflicts	NNS	conflict
all	RB	all
around	IN	around
the	DT	the
world	NN	world
humanitarian	JJ	humanitarian
agencies	NNS	agency
have	VHP	have
a	DT	a
coordination	NN	coordination
and	CC	and
notific	JJ	notific
ation	NN	ation
system	NN	system
where	WRB	where
we	PP	we
say	VVP	say
this	DT	this
is	VBZ	be
where	WRB	where
we	PP	we
want	VVP	want
to	TO	to
go	VV	go
and	CC	and
what	WP	what
we	PP	we
want	VVP	want
to	TO	to
do	VV	do
and	CC	and
we	PP	we
get	VVP	get
the	DT	the
security	NN	security
assurances	NNS	assurance
that	WDT	that
we	PP	we
need	VVP	need
to	TO	to
do	VV	do
our	PP$	our
job	NN	job
and	CC	and
that	DT	that
is	VBZ	be
not	RB	not
functioning	VVG	function
properly	RB	properly
here	RB	here
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
we've	NN	we've
been	VBN	be
warning	VVG	warn
for	IN	for
a	DT	a
while	NN	while
that	IN/that	that
it's	NNS	it's
not	RB	not
working	VVG	work
we're	NN	we're
not	RB	not
getting	VVG	get
the	DT	the
security	NN	security
assurances	NNS	assurance
that	WDT	that
we've	VVP	we've
need	NN	need
and	CC	and
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
first	JJ	first
time	NN	time
that	IN/that	that
we've	NN	we've
seen	VVN	see
a	DT	a
vehicle	NN	vehicle
being	VBG	be
hit	VVN	hit
under	IN	under
colleagues	NNS	colleague
have	VHP	have
been	VBN	be
targeted	VVN	target
before	RB	before
and	CC	and
so	RB	so
it's	NNS	it's
incredibly	RB	incredibly
concerning	VVG	concern
all	DT	all
of	IN	of
the	DT	the
colleagues	NNS	colleague
here	RB	here
are	VBP	be
really	RB	really
just	RB	just
trying	VVG	try
to	TO	to
help	VV	help
people	NNS	people
and	CC	and
it's	NNS	it's
even	RB	even
worse	RBR	worse
that	IN/that	that
these	DT	these
colleagues	NNS	colleague
were	VBD	be
trying	VVG	try
to	TO	to
deliver	VV	deliver
food	NN	food
where	WRB	where
on	IN	on
the	DT	the
precipice	NN	precipice
of	IN	of
a	DT	a
famine	NN	famine
it	PP	it
could	MD	could
happen	VV	happen
at	IN	at
any	DT	any
moment	NN	moment
now	RB	now
and	CC	and
this	DT	this
was	VBD	be
you	PP	you
know	VVP	know
100	CD	@card@
tons	NNS	ton
of	IN	of
food	NN	food
a	DT	a
that	WDT	that
was	VBD	be
being	VBG	be
unloaded	VVN	unload
so	IN	so
it's	NNS	it's
it's	JJ	it's
uh	UH	uh
it's	NNS	it's
an	DT	an
unspeakable	JJ	unspeakable
loss	NN	loss
not	RB	not
just	RB	just
for	IN	for
the	DT	the
people	NNS	people
but	CC	but
for	IN	for
um	VVG	um
the	DT	the
the	DT	the
community	NN	community
of	IN	of
Gazza	NP	Gazza
is	VBZ	be
as	IN	as
you	PP	you
say	VVP	say
it's	NNS	it's
not	RB	not
the	DT	the
first	JJ	first
time	NN	time
that	IN/that	that
Aid	NP	Aid
workers	NNS	worker
have	VHP	have
been	VBN	be
targeted	VVN	target
um	NNS	um
do	VVP	do
you	PP	you
believe	VVP	believe
they're	NN	they're
being	VBG	be
deliberately	RB	deliberately
targeted	VVN	target
I	PP	I
think	VVP	think
that	IN/that	that
we	PP	we
are	VBP	be
here	RB	here
just	RB	just
trying	VVG	try
to	TO	to
do	VV	do
our	PP$	our
job	NN	job
and	CC	and
what	WP	what
we	PP	we
need	VVP	need
to	TO	to
do	VV	do
now	RB	now
is	VBZ	be
is	VBZ	be
have	VH	have
a	DT	a
look	NN	look
at	IN	at
this	DT	this
situation	NN	situation
assess	VV	assess
what	WP	what
has	VHZ	have
happened	VVN	happen
overnight	RB	overnight
and	CC	and
decide	VV	decide
how	WRB	how
we	PP	we
move	VVP	move
forward	RB	forward
because	IN	because
it's	NN	it's
it's	NNS	it's
incredibly	RB	incredibly
tough	JJ	tough
here	RB	here
on	IN	on
the	DT	the
ground	NN	ground
not	RB	not
just	RB	just
for	IN	for
us	PP	us
but	CC	but
for	IN	for
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
the	DT	the
bombardments	NNS	bombardment
are	VBP	be
unending	JJ	unending
here	RB	here
all	PDT	all
all	DT	all
night	NN	night
all	DT	all
morning	NN	morning
and	CC	and
and	CC	and
we're	VV	we're
some	DT	some
of	IN	of
the	DT	the
most	RBS	most
protected	JJ	protected
people	NNS	people
in	IN	in
the	DT	the
GSA	NP	GSA
strip	NN	strip
we	PP	we
have	VHP	have
you	PP	you
know	VVP	know
armored	JJ	armored
vehicles	NNS	vehicle
and	CC	and
and	CC	and
um	JJ	um
jackets	NNS	jacket
like	IN	like
this	DT	this
so	JJ	so
uh	UH	uh
for	IN	for
everybody	NN	everybody
in	IN	in
Gaza	NP	Gaza
it's	NNS	it's
it's	NNS	it's
incredibly	RB	incredibly
unsafe	JJ	unsafe
yeah	RB	yeah
no	RB	no
one	PP	one
is	VBZ	be
safe	JJ	safe
in	IN	in
Gaza	NP	Gaza
uh	UH	uh
Tess	NP	Tess
what	WDT	what
impact	NN	impact
will	MD	will
will	VV	will
this	DT	this
attack	NN	attack
have	VHP	have
on	IN	on
Aid	NN	aid
agencies	NNS	agency
operating	VVG	operate
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
could	MD	could
could	MD	could
this	RB	this
cause	VV	cause
you	PP	you
for	IN	for
example	NN	example
UNICEF	NP	UNICEF
to	TO	to
reconsider	VV	reconsider
your	PP$	your
operations	NNS	operation
on	IN	on
the	DT	the
ground	NN	ground
we're	NN	we're
still	RB	still
waiting	VVG	wait
for	IN	for
more	JJR	more
information	NN	information
on	IN	on
the	DT	the
strike	NN	strike
you	PP	you
know	VVP	know
World	NP	World
social	JJ	social
kitchen	NN	kitchen
has	VHZ	have
obviously	RB	obviously
said	VVN	say
that	IN/that	that
they're	NN	they're
pausing	VVG	pause
their	PP$	their
operations	NNS	operation
for	IN	for
the	DT	the
time	NN	time
being	VBG	be
UNICEF	NP	UNICEF
is	VBZ	be
continuing	VVG	continue
uh	UH	uh
for	IN	for
the	DT	the
time	NN	time
being	VBG	be
but	CC	but
this	DT	this
is	VBZ	be
you	PP	you
know	VVP	know
a	DT	a
very	RB	very
serious	JJ	serious
um	JJ	um
moment	NN	moment
in	IN	in
what	WP	what
has	VHZ	have
happened	VVN	happen
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
as	IN	as
I	PP	I
said	VVD	say
it's	NNS	it's
it's	NNS	it's
another	DT	another
incident	NN	incident
on	IN	on
top	NN	top
of	IN	of
the	DT	the
so	RB	so
many	JJ	many
that	IN/that	that
we've	NN	we've
already	RB	already
endured	VVD	endure
here	RB	here
and	CC	and
it's	NNS	it's
it's	NNS	it's
um	VVD	um
it	PP	it
could	MD	could
have	VH	have
serious	JJ	serious
impacts	NNS	impact
I	PP	I
think	VVP	think
world	NN	world
Central	NP	Central
Kitchen	NP	Kitchen
pause	NN	pause
on	IN	on
the	DT	the
aid	NN	aid
operations	NNS	operation
because	IN	because
you	PP	you
know	VVP	know
as	IN	as
we	PP	we
know	VVP	know
World	NP	World
Central	NP	Central
Kitchen	NP	Kitchen
was	VBD	be
bringing	VVG	bring
in	IN	in
a	DT	a
lot	NN	lot
of	IN	of
food	NN	food
a	DT	a
lot	NN	lot
of	IN	of
hospitals	NNS	hospital
were	VBD	be
relying	VVG	rely
on	IN	on
world	NN	world
Central	JJ	central
kitchens	NNS	kitchen
um	JJ	um
food	NN	food
that	IN/that	that
they	PP	they
were	VBD	be
providing	VVG	provide
so	RB	so
this	DT	this
could	MD	could
have	VH	have
an	DT	an
impact	VV	impact
uh	UH	uh
their	PP$	their
po	NN	po
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
speaking	VVG	speak
to	TO	to
us	PP	us
Tess	NP	Tess
Ingram	NP	Ingram
from	IN	from
UNICEF	NP	UNICEF
join	VVP	join
joining	VVG	join
us	PP	us
there	RB	there
from	IN	from
Rafa	NP	Rafa
Southern	NP	Southern
Gaza	NP	Gaza
</doc>	NN	</doc>
