<video_id>o50ZN-TOtII</video_id>	JJ	<video_id>o50ZN-TOtII</video_id>
say	VV	say
it	PP	it
but	CC	but
he	PP	he
really	RB	really
deserves	VVZ	deserve
it	PP	it
I	PP	I
mean	VVP	mean
he	PP	he
was	VBD	be
the	DT	the
most	RBS	most
unreliable	JJ	unreliable
untrustworthy	JJ	untrustworthy
American	JJ	American
leaders	NNS	leader
in	IN	in
a	DT	a
in	IN	in
a	DT	a
in	IN	in
decades	NNS	decade
I've	NN	I've
never	RB	never
seen	VVN	see
and	CC	and
I'm	NP	I'm
a	DT	a
student	NN	student
of	IN	of
American	JJ	American
uh	UH	uh
foreign	JJ	foreign
policy	NN	policy
I've	NN	I've
never	RB	never
seen	VVN	see
an	DT	an
American	JJ	American
president	NN	president
uh	UH	uh
so	RB	so
shamelessly	RB	shamelessly
and	CC	and
shamefully	RB	shamefully
um	NN	um
supporting	VVG	support
uh	UH	uh
uh	UH	uh
you	PP	you
know	VVP	know
the	DT	the
the	DT	the
the	DT	the
war	NN	war
crimes	NNS	crime
of	IN	of
a	DT	a
foreign	JJ	foreign
leaders	NNS	leader
the	DT	the
way	NN	way
Biden	NP	Biden
has	VHZ	have
uh	UH	uh
following	VVG	follow
on	IN	on
natany	NN	natany
footsteps	NNS	footstep
boxing	VVG	box
America	NP	America
behind	IN	behind
basically	RB	basically
an	DT	an
indicted	VVN	indict
war	NN	war
criminal	JJ	criminal
like	IN	like
an	DT	an
a	DT	a
fascist	JJ	fascist
fanatical	JJ	fanatical
government	NN	government
the	DT	the
Israeli	JJ	Israeli
government	NN	government
having	VHG	have
done	VVN	do
that	IN/that	that
over	IN	over
so	RB	so
many	JJ	many
months	NNS	month
and	CC	and
risking	VVG	risk
American	JJ	American
standing	NN	standing
reputation	NN	reputation
and	CC	and
interests	NNS	interest
in	IN	in
the	DT	the
greater	JJR	great
Middle	NP	Middle
East	NP	East
and	CC	and
so	RB	so
on	IN	on
so	RB	so
forth	RB	forth
risking	VVG	risk
the	DT	the
accusations	NNS	accusation
of	IN	of
hypocrisy	NN	hypocrisy
on	IN	on
double	JJ	double
standard	NN	standard
and	CC	and
losing	VVG	lose
at	IN	at
home	NN	home
a	DT	a
whole	JJ	whole
generation	NN	generation
of	IN	of
Americans	NPS	Americans
alienated	VVN	alienate
by	IN	by
his	PP$	his
policies	NNS	policy
I	PP	I
mean	VVP	mean
seriously	RB	seriously
this	DT	this
is	VBZ	be
not	RB	not
leadership	NN	leadership
this	DT	this
is	VBZ	be
the	DT	the
absence	NN	absence
of	IN	of
leadership	NN	leadership
and	CC	and
now	RB	now
as	IN	as
you	PP	you
said	VVD	say
in	IN	in
a	DT	a
way	NN	way
it's	NNS	it's
a	DT	a
bit	NN	bit
too	RB	too
late	RB	late
for	IN	for
him	PP	him
you	PP	you
know	VVP	know
to	TO	to
try	VV	try
to	TO	to
save	VV	save
the	DT	the
day	NN	day
as	IN	as
it	PP	it
were	VBD	be
he's	NN	he's
not	RB	not
going	VVG	go
to	TO	to
save	VV	save
no	DT	no
day	NN	day
and	CC	and
even	RB	even
the	DT	the
way	NN	way
he	PP	he
repeats	VVZ	repeat
the	DT	the
Israeli	JJ	Israeli
proposals	NNS	proposal
I	PP	I
mean	VVP	mean
he's	NNS	he's
what	WP	what
is	VBZ	be
he	PP	he
a	DT	a
Salesman	NN	salesman
a	DT	a
used	VVN	use
car	NN	car
salesman	NN	salesman
why	WRB	why
is	VBZ	be
he	PP	he
selling	VVG	sell
an	DT	an
Israeli	JJ	Israeli
proposal	NN	proposal
trying	VVG	try
to	TO	to
make	VV	make
it	PP	it
as	IN	as
if	IN	if
this	DT	this
is	VBZ	be
Paradise	NP	Paradise
on	IN	on
Earth	NP	Earth
it	PP	it
is	VBZ	be
not	RB	not
Paradise	NP	Paradise
on	IN	on
Earth	NP	Earth
did	VVD	do
you	PP	you
see	VVP	see
in	IN	in
this	DT	this
proposal	NN	proposal
an	DT	an
end	NN	end
to	TO	to
the	DT	the
occupation	NN	occupation
of	IN	of
Gaza	NP	Gaza
the	DT	the
redeployment	NN	redeployment
of	IN	of
all	DT	all
Israeli	JJ	Israeli
soldiers	NNS	soldier
out	IN	out
of	IN	of
Gaza	NP	Gaza
did	VVD	do
we	PP	we
see	VVP	see
the	DT	the
end	NN	end
of	IN	of
the	DT	the
siege	NN	siege
of	IN	of
Gaza	NP	Gaza
I	NP	I
haven't	NP	haven't
and	CC	and
so	IN	so
what	WP	what
what	WP	what
what	WP	what
do	VVP	do
you	PP	you
think	VVP	think
because	IN	because
you	PP	you
know	VVP	know
the	DT	the
Urgent	JJ	urgent
thing	NN	thing
right	NN	right
now	RB	now
is	VBZ	be
for	IN	for
there	EX	there
to	TO	to
be	VB	be
a	DT	a
ceasefire	NN	ceasefire
for	IN	for
humanitarian	JJ	humanitarian
assistance	NN	assistance
to	TO	to
be	VB	be
allowed	VVN	allow
through	IN	through
the	DT	the
land	NN	land
Crossing	VVG	cross
so	RB	so
that	IN/that	that
people	NNS	people
can	MD	can
survive	VV	survive
they	PP	they
have	VHP	have
access	NN	access
to	TO	to
food	NN	food
water	NN	water
and	CC	and
medicine	NN	medicine
and	CC	and
those	DT	those
things	NNS	thing
but	CC	but
if	IN	if
there	EX	there
is	VBZ	be
a	DT	a
if	IN	if
Trump	NP	Trump
gets	VVZ	get
back	RB	back
into	IN	into
the	DT	the
White	NP	White
House	NP	House
what	WP	what
then	RB	then
are	VBP	be
the	DT	the
prospects	NNS	prospect
for	IN	for
Palestinians	NNS	Palestinian
being	VBG	be
allowed	VVN	allow
to	TO	to
return	VV	return
to	TO	to
their	PP$	their
homes	NNS	home
especially	RB	especially
in	IN	in
the	DT	the
north	NN	north
of	IN	of
Gaza	NP	Gaza
where	WRB	where
we	PP	we
know	VVP	know
Israelis	NPS	Israelis
were	VBD	be
planning	NN	planning
on	IN	on
uh	UH	uh
drawing	VVG	draw
up	RP	up
plans	NNS	plan
for	IN	for
settlements	NNS	settlement
there	RB	there
but	CC	but
honestly	RB	honestly
uh	UH	uh
maram	NN	maram
what	WP	what
homes	VVZ	home
right	RB	right
return	VV	return
to	TO	to
what	WP	what
homes	NNS	home
yeah	RB	yeah
we've	VVP	we've
seen	VVN	see
the	DT	the
images	NNS	image
yesterday	NN	yesterday
of	IN	of
Palestinians	NPS	Palestinians
going	VVG	go
back	RB	back
to	TO	to
their	PP$	their
homes	NNS	home
in	IN	in
jabalia	NN	jabalia
I	PP	I
honestly	RB	honestly
you	PP	you
know	VVP	know
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
war	NN	war
maybe	RB	maybe
I	PP	I
should	MD	should
say	VV	say
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
my	PP$	my
career	NN	career
I've	NN	I've
never	RB	never
seen	VVN	see
a	DT	a
sadder	JJR	sad
more	JJR	more
dramatic	JJ	dramatic
more	RBR	more
tragic	JJ	tragic
scene	NN	scene
than	IN	than
Palestinian	JJ	Palestinian
women	NNS	woman
and	CC	and
children	NNS	child
heading	VVG	head
back	RB	back
to	TO	to
their	PP$	their
destroyed	VVN	destroy
neighborhoods	NNS	neighborhood
destroyed	VVD	destroy
homes	NNS	home
houses	NNS	house
and	CC	and
so	RB	so
on	IN	on
so	RB	so
forth	RB	forth
it	PP	it
was	VBD	be
just	RB	just
it	PP	it
was	VBD	be
just	RB	just
I	CD	@card@
don't	NN	don't
know	VVP	know
um	RB	um
you	PP	you
know	VV	know
uh	UH	uh
incredible	JJ	incredible
uh	UH	uh
the	DT	the
scenery	NN	scenery
of	IN	of
uh	UH	uh
of	IN	of
the	DT	the
destruction	NN	destruction
and	CC	and
of	IN	of
people	NNS	people
just	RB	just
going	VVG	go
back	RB	back
to	TO	to
basically	RB	basically
nothing	NN	nothing
and	CC	and
now	RB	now
uh	UH	uh
Biden	NP	Biden
is	VBZ	be
re	IN	re
promising	JJ	promising
reconstruction	NN	reconstruction
does	VVZ	do
anyone	NN	anyone
really	RB	really
believe	VVP	believe
it	PP	it
I	PP	I
mean	VVP	mean
with	IN	with
Israeli	JJ	Israeli
soldiers	NNS	soldier
deployed	VVN	deploy
outside	IN	outside
the	DT	the
populated	JJ	populated
areas	NNS	area
does	VVZ	do
anyone	NN	anyone
really	RB	really
really	RB	really
truly	RB	truly
believe	VV	believe
it	PP	it
and	CC	and
will	MD	will
Biden	NP	Biden
be	VB	be
president	NN	president
in	IN	in
come	VVN	come
January	NP	January
2025	CD	@card@
and	CC	and
Will	MD	will
trump	VV	trump
follow	VV	follow
I	PP	I
mean	VV	mean
Trump	NP	Trump
is	VBZ	be
the	DT	the
transactional	JJ	transactional
president	NN	president
remember	VV	remember
I	PP	I
mean	VV	mean
if	IN	if
he	PP	he
does	VVZ	do
actually	RB	actually
become	VV	become
president	NN	president
again	RB	again
the	DT	the
Felon	NN	felon
come	VVN	come
president	NN	president
is	VBZ	be
he	PP	he
going	VVG	go
to	TO	to
spend	VV	spend
any	DT	any
political	JJ	political
or	CC	or
financial	JJ	financial
capital	NN	capital
on	IN	on
Gaza	NP	Gaza
really	RB	really
I	PP	I
mean	VVP	mean
who	WP	who
who	WP	who
thinks	VVZ	think
that	RB	that
and	CC	and
will	MD	will
any	DT	any
Gulf	NP	Gulf
country	NN	country
or	CC	or
another	DT	another
country	NN	country
spend	VV	spend
money	NN	money
on	IN	on
Gaza	NP	Gaza
while	IN	while
uh	UH	uh
the	DT	the
Israeli	JJ	Israeli
government	NN	government
calls	VVZ	call
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
terrorist	JJ	terrorist
nazil	NN	nazil
like	IN	like
and	CC	and
calls	VVZ	call
Hamas	NP	Hamas
Isis	NP	Isis
like	IN	like
and	CC	and
says	VVZ	say
there	EX	there
will	MD	will
be	VB	be
no	DT	no
Palestinian	JJ	Palestinian
leadership	NN	leadership
in	IN	in
Gaza	NP	Gaza
either	CC	either
Authority	NP	Authority
other	JJ	other
PA	NN	pa
or	CC	or
Hamas	NN	Hamas
I	PP	I
mean	VVP	mean
which	WDT	which
Gulf	NP	Gulf
country	NN	country
is	VBZ	be
going	VVG	go
to	TO	to
invest	VV	invest
in	IN	in
a	DT	a
in	IN	in
such	PDT	such
a	DT	a
Gaza	NP	Gaza
having	VHG	have
said	VVN	say
all	RB	all
of	IN	of
that	DT	that
maram	NN	maram
having	VHG	have
said	VVN	say
all	DT	all
of	IN	of
that	WDT	that
I	PP	I
understand	VVP	understand
that	IN/that	that
the	DT	the
people	NNS	people
on	IN	on
Gaza	NP	Gaza
are	VBP	be
suffering	VVG	suffer
so	RB	so
much	JJ	much
that	IN/that	that
Hamas	NP	Hamas
understands	VVZ	understand
that	IN/that	that
it	PP	it
must	MD	must
come	VV	come
to	TO	to
some	DT	some
deal	NN	deal
of	IN	of
some	DT	some
sort	NN	sort
Netanyahu	NP	Netanyahu
also	RB	also
fearsome	JJ	fearsome
of	IN	of
building	VVG	build
International	JJ	international
pressure	NN	pressure
at	IN	at
the	DT	the
ICC	NP	ICC
on	IN	on
the	DT	the
icj	NN	icj
feels	VVZ	feel
that	IN/that	that
he	PP	he
needs	VVZ	need
to	TO	to
maybe	RB	maybe
work	VV	work
out	RP	out
something	NN	something
and	CC	and
certainly	RB	certainly
Biden	NP	Biden
feels	VVZ	feel
too	RB	too
little	RB	little
too	RB	too
late	JJ	late
but	CC	but
he	PP	he
needs	VVZ	need
to	TO	to
do	VV	do
something	NN	something
so	IN	so
there	EX	there
might	MD	might
be	VB	be
a	DT	a
momentum	NN	momentum
of	IN	of
the	DT	the
desperate	JJ	desperate
right	NN	right
a	DT	a
momentum	NN	momentum
of	IN	of
those	DT	those
so	RB	so
desperate	JJ	desperate
for	IN	for
something	NN	something
but	CC	but
to	TO	to
think	VV	think
that	IN/that	that
this	DT	this
something	NN	something
will	MD	will
Pro	NP	Pro
will	MD	will
will	VV	will
will	MD	will
resolve	VV	resolve
the	DT	the
problems	NNS	problem
of	IN	of
Gaza	NP	Gaza
will	MD	will
resolve	VV	resolve
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
apartate	NN	apartate
in	IN	in
Gaza	NP	Gaza
and	CC	and
in	IN	in
Palestine	NP	Palestine
absolutely	RB	absolutely
not	RB	not
okay	RB	okay
thank	VV	thank
you	PP	you
Maran	NP	Maran
Bashar	NP	Bashar
joining	VVG	join
us	PP	us
there	RB	there
from	IN	from
London	NP	London
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
aler	NN	aler
</doc>	NN	</doc>
