tar	NN	tar
families	NNS	family
living	VVG	live
right	RB	right
now	RB	now
I	PP	I
mean	VVP	mean
some	DT	some
people	NNS	people
have	VHP	have
no	DT	no
power	NN	power
left	VVD	leave
some	DT	some
people	NNS	people
have	VHP	have
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
power	NN	power
left	VVN	leave
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
going	VVG	go
to	TO	to
last	VV	last
very	RB	very
long	JJ	long
how	WRB	how
are	VBP	be
they	PP	they
handling	VVG	handle
it	PP	it
well	RB	well
well	RB	well
they	PP	they
are	VBP	be
living	VVG	live
in	IN	in
a	DT	a
very	RB	very
hot	JJ	hot
situation	NN	situation
and	CC	and
in	IN	in
very	RB	very
severe	JJ	severe
uh	UH	uh
drastic	JJ	drastic
conditions	NNS	condition
without	IN	without
electricity	NN	electricity
without	IN	without
sufficient	JJ	sufficient
even	JJ	even
water	NN	water
supply	NN	supply
to	TO	to
uh	UH	uh
to	TO	to
do	VV	do
their	PP$	their
washing	NN	washing
or	CC	or
even	RB	even
to	TO	to
do	VV	do
their	PP$	their
basic	JJ	basic
uh	UH	uh
needs	NNS	need
and	CC	and
with	IN	with
the	DT	the
continu	NN	continu
continuation	NN	continuation
of	IN	of
the	DT	the
borders	NNS	border
shuttering	VVG	shutter
by	IN	by
the	DT	the
Israeli	JJ	Israeli
authorities	NNS	authority
the	DT	the
condition	NN	condition
is	VBZ	be
also	RB	also
exaa	NN	exaa
inside	IN	inside
the	DT	the
strip	VV	strip
uh	UH	uh
the	DT	the
the	DT	the
international	JJ	international
uh	UH	uh
the	DT	the
international	JJ	international
World	NP	World
Health	NP	Health
Organization	NP	Organization
had	VHD	have
called	VVN	call
The	DT	the
International	NP	International
Community	NP	Community
to	TO	to
open	VV	open
a	DT	a
humanitarian	JJ	humanitarian
Corridor	NP	Corridor
in	IN	in
order	NN	order
to	TO	to
provide	VV	provide
help	NN	help
for	IN	for
Palestinians	NPS	Palestinians
now	RB	now
due	JJ	due
to	TO	to
the	DT	the
ongoing	JJ	ongoing
strikes	NNS	strike
on	IN	on
different	JJ	different
residential	JJ	residential
and	CC	and
even	RB	even
public	JJ	public
infrastructure	NN	infrastructure
uh	UH	uh
the	DT	the
Palestinians	NPS	Palestinians
are	VBP	be
facing	VVG	face
a	DT	a
severe	JJ	severe
difficulty	NN	difficulty
in	IN	in
terms	NNS	term
of	IN	of
moving	VVG	move
and	CC	and
uh	UH	uh
reaching	VVG	reach
an	DT	an
access	NN	access
to	TO	to
their	PP$	their
uh	UH	uh
own	JJ	own
daily	JJ	daily
supplies	NNS	supply
now	RB	now
in	IN	in
terms	NNS	term
of	IN	of
food	NN	food
there	EX	there
is	VBZ	be
a	DT	a
wide	JJ	wide
range	NN	range
of	IN	of
shortage	NN	shortage
of	IN	of
Food	NN	food
Supplies	NNS	supply
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
that	IN/that	that
Palestinian	JJ	Palestinian
are	VBP	be
really	RB	really
suffering	VVG	suffer
from	IN	from
and	CC	and
they	PP	they
even	RB	even
are	VBP	be
delivering	VVG	deliver
demands	NNS	demand
the	DT	the
International	NP	International
Community	NP	Community
to	TO	to
afford	VV	afford
them	PP	them
the	DT	the
necessary	JJ	necessary
Food	NN	food
Supplies	NNS	supply
and	CC	and
even	RB	even
to	TO	to
allow	VV	allow
the	DT	the
entry	NN	entry
of	IN	of
these	DT	these
humanitarian	JJ	humanitarian
aids	NNS	aid
to	TO	to
this	DT	this
trip	NN	trip
as	IN	as
well	RB	well
and	CC	and
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
electricity	NN	electricity
the	DT	the
electric	JJ	electric
condition	NN	condition
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
as	IN	as
the	DT	the
only	JJ	only
s	NN	S
power	NN	power
plant	NN	plant
has	VHZ	have
run	VVN	run
out	RP	out
of	IN	of
a	DT	a
of	IN	of
the	DT	the
fuel	NN	fuel
the	DT	the
uh	UH	uh
electric	NN	electric
current	JJ	current
to	TO	to
the	DT	the
gasa	NN	gasa
strip	NN	strip
has	VHZ	have
been	VBN	be
suspended	VVN	suspend
to	TO	to
another	DT	another
further	JJR	further
notice	NN	notice
until	IN	until
the	DT	the
entry	NN	entry
of	IN	of
further	JJR	further
fuel	NN	fuel
in	IN	in
order	NN	order
to	TO	to
be	VB	be
generated	VVN	generate
and	CC	and
provide	VV	provide
Garin	NP	Garin
and	CC	and
to	TO	to
provide	VV	provide
more	JJR	more
than	IN	than
2	CD	@card@
.	SENT	.
3	CD	@card@
million	CD	million
Garin	NP	Garin
with	IN	with
sufficient	JJ	sufficient
uh	UH	uh
electricity	NN	electricity
in	IN	in
order	NN	order
to	TO	to
uh	UH	uh
to	TO	to
uh	UH	uh
uh	UH	uh
be	VB	be
very	RB	very
able	JJ	able
to	TO	to
live	VV	live
have	VHP	have
five	CD	five
days	NNS	day
of	IN	of
bombardments	NNS	bombardment
on	IN	on
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
um	NNS	um
impaired	VVD	impair
hamas	NN	hamas
'	POS	'
s	JJ	s
ability	NN	ability
to	TO	to
launch	VV	launch
rockets	NNS	rocket
into	IN	into
Israel	NP	Israel
well	VV	well
uh	UH	uh
before	IN	before
uh	UH	uh
just	RB	just
10	CD	@card@
minutes	NNS	minute
from	IN	from
now	RB	now
a	DT	a
dozens	NNS	dozen
of	IN	of
bres	NNS	bres
of	IN	of
rockets	NNS	rocket
were	VBD	be
fired	VVN	fire
towards	IN	towards
the	DT	the
Israeli	JJ	Israeli
settlements	NNS	settlement
and	CC	and
retaliation	NN	retaliation
to	TO	to
the	DT	the
ongoing	JJ	ongoing
strikes	NNS	strike
on	IN	on
the	DT	the
ganza	NP	ganza
Strip	NP	Strip
so	IN	so
it	PP	it
seems	VVZ	seem
that	IN/that	that
the	DT	the
ability	NN	ability
to	TO	to
for	IN	for
Hamas	JJ	Hamas
fighters	NNS	fighter
to	TO	to
launch	VV	launch
more	JJR	more
Rockets	NNS	rocket
did	VVD	do
not	RB	not
uh	UH	uh
really	RB	really
stop	VV	stop
and	CC	and
the	DT	the
the	DT	the
level	NN	level
even	RB	even
of	IN	of
uh	UH	uh
launching	VVG	launch
Rockets	NNS	rocket
is	VBZ	be
still	RB	still
continues	VVZ	continue
uh	UH	uh
as	RB	as
the	DT	the
Israeli	NN	Israeli
strikes	VVZ	strike
uh	UH	uh
remains	VVZ	remain
hitting	VVG	hit
and	CC	and
targeting	VVG	target
the	DT	the
uh	UH	uh
civilians	NNS	civilian
inside	IN	inside
this	DT	this
threat	NN	threat
