<video_id>rUkGS0f2Z5Q</video_id>	JJ	<video_id>rUkGS0f2Z5Q</video_id>
receive	VVP	receive
instructions	NNS	instruction
please	VV	please
head	NN	head
to	TO	to
the	DT	the
shelters	NNS	shelter
and	CC	and
bunkers	NNS	bunker
we	PP	we
received	VVD	receive
some	DT	some
reports	NNS	report
that	IN/that	that
some	DT	some
citizens	NNS	citizen
are	VBP	be
not	RB	not
abiding	VVG	abide
by	IN	by
the	DT	the
instructions	NNS	instruction
given	VVN	give
by	IN	by
the	DT	the
home	NN	home
front	NN	front
it	PP	it
is	VBZ	be
part	NN	part
of	IN	of
the	DT	the
mechanism	NN	mechanism
of	IN	of
protection	NN	protection
please	VVP	please
heed	VV	heed
the	DT	the
calls	NNS	call
given	VVN	give
by	IN	by
the	DT	the
home	NN	home
front	NN	front
including	VVG	include
the	DT	the
sirens	NNS	siren
we	PP	we
have	VHP	have
contacted	VVN	contact
relatives	NNS	relative
of	IN	of
310	CD	@card@
VC	NP	VC
victims	NNS	victim
from	IN	from
those	DT	those
killed	VVN	kill
and	CC	and
kidnapped	VVN	kidnap
as	IN	as
we	PP	we
speak	VVP	speak
our	PP$	our
heart	NN	heart
our	PP$	our
hearts	NNS	heart
go	VVP	go
out	RP	out
to	TO	to
the	DT	the
kidnap	VV	kidnap
to	TO	to
the	DT	the
captives	NNS	captive
on	IN	on
this	DT	this
day	NN	day
the	DT	the
the	DT	the
evening	NN	evening
we	PP	we
are	VBP	be
committed	VVN	commit
to	TO	to
our	PP$	our
duties	NNS	duty
we	PP	we
will	MD	will
bring	VV	bring
all	PDT	all
the	DT	the
captives	NNS	captive
home	NN	home
this	DT	this
is	VBZ	be
the	DT	the
third	JJ	third
war	NN	war
week	NN	week
of	IN	of
War	NP	War
our	PP$	our
army	NN	army
security	NN	security
personnel	NNS	personnel
are	VBP	be
deployed	VVN	deploy
across	IN	across
our	PP$	our
territories	NNS	territory
in	IN	in
land	NN	land
in	IN	in
the	DT	the
air	NN	air
and	CC	and
in	IN	in
the	DT	the
sea	NN	sea
defending	VVG	defend
our	PP$	our
state	NN	state
I	PP	I
have	VHP	have
always	RB	always
repeated	VVN	repeat
we	PP	we
have	VHP	have
protect	VV	protect
all	PDT	all
the	DT	the
protection	NN	protection
we	PP	we
have	VHP	have
layers	NNS	layer
of	IN	of
protection	NN	protection
at	IN	at
the	DT	the
same	JJ	same
times	NNS	time
we	PP	we
are	VBP	be
faced	VVN	face
with	IN	with
several	JJ	several
threats	NNS	threat
are	VBP	be
there	RB	there
any	DT	any
negotiations	NNS	negotiation
taking	VVG	take
place	NN	place
for	IN	for
the	DT	the
release	NN	release
of	IN	of
captives	NNS	captive
today	NN	today
we	PP	we
spoke	VVD	speak
about	RB	about
what	WP	what
is	VBZ	be
taking	VVG	take
place	NN	place
under	IN	under
Alfa	NP	Alfa
hospital	NN	hospital
we	PP	we
will	MD	will
continue	VV	continue
to	TO	to
gather	VV	gather
the	DT	the
intelligence	NN	intelligence
as	IN	as
we	PP	we
uh	UH	uh
operate	VV	operate
we	PP	we
are	VBP	be
collecting	VVG	collect
all	PDT	all
the	DT	the
relevant	JJ	relevant
information	NN	information
materials	NNS	material
related	VVN	relate
to	TO	to
the	DT	the
humanitarian	JJ	humanitarian
Aid	NN	aid
we	PP	we
will	MD	will
keep	VV	keep
the	DT	the
whole	JJ	whole
world	NN	world
Community	NN	community
informed	VVN	inform
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
we	PP	we
will	MD	will
continue	VV	continue
to	TO	to
uh	UH	uh
report	VV	report
to	TO	to
the	DT	the
world	NN	world
the	DT	the
tactics	NNS	tactic
adopted	VVN	adopt
by	IN	by
Hamas	NNS	Hamas
taking	VVG	take
civilians	NNS	civilian
as	IN	as
human	JJ	human
Shields	NP	Shields
we	PP	we
cannot	MD	can
allow	VV	allow
any	DT	any
threat	NN	threat
against	IN	against
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
we	PP	we
are	VBP	be
united	VVN	unite
and	CC	and
we	PP	we
are	VBP	be
backed	VVN	back
by	IN	by
the	DT	the
whole	JJ	whole
world	NN	world
and	CC	and
with	IN	with
respect	NN	respect
to	TO	to
the	DT	the
second	JJ	second
part	NN	part
of	IN	of
question	NN	question
regarding	VVG	regard
a	DT	a
swap	NN	swap
deal	NN	deal
or	CC	or
there	RB	there
there	EX	there
is	VBZ	be
a	DT	a
psychological	JJ	psychological
warfare	NN	warfare
against	IN	against
the	DT	the
citizens	NNS	citizen
of	IN	of
Israel	NP	Israel
once	IN	once
we	PP	we
have	VHP	have
the	DT	the
relevant	JJ	relevant
information	NN	information
we	PP	we
will	MD	will
disclose	VV	disclose
them	PP	them
any	DT	any
piece	NN	piece
of	IN	of
information	NN	information
related	VVN	relate
to	TO	to
the	DT	the
captives	NNS	captive
will	MD	will
be	VB	be
you're	NN	you're
watching	VVG	watch
Al	NP	Al
1723	CD	@card@
GMT	NN	GMT
this	DT	this
is	VBZ	be
a	DT	a
press	NN	press
conference	NN	conference
being	VBG	be
given	VVN	give
by	IN	by
an	DT	an
Israeli	JJ	Israeli
military	JJ	military
spokesman	NN	spokesman
um	NNS	um
with	IN	with
regard	NN	regard
to	TO	to
an	DT	an
update	NN	update
as	IN	as
he	PP	he
was	VBD	be
giving	VVG	give
of	IN	of
the	DT	the
various	JJ	various
operations	NNS	operation
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VHZ	have
been	VBN	be
carrying	VVG	carry
out	RP	out
referring	VVG	refer
to	TO	to
Lebanon	NP	Lebanon
referring	VVG	refer
to	TO	to
having	VHG	have
ostensibly	RB	ostensibly
foiled	VVN	foil
and	CC	and
attempted	VVN	attempt
attack	NN	attack
on	IN	on
</doc>	NN	</doc>
