world	NN	world
for	IN	for
the	DT	the
opening	NN	opening
of	IN	of
other	JJ	other
border	NN	border
crossings	NNS	crossing
not	RB	not
just	RB	just
Rafa	NP	Rafa
yes	NN	yes
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	NNS	s
very	RB	very
clear	VVP	clear
you	PP	you
have	VHP	have
mentioned	VVN	mention
the	DT	the
humanitarian	JJ	humanitarian
catastrophe	NN	catastrophe
there	EX	there
is	VBZ	be
no	DT	no
water	NN	water
no	RB	no
supplies	VVZ	supply
no	UH	no
uh	UH	uh
medicines	NNS	medicine
no	DT	no
food	NN	food
so	IN	so
it	PP	it
'	''	'
s	VVG	s
uh	UH	uh
very	RB	very
very	RB	very
critical	JJ	critical
that	IN/that	that
as	IN	as
much	JJ	much
humanitarian	JJ	humanitarian
Aid	NN	aid
as	IN	as
possible	JJ	possible
can	MD	can
enter	VV	enter
into	IN	into
Gaza	NP	Gaza
and	CC	and
um	JJ	um
I	PP	I
'	''	'
ve	RB	ve
been	VBN	be
informed	VVN	inform
that	IN/that	that
on	IN	on
a	DT	a
usual	JJ	usual
day	NN	day
before	IN	before
October	NP	October
7th	JJ	7th
there	EX	there
were	VBD	be
500	CD	@card@
trucks	NNS	truck
necessary	JJ	necessary
um	NNS	um
to	TO	to
supply	VV	supply
what	WP	what
gazans	NNS	Gazan
need	VVP	need
and	CC	and
um	RB	um
now	RB	now
we	PP	we
have	VHP	have
like	IN	like
we	PP	we
have	VHP	have
seen	VVN	see
like	IN	like
600	CD	@card@
trucks	NNS	truck
coming	VVG	come
in	IN	in
by	IN	by
Rafa	NP	Rafa
since	IN	since
October	NP	October
7th	JJ	7th
so	IN	so
the	DT	the
catastrophe	NN	catastrophe
and	CC	and
and	CC	and
the	DT	the
suffering	NN	suffering
is	VBZ	be
is	VBZ	be
uh	UH	uh
disproportionate	JJ	disproportionate
and	CC	and
is	VBZ	be
inhuman	JJ	inhuman
so	IN	so
there	EX	there
are	VBP	be
three	CD	three
border	NN	border
crossings	NNS	crossing
into	IN	into
Gaza	NP	Gaza
from	IN	from
Rafa	NP	Rafa
the	DT	the
one	CD	one
that	WDT	that
opens	VVZ	open
up	RP	up
once	RB	once
in	IN	in
a	DT	a
while	NN	while
from	IN	from
Egypt	NP	Egypt
but	CC	but
there	EX	there
are	VBP	be
two	CD	two
more	JJR	more
from	IN	from
Israel	NP	Israel
um	NNS	um
at	IN	at
Iris	NP	Iris
and	CC	and
Kim	NP	Kim
Shalom	NP	Shalom
and	CC	and
we	PP	we
'	POS	'
d	NN	d
like	VVP	like
to	TO	to
call	VV	call
also	RB	also
the	DT	the
Israeli	JJ	Israeli
government	NN	government
to	TO	to
open	VV	open
up	RP	up
these	DT	these
border	NN	border
crossings	NNS	crossing
for	IN	for
extra	JJ	extra
humanitarian	JJ	humanitarian
Aid	NN	aid
because	IN	because
people	NNS	people
are	VBP	be
suffering	VVG	suffer
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
it	PP	it
'	''	'
s	VVG	s
uh	UH	uh
it	PP	it
'	POS	'
s	JJ	s
Israeli	JJ	Israeli
hostages	NNS	hostage
who	WP	who
are	VBP	be
suffering	VVG	suffer
but	CC	but
it	PP	it
'	POS	'
s	NN	S
also	RB	also
um	JJ	um
ordinary	JJ	ordinary
Palestinian	JJ	Palestinian
citizens	NNS	citizen
a	DT	a
lot	NN	lot
of	IN	of
children	NNS	child
that	WDT	that
are	VBP	be
suffering	VVG	suffer
a	DT	a
lot	NN	lot
and	CC	and
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	NN	S
important	JJ	important
that	IN/that	that
more	RBR	more
humanitarian	JJ	humanitarian
Aid	NN	aid
gets	VVZ	get
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
there	EX	there
are	VBP	be
many	JJ	many
many	JJ	many
people	NNS	people
whether	IN	whether
it	PP	it
'	POS	'
s	JJ	s
people	NNS	people
countries	NNS	country
or	CC	or
Aid	NN	aid
agencies	NNS	agency
that	WDT	that
would	MD	would
agree	VV	agree
with	IN	with
that	DT	that
position	NN	position
but	CC	but
Israel	NP	Israel
isn	NP	isn
'	POS	'
t	NN	t
exactly	RB	exactly
listening	VVG	listen
is	VBZ	be
it	PP	it
so	RB	so
you	PP	you
know	VV	know
it	PP	it
'	POS	'
s	NN	S
one	CD	one
thing	NN	thing
to	TO	to
call	VV	call
for	IN	for
more	JJR	more
humanitarian	JJ	humanitarian
Aid	NN	aid
call	NN	call
for	IN	for
more	JJR	more
border	NN	border
crossings	NNS	crossing
to	TO	to
be	VB	be
open	VV	open
what	WP	what
do	VVP	do
you	PP	you
do	VVP	do
if	IN	if
then	RB	then
Israel	NP	Israel
just	RB	just
says	VVZ	say
no	DT	no
which	WDT	which
essentially	RB	essentially
it	PP	it
has	VHZ	have
been	VBN	be
saying	VVG	say
yeah	RB	yeah
I	PP	I
think	VVP	think
the	DT	the
International	NP	International
Community	NP	Community
has	VHZ	have
to	TO	to
mount	VV	mount
the	DT	the
pressure	NN	pressure
that	RB	that
'	''	'
s	VVG	s
uh	UH	uh
that	WDT	that
'	POS	'
s	NNS	s
very	RB	very
clear	VVP	clear
also	RB	also
the	DT	the
Americans	NPS	Americans
the	DT	the
European	JJ	European
Union	NP	Union
other	JJ	other
Arab	JJ	Arab
states	NNS	state
the	DT	the
Arab	JJ	Arab
League	NP	League
we	PP	we
have	VHP	have
to	TO	to
amount	VV	amount
a	DT	a
pressure	NN	pressure
because	IN	because
it	PP	it
'	POS	'
s	JJ	s
essential	JJ	essential
well	NN	well
that	WDT	that
will	MD	will
be	VB	be
uh	UH	uh
that	WDT	that
will	MD	will
be	VB	be
a	DT	a
dialogue	NN	dialogue
at	IN	at
first	JJ	first
s	NNS	s
but	CC	but
also	RB	also
the	DT	the
Belgian	JJ	Belgian
government	NN	government
for	IN	for
instance	NN	instance
is	VBZ	be
uh	UH	uh
considering	VVG	consider
the	DT	the
recognition	NN	recognition
of	IN	of
the	DT	the
State	NP	State
of	IN	of
Palestine	NP	Palestine
because	IN	because
I	PP	I
think	VVP	think
we	PP	we
can	MD	can
only	RB	only
solve	VV	solve
and	CC	and
end	VV	end
this	DT	this
violence	NN	violence
um	NN	um
through	IN	through
negotiations	NNS	negotiation
um	NN	um
Palestinians	NPS	Palestinians
and	CC	and
Israelis	NPS	Israelis
alike	RB	alike
have	VHP	have
the	DT	the
right	NN	right
to	TO	to
live	VV	live
in	IN	in
peace	NN	peace
to	TO	to
live	VV	live
in	IN	in
security	NN	security
and	CC	and
that	DT	that
means	VVZ	mean
that	IN/that	that
we	PP	we
also	RB	also
uh	UH	uh
next	JJ	next
to	TO	to
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
that	WDT	that
has	VHZ	have
been	VBN	be
recognized	VVN	recognize
we	PP	we
have	VHP	have
to	TO	to
recognize	VV	recognize
uh	UH	uh
the	DT	the
exist	VVP	exist
of	IN	of
the	DT	the
State	NP	State
of	IN	of
Palestine	NP	Palestine
and	CC	and
that	WDT	that
'	POS	'
s	NN	S
the	DT	the
only	RB	only
um	JJ	um
tenable	JJ	tenable
solution	NN	solution
in	IN	in
the	DT	the
long	JJ	long
term	NN	term
for	IN	for
peace	NN	peace
and	CC	and
security	NN	security
for	IN	for
both	DT	both
peoples	NNS	people
Minister	NP	Minister
Minister	NP	Minister
I	NP	I
'	POS	'
m	NN	m
going	VVG	go
to	TO	to
have	VH	have
I	PP	I
'	POS	'
m	NN	m
going	VVG	go
to	TO	to
have	VH	have
to	TO	to
run	VV	run
but	CC	but
you	PP	you
said	VVD	say
something	NN	something
very	RB	very
important	JJ	important
you	PP	you
are	VBP	be
considering	VVG	consider
recognizing	VVG	recognize
the	DT	the
state	NN	state
of	IN	of
Palestine	NP	Palestine
as	IN	as
a	DT	a
way	NN	way
to	TO	to
put	VV	put
pressure	NN	pressure
on	IN	on
Israel	NP	Israel
what	WP	what
is	VBZ	be
the	DT	the
threshold	NN	threshold
that	WDT	that
would	MD	would
bring	VV	bring
Belgium	NP	Belgium
to	TO	to
cross	VV	cross
that	DT	that
Rubicon	NN	Rubicon
and	CC	and
recognize	VV	recognize
um	NNS	um
recognize	VV	recognize
the	DT	the
state	NN	state
of	IN	of
Palestine	NP	Palestine
sorry	JJ	sorry
if	IN	if
I	PP	I
misspoke	RB	misspoke
earlier	RBR	earlier
recognize	VV	recognize
the	DT	the
state	NN	state
of	IN	of
Palestine	NP	Palestine
well	RB	well
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NN	S
important	JJ	important
that	IN/that	that
we	PP	we
given	VVN	give
a	DT	a
signal	NN	signal
with	IN	with
a	DT	a
lot	NN	lot
of	IN	of
European	JJ	European
member	NN	member
states	NNS	state
um	JJ	um
like	IN	like
bigger	JJR	big
member	NN	member
states	NNS	state
like	IN	like
Spain	NP	Spain
are	VBP	be
considering	VVG	consider
the	DT	the
same	JJ	same
and	CC	and
um	JJ	um
what	WP	what
we	PP	we
will	MD	will
also	RB	also
do	VV	do
and	CC	and
I	PP	I
think	VVP	think
that	DT	that
'	''	'
s	NNS	s
important	JJ	important
uh	UH	uh
to	TO	to
tackle	VV	tackle
impunity	NN	impunity
we	PP	we
will	MD	will
fund	VV	fund
an	DT	an
additional	JJ	additional
5	CD	@card@
million	CD	million
euros	NNS	euros
to	TO	to
the	DT	the
international	JJ	international
criminal	JJ	criminal
court	NN	court
because	IN	because
there	EX	there
has	VHZ	have
to	TO	to
be	VB	be
independent	JJ	independent
um	NN	um
there	EX	there
has	VHZ	have
to	TO	to
be	VB	be
independent	JJ	independent
um	JJ	um
research	NN	research
on	IN	on
what	WP	what
is	VBZ	be
happening	VVG	happen
in	IN	in
Gaza	NP	Gaza
right	RB	right
now	RB	now
there	EX	there
are	VBP	be
atrocities	NNS	atrocity
being	VBG	be
um	NN	um
being	VBG	be
run	VVN	run
by	IN	by
GA	NP	Ga
by	IN	by
H	NP	H
by	IN	by
Hamas	NP	Hamas
in	IN	in
Gaza	NP	Gaza
and	CC	and
by	IN	by
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
Defense	NP	Defense
Forces	NPS	Forces
so	IN	so
it	PP	it
'	POS	'
s	NN	S
important	JJ	important
that	IN/that	that
the	DT	the
international	JJ	international
prosecutor	NN	prosecutor
of	IN	of
the	DT	the
IC	NP	IC
gets	VVZ	get
his	PP$	his
job	NN	job
done	VVN	do
Minister	NP	Minister
Caroline	NP	Caroline
janz	NP	Janz
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
joining	VVG	join
us	PP	us
on	IN	on
the	DT	the
program	NN	program
here	RB	here
on	IN	on
ales	NNS	ale
today	NN	today
