<video_id>ocaOkaNPhKo</video_id>	JJ	<video_id>ocaOkaNPhKo</video_id>
that	IN/that	that
electricity	NN	electricity
has	VHZ	have
been	VBN	be
cut	NN	cut
what	WP	what
does	VVZ	do
it	PP	it
mean	VV	mean
particularly	RB	particularly
for	IN	for
hospitals	NNS	hospital
look	VVP	look
Samy	NP	Samy
uh	UH	uh
let	VV	let
me	PP	me
just	RB	just
add	VVP	add
one	CD	one
thing	NN	thing
electricity	NN	electricity
is	VBZ	be
live	JJ	live
everything	NN	everything
runs	VVZ	run
by	IN	by
is	VBZ	be
run	VVN	run
by	IN	by
electricity	NN	electricity
not	RB	not
only	RB	only
elevator	NN	elevator
not	RB	not
only	RB	only
universities	NNS	university
uh	UH	uh
um	NN	um
schools	NNS	school
not	RB	not
only	JJ	only
uh	UH	uh
um	JJ	um
medical	JJ	medical
centers	NNS	center
or	CC	or
so	RB	so
everything	NN	everything
is	VBZ	be
connected	VVN	connect
to	TO	to
electricity	NN	electricity
the	DT	the
other	JJ	other
serious	JJ	serious
point	NN	point
is	VBZ	be
that	IN/that	that
there	EX	there
is	VBZ	be
no	DT	no
fuel	NN	fuel
access	NN	access
that	IN/that	that
to	TO	to
that	WDT	that
we	PP	we
can	MD	can
either	RB	either
operate	VV	operate
or	CC	or
the	DT	the
the	DT	the
Power	NP	Power
Authority	NP	Authority
can	MD	can
operate	VV	operate
the	DT	the
so	RB	so
power	NN	power
station	NN	station
or	CC	or
even	RB	even
for	IN	for
the	DT	the
individual	JJ	individual
or	CC	or
personal	JJ	personal
generators	NNS	generator
so	IN	so
people	NNS	people
can	MD	can
have	VH	have
some	DT	some
of	IN	of
uh	UH	uh
some	DT	some
electricity	NN	electricity
per	IN	per
day	NN	day
Israel	NP	Israel
still	RB	still
ban	VV	ban
the	DT	the
electricity	NN	electricity
the	DT	the
the	DT	the
the	DT	the
fuel	NN	fuel
needed	VVN	need
for	IN	for
uh	UH	uh
for	IN	for
using	VVG	use
the	DT	the
personal	JJ	personal
or	CC	or
individual	JJ	individual
electrical	JJ	electrical
generators	NNS	generator
so	IN	so
no	DT	no
electricity	NN	electricity
no	DT	no
life	NN	life
all	DT	all
life	NN	life
walks	VVZ	walk
of	IN	of
life	NN	life
will	MD	will
stop	VV	stop
and	CC	and
they	PP	they
start	VVP	start
now	RB	now
they	PP	they
started	VVD	start
with	IN	with
uh	UH	uh
the	DT	the
serious	JJ	serious
shortage	NN	shortage
and	CC	and
lack	NN	lack
of	IN	of
drinkable	JJ	drinkable
water	NN	water
and	CC	and
not	RB	not
only	RB	only
drinkable	JJ	drinkable
water	NN	water
even	RB	even
the	DT	the
daily	JJ	daily
use	NN	use
water	NN	water
so	IN	so
people	NNS	people
now	RB	now
are	VBP	be
using	VVG	use
only	JJ	only
bottles	NNS	bottle
and	CC	and
gallons	NNS	gallon
all	DT	all
right	NN	right
thanks	NNS	thanks
so	IN	so
much	JJ	much
</doc>	NN	</doc>
