<video_id>RElRxUiU2U8</video_id>	NP	<video_id>RElRxUiU2U8</video_id>
right	NN	right
I	PP	I
mean	VVP	mean
it's	NNS	it's
a	DT	a
Twilight	NN	twilight
Zone	NP	Zone
because	IN	because
there	EX	there
is	VBZ	be
and	CC	and
remains	VVZ	remain
today	NN	today
every	DT	every
day	NN	day
we	PP	we
hear	VVP	hear
the	DT	the
Israelis	NPS	Israelis
boasting	VVG	boast
of	IN	of
their	PP$	their
most	RBS	most
moral	JJ	moral
Army	NP	Army
it's	NNS	it's
a	DT	a
fantasy	NN	fantasy
that	WDT	that
meets	VVZ	meet
the	DT	the
reality	NN	reality
of	IN	of
um	NNS	um
a	DT	a
genocide	NN	genocide
an	DT	an
attempt	NN	attempt
to	TO	to
uh	UH	uh
kill	VV	kill
or	CC	or
destroy	VV	destroy
uh	UH	uh
much	RB	much
of	IN	of
Palestine	NP	Palestine
and	CC	and
the	DT	the
Palestinians	NPS	Palestinians
there	RB	there
and	CC	and
to	TO	to
hide	VV	hide
the	DT	the
evidence	NN	evidence
and	CC	and
to	TO	to
lie	VV	lie
about	IN	about
it	PP	it
um	VVZ	um
every	DT	every
time	NN	time
you	PP	you
think	VV	think
uh	UH	uh
over	IN	over
the	DT	the
past	JJ	past
five	CD	five
months	NNS	month
that	WDT	that
Israel	NP	Israel
has	VHZ	have
hit	VVN	hit
bottom	VV	bottom
it	PP	it
somehow	RB	somehow
finds	VVZ	find
a	DT	a
new	JJ	new
law	NN	law
it	PP	it
hits	VVZ	hit
a	DT	a
new	JJ	new
law	NN	law
you	PP	you
don't	VVD	don't
know	VV	know
how	WRB	how
uh	UH	uh
and	CC	and
continuously	RB	continuously
lies	VVZ	lie
about	IN	about
it	PP	it
and	CC	and
um	NNS	um
accuses	VVZ	accuse
the	DT	the
world	NN	world
of	IN	of
hostility	NN	hostility
and	CC	and
anti	JJ	anti
semitism	NN	semitism
so	IN	so
airing	VVG	air
this	DT	this
and	CC	and
talking	VVG	talk
about	IN	about
it	PP	it
and	CC	and
really	RB	really
questioning	VVG	question
the	DT	the
morality	NN	morality
of	IN	of
this	DT	this
Israeli	JJ	Israeli
Army	NN	army
I	PP	I
suppose	VVP	suppose
that	IN/that	that
we	PP	we
should	MD	should
also	RB	also
make	VV	make
us	PP	us
anti-semitic	JJ	anti-semitic
this	DT	this
is	VBZ	be
what	WP	what
it	PP	it
is	VBZ	be
I	PP	I
mean	VVP	mean
it's	NN	it's
speaks	VVZ	speak
for	IN	for
itself	PP	itself
in	IN	in
the	DT	the
sense	NN	sense
that	IN/that	that
um	NNS	um
there's	RB	there's
a	DT	a
situation	NN	situation
now	RB	now
it	PP	it
has	VHZ	have
been	VBN	be
for	IN	for
decades	NNS	decade
whereby	WRB	whereby
Israelis	NPS	Israelis
try	VVP	try
to	TO	to
decimate	VV	decimate
an	DT	an
entire	JJ	entire
people	NNS	people
people	NNS	people
by	IN	by
some	DT	some
mean	NN	mean
or	CC	or
another	DT	another
whether	IN	whether
it	PP	it
is	VBZ	be
through	IN	through
starvation	NN	starvation
through	IN	through
destruction	NN	destruction
Siege	NN	siege
hunger	NN	hunger
famine	NN	famine
displacement	NN	displacement
ethnic	JJ	ethnic
cleansing	NN	cleansing
and	CC	and
so	RB	so
on	RB	on
and	CC	and
so	RB	so
forth	RB	forth
so	RB	so
this	DT	this
has	VHZ	have
been	VBN	be
going	VVG	go
on	IN	on
and	CC	and
now	RB	now
we	PP	we
see	VVP	see
these	DT	these
scenes	NNS	scene
and	CC	and
and	CC	and
you	PP	you
could	MD	could
definitely	RB	definitely
underline	VV	underline
the	DT	the
fact	NN	fact
that	IN/that	that
this	DT	this
is	VBZ	be
the	DT	the
culmination	NN	culmination
of	IN	of
impunity	NN	impunity
when	WRB	when
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
can	MD	can
do	VV	do
all	DT	all
of	IN	of
these	DT	these
things	NNS	thing
can	MD	can
get	VV	get
away	RB	away
with	IN	with
it	PP	it
it	PP	it
it	PP	it
can	MD	can
only	RB	only
then	RB	then
do	VVP	do
more	JJR	more
of	IN	of
it	PP	it
knowing	VVG	know
that	DT	that
uh	UH	uh
it	PP	it
will	MD	will
not	RB	not
meet	VV	meet
uh	UH	uh
any	DT	any
punishment	NN	punishment
you	PP	you
know	VVP	know
I	PP	I
was	VBD	be
just	RB	just
listening	VVG	listen
only	RB	only
a	DT	a
few	JJ	few
moments	NNS	moment
ago	RB	ago
to	TO	to
an	DT	an
interview	NN	interview
by	IN	by
one	CD	one
of	IN	of
uh	UH	uh
netanyahu's	NNS	netanyahu's
Minister	NP	Minister
one	CD	one
of	IN	of
Israel's	NP	Israel's
Minister	NP	Minister
drummer	NN	drummer
for	IN	for
strategic	JJ	strategic
Affairs	NPS	Affairs
believe	VVP	believe
it	PP	it
or	CC	or
not	RB	not
and	CC	and
he	PP	he
was	VBD	be
explaining	VVG	explain
on	IN	on
Fox	NP	Fox
News	NP	News
why	WRB	why
Israel	NP	Israel
just	RB	just
got	VVD	get
back	RB	back
to	TO	to
aifa	NN	aifa
hospital	NN	hospital
with	IN	with
a	DT	a
command	NN	command
unit	NN	unit
and	CC	and
I'm	NN	I'm
quoting	VVG	quote
him	PP	him
now	RB	now
Israel	NP	Israel
killed	VVD	kill
170	CD	@card@
terrorists	NNS	terrorist
in	IN	in
a	DT	a
shifa	NN	shifa
hospital	NN	hospital
and	CC	and
captured	VVN	capture
700	CD	@card@
terrorists	NNS	terrorist
at	IN	at
asifa	NN	asifa
hospital	NN	hospital
this	DT	this
Commando	NN	commando
unit	NN	unit
and	CC	and
it	PP	it
killed	VVD	kill
no	DT	no
civilians	NNS	civilian
no	DT	no
civilians	NNS	civilian
as	IN	as
if	IN	if
Ian	NP	Ian
I	PP	I
guess	VVP	guess
probably	RB	probably
people	NNS	people
in	IN	in
Israel	NP	Israel
officials	NNS	official
and	CC	and
people	NNS	people
need	VVP	need
to	TO	to
stop	VV	stop
watching	VVG	watch
Al	NP	Al
jazer	NP	jazer
basically	RB	basically
that's	NNS	that's
the	DT	the
problem	NN	problem
right	NN	right
they	PP	they
don't	VVD	don't
watch	VV	watch
Al	NP	Al
jazer	NN	jazer
they	PP	they
don't	VVD	don't
watch	VV	watch
the	DT	the
scenes	NNS	scene
the	DT	the
facts	NNS	fact
that	WDT	that
we	PP	we
show	VVP	show
in	IN	in
real	JJ	real
in	IN	in
real	JJ	real
in	IN	in
real	JJ	real
time	NN	time
in	IN	in
real	JJ	real
life	NN	life
what	WP	what
is	VBZ	be
going	VVG	go
on	IN	on
what	WP	what
they	PP	they
are	VBP	be
doing	VVG	do
in	IN	in
Gaza	NP	Gaza
so	IN	so
the	DT	the
problem	NN	problem
is	VBZ	be
once	RB	once
again	RB	again
it's	JJ	it's
impunity	NN	impunity
and	CC	and
deception	NN	deception
they	PP	they
do	VVP	do
it	PP	it
they	PP	they
think	VVP	think
they	PP	they
can	MD	can
get	VV	get
away	RB	away
with	IN	with
it	PP	it
and	CC	and
hence	RB	hence
they	PP	they
do	VVP	do
more	JJR	more
of	IN	of
it	PP	it
we've	VVP	we've
seen	VVN	see
it	PP	it
as	IN	as
this	DT	this
war	NN	war
unraveled	VVD	unravel
now	RB	now
we	PP	we
see	VVP	see
it	PP	it
on	IN	on
the	DT	the
beach	NN	beach
of	IN	of
Gaza	NP	Gaza
but	CC	but
let's	NNS	let's
remind	VVP	remind
ourselves	PP	ourselves
that	IN/that	that
this	DT	this
has	VHZ	have
been	VBN	be
the	DT	the
war	NN	war
on	IN	on
children	NNS	child
and	CC	and
women	NNS	woman
20,000	RB	@card@
killed	VVN	kill
and	CC	and
probably	RB	probably
10,000	CD	@card@
more	JJR	more
are	NN	are
under	IN	under
the	DT	the
rebels	NNS	rebel
it	PP	it
was	VBD	be
and	CC	and
is	VBZ	be
a	DT	a
war	NN	war
on	IN	on
hospitals	NNS	hospital
a	DT	a
war	NN	war
on	IN	on
civilians	NNS	civilian
on	IN	on
doctors	NNS	doctor
and	CC	and
nurses	NNS	nurse
on	IN	on
professors	NNS	professor
academics	NNS	academic
Engineers	NNS	engineer
on	IN	on
young	JJ	young
people	NNS	people
old	JJ	old
people	NNS	people
it's	NNS	it's
just	RB	just
been	VBN	be
going	VVG	go
on	IN	on
the	DT	the
United	NP	United
Nations	NPS	Nations
has	VHZ	have
said	VVN	say
it	PP	it
must	MD	must
stop	VV	stop
instead	RB	instead
Israel	NP	Israel
is	VBZ	be
intensifying	VVG	intensify
the	DT	the
killing	VVG	kill
machine	NN	machine
in	IN	in
Gaza	NP	Gaza
Maron	NP	Maron
stay	VV	stay
with	IN	with
us	PP	us
because	IN	because
I	PP	I
I	PP	I
am	VBP	be
going	VVG	go
to	TO	to
come	VV	come
back	RB	back
to	TO	to
you	PP	you
uh	UH	uh
I	PP	I
just	RB	just
want	VVP	want
to	TO	to
move	VV	move
</doc>	NN	</doc>
