okay	JJ	okay
live	VVP	live
abroad	RB	abroad
I	PP	I
because	IN	because
I	PP	I
have	VHP	have
uh	UH	uh
one	CD	one
of	IN	of
the	DT	the
rare	JJ	rare
people	NNS	people
who	WP	who
could	MD	could
have	VH	have
some	DT	some
international	JJ	international
SIM	NP	Sim
cards	NNS	card
I	PP	I
have	VHP	have
been	VBN	be
receiving	VVG	receive
many	JJ	many
calls	NNS	call
and	CC	and
many	JJ	many
messages	NNS	message
from	IN	from
people	NNS	people
living	VVG	live
outside	IN	outside
asking	VVG	ask
me	PP	me
to	TO	to
go	VV	go
and	CC	and
check	VV	check
if	IN	if
they	PP	they
if	IN	if
uh	UH	uh
their	PP$	their
families	NNS	family
their	PP$	their
relatives	NNS	relative
are	VBP	be
still	RB	still
alive	JJ	alive
so	IN	so
that	DT	that
'	''	'
s	NN	S
now	RB	now
I	NP	I
'	POS	'
m	NN	m
I	PP	I
had	VHD	have
a	DT	a
quick	JJ	quick
uh	UH	uh
look	VV	look
on	IN	on
social	JJ	social
media	NNS	medium
they	PP	they
describ	VV	describ
uh	UH	uh
the	DT	the
resumption	NN	resumption
of	IN	of
internet	NN	Internet
and	CC	and
the	DT	the
telecommunication	NN	telecommunication
or	CC	or
communication	NN	communication
means	NNS	mean
as	IN	as
a	DT	a
thirsty	JJ	thirsty
man	NN	man
who	WP	who
found	VVD	find
some	DT	some
water	NN	water
in	IN	in
the	DT	the
in	IN	in
uh	UH	uh
the	DT	the
desert	NN	desert
so	IN	so
this	DT	this
is	VBZ	be
the	DT	the
case	NN	case
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
now	RB	now
the	DT	the
Israelis	NPS	Israelis
say	VVP	say
they	PP	they
now	RB	now
have	VHP	have
soldiers	NNS	soldier
inside	IN	inside
Gaza	NP	Gaza
can	MD	can
you	PP	you
report	VV	report
on	IN	on
any	DT	any
on	IN	on
the	DT	the
ground	NN	ground
fighting	NN	fighting
look	VVP	look
the	DT	the
tonight	NN	tonight
was	VBD	be
relatively	RB	relatively
quiet	JJ	quiet
in	IN	in
comparison	NN	comparison
with	IN	with
previous	JJ	previous
night	NN	night
no	RB	no
and	CC	and
we	PP	we
cannot	MD	can
normally	RB	normally
during	IN	during
any	DT	any
ground	JJ	ground
operation	NN	operation
there	EX	there
is	VBZ	be
huge	JJ	huge
artillery	NN	artillery
coverage	NN	coverage
which	WDT	which
we	PP	we
have	VHP	have
not	RB	not
hit	VVN	hit
like	IN	like
yesterday	NN	yesterday
for	IN	for
example	NN	example
but	CC	but
what	WP	what
what	WP	what
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
been	VBN	be
trying	VVG	try
is	VBZ	be
to	TO	to
create	VV	create
new	JJ	new
ground	VVN	grind
uh	UH	uh
facts	NNS	fact
by	IN	by
sending	VVG	send
troops	NNS	troop
and	CC	and
creating	VVG	create
new	JJ	new
uh	UH	uh
across	IN	across
the	DT	the
border	NN	border
bases	NNS	base
but	CC	but
since	IN	since
uh	UH	uh
we	PP	we
uh	UH	uh
we	PP	we
have	VHP	have
been	VBN	be
receiving	VVG	receive
lots	NN	lots
of	IN	of
uh	UH	uh
messages	NNS	message
and	CC	and
declarations	NNS	declaration
by	IN	by
the	DT	the
fighting	VVG	fight
groups	NNS	group
that	IN/that	that
they	PP	they
were	VBD	be
able	JJ	able
to	TO	to
uh	UH	uh
uh	UH	uh
to	TO	to
to	TO	to
confront	VV	confront
with	IN	with
the	DT	the
Israelis	NPS	Israelis
and	CC	and
to	TO	to
send	VV	send
them	PP	them
back	RB	back
to	TO	to
inside	IN	inside
the	DT	the
Israeli	JJ	Israeli
Israeli	JJ	Israeli
side	NN	side
of	IN	of
the	DT	the
Border	NP	Border
still	VV	still
uh	UH	uh
Kasam	NP	Kasam
brigades	NNS	brigade
they	PP	they
released	VVD	release
a	DT	a
video	NN	video
for	IN	for
their	PP$	their
Fighters	NNS	fighter
firing	VVG	fire
an	DT	an
anti	JJ	anti
-	NN	-
tank	VV	tank
uh	UH	uh
cornate	NN	cornate
rocket	VV	rocket
uh	UH	uh
which	WDT	which
means	VVZ	mean
that	IN/that	that
there	EX	there
are	VBP	be
still	RB	still
uh	UH	uh
clashes	NNS	clash
or	CC	or
confrontations	NNS	confrontation
taking	VVG	take
place	NN	place
across	IN	across
the	DT	the
borders	NNS	border
but	CC	but
still	RB	still
the	DT	the
strength	NN	strength
of	IN	of
the	DT	the
fire	NN	fire
tonight	NN	tonight
was	VBD	be
is	VBZ	be
less	JJR	less
than	IN	than
it	PP	it
was	VBD	be
last	JJ	last
night	NN	night
and	CC	and
safwat	NN	safwat
briefly	NN	briefly
if	IN	if
you	PP	you
can	MD	can
what	WP	what
is	VBZ	be
the	DT	the
latest	JJS	late
humanitarian	JJ	humanitarian
situation	NN	situation
on	IN	on
the	DT	the
ground	NN	ground
I	PP	I
mean	VVP	mean
we	PP	we
'	''	'
re	IN	re
looking	VVG	look
at	IN	at
these	DT	these
desperate	JJ	desperate
pictures	NNS	picture
of	IN	of
people	NNS	people
trying	VVG	try
to	TO	to
get	VV	get
uh	UH	uh
relatives	NNS	relative
from	IN	from
out	RB	out
of	IN	of
rubble	NN	rubble
uh	UH	uh
we	PP	we
know	VVP	know
some	DT	some
Aid	NN	aid
has	VHZ	have
been	VBN	be
allowed	VVN	allow
through	IN	through
the	DT	the
rougher	JJR	rough
border	NN	border
crossing	VVG	cross
in	IN	in
recent	JJ	recent
days	NNS	day
do	VVP	do
you	PP	you
know	VV	know
how	WRB	how
much	RB	much
has	VHZ	have
managed	VVN	manage
to	TO	to
reach	VV	reach
those	DT	those
in	IN	in
need	NN	need
look	VVP	look
this	DT	this
is	VBZ	be
like	IN	like
a	DT	a
trop	NN	trop
in	IN	in
the	DT	the
ocean	NN	ocean
what	WP	what
have	VHP	have
been	VBN	be
entering	VVG	enter
in	IN	in
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
there	RB	there
is	VBZ	be
lack	NN	lack
of	IN	of
everything	NN	everything
from	IN	from
the	DT	the
needle	NN	needle
as	IN	as
they	PP	they
say	VVP	say
until	IN	until
the	DT	the
you	PP	you
know	VVP	know
the	DT	the
the	DT	the
essential	JJ	essential
uh	UH	uh
medicines	NNS	medicine
needed	VVN	need
for	IN	for
for	IN	for
the	DT	the
surgery	NN	surgery
and	CC	and
for	IN	for
medical	JJ	medical
intervention	NN	intervention
in	IN	in
Gaza	NP	Gaza
there	EX	there
is	VBZ	be
lack	NN	lack
of	IN	of
water	NN	water
food	NN	food
medicine	NN	medicine
equipment	NN	equipment
now	RB	now
the	DT	the
minister	NN	minister
of	IN	of
Health	NP	Health
say	VVP	say
they	PP	they
believe	VVP	believe
that	IN/that	that
there	EX	there
are	VBP	be
still	RB	still
1	CD	@card@
,	,	,
000	CD	@card@
300	CD	@card@
Palestinians	NPS	Palestinians
are	VBP	be
stranded	VVN	strand
or	CC	or
stuck	VVN	stick
under	IN	under
the	DT	the
rubble	NN	rubble
most	RBS	most
of	IN	of
them	PP	them
are	VBP	be
dead	JJ	dead
and	CC	and
some	RB	some
of	IN	of
are	VBP	be
still	RB	still
alive	JJ	alive
but	CC	but
they	PP	they
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
the	DT	the
the	DT	the
the	DT	the
the	DT	the
needed	VVN	need
machines	NNS	machine
to	TO	to
bring	VV	bring
them	PP	them
out	RP	out
of	IN	of
the	DT	the
rubble	NN	rubble
either	CC	either
because	IN	because
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
Banning	NP	Banning
these	DT	these
heavy	JJ	heavy
duty	NN	duty
machines	NNS	machine
or	CC	or
because	IN	because
of	IN	of
the	DT	the
lack	NN	lack
of	IN	of
uh	UH	uh
fuel	NN	fuel
needed	VVN	need
to	TO	to
even	RB	even
operating	VVG	operate
these	DT	these
machines	NNS	machine
so	IN	so
the	DT	the
hospitals	NNS	hospital
are	VBP	be
still	RB	still
conducting	VVG	conduct
surgers	NNS	surger
without	IN	without
uh	UH	uh
without	IN	without
uh	UH	uh
anesthesia	NN	anesthesia
and	CC	and
uh	UH	uh
yesterday	NN	yesterday
passed	VVN	pass
by	IN	by
Sha	NP	Sha
Hospital	NP	Hospital
you	PP	you
know	VV	know
uh	UH	uh
the	DT	the
doctors	NNS	doctor
they	PP	they
still	RB	still
suffer	VVP	suffer
from	IN	from
um	NNS	um
you	PP	you
know	VVP	know
the	DT	the
minimum	NN	minimum
needs	VVZ	need
that	IN/that	that
they	PP	they
need	VVP	need
to	TO	to
uh	UH	uh
intervene	VV	intervene
and	CC	and
to	TO	to
help	VV	help
us	PP	us
or	CC	or
survive	VV	survive
the	DT	the
the	DT	the
injuries	NNS	injury
they	PP	they
appealed	VVD	appeal
Egypt	NP	Egypt
to	TO	to
open	VV	open
the	DT	the
crossings	NNS	crossing
ra	NN	ra
Crossing	VVG	cross
urgently	RB	urgently
to	TO	to
send	VV	send
the	DT	the
injuries	NNS	injury
to	TO	to
the	DT	the
Egyptian	JJ	Egyptian
side	NN	side
to	TO	to
get	VV	get
receive	VV	receive
the	DT	the
proper	JJ	proper
treatment	NN	treatment
in	IN	in
the	DT	the
saai	NN	saai
hospitals	NNS	hospital
safat	NN	safat
we	PP	we
really	RB	really
appreciate	VVP	appreciate
your	PP$	your
reporting	VVG	report
this	DT	this
difficult	JJ	difficult
time	NN	time
safat	NN	safat
Al	NP	Al
Kut	NP	Kut
speaking	VVG	speak
to	TO	to
us	PP	us
there	RB	there
on	IN	on
the	DT	the
phone	NN	phone
from	IN	from
G	NP	G
now	RB	now
if	IN	if
you	PP	you
'	POS	'
re	NN	re
wondering	VVG	wonder
what	WP	what
that	DT	that
sound	NN	sound
is	VBZ	be
in	IN	in
the	DT	the
background	NN	background
that	DT	that
constant	JJ	constant
uh	UH	uh
droning	VVG	drone
sound	NN	sound
that	WDT	that
is	VBZ	be
indeed	RB	indeed
Israeli	JJ	Israeli
drones	VVZ	drone
uh	UH	uh
flying	VVG	fly
constantly	RB	constantly
over	IN	over
Gaza	NP	Gaza
that	WDT	that
'	POS	'
s	NN	S
the	DT	the
sound	VV	sound
we	PP	we
'	POS	'
re	NN	re
hearing	NN	hearing
in	IN	in
the	DT	the
background	NN	background
