thanks	NNS	thanks
and	CC	and
and	CC	and
they	PP	they
'	POS	'
re	NN	re
acting	VVG	act
quite	RB	quite
heroic	JJ	heroic
every	DT	every
day	NN	day
to	TO	to
continue	VV	continue
to	TO	to
deliver	VV	deliver
services	NNS	service
to	TO	to
the	DT	the
people	NNS	people
that	WDT	that
are	VBP	be
here	RB	here
I	PP	I
wanted	VVD	want
to	TO	to
get	VV	get
your	PP$	your
response	NN	response
to	TO	to
the	DT	the
effectiveness	NN	effectiveness
of	IN	of
this	DT	this
pier	NN	pier
or	CC	or
pontoon	NN	pontoon
that	IN/that	that
the	DT	the
Americans	NPS	Americans
have	VHP	have
built	VVN	build
uh	UH	uh
just	RB	just
uh	UH	uh
not	RB	not
far	RB	far
from	IN	from
from	IN	from
Gaza	NP	Gaza
City	NP	City
the	DT	the
aim	NN	aim
is	VBZ	be
to	TO	to
bring	VV	bring
in	IN	in
obviously	RB	obviously
Aid	NN	aid
much	RB	much
needed	VVN	need
Aid	NN	aid
to	TO	to
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
uh	UH	uh
from	IN	from
sea	NN	sea
although	IN	although
it	PP	it
seems	VVZ	seem
to	TO	to
fall	VV	fall
significantly	RB	significantly
short	JJ	short
of	IN	of
what	WP	what
'	POS	'
s	NN	S
really	RB	really
needed	VVN	need
in	IN	in
total	NN	total
across	IN	across
the	DT	the
strip	NN	strip
how	WRB	how
effective	JJ	effective
do	VVP	do
you	PP	you
think	VVP	think
that	WDT	that
is	VBZ	be
as	RB	as
a	DT	a
source	NN	source
of	IN	of
Aid	NP	Aid
I	PP	I
first	JJ	first
I	PP	I
would	MD	would
say	VV	say
we	PP	we
welcome	VV	welcome
any	DT	any
openings	NNS	opening
that	WDT	that
bring	VVP	bring
more	RBR	more
a	DT	a
into	IN	into
Gaza	NP	Gaza
and	CC	and
the	DT	the
UN	NP	UN
has	VHZ	have
called	VVN	call
for	IN	for
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
and	CC	and
you	PP	you
know	VVP	know
as	RB	as
long	RB	long
as	IN	as
this	DT	this
is	VBZ	be
additive	JJ	additive
and	CC	and
not	RB	not
meant	VVN	mean
to	TO	to
be	VB	be
a	DT	a
replacement	NN	replacement
for	IN	for
other	JJ	other
Crossings	NNS	crossing
it	PP	it
'	POS	'
s	NN	S
very	RB	very
much	RB	much
welcome	VV	welcome
uh	UH	uh
few	JJ	few
days	NNS	day
so	RB	so
to	TO	to
really	RB	really
gauge	VV	gauge
its	PP$	its
efficiency	NN	efficiency
and	CC	and
Effectiveness	NN	effectiveness
is	VBZ	be
going	VVG	go
to	TO	to
take	VV	take
a	DT	a
little	JJ	little
bit	NN	bit
more	RBR	more
time	VV	time
uh	UH	uh
but	CC	but
what	WP	what
I	PP	I
would	MD	would
agree	VV	agree
with	IN	with
you	PP	you
that	IN/that	that
you	PP	you
said	VVD	say
is	VBZ	be
we	PP	we
in	IN	in
Gaza	NP	Gaza
and	CC	and
be	VB	be
that	IN/that	that
through	IN	through
the	DT	the
port	NN	port
be	VB	be
or	CC	or
the	DT	the
pier	NN	pier
or	CC	or
through	IN	through
the	DT	the
Crossing	NN	crossing
in	IN	in
the	DT	the
North	NP	North
or	CC	or
primarily	RB	primarily
through	IN	through
Kum	NP	Kum
Shalom	NP	Shalom
uh	UH	uh
we	PP	we
welcome	VVP	welcome
anything	NN	anything
coming	VVG	come
in	IN	in
through	IN	through
any	DT	any
of	IN	of
those	DT	those
Crossings	NNS	crossing
but	CC	but
it	PP	it
needs	VVZ	need
to	TO	to
be	VB	be
at	IN	at
a	DT	a
scale	NN	scale
that	RB	that
'	POS	'
s	NN	S
sufficient	JJ	sufficient
to	TO	to
sustain	VV	sustain
the	DT	the
needs	NNS	need
of	IN	of
the	DT	the
people	NNS	people
in	IN	in
Gaza	NP	Gaza
all	DT	all
right	JJ	right
Scott	NP	Scott
Anderson	NP	Anderson
senior	JJ	senior
deputy	JJ	deputy
director	NN	director
of	IN	of
unra	NP	unra
Affairs	NPS	Affairs
speaking	NN	speaking
to	TO	to
us	PP	us
from	IN	from
Rafa	NP	Rafa
many	JJ	many
thanks	NNS	thanks
for	IN	for
joining	VVG	join
us	PP	us
on	IN	on
aler	NN	aler
thank	VVP	thank
you	PP	you
make	VVP	make
sure	RB	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
