Peace	NN	peace
no	DT	no
soap	NN	soap
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
paper	NN	paper
in	IN	in
which	WDT	which
we	PP	we
wash	VVP	wash
our	PP$	our
hands	NNS	hand
.	SENT	.
We	PP	we
make	VVP	make
breastfeeding	VVG	breastfeed
for	IN	for
premature	JJ	premature
and	CC	and
full	JJ	full
-	NN	-
term	NN	term
newborns	NNS	newborn
.	SENT	.
There	EX	there
is	VBZ	be
some	DT	some
sweet	JJ	sweet
water	NN	water
to	TO	to
boil	VV	boil
.	SENT	.
We	PP	we
have	VHP	have
a	DT	a
problem	NN	problem
with	IN	with
births	NNS	birth
,	,	,
as	IN	as
we	PP	we
do	VVP	do
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
the	DT	the
care	NN	care
is	VBZ	be
almost	RB	almost
always	RB	always
divided	VVN	divide
on	IN	on
our	PP$	our
behalf	NN	behalf
.	SENT	.
Even	RB	even
if	IN	if
I	PP	I
tell	VVP	tell
you	PP	you
,	,	,
there	EX	there
are	VBP	be
more	JJR	more
beds	NNS	bed
than	IN	than
necessary	JJ	necessary
.	SENT	.
We	PP	we
worked	VVD	work
one	CD	one
eighth	NN	eighth
of	IN	of
the	DT	the
cases	NNS	case
on	IN	on
six	CD	six
incubators	NNS	incubator
.	SENT	.
Eight	CD	eight
cases	NNS	case
were	VBD	be
on	IN	on
six	CD	six
respiratory	JJ	respiratory
machines	NNS	machine
on	IN	on
six	CD	six
incubators	NNS	incubator
on	IN	on
our	PP$	our
behalf	NN	behalf
.	SENT	.
This	DT	this
child	NN	child
,	,	,
Hassan	NP	Hassan
Mishmish	NP	Mishmish
,	,	,
came	VVD	come
to	TO	to
us	PP	us
about	IN	about
a	DT	a
year	NN	year
ago	RB	ago
.	SENT	.
During	IN	during
the	DT	the
days	NNS	day
they	PP	they
took	VVD	take
him	PP	him
from	IN	from
under	IN	under
the	DT	the
rubble	NN	rubble
,	,	,
from	IN	from
the	DT	the
presence	NN	presence
of	IN	of
his	PP$	his
martyred	VVN	martyr
mother	NN	mother
and	CC	and
father	NN	father
,	,	,
his	PP$	his
mother	NN	mother
and	CC	and
father	NN	father
were	VBD	be
martyred	VVN	martyr
.	SENT	.
They	PP	they
brought	VVD	bring
him	PP	him
from	IN	from
under	IN	under
the	DT	the
rubble	NN	rubble
.	SENT	.
We	PP	we
made	VVD	make
him	PP	him
a	DT	a
full	JJ	full
bath	NN	bath
.	SENT	.
It	PP	it
was	VBD	be
all	DT	all
lead	JJ	lead
ashes	NNS	ash
,	,	,
and	CC	and
God	NP	God
willing	JJ	willing
,	,	,
even	RB	even
his	PP$	his
brother	NN	brother
was	VBD	be
also	RB	also
in	IN	in
the	DT	the
children	NNS	child
’	POS	'
s	NN	S
section	NN	section
.	SENT	.
Six	CD	six
people	NNS	people
were	VBD	be
sleeping	VVG	sleep
with	IN	with
him	PP	him
.	SENT	.
Is	VBZ	be
there	RB	there
anyone	NN	anyone
for	IN	for
this	DT	this
baby	NN	baby
so	RB	so
far	RB	far
who	WP	who
is	VBZ	be
free	JJ	free
to	TO	to
hold	VV	hold
him	PP	him
