<video_id>NsTSV7QlUh0</video_id>	JJ	<video_id>NsTSV7QlUh0</video_id>
if	IN	if
they	PP	they
want	VVP	want
to	TO	to
get	VV	get
married	JJ	married
if	IN	if
they	PP	they
want	VVP	want
to	TO	to
register	VV	register
their	PP$	their
children	NNS	child
in	IN	in
the	DT	the
uh	UH	uh
public	NN	public
population	NN	population
registry	NN	registry
so	RB	so
add	VV	add
to	TO	to
that	WDT	that
the	DT	the
already	RB	already
difficult	JJ	difficult
scenes	NNS	scene
that	IN/that	that
Palestinians	NNS	Palestinian
are	VBP	be
seeing	VVG	see
and	CC	and
that	WDT	that
are	VBP	be
coming	VVG	come
out	RP	out
from	IN	from
the	DT	the
besieged	JJ	besieged
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
you	PP	you
can	MD	can
just	RB	just
get	VV	get
a	DT	a
feeling	NN	feeling
of	IN	of
how	WRB	how
much	RB	much
Palestinians	NPS	Palestinians
are	VBP	be
frustrated	VVN	frustrate
how	WRB	how
much	JJ	much
they're	NN	they're
triggered	VVD	trigger
how	WRB	how
much	JJ	much
they	PP	they
feel	VVP	feel
that	DT	that
they've	NN	they've
been	VBN	be
left	VVN	leave
alone	RB	alone
already	RB	already
we	PP	we
were	VBD	be
talking	VVG	talk
about	IN	about
2023	CD	@card@
being	VBG	be
the	DT	the
deadliest	JJS	deadly
year	NN	year
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
in	IN	in
two	CD	two
decades	NNS	decade
so	IN	so
Palestinians	NPS	Palestinians
here	RB	here
would	MD	would
tell	VV	tell
you	PP	you
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
were	VBD	be
already	RB	already
trigger	VV	trigger
happy	JJ	happy
so	IN	so
you	PP	you
can	MD	can
imagine	VV	imagine
in	IN	in
a	DT	a
state	NN	state
of	IN	of
War	NP	War
as	IN	as
the	DT	the
Palestinians	NPS	Palestinians
are	VBP	be
being	VBG	be
killed	VVN	kill
as	IN	as
the	DT	the
world	NN	world
is	VBZ	be
showing	VVG	show
more	JJR	more
and	CC	and
more	JJR	more
support	NN	support
for	IN	for
for	IN	for
Israel	NP	Israel
that	IN/that	that
these	DT	these
numbers	NNS	number
of	IN	of
casualties	NNS	casualty
are	VBP	be
going	VVG	go
to	TO	to
increase	VV	increase
yeah	RB	yeah
Nita	NP	Nita
can	MD	can
you	PP	you
just	RB	just
explain	VV	explain
what	WP	what
will	MD	will
happen	VV	happen
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
when	WRB	when
this	DT	this
potential	JJ	potential
escalation	NN	escalation
this	DT	this
military	JJ	military
escalation	NN	escalation
comes	VVZ	come
from	IN	from
Israel	NP	Israel
into	IN	into
Gaza	NP	Gaza
what	WP	what
what	WP	what
uh	UH	uh
direct	JJ	direct
impact	NN	impact
will	MD	will
that	RB	that
have	VH	have
on	IN	on
the	DT	the
West	NP	West
Bank	NP	Bank
well	RB	well
it's	NNS	it's
hard	JJ	hard
to	TO	to
tell	VV	tell
how	WRB	how
and	CC	and
when	WRB	when
if	IN	if
and	CC	and
if	IN	if
the	DT	the
Palestinian	JJ	Palestinian
armed	JJ	armed
groups	NNS	group
are	VBP	be
going	VVG	go
to	TO	to
be	VB	be
retaliating	VVG	retaliate
towards	IN	towards
what's	NN	what's
happening	NN	happening
we've	NN	we've
been	VBN	be
seeing	VVG	see
uh	UH	uh
some	DT	some
armed	JJ	armed
groups	NNS	group
here	RB	here
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
gather	VV	gather
and	CC	and
carry	VV	carry
arms	NNS	arm
and	CC	and
use	VVP	use
that	IN/that	that
in	IN	in
committing	VVG	commit
attacks	NNS	attack
against	IN	against
Israeli	JJ	Israeli
forces	NNS	force
um	NNS	um
so	IN	so
it's	NNS	it's
hard	JJ	hard
to	TO	to
tell	VV	tell
whether	IN	whether
they	PP	they
can	MD	can
do	VV	do
that	IN/that	that
now	RB	now
with	IN	with
the	DT	the
state	NN	state
of	IN	of
total	JJ	total
closure	NN	closure
between	IN	between
different	JJ	different
cities	NNS	city
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
and	CC	and
we	PP	we
are	VBP	be
talking	VVG	talk
about	IN	about
a	DT	a
population	NN	population
that	WDT	that
is	VBZ	be
largely	RB	largely
unarmed	VVN	unarm
that	IN/that	that
it	PP	it
knows	VVZ	know
it's	NNS	it's
facing	VVG	face
a	DT	a
heavy	JJ	heavy
military	NN	military
with	IN	with
the	DT	the
most	RBS	most
technological	JJ	technological
and	CC	and
advanced	JJ	advanced
Weaponry	NN	weaponry
um	NNS	um
so	IN	so
you	PP	you
know	VVP	know
where	WRB	where
the	DT	the
power	NN	power
lies	VVZ	lie
in	IN	in
this	DT	this
conflict	NN	conflict
but	CC	but
we've	NN	we've
been	VBN	be
speaking	VVG	speak
to	TO	to
those	DT	those
groups	NNS	group
that	WDT	that
have	VHP	have
been	VBN	be
uh	UH	uh
uh	UH	uh
grouping	VVG	group
together	RB	together
and	CC	and
working	VVG	work
together	RB	together
in	IN	in
Janine	NP	Janine
and	CC	and
Naas	NP	Naas
and	CC	and
people	NNS	people
there	RB	there
would	MD	would
say	VV	say
yes	UH	yes
we	PP	we
know	VVP	know
we	PP	we
are	VBP	be
the	DT	the
weaker	JJR	weak
party	NN	party
but	CC	but
that	IN/that	that
doesn't	NP	doesn't
mean	VV	mean
to	TO	to
give	VV	give
up	RP	up
and	CC	and
for	IN	for
them	PP	them
it	PP	it
is	VBZ	be
expected	VVN	expect
for	IN	for
their	PP$	their
feelings	NNS	feeling
to	TO	to
get	VV	get
even	RB	even
more	RBR	more
agitated	VVN	agitate
as	IN	as
they're	NN	they're
seeing	VVG	see
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
pushing	VVG	push
uh	UH	uh
more	JJR	more
than	IN	than
1	CD	@card@
million	CD	million
Palestinians	NPS	Palestinians
uh	UH	uh
away	RB	away
from	IN	from
their	PP$	their
homes	NNS	home
in	IN	in
Gaza	NP	Gaza
so	IN	so
they're	NN	they're
looking	VVG	look
at	IN	at
the	DT	the
situation	NN	situation
and	CC	and
seeing	VVG	see
that	IN/that	that
the	DT	the
world	NN	world
saying	VVG	say
that	IN/that	that
the	DT	the
world	NN	world
is	VBZ	be
witnessing	VVG	witness
another	DT	another
neba	NN	neba
which	WDT	which
is	VBZ	be
the	DT	the
catastrophe	NN	catastrophe
that	WDT	that
took	VVD	take
place	NN	place
in	IN	in
1948	CD	@card@
where	WRB	where
we've	NP	we've
seen	VVN	see
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
Palestinians	NNS	Palestinian
being	VBG	be
displaced	VVN	displace
from	IN	from
their	PP$	their
homes	NNS	home
as	IN	as
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
has	VHZ	have
been	VBN	be
created	VVN	create
so	IN	so
you	PP	you
can	MD	can
imagine	VV	imagine
that	IN/that	that
the	DT	the
Palestinians	NPS	Palestinians
feel	VVP	feel
that	DT	that
they're	NN	they're
totally	RB	totally
being	VBG	be
left	VVN	leave
alone	RB	alone
K	NN	K
being	VBG	be
killed	VVN	kill
in	IN	in
front	NN	front
of	IN	of
the	DT	the
world's	NNS	world's
cameras	NNS	camera
while	IN	while
no	DT	no
one	CD	one
is	VBZ	be
paying	VVG	pay
attention	NN	attention
to	TO	to
their	PP$	their
plight	NN	plight
as	IN	as
victims	NNS	victim
of	IN	of
decades	NNS	decade
long	RB	long
Israeli	JJ	Israeli
military	JJ	military
occupation	NN	occupation
okay	NN	okay
thank	VVP	thank
you	PP	you
so	RB	so
much	JJ	much
that	WDT	that
is	VBZ	be
Nita	NP	Nita
Ibrahim	NP	Ibrahim
for	IN	for
us	PP	us
in	IN	in
bate	NN	bate
L	NN	L
well	RB	well
Imran	NP	Imran
Khan	NP	Khan
is	VBZ	be
outside	IN	outside
a	DT	a
hospital	NN	hospital
in	IN	in
rala	NN	rala
and	CC	and
he	PP	he
sent	VVD	send
us	PP	us
this	DT	this
report	NN	report
all	RB	all
throughout	IN	throughout
the	DT	the
day	NN	day
we've	NN	we've
seen	VVN	see
ambulances	NNS	ambulance
arrive	VVP	arrive
here	RB	here
from	IN	from
various	JJ	various
demonstrations	NNS	demonstration
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
this	DT	this
ambulance	NN	ambulance
is	VBZ	be
actually	RB	actually
arriving	VVG	arrive
with	IN	with
a	DT	a
critically	RB	critically
uh	UH	uh
injured	JJ	injured
person	NN	person
you	PP	you
can	MD	can
see	VV	see
everybody	NN	everybody
uh	UH	uh
all	PDT	all
the	DT	the
Medics	NNS	medic
get	VVP	get
around	RP	around
um	NNS	um
now	RB	now
what	WP	what
the	DT	the
EMTs	NNS	EMTs
are	VBP	be
telling	VVG	tell
us	PP	us
is	VBZ	be
that	IN/that	that
the	DT	the
types	NNS	type
of	IN	of
injuries	NNS	injury
that	IN/that	that
they're	NNS	they're
seeing	VVG	see
are	VBP	be
from	IN	from
live	JJ	live
fire	NN	fire
and	CC	and
they	PP	they
say	VVP	say
that	IN/that	that
there	EX	there
is	VBZ	be
an	DT	an
excessive	JJ	excessive
use	NN	use
of	IN	of
force	NN	force
against	IN	against
Palestinians	NPS	Palestinians
um	NNS	um
normally	RB	normally
the	DT	the
Israelis	NPS	Israelis
would	MD	would
use	VV	use
rubber	NN	rubber
coated	JJ	coated
steel	NN	steel
bullets	NNS	bullet
they	PP	they
would	MD	would
use	VV	use
tear	VV	tear
gas	NN	gas
but	CC	but
now	RB	now
it	PP	it
seems	VVZ	seem
that	IN/that	that
they	PP	they
are	VBP	be
using	VVG	use
life	NN	life
fire	NN	fire
against	IN	against
the	DT	the
protesters	NNS	protester
now	RB	now
right	RB	right
now	RB	now
uh	UH	uh
the	DT	the
hospital	NN	hospital
says	VVZ	say
it's	NNS	it's
not	RB	not
overwhelmed	VVN	overwhelm
but	CC	but
it	PP	it
is	VBZ	be
worried	JJ	worried
that	IN/that	that
if	IN	if
things	NNS	thing
escalate	VVP	escalate
it	PP	it
could	MD	could
simply	RB	simply
become	VV	become
overwhelmed	JJ	overwhelmed
Imran	NP	Imran
Khan	NP	Khan
Al	NP	Al
jazer	NN	jazer
ramala	NN	ramala
</doc>	NN	</doc>
