<video_id>mM_7dDGg-cU</video_id>	JJ	<video_id>mM_7dDGg-cU</video_id>
injured	VVN	injure
as	IN	as
a	DT	a
result	NN	result
we	PP	we
the	DT	the
civil	JJ	civil
teams	NNS	team
are	VBP	be
suffering	VVG	suffer
sharp	JJ	sharp
shortage	NN	shortage
of	IN	of
team	NN	team
members	NNS	member
minutes	NNS	minute
ago	RB	ago
only	RB	only
minutes	VVZ	minute
ago	RB	ago
one	CD	one
of	IN	of
our	PP$	our
fellow	JJ	fellow
civil	JJ	civil
defense	NN	defense
members	NNS	member
lost	VVD	lose
his	PP$	his
limb	VV	limb
his	PP$	his
right	JJ	right
leg	NN	leg
was	VBD	be
severed	VVN	sever
from	IN	from
the	DT	the
knee	NN	knee
as	IN	as
this	DT	this
is	VBZ	be
only	RB	only
an	DT	an
example	NN	example
we	PP	we
are	VBP	be
standing	VVG	stand
defenseless	JJ	defenseless
helpless	JJ	helpless
amid	IN	amid
all	PDT	all
this	DT	this
destruction	NN	destruction
and	CC	and
we	PP	we
cannot	MD	can
do	VV	do
anything	NN	anything
to	TO	to
our	PP$	our
own	JJ	own
people	NNS	people
I	PP	I
can	MD	can
continue	VV	continue
to	TO	to
speak	VV	speak
for	IN	for
days	NNS	day
however	RB	however
this	RB	this
ask	VV	ask
you	PP	you
a	DT	a
specific	JJ	specific
question	NN	question
here	RB	here
if	IN	if
I	PP	I
could	MD	could
jump	VV	jump
in	IN	in
uh	UH	uh
Mr	NP	Mr
basal	JJ	basal
are	VBP	be
your	PP$	your
teams	NNS	team
in	IN	in
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
strip	NN	strip
you've	NN	you've
explained	VVD	explain
the	DT	the
situation	NN	situation
in	IN	in
the	DT	the
north	NN	north
where	WRB	where
you	PP	you
have	VHP	have
no	DT	no
more	JJR	more
equipment	NN	equipment
all	PDT	all
your	PP$	your
equipment	NN	equipment
has	VHZ	have
been	VBN	be
destroyed	VVN	destroy
hundreds	NNS	hundred
if	IN	if
not	RB	not
thousands	NNS	thousand
of	IN	of
people	NNS	people
remain	VVP	remain
buried	VVN	bury
under	IN	under
the	DT	the
debris	NN	debris
I	PP	I
wonder	VVP	wonder
in	IN	in
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
strip	NN	strip
now	RB	now
since	IN	since
Israel	NP	Israel
is	VBZ	be
intensifying	VVG	intensify
the	DT	the
bombardments	NNS	bombardment
there	EX	there
are	VBP	be
your	PP$	your
teams	NNS	team
able	JJ	able
to	TO	to
move	VV	move
from	IN	from
one	CD	one
area	NN	area
to	TO	to
the	DT	the
other	JJ	other
whether	IN	whether
it's	NP	it's
Rafa	NP	Rafa
whether	IN	whether
it's	NN	it's
hunis	NNS	hunis
in	IN	in
order	NN	order
to	TO	to
bring	VV	bring
the	DT	the
help	NN	help
that	WDT	that
is	VBZ	be
needed	VVN	need
after	IN	after
strikes	NNS	strike
as	IN	as
we	PP	we
speak	VVP	speak
G	NP	G
strip	NN	strip
is	VBZ	be
divided	VVN	divide
into	IN	into
two	CD	two
the	DT	the
northern	JJ	northern
part	NN	part
and	CC	and
the	DT	the
southern	JJ	southern
part	NN	part
it	PP	it
is	VBZ	be
very	RB	very
difficult	JJ	difficult
to	TO	to
move	VV	move
between	IN	between
both	CC	both
the	DT	the
sectors	NNS	sector
we	PP	we
tried	VVD	try
on	IN	on
a	DT	a
number	NN	number
of	IN	of
occasions	NNS	occasion
to	TO	to
at	IN	at
least	JJS	least
uh	UH	uh
allow	VV	allow
some	DT	some
of	IN	of
our	PP$	our
team	NN	team
members	NNS	member
to	TO	to
head	VV	head
to	TO	to
the	DT	the
south	NN	south
in	IN	in
order	NN	order
to	TO	to
lend	VV	lend
a	DT	a
helping	VVG	help
hand	NN	hand
to	TO	to
our	PP$	our
fellow	JJ	fellow
uh	UH	uh
teams	NNS	team
however	RB	however
those	DT	those
team	NN	team
members	NNS	member
were	VBD	be
detained	VVN	detain
by	IN	by
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
more	JJR	more
than	IN	than
five	CD	five
of	IN	of
our	PP$	our
team	NN	team
members	NNS	member
uh	UH	uh
were	VBD	be
detained	VVN	detain
and	CC	and
we	PP	we
do	VVP	do
not	RB	not
know	VV	know
where	WRB	where
their	PP$	their
whereabouts	NN	whereabouts
they	PP	they
were	VBD	be
detained	VVN	detain
by	IN	by
the	DT	the
Israelis	NPS	Israelis
aten	NN	aten
Unice	NP	Unice
Road	NP	Road
block	NN	block
and	CC	and
we	PP	we
do	VVP	do
not	RB	not
know	VV	know
exactly	RB	exactly
what	WP	what
has	VHZ	have
become	VVN	become
of	IN	of
them	PP	them
are	VBP	be
they	PP	they
detained	VVD	detain
were	VBD	be
they	PP	they
killed	VVD	kill
we	PP	we
do	VVP	do
not	RB	not
know	VV	know
that	WDT	that
means	VVZ	mean
no	DT	no
one	CD	one
is	VBZ	be
able	JJ	able
to	TO	to
move	VV	move
from	IN	from
South	NP	South
to	TO	to
the	DT	the
North	NP	North
or	CC	or
North	NP	North
to	TO	to
South	NP	South
whatever	WDT	whatever
team	NN	team
members	NNS	member
in	IN	in
One	CD	one
location	NN	location
they	PP	they
should	MD	should
remain	VV	remain
and	CC	and
try	VV	try
to	TO	to
operate	VV	operate
within	IN	within
the	DT	the
very	RB	very
few	JJ	few
perimeters	NNS	perimeter
as	IN	as
they	PP	they
could	MD	could
this	DT	this
adds	VVZ	add
to	TO	to
the	DT	the
difficulties	NNS	difficulty
we	PP	we
have	VHP	have
been	VBN	be
already	RB	already
facing	VVG	face
especially	RB	especially
that	IN/that	that
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
Gaza	NP	Gaza
Strip	NP	Strip
is	VBZ	be
reeling	VVG	reel
under	IN	under
intense	JJ	intense
bombardment	NN	bombardment
by	IN	by
the	DT	the
Israeli	JJ	Israeli
War	NP	War
ples	NNS	ples
nothing	NN	nothing
but	CC	but
destruction	NN	destruction
magnitude	NN	magnitude
of	IN	of
Destruction	NN	destruction
is	VBZ	be
in	IN	in
unspeakable	JJ	unspeakable
Indescribable	JJ	indescribable
Mahmud	NP	Mahmud
basal	JJ	basal
head	NN	head
of	IN	of
defense	NN	defense
in	IN	in
Gaza	NP	Gaza
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
your	PP$	your
time	NN	time
today	NN	today
</doc>	NN	</doc>
