nearly	RB	nearly
South	NP	South
Africa	NP	Africa
has	VHZ	have
ask	VV	ask
this	DT	this
court	NN	court
for	IN	for
provisional	JJ	provisional
measures	NNS	measure
against	IN	against
Israel	NP	Israel
to	TO	to
stop	VV	stop
its	PP$	its
Relentless	JJ	relentless
attacks	NNS	attack
its	PP$	its
arguments	NNS	argument
sounding	VVG	sound
more	RBR	more
urgent	JJ	urgent
each	DT	each
time	NN	time
with	IN	with
Israel	NP	Israel
pursuing	VVG	pursue
its	PP$	its
War	NP	War
AIMS	NNS	aim
in	IN	in
Gaza	NP	Gaza
many	RB	many
are	VBP	be
wondering	VVG	wonder
what	WP	what
international	JJ	international
Justice	NP	Justice
can	MD	can
do	VV	do
to	TO	to
prevent	VV	prevent
and	CC	and
stop	VV	stop
genocide	NN	genocide
South	NP	South
Africa	NP	Africa
argues	VVZ	argue
the	DT	the
court	NN	court
does	VVZ	do
have	VH	have
the	DT	the
authority	NN	authority
the	DT	the
essential	JJ	essential
point	NN	point
is	VBZ	be
that	IN/that	that
the	DT	the
court	NN	court
has	VHZ	have
the	DT	the
power	NN	power
to	TO	to
act	VV	act
to	TO	to
ensure	VV	ensure
that	IN/that	that
its	PP$	its
previous	JJ	previous
orders	NNS	order
and	CC	and
its	PP$	its
eventual	JJ	eventual
judgment	NN	judgment
will	MD	will
not	RB	not
be	VB	be
worthless	JJ	worthless
and	CC	and
that	IN/that	that
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
will	MD	will
be	VB	be
protected	VVN	protect
and	CC	and
that	IN/that	that
it	PP	it
needs	VVZ	need
to	TO	to
exercise	VV	exercise
that	DT	that
power	NN	power
now	RB	now
Israel	NP	Israel
will	MD	will
have	VH	have
its	PP$	its
turn	NN	turn
at	IN	at
the	DT	the
court	NN	court
on	IN	on
Friday	NP	Friday
so	RB	so
far	RB	far
it	PP	it
has	VHZ	have
called	VVN	call
the	DT	the
accusations	NNS	accusation
of	IN	of
genocide	NN	genocide
baseless	JJ	baseless
but	CC	but
with	IN	with
Egypt	NP	Egypt
now	RB	now
reporting	VVG	report
South	NP	South
Africa	NP	Africa
'	POS	'
s	NN	S
case	NN	case
international	JJ	international
pressure	NN	pressure
on	IN	on
Israel	NP	Israel
in	IN	in
and	CC	and
outside	IN	outside
the	DT	the
court	NN	court
is	VBZ	be
increasing	VVG	increase
step	NN	step
fasten	VV	fasten
elazer	NN	elazer
the	DT	the
hake	NN	hake
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NP	jazer
