<video_id>1TsgINcg-ss</video_id>	JJ	<video_id>1TsgINcg-ss</video_id>
with	IN	with
the	DT	the
help	NN	help
of	IN	of
Allah	NP	Allah
Almighty	JJ	almighty
our	PP$	our
enemy	NN	enemy
today	NN	today
is	VBZ	be
doing	VVG	do
what	WP	what
is	VBZ	be
doing	VVG	do
with	IN	with
the	DT	the
support	NN	support
and	CC	and
I	PP	I
feel	VVP	feel
sorry	RB	sorry
to	TO	to
say	VV	say
with	IN	with
the	DT	the
support	NN	support
of	IN	of
the	DT	the
American	NP	American
Administration	NP	Administration
and	CC	and
some	DT	some
European	JJ	European
countries	NNS	country
because	IN	because
they	PP	they
have	VHP	have
this	DT	this
double	JJ	double
uh	UH	uh
understanding	NN	understanding
and	CC	and
double	JJ	double
vision	NN	vision
they	PP	they
are	VBP	be
now	RB	now
going	VVG	go
back	RB	back
by	IN	by
the	DT	the
way	NN	way
but	CC	but
they	PP	they
still	RB	still
think	VVP	think
that	IN/that	that
what	WP	what
is	VBZ	be
being	VBG	be
done	VVN	do
by	IN	by
the	DT	the
zus	NN	zus
regime	NN	regime
the	DT	the
psychologic	JJ	psychologic
I	NP	I
War	NP	War
and	CC	and
the	DT	the
spreading	VVG	spread
papers	NNS	paper
and	CC	and
and	CC	and
this	DT	this
here	RB	here
and	CC	and
there	RB	there
to	TO	to
our	PP$	our
people	NNS	people
that	IN/that	that
our	PP$	our
people	NNS	people
will	MD	will
relocate	VV	relocate
will	MD	will
immigrate	VV	immigrate
will	MD	will
be	VB	be
displaced	VVN	displace
but	CC	but
no	DT	no
way	NN	way
it's	NNS	it's
a	DT	a
dream	NN	dream
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
are	VBP	be
adhering	VVG	adhere
to	TO	to
the	DT	the
lands	NNS	land
adhering	VVG	adhere
to	TO	to
the	DT	the
Nations	NPS	Nations
they	PP	they
will	MD	will
never	RB	never
leave	VV	leave
Gaza	NP	Gaza
they	PP	they
will	MD	will
never	RB	never
immigrate	VV	immigrate
whatsoever	RB	whatsoever
done	VVN	do
by	IN	by
you	PP	you
The	DT	the
Killers	NNS	killer
the	DT	the
criminals	NNS	criminal
we	PP	we
have	VHP	have
only	RB	only
one	CD	one
line	NN	line
to	TO	to
return	VV	return
back	RB	back
to	TO	to
our	PP$	our
territories	NNS	territory
to	TO	to
our	PP$	our
houses	NNS	house
to	TO	to
the	DT	the
land	NN	land
of	IN	of
our	PP$	our
grand	JJ	grand
parents	NNS	parent
it	PP	it
is	VBZ	be
not	RB	not
far	RB	far
away	RB	away
it's	NNS	it's
within	IN	within
hands	NNS	hand
this	DT	this
attack	NN	attack
the	DT	the
Strategic	NP	Strategic
attack	NN	attack
Byam	NP	Byam
against	IN	against
you	PP	you
says	VVZ	say
that	IN/that	that
the	DT	the
freedom	NN	freedom
and	CC	and
our	PP$	our
return	NN	return
is	VBZ	be
very	RB	very
close	JJ	close
with	IN	with
the	DT	the
help	NN	help
of	IN	of
Almighty	JJ	almighty
that's	NNS	that's
why	WRB	why
I	PP	I
a	DT	a
big	JJ	big
salute	NN	salute
to	TO	to
our	PP$	our
people	NNS	people
in	IN	in
Gaza	NP	Gaza
a	DT	a
big	JJ	big
salute	NN	salute
to	TO	to
those	DT	those
with	IN	with
their	PP$	their
blood	NN	blood
with	IN	with
the	DT	the
fire	NN	fire
are	VBP	be
facing	VVG	face
the	DT	the
killing	VVG	kill
machine	NN	machine
the	DT	the
B	NP	B
baric	JJ	baric
Machine	NN	machine
the	DT	the
fascist	JJ	fascist
machine	NN	machine
of	IN	of
the	DT	the
Zionist	JJ	Zionist
regime	NN	regime
they	PP	they
are	VBP	be
adhering	VVG	adhere
and	CC	and
they	PP	they
are	VBP	be
committed	VVN	commit
to	TO	to
their	PP$	their
houses	NNS	house
to	TO	to
their	PP$	their
mosks	NNS	mosks
to	TO	to
their	PP$	their
land	NN	land
marches	NNS	march
everywhere	RB	everywhere
yesterday	RB	yesterday
under	IN	under
the	DT	the
threat	NN	threat
of	IN	of
the	DT	the
war	NN	war
planes	NNS	plane
to	TO	to
salute	VV	salute
the	DT	the
resistance	NN	resistance
to	TO	to
salute	VV	salute
Alan	NP	Alan
brigades	NNS	brigade
and	CC	and
to	TO	to
stress	VV	stress
that	IN/that	that
we	PP	we
are	VBP	be
here	RB	here
we	PP	we
will	MD	will
stay	VV	stay
here	RB	here
in	IN	in
our	PP$	our
nation	NN	nation
as	RB	as
long	RB	long
as	IN	as
life	NN	life
is	VBZ	be
there	RB	there
this	DT	this
is	VBZ	be
the	DT	the
stand	NN	stand
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
situation	NN	situation
that	WDT	that
should	MD	should
be	VB	be
mentioned	VVN	mention
in	IN	in
the	DT	the
in	IN	in
the	DT	the
honor	NN	honor
list	NN	list
of	IN	of
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
today	NN	today
Gaza	NP	Gaza
is	VBZ	be
facing	VVG	face
the	DT	the
fire	NN	fire
but	CC	but
still	RB	still
Gaza	NP	Gaza
is	VBZ	be
saying	VVG	say
it's	NNS	it's
historic	JJ	historic
word	NN	word
Gaza	NP	Gaza
is	VBZ	be
placing	VVG	place
the	DT	the
right	JJ	right
place	NN	place
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
their	PP$	their
lands	NNS	land
and	CC	and
the	DT	the
Dignity	NN	dignity
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
no	DT	no
immigration	NN	immigration
from	IN	from
Gaza	NP	Gaza
no	DT	no
relocation	NN	relocation
from	IN	from
the	DT	the
West	NP	West
Bank	NP	Bank
no	DT	no
immigration	NN	immigration
from	IN	from
Gaza	NP	Gaza
to	TO	to
Egypt	NP	Egypt
and	CC	and
here	RB	here
I	PP	I
need	VVP	need
to	TO	to
appraise	VV	appraise
the	DT	the
stand	NN	stand
of	IN	of
our	PP$	our
brothers	NNS	brother
in	IN	in
Egypt	NP	Egypt
who	WP	who
are	VBP	be
confirming	VVG	confirm
that	IN/that	that
Egypt	NP	Egypt
is	VBZ	be
a	DT	a
sisterly	JJ	sisterly
country	NN	country
and	CC	and
is	VBZ	be
a	DT	a
supporting	JJ	supporting
country	NN	country
Egypt	NP	Egypt
welcomes	VVZ	welcome
the	DT	the
Sons	NPS	Sons
and	CC	and
Daughters	NNS	daughter
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
but	CC	but
under	IN	under
no	DT	no
name	NN	name
such	JJ	such
as	IN	as
immigration	NN	immigration
or	CC	or
relocation	NN	relocation
I'm	NN	I'm
telling	VVG	tell
my	PP$	my
brothers	NNS	brother
in	IN	in
Egypt	NP	Egypt
our	PP$	our
decision	NN	decision
is	VBZ	be
to	TO	to
stay	VV	stay
in	IN	in
our	PP$	our
land	NN	land
that's	NNS	that's
why	WRB	why
your	PP$	your
decision	NN	decision
is	VBZ	be
our	PP$	our
decision	NN	decision
and	CC	and
we	PP	we
will	MD	will
face	VV	face
the	DT	the
Zionist	JJ	Zionist
plans	NNS	plan
supported	VVN	support
by	IN	by
the	DT	the
US	NP	US
Administration	NP	Administration
it	PP	it
will	MD	will
be	VB	be
a	DT	a
big	JJ	big
failure	NN	failure
our	PP$	our
stanfest	NN	stanfest
and	CC	and
our	PP$	our
unified	JJ	unified
stand	NN	stand
and	CC	and
our	PP$	our
solidarity	NN	solidarity
the	DT	the
Arab	JJ	Arab
solidarity	NN	solidarity
the	DT	the
Islamic	JJ	Islamic
solidarity	NN	solidarity
the	DT	the
world	NN	world
solidarity	NN	solidarity
from	IN	from
the	DT	the
free	JJ	free
people	NNS	people
all	RB	all
over	IN	over
the	DT	the
four	CD	four
corners	NNS	corner
of	IN	of
the	DT	the
world	NN	world
they	PP	they
talk	VVP	talk
about	IN	about
the	DT	the
civilians	NNS	civilian
they	PP	they
shed	VVD	shed
tears	NNS	tear
about	IN	about
the	DT	the
elderly	JJ	elderly
and	CC	and
the	DT	the
kids	NNS	kid
and	CC	and
the	DT	the
women	NNS	woman
and	CC	and
they	PP	they
are	VBP	be
trying	VVG	try
by	IN	by
all	DT	all
means	NN	means
to	TO	to
not	RB	not
to	TO	to
say	VV	say
the	DT	the
right	JJ	right
word	NN	word
about	IN	about
what's	NNS	what's
going	VVG	go
on	IN	on
we	PP	we
belong	VVP	belong
to	TO	to
our	PP$	our
religion	NN	religion
we	PP	we
belong	VVP	belong
to	TO	to
our	PP$	our
ethics	NNS	ethic
and	CC	and
Hamas	NNS	Hamas
has	VHZ	have
always	RB	always
been	VBN	be
Keen	NP	Keen
not	RB	not
to	TO	to
Target	NP	Target
the	DT	the
civili	NN	civili
not	RB	not
to	TO	to
Target	NP	Target
the	DT	the
civilians	NNS	civilian
despite	IN	despite
everything	NN	everything
done	VVN	do
by	IN	by
the	DT	the
Zionist	JJ	Zionist
regime	NN	regime
Hamas	NN	Hamas
is	VBZ	be
part	NN	part
of	IN	of
this	DT	this
great	JJ	great
nation	NN	nation
Hamas	NN	Hamas
is	VBZ	be
a	DT	a
Freedom	NP	Freedom
Movement	NP	Movement
that	WDT	that
belongs	VVZ	belong
to	TO	to
ethics	NNS	ethic
to	TO	to
these	DT	these
religion	NN	religion
to	TO	to
these	DT	these
ethics	NNS	ethic
and	CC	and
what	WP	what
do	VVP	do
you	PP	you
think	VVP	think
about	IN	about
the	DT	the
killing	NN	killing
of	IN	of
civilians	NNS	civilian
from	IN	from
the	DT	the
Palestinian	JJ	Palestinian
side	NN	side
where	WRB	where
are	VBP	be
you	PP	you
when	WRB	when
our	PP$	our
children	NNS	child
are	VBP	be
being	VBG	be
killed	VVN	kill
massacres	NNS	massacre
are	VBP	be
being	VBG	be
committed	VVN	commit
in	IN	in
our	PP$	our
lands	NNS	land
the	DT	the
destruction	NN	destruction
of	IN	of
all	DT	all
houses	NNS	house
and	CC	and
homes	NNS	home
what	WP	what
do	VVP	do
you	PP	you
think	VVP	think
of	IN	of
the	DT	the
destruction	NN	destruction
and	CC	and
demolition	NN	demolition
of	IN	of
the	DT	the
mosqu	NN	mosqu
and	CC	and
the	DT	the
buildings	NNS	building
and	CC	and
the	DT	the
infrastructure	NN	infrastructure
what	WDT	what
is	VBZ	be
your	PP$	your
stand	NN	stand
and	CC	and
what	WP	what
is	VBZ	be
your	PP$	your
position	NN	position
when	WRB	when
you	PP	you
see	VVP	see
the	DT	the
Israelis	NPS	Israelis
killing	VVG	kill
not	RB	not
now	RB	now
before	IN	before
different	JJ	different
Nationals	NNS	national
from	IN	from
different	JJ	different
countries	NNS	country
Palestinians	NPS	Palestinians
and	CC	and
other	JJ	other
citizenships	NNS	citizenship
from	IN	from
other	JJ	other
countries	NNS	country
on	IN	on
the	DT	the
Palestinian	JJ	Palestinian
territories	NNS	territory
that's	NN	that's
why	WRB	why
the	DT	the
movement	NN	movement
will	MD	will
never	RB	never
shake	VV	shake
the	DT	the
movement	NN	movement
will	MD	will
never	RB	never
Shake	NP	Shake
Hamas	NP	Hamas
will	MD	will
never	RB	never
Shake	NP	Shake
in	IN	in
front	NN	front
of	IN	of
these	DT	these
media	NNS	medium
machine	NN	machine
that	WDT	that
are	VBP	be
only	RB	only
telling	VVG	tell
lies	NNS	lie
and	CC	and
there	EX	there
are	VBP	be
some	DT	some
of	IN	of
these	DT	these
media	NNS	medium
Outlets	NNS	outlet
are	VBP	be
Absol	NP	Absol
by	IN	by
the	DT	the
Israeli	JJ	Israeli
narrative	NN	narrative
but	CC	but
very	RB	very
soon	RB	soon
they	PP	they
will	MD	will
discover	VV	discover
the	DT	the
reality	NN	reality
because	IN	because
that	WDT	that
is	VBZ	be
senior	JJ	senior
Hamas	NN	Hamas
leader	NN	leader
is	VBZ	be
Han	NP	Han
saying	VVG	say
they	PP	they
will	MD	will
never	RB	never
leave	VV	leave
Gaza	NP	Gaza
standing	VVG	stand
defiant	JJ	defiant
uh	UH	uh
in	IN	in
the	DT	the
face	NN	face
of	IN	of
a	DT	a
potential	JJ	potential
imminent	JJ	imminent
uh	UH	uh
attack	NN	attack
from	IN	from
Israel	NP	Israel
which	WDT	which
</doc>	NN	</doc>
