<video_id>edwl4btHOgY</video_id>	JJ	<video_id>edwl4btHOgY</video_id>
assaulted	VVN	assault
but	CC	but
some	DT	some
of	IN	of
the	DT	the
medical	JJ	medical
staff	NN	staff
was	VBD	be
interrogated	VVN	interrogate
our	PP$	our
main	JJ	main
problem	NN	problem
now	RB	now
is	VBZ	be
those	DT	those
remaining	VVG	remain
patients	NNS	patient
and	CC	and
victims	NNS	victim
they	PP	they
are	VBP	be
left	VVN	leave
to	TO	to
die	VV	die
we	PP	we
are	VBP	be
helpless	JJ	helpless
and	CC	and
those	DT	those
new	JJ	new
born	VVN	bear
babies	NNS	baby
we	PP	we
are	VBP	be
helpless	JJ	helpless
there	EX	there
is	VBZ	be
nothing	NN	nothing
no	DT	no
oxygen	NN	oxygen
there	EX	there
is	VBZ	be
no	DT	no
even	RB	even
medical	JJ	medical
staff	NN	staff
or	CC	or
nurses	NNS	nurse
to	TO	to
attend	VV	attend
to	TO	to
them	PP	them
we	PP	we
do	VVP	do
not	RB	not
know	VV	know
between	IN	between
270	CD	@card@
to	TO	to
300	CD	@card@
we	PP	we
are	VBP	be
still	RB	still
speaking	VVG	speak
of	IN	of
a	DT	a
huge	JJ	huge
capacity	NN	capacity
of	IN	of
a	DT	a
hospital	NN	hospital
but	CC	but
the	DT	the
entire	JJ	entire
hospital	NN	hospital
is	VBZ	be
out	RP	out
of	IN	of
service	NN	service
for	IN	for
weeks	NNS	week
we	PP	we
over	IN	over
the	DT	the
past	JJ	past
few	JJ	few
weeks	NNS	week
the	DT	the
past	JJ	past
few	JJ	few
days	NNS	day
we	PP	we
were	VBD	be
catering	VVG	cater
to	TO	to
them	PP	them
with	IN	with
the	DT	the
least	JJS	least
at	IN	at
hand	NN	hand
but	CC	but
now	RB	now
we	PP	we
are	VBP	be
left	VVN	leave
with	IN	with
nothing	NN	nothing
the	DT	the
entire	JJ	entire
hospital	NN	hospital
is	VBZ	be
deserted	VVN	desert
only	RB	only
the	DT	the
occupation	NN	occupation
forces	NNS	force
Soldier	NN	soldier
are	VBP	be
everywhere	RB	everywhere
and	CC	and
I'm	NP	I'm
telling	VVG	tell
you	PP	you
if	IN	if
those	DT	those
patients	NNS	patient
wounded	JJ	wounded
D	NP	D
kidney	NN	kidney
failure	NN	failure
uh	UH	uh
patients	NNS	patient
and	CC	and
the	DT	the
newborn	JJ	newborn
babies	NNS	baby
if	IN	if
they	PP	they
are	VBP	be
not	RB	not
transported	VVN	transport
properly	RB	properly
according	VVG	accord
to	TO	to
the	DT	the
medical	JJ	medical
protocols	NNS	protocol
within	IN	within
the	DT	the
coming	VVG	come
few	JJ	few
hours	NNS	hour
they	PP	they
will	MD	will
be	VB	be
left	VVN	leave
to	TO	to
Die	VV	die
the	DT	the
total	JJ	total
hospital	NN	hospital
is	VBZ	be
a	DT	a
wreck	NN	wreck
it	PP	it
is	VBZ	be
a	DT	a
relic	NN	relic
it	PP	it
is	VBZ	be
totally	RB	totally
deserted	VVN	desert
the	DT	the
uh	UH	uh
kidney	NN	kidney
failure	NN	failure
patients	NNS	patient
require	VVP	require
Swift	NP	Swift
dialysis	NN	dialysis
if	IN	if
the	DT	the
remaining	VVG	remain
patients	NNS	patient
are	VBP	be
not	RB	not
transported	VVN	transport
immediately	RB	immediately
without	IN	without
any	DT	any
delay	NN	delay
they	PP	they
will	MD	will
be	VB	be
killed	VVN	kill
they	PP	they
will	MD	will
be	VB	be
left	VVN	leave
to	TO	to
die	VV	die
over	IN	over
the	DT	the
past	JJ	past
few	JJ	few
days	NNS	day
we	PP	we
have	VHP	have
been	VBN	be
k	NN	k
in	IN	in
with	IN	with
the	DT	the
least	JJS	least
at	IN	at
hand	NN	hand
I	PP	I
am	VBP	be
here	RB	here
among	IN	among
them	PP	them
I	PP	I
insisted	VVD	insist
that	IN/that	that
I	PP	I
will	MD	will
not	RB	not
leave	VV	leave
simply	RB	simply
because	IN	because
their	PP$	their
situation	NN	situation
is	VBZ	be
more	JJR	more
than	IN	than
dire	JJ	dire
I	PP	I
cannot	MD	can
leave	VV	leave
them	PP	them
to	TO	to
meet	VV	meet
their	PP$	their
death	NN	death
they	PP	they
are	VBP	be
doomed	VVN	doom
to	TO	to
die	VV	die
they	PP	they
are	VBP	be
helpless	JJ	helpless
including	VVG	include
myself	PP	myself
that's	NNS	that's
why	WRB	why
we	PP	we
were	VBD	be
adamant	JJ	adamant
that	IN/that	that
we	PP	we
are	VBP	be
not	RB	not
leaving	VVG	leave
without	IN	without
those	DT	those
patients	NNS	patient
they	PP	they
are	VBP	be
left	VVN	leave
for	IN	for
imminent	JJ	imminent
death	NN	death
inevitable	NN	inevitable
we	PP	we
have	VHP	have
explained	VVN	explain
this	DT	this
to	TO	to
the	DT	the
whole	JJ	whole
world	NN	world
especially	RB	especially
the	DT	the
newborn	JJ	newborn
babies	NNS	baby
the	DT	the
whole	JJ	whole
world	NN	world
must	MD	must
act	VV	act
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
have	VHP	have
forced	VVN	force
out	RP	out
more	JJR	more
than	IN	than
5,000	CD	@card@
people	NNS	people
civilians	NNS	civilian
patients	NNS	patient
and	CC	and
wounded	JJ	wounded
victim	NN	victim
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
have	VHP	have
no	DT	no
execuse	NN	execuse
those	DT	those
babies	NNS	baby
and	CC	and
patients	NNS	patient
must	MD	must
be	VB	be
evacuated	VVN	evacuate
properly	RB	properly
and	CC	and
immediately	RB	immediately
I	PP	I
am	VBP	be
doing	VVG	do
my	PP$	my
best	JJS	good
to	TO	to
keep	VV	keep
in	IN	in
communication	NN	communication
with	IN	with
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	VVZ	force
I	PP	I
also	RB	also
spoke	VVD	speak
to	TO	to
the	DT	the
highest	JJS	high
commander	NN	commander
who	WP	who
took	VVD	take
uh	UH	uh
control	NN	control
of	IN	of
the	DT	the
hospital	NN	hospital
I	PP	I
informed	VVD	inform
him	PP	him
that	IN/that	that
those	DT	those
patients	NNS	patient
uh	UH	uh
victims	NNS	victim
and	CC	and
babies	NNS	baby
must	MD	must
be	VB	be
evacuated	VVN	evacuate
properly	RB	properly
and	CC	and
immediately	RB	immediately
but	CC	but
as	RB	as
we	PP	we
speak	VVP	speak
nothing	NN	nothing
has	VHZ	have
happened	VVN	happen
the	DT	the
entire	JJ	entire
hospital	NN	hospital
is	VBZ	be
deserted	VVN	desert
we	PP	we
are	VBP	be
over	RB	over
whelmed	VVN	whelm
with	IN	with
pain	NN	pain
grief	NN	grief
and	CC	and
tears	NNS	tear
are	VBP	be
you	PP	you
able	JJ	able
to	TO	to
move	VV	move
within	IN	within
the	DT	the
hospital	NN	hospital
yes	NN	yes
I	PP	I
can	MD	can
hardly	RB	hardly
move	VV	move
very	JJ	very
uh	UH	uh
strict	JJ	strict
restrictions	NNS	restriction
laid	VVN	lay
by	IN	by
the	DT	the
Israeli	JJ	Israeli
soldiers	NNS	soldier
I	PP	I
have	VHP	have
just	RB	just
visited	VVN	visit
the	DT	the
kidney	NN	kidney
failure	NN	failure
patients	NNS	patient
they	PP	they
are	VBP	be
desperately	RB	desperately
waiting	VVG	wait
to	TO	to
die	VV	die
we	PP	we
cannot	MD	can
carry	VV	carry
out	RP	out
any	DT	any
dialysis	NN	dialysis
uh	UH	uh
process	VV	process
I	PP	I
also	RB	also
inspected	VVD	inspect
the	DT	the
premature	JJ	premature
newborn	NN	newborn
babies	VVZ	baby
uh	UH	uh
I	PP	I
also	RB	also
uh	UH	uh
witnessed	VVN	witness
many	JJ	many
of	IN	of
the	DT	the
amputees	NNS	amputee
with	IN	with
their	PP$	their
limbs	NNS	limb
bleeding	VVG	bleed
and	CC	and
even	RB	even
I	PP	I
saw	VVD	see
worms	NNS	worm
coming	VVG	come
out	RP	out
of	IN	of
the	DT	the
wounds	NNS	wound
this	DT	this
is	VBZ	be
tragic	JJ	tragic
this	DT	this
is	VBZ	be
catastrophe	NN	catastrophe
those	DT	those
wounded	JJ	wounded
Pat	NP	Pat
victims	NNS	victim
and	CC	and
patients	NNS	patient
are	VBP	be
doomed	VVN	doom
to	TO	to
die	VV	die
unless	IN	unless
they	PP	they
are	VBP	be
evacuated	VVN	evacuate
immediately	RB	immediately
without	IN	without
delay	NN	delay
they	PP	they
will	MD	will
be	VB	be
doomed	VVN	doom
to	TO	to
death	NN	death
with	IN	with
warn	VV	warn
the	DT	the
international	JJ	international
the	DT	the
whole	JJ	whole
world	NN	world
the	DT	the
whole	JJ	whole
world	NN	world
must	MD	must
know	VV	know
that	IN/that	that
those	DT	those
patients	NNS	patient
and	CC	and
victims	NNS	victim
are	VBP	be
left	VVN	leave
to	TO	to
die	VV	die
they	PP	they
are	VBP	be
doomed	VVN	doom
to	TO	to
die	VV	die
if	IN	if
they	PP	they
are	VBP	be
not	RB	not
evacuated	VVN	evacuate
properly	RB	properly
at	IN	at
the	DT	the
earliest	JJS	early
you	PP	you
even	RB	even
said	VVD	say
that	IN/that	that
even	RB	even
food	NN	food
is	VBZ	be
true	JJ	true
that's	NNS	that's
true	JJ	true
these	DT	these
are	VBP	be
only	RB	only
a	DT	a
few	JJ	few
of	IN	of
the	DT	the
many	JJ	many
challenges	NNS	challenge
we	PP	we
are	VBP	be
faced	VVN	face
we	PP	we
are	VBP	be
left	RB	left
helpless	JJ	helpless
this	DT	this
is	VBZ	be
a	DT	a
dilemma	NN	dilemma
this	DT	this
is	VBZ	be
an	DT	an
ordeal	NN	ordeal
those	DT	those
patients	NNS	patient
require	VVP	require
medical	JJ	medical
supplies	NNS	supply
medication	NN	medication
food	NN	food
nutrition	NN	nutrition
but	CC	but
all	DT	all
of	IN	of
this	DT	this
is	VBZ	be
short	RB	short
the	DT	the
entire	JJ	entire
hospital	NN	hospital
is	VBZ	be
nothing	NN	nothing
but	CC	but
a	DT	a
s	NN	S
above	IN	above
all	PDT	all
the	DT	the
Israeli	JJ	Israeli
soldiers	NNS	soldier
are	VBP	be
everywhere	RB	everywhere
the	DT	the
medical	JJ	medical
staff	NN	staff
are	VBP	be
overwhelmed	VVN	overwhelm
with	IN	with
fear	NN	fear
pain	NN	pain
and	CC	and
also	RB	also
tears	VVZ	tear
</doc>	JJ	</doc>
