<video_id>LCr09c75u1c</video_id>	JJ	<video_id>LCr09c75u1c</video_id>
commanders	NNS	commander
Alan	NP	Alan
we're	NN	we're
getting	VVG	get
reports	NNS	report
that	IN/that	that
Hamas	NP	Hamas
might	MD	might
be	VB	be
considering	VVG	consider
releasing	VVG	release
more	JJR	more
captives	NNS	captive
what	WP	what
is	VBZ	be
interesting	JJ	interesting
is	VBZ	be
that	IN/that	that
the	DT	the
uh	UH	uh
National	NP	National
Security	NP	Security
adviser	NN	adviser
in	IN	in
Israel	NP	Israel
said	VVD	say
that	IN/that	that
there	EX	there
had	VHD	have
been	VBN	be
discussions	NNS	discussion
with	IN	with
various	JJ	various
parties	NNS	party
about	IN	about
possibly	RB	possibly
releasing	VVG	release
some	DT	some
of	IN	of
the	DT	the
captives	NNS	captive
in	IN	in
the	DT	the
coming	VVG	come
days	NNS	day
and	CC	and
he	PP	he
said	VVD	say
that	IN/that	that
Qatar	NP	Qatar
had	VHD	have
been	VBN	be
important	JJ	important
in	IN	in
those	DT	those
negotiations	NNS	negotiation
but	CC	but
they	PP	they
had	VHD	have
realized	VVN	realize
that	IN/that	that
Hamas	NP	Hamas
was	VBD	be
not	RB	not
serious	JJ	serious
about	IN	about
freeing	VVG	free
anyone	NN	anyone
and	CC	and
then	RB	then
in	IN	in
the	DT	the
last	JJ	last
hour	NN	hour
or	CC	or
so	RB	so
we've	NN	we've
heard	VVN	hear
from	IN	from
alm's	NN	alm's
Brigade	NN	brigade
which	WDT	which
of	IN	of
course	NN	course
is	VBZ	be
the	DT	the
military	JJ	military
wing	NN	wing
of	IN	of
Hamas	NNS	Hamas
that	IN/that	that
they	PP	they
actually	RB	actually
do	VVP	do
have	VH	have
some	DT	some
intention	NN	intention
of	IN	of
freeing	VVG	free
people	NNS	people
in	IN	in
the	DT	the
coming	VVG	come
days	NNS	day
we	PP	we
inform	VVP	inform
the	DT	the
mediators	NNS	mediator
that	IN/that	that
we	PP	we
will	MD	will
release	VV	release
a	DT	a
number	NN	number
of	IN	of
foreigners	NNS	foreigner
in	IN	in
the	DT	the
coming	VVG	come
days	NNS	day
in	IN	in
line	NN	line
with	IN	with
our	PP$	our
design	NN	design
not	RB	not
to	TO	to
keep	VV	keep
them	PP	them
in	IN	in
Gaza	NP	Gaza
and	CC	and
the	DT	the
fact	NN	fact
that	IN/that	that
we	PP	we
don't	VVD	don't
need	VV	need
to	TO	to
keep	VV	keep
them	PP	them
in	IN	in
our	PP$	our
custody	NN	custody
of	IN	of
course	NN	course
over	IN	over
the	DT	the
last	JJ	last
few	JJ	few
days	NNS	day
there	EX	there
have	VHP	have
been	VBN	be
a	DT	a
number	NN	number
of	IN	of
reports	NNS	report
that	IN/that	that
captives	NNS	captive
were	VBD	be
about	RB	about
to	TO	to
be	VB	be
released	VVN	release
that	IN/that	that
possibly	RB	possibly
they	PP	they
could	MD	could
uh	UH	uh
have	VHP	have
negotiated	VVN	negotiate
their	PP$	their
departure	NN	departure
that	IN/that	that
it	PP	it
would	MD	would
be	VB	be
mainly	RB	mainly
those	DT	those
with	IN	with
je	NP	Je
nationality	NN	nationality
and	CC	and
none	NN	none
of	IN	of
these	DT	these
releases	NNS	release
have	VHP	have
actually	RB	actually
happened	VVN	happen
there	EX	there
were	VBD	be
discussions	NNS	discussion
ongoing	JJ	ongoing
uh	UH	uh
on	IN	on
Sunday	NP	Sunday
evening	NN	evening
and	CC	and
apparently	RB	apparently
uh	UH	uh
it	PP	it
came	VVD	come
close	RB	close
to	TO	to
an	DT	an
agreement	NN	agreement
but	CC	but
it	PP	it
fell	VVD	fall
apart	RB	apart
over	IN	over
details	NNS	detail
on	IN	on
both	DT	both
sides	NNS	side
and	CC	and
diplomats	NNS	diplomat
were	VBD	be
hoping	VVG	hope
to	TO	to
restart	VV	restart
their	PP$	their
talks	NNS	talk
so	RB	so
if	IN	if
there	EX	there
is	VBZ	be
a	DT	a
release	NN	release
it	PP	it
would	MD	would
appear	VV	appear
that	IN/that	that
those	DT	those
talks	NNS	talk
have	VHP	have
at	IN	at
least	RBS	least
restarted	VVN	restart
and	CC	and
are	VBP	be
moving	VVG	move
in	IN	in
a	DT	a
direction	NN	direction
which	WDT	which
could	MD	could
mean	VV	mean
the	DT	the
captives	NNS	captive
and	CC	and
there's	RB	there's
more	JJR	more
than	IN	than
240	CD	@card@
of	IN	of
them	PP	them
now	RB	now
being	VBG	be
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
could	MD	could
soon	RB	soon
be	VB	be
freed	VVN	free
Alan	NP	Alan
Fisher	NP	Fisher
with	IN	with
the	DT	the
latest	JJS	late
there	RB	there
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
thank	VVP	thank
you	PP	you
for	IN	for
the	DT	the
update	NN	update
</doc>	NN	</doc>
