<video_id>ZE8CR1fsKzg</video_id>	JJ	<video_id>ZE8CR1fsKzg</video_id>
are	VBP	be
using	VVG	use
their	PP$	their
bare	JJ	bare
hands	NNS	hand
to	TO	to
try	VV	try
and	CC	and
pull	VV	pull
out	RP	out
the	DT	the
victims	NNS	victim
from	IN	from
under	IN	under
the	DT	the
rubble	NN	rubble
they	PP	they
have	VHP	have
managed	VVN	manage
to	TO	to
recover	VV	recover
one	CD	one
victim	NN	victim
the	DT	the
no	RB	no
medical	JJ	medical
assistance	NN	assistance
or	CC	or
civil	JJ	civil
defense	NN	defense
teams	NNS	team
as	IN	as
the	DT	the
entire	JJ	entire
area	NN	area
surrounding	VVG	surround
alifa	NN	alifa
hospital	NN	hospital
has	VHZ	have
been	VBN	be
besieged	VVN	besiege
by	IN	by
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	VVZ	force
no	DT	no
ambulance	NN	ambulance
or	CC	or
rescue	NN	rescue
teams	NNS	team
are	VBP	be
able	JJ	able
to	TO	to
reach	VV	reach
this	DT	this
area	NN	area
as	IN	as
we	PP	we
were	VBD	be
filming	VVG	film
another	DT	another
wave	NN	wave
of	IN	of
air	NN	air
strike	NN	strike
started	VVD	start
shapel	NN	shapel
is	VBZ	be
falling	VVG	fall
on	IN	on
our	PP$	our
heads	NNS	head
another	DT	another
residential	JJ	residential
building	NN	building
was	VBD	be
targeted	VVN	target
there	RB	there
has	VHZ	have
been	VBN	be
no	DT	no
end	NN	end
to	TO	to
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
since	IN	since
Monday	NP	Monday
morning	NN	morning
one	CD	one
wave	NN	wave
after	IN	after
another	DT	another
they	PP	they
are	VBP	be
Target	NP	Target
residential	JJ	residential
buildings	NNS	building
across	IN	across
all	DT	all
of	IN	of
Gaza	NP	Gaza
City	NP	City
as	IN	as
you	PP	you
can	MD	can
see	VV	see
the	DT	the
victims	NNS	victim
are	VBP	be
mostly	RB	mostly
women	NNS	woman
and	CC	and
children	NNS	child
they	PP	they
have	VHP	have
crawled	VVN	crawl
their	PP$	their
way	NN	way
out	RP	out
from	IN	from
underneath	IN	underneath
the	DT	the
rubble	NN	rubble
bikes	NNS	bike
are	VBP	be
their	PP$	their
only	JJ	only
transport	NN	transport
out	RP	out
of	IN	of
the	DT	the
destroyed	VVN	destroy
area	NN	area
for	IN	for
God's	NP	God's
sake	NN	sake
I	PP	I
have	VHP	have
nowhere	RB	nowhere
to	TO	to
go	VV	go
all	PDT	all
my	PP$	my
family	NN	family
were	VBD	be
killed	VVN	kill
I	PP	I
have	VHP	have
nowhere	RB	nowhere
to	TO	to
go	VV	go
for	IN	for
God's	NP	God's
sake	NN	sake
where	WRB	where
to	TO	to
go	VV	go
where	WRB	where
to	TO	to
go	VV	go
thank	VV	thank
God	NP	God
thank	VV	thank
you	PP	you
God	NP	God
thank	VV	thank
you	PP	you
now	RB	now
and	CC	and
then	RB	then
Israel's	NP	Israel's
air	NN	air
strikes	NNS	strike
have	VHP	have
not	RB	not
stopped	VVN	stop
since	IN	since
Monday	NP	Monday
morning	NN	morning
Israeli	JJ	Israeli
war	NN	war
planes	NNS	plane
have	VHP	have
targeted	VVN	target
a	DT	a
number	NN	number
of	IN	of
residential	JJ	residential
buildings	NNS	building
no	DT	no
medical	JJ	medical
help	NN	help
can	MD	can
reach	VV	reach
the	DT	the
scene	NN	scene
as	IN	as
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
have	VHP	have
been	VBN	be
laying	VVG	lay
Siege	NN	siege
to	TO	to
the	DT	the
entire	JJ	entire
area	NN	area
surrounding	VVG	surround
the	DT	the
alifa	NN	alifa
medical	JJ	medical
complex	NN	complex
they	PP	they
have	VHP	have
now	RB	now
stored	VVN	store
the	DT	the
hospital	NN	hospital
and	CC	and
detained	VVD	detain
the	DT	the
medical	JJ	medical
staff	NN	staff
inside	RB	inside
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
</doc>	NP	</doc>
