<video_id>dZaj3cxzTEM</video_id>	JJ	<video_id>dZaj3cxzTEM</video_id>
this	DT	this
war	NN	war
is	VBZ	be
going	VVG	go
to	TO	to
spill	VV	spill
out	RP	out
into	IN	into
a	DT	a
wider	JJR	wide
conflict	NN	conflict
so	RB	so
on	IN	on
Monday	NP	Monday
he	PP	he
made	VVD	make
two	CD	two
separate	JJ	separate
phone	NN	phone
calls	VVZ	call
to	TO	to
the	DT	the
foreign	JJ	foreign
minister	NN	minister
of	IN	of
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
and	CC	and
Israel's	NP	Israel's
foreign	JJ	foreign
minister	NN	minister
now	RB	now
speaking	VVG	speak
to	TO	to
Riyad	NP	Riyad
Al	NP	Al
Maliki	NP	Maliki
he	PP	he
said	VVD	say
that	IN/that	that
Beijing	NP	Beijing
deeply	RB	deeply
sympathizes	VVZ	sympathize
with	IN	with
the	DT	the
difficulties	NNS	difficulty
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
he's	NNS	he's
condemned	VVD	condemn
attack	NN	attack
on	IN	on
civilians	NNS	civilian
he	PP	he
said	VVD	say
that	IN/that	that
China	NP	China
is	VBZ	be
going	VVG	go
to	TO	to
continue	VV	continue
to	TO	to
provide	VV	provide
humanitarian	JJ	humanitarian
Aid	NN	aid
and	CC	and
he	PP	he
says	VVZ	say
what	WP	what
Palestine	NP	Palestine
needs	VVZ	need
now	RB	now
is	VBZ	be
security	NN	security
food	NN	food
and	CC	and
medicine	NN	medicine
and	CC	and
not	RB	not
war	NN	war
weapons	NNS	weapon
and	CC	and
ammunition	NN	ammunition
now	RB	now
in	IN	in
a	DT	a
separate	JJ	separate
phone	NN	phone
call	NN	call
to	TO	to
Israeli	JJ	Israeli
foreign	JJ	foreign
minister	NN	minister
Eli	NP	Eli
Cohen	NP	Cohen
he	PP	he
said	VVD	say
that	IN/that	that
while	IN	while
every	DT	every
country	NN	country
has	VHZ	have
the	DT	the
right	NN	right
to	TO	to
self-defense	NN	self-defense
he	PP	he
urged	VVD	urge
Israel	NP	Israel
to	TO	to
do	VV	do
what	WP	what
it	PP	it
can	MD	can
to	TO	to
protect	VV	protect
civilians	NNS	civilian
he	PP	he
says	VVZ	say
that	IN/that	that
Tel	NP	Tel
Aviv	NP	Aviv
has	VHZ	have
a	DT	a
choice	NN	choice
between	IN	between
War	NP	War
and	CC	and
Peace	NP	Peace
and	CC	and
it's	NNS	it's
imperative	NN	imperative
that	IN/that	that
it	PP	it
must	MD	must
do	VV	do
everything	NN	everything
it	PP	it
can	MD	can
to	TO	to
prevent	VV	prevent
the	DT	the
situation	NN	situation
spiraling	VVG	spiral
into	IN	into
an	DT	an
even	RB	even
further	RBR	further
humanitarian	JJ	humanitarian
catastrophe	NN	catastrophe
now	RB	now
these	DT	these
two	CD	two
phone	NN	phone
calls	NNS	call
are	VBP	be
the	DT	the
highest	JJS	high
level	NN	level
communication	NN	communication
that	WDT	that
uh	UH	uh
Beijing	NP	Beijing
has	VHZ	have
had	VHN	have
with	IN	with
either	DT	either
government	NN	government
since	IN	since
the	DT	the
War	NP	War
Began	NP	Began
Katrina	NP	Katrina
I'm	NP	I'm
curious	JJ	curious
do	VVP	do
you	PP	you
sense	VVP	sense
a	DT	a
different	JJ	different
approach	NN	approach
to	TO	to
this	DT	this
conflict	NN	conflict
from	IN	from
developed	JJ	developed
and	CC	and
developing	VVG	develop
countries	NNS	country
like	IN	like
Russia	NP	Russia
and	CC	and
China	NP	China
versus	CC	versus
say	VV	say
the	DT	the
West	JJ	West
well	NN	well
China	NP	China
since	IN	since
this	DT	this
conflict	NN	conflict
began	VVD	begin
has	VHZ	have
called	VVN	call
for	IN	for
an	DT	an
immediate	JJ	immediate
deescalation	NN	deescalation
and	CC	and
ceasefire	NN	ceasefire
unlike	IN	unlike
the	DT	the
US	NP	US
and	CC	and
many	JJ	many
of	IN	of
its	PP$	its
allies	NNS	ally
that	WDT	that
have	VHP	have
called	VVN	call
Hamas	NNS	Hamas
and	CC	and
condemned	VVD	condemn
them	PP	them
as	IN	as
terrorists	NNS	terrorist
Beijing	NP	Beijing
has	VHZ	have
refused	VVN	refuse
to	TO	to
do	VV	do
so	RB	so
which	WDT	which
has	VHZ	have
drawn	VVN	draw
much	JJ	much
criticism	NN	criticism
from	IN	from
Washington	NP	Washington
and	CC	and
other	JJ	other
Western	NP	Western
Nations	NPS	Nations
at	IN	at
the	DT	the
UN	NP	UN
though	IN	though
we	PP	we
saw	VVD	see
that	IN/that	that
China's	NP	China's
Representatives	NPS	Representatives
had	VHD	have
more	JJR	more
direct	JJ	direct
words	NNS	word
it	PP	it
said	VVD	say
Israel	NP	Israel
needs	VVZ	need
to	TO	to
stop	VV	stop
what	WP	what
it	PP	it
said	VVD	say
is	VBZ	be
a	DT	a
collective	JJ	collective
punishment	NN	punishment
of	IN	of
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
and	CC	and
like	IN	like
some	DT	some
of	IN	of
other	JJ	other
nations	NNS	nation
we've	NN	we've
heard	VVD	hear
today	NN	today
Bing	NP	Bing
says	VVZ	say
the	DT	the
only	JJ	only
chance	NN	chance
of	IN	of
a	DT	a
long-term	JJ	long-term
uh	UH	uh
peace	NN	peace
in	IN	in
that	DT	that
region	NN	region
is	VBZ	be
the	DT	the
establishment	NN	establishment
of	IN	of
a	DT	a
two-state	NN	two-state
solution	NN	solution
and	CC	and
Beijing	NP	Beijing
has	VHZ	have
blamed	VVN	blame
the	DT	the
breaking	VVG	break
out	RP	out
of	IN	of
this	DT	this
conflict	NN	conflict
on	IN	on
essentially	RB	essentially
the	DT	the
International	NP	International
Community	NP	Community
shelving	VVG	shelve
the	DT	the
rights	NNS	right
and	CC	and
interests	NNS	interest
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
for	IN	for
decades	NNS	decade
Katrina	NP	Katrina
you	PP	you
there	RB	there
with	IN	with
the	DT	the
latest	JJS	late
view	NN	view
for	IN	for
us	PP	us
from	IN	from
Beijing	NP	Beijing
thank	VV	thank
you	PP	you
Katrina	NP	Katrina
</doc>	NN	</doc>
