<video_id>vK1adXaPT9w</video_id>	JJ	<video_id>vK1adXaPT9w</video_id>
far	RB	far
I	PP	I
mean	VVP	mean
the	DT	the
numbers	NNS	number
of	IN	of
attacks	NNS	attack
on	IN	on
RAF	NN	RAF
City	NP	City
are	VBP	be
quite	PDT	quite
uh	UH	uh
similar	JJ	similar
to	TO	to
uh	UH	uh
the	DT	the
numbers	NNS	number
of	IN	of
attacks	NNS	attack
in	IN	in
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
and	CC	and
and	CC	and
Gaza	NP	Gaza
City	NP	City
and	CC	and
now	RB	now
particularly	RB	particularly
we're	NN	we're
looking	VVG	look
at	IN	at
something	NN	something
that	WDT	that
is	VBZ	be
very	RB	very
devastating	JJ	devastating
and	CC	and
misleading	VVG	mislead
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
narrative	NN	narrative
about	IN	about
evacuation	NN	evacuation
Zone	NP	Zone
and	CC	and
safety	NN	safety
zone	NN	zone
by	IN	by
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
military	NN	military
which	WDT	which
is	VBZ	be
this	DT	this
small	JJ	small
part	NN	part
of	IN	of
of	IN	of
of	IN	of
land	NN	land
small	JJ	small
sliver	NN	sliver
of	IN	of
land	NN	land
in	IN	in
the	DT	the
western	JJ	western
side	NN	side
of	IN	of
raah	NN	raah
city	NN	city
that	WDT	that
stretches	VVZ	stretch
from	IN	from
der	NP	der
balah	NNS	balah
passing	VVG	pass
through	IN	through
kanun	NN	kanun
and	CC	and
RAF	NN	RAF
City	NN	city
and	CC	and
ends	VVZ	end
at	IN	at
the	DT	the
Egyptian	JJ	Egyptian
Gaza	NP	Gaza
border	NN	border
this	DT	this
is	VBZ	be
Al	NP	Al
maasi	NP	maasi
area	NN	area
where	WRB	where
people	NNS	people
are	VBP	be
told	VVN	tell
constantly	RB	constantly
to	TO	to
move	VV	move
to	TO	to
because	IN	because
it	PP	it
is	VBZ	be
a	DT	a
safe	JJ	safe
area	NN	area
it's	NNS	it's
a	DT	a
largely	RB	largely
uh	UH	uh
it's	NNS	it's
an	DT	an
open	JJ	open
uh	UH	uh
largely	RB	largely
sand	NN	sand
area	NN	area
underdeveloped	JJ	underdeveloped
part	NN	part
of	IN	of
it	PP	it
is	VBZ	be
Farmland	NN	farmland
but	CC	but
it	PP	it
lacks	VVZ	lack
the	DT	the
very	RB	very
basic	JJ	basic
necessities	NNS	necessity
and	CC	and
it's	NNS	it's
not	RB	not
it's	JJ	it's
not	RB	not
suitable	JJ	suitable
for	IN	for
people	NNS	people
to	TO	to
shelter	VV	shelter
it	PP	it
because	IN	because
it's	NNS	it's
it	PP	it
has	VHZ	have
literally	RB	literally
nothing	RB	nothing
uh	UH	uh
to	TO	to
so	IN	so
people	NNS	people
can	MD	can
protect	VV	protect
themselves	PP	themselves
uh	UH	uh
from	IN	from
what	WP	what
people	NNS	people
are	VBP	be
doing	VVG	do
right	RB	right
now	RB	now
as	IN	as
the	DT	the
moment	NN	moment
they	PP	they
arrive	VVP	arrive
there	RB	there
they	PP	they
try	VVP	try
to	TO	to
set	VV	set
up	RP	up
the	DT	the
tents	NNS	tent
where	WRB	where
they	PP	they
can	MD	can
protect	VV	protect
them	PP	them
s	JJ	s
but	CC	but
again	RB	again
as	RB	as
of	IN	of
yesterday	NN	yesterday
what	WP	what
happened	VVD	happen
this	DT	this
has	VHZ	have
been	VBN	be
proven	VVN	prove
false	JJ	false
and	CC	and
acccurate	NN	acccurate
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
narrative	NN	narrative
about	IN	about
safe	JJ	safe
uh	UH	uh
zones	VVZ	zone
the	DT	the
people	NNS	people
were	VBD	be
targeted	VVN	target
in	IN	in
that	DT	that
area	NN	area
residential	JJ	residential
home	NN	home
was	VBD	be
targeted	VVN	target
and	CC	and
destroyed	VVN	destroy
and	CC	and
this	DT	this
place	NN	place
to	TO	to
displ	NN	displ
families	NNS	family
inside	IN	inside
the	DT	the
residential	JJ	residential
home	NN	home
were	VBD	be
killed	VVN	kill
mainly	RB	mainly
women	NNS	woman
and	CC	and
children	NNS	child
as	RB	as
well	RB	well
as	IN	as
all	PDT	all
the	DT	the
the	DT	the
debris	NN	debris
the	DT	the
rubbles	NNS	rubble
fell	VVD	fall
on	IN	on
the	DT	the
nearby	JJ	nearby
tents	NNS	tent
and	CC	and
injured	JJ	injured
many	JJ	many
uh	UH	uh
many	JJ	many
people	NNS	people
as	IN	as
overnight	RB	overnight
the	DT	the
uh	UH	uh
central	JJ	central
part	NN	part
of	IN	of
RAF	NN	RAF
we're	NN	we're
talking	VVG	talk
about	IN	about
the	DT	the
the	DT	the
northern	JJ	northern
e	NN	e
the	DT	the
northern	JJ	northern
eastern	JJ	eastern
side	NN	side
of	IN	of
RA	NP	RA
City	NP	City
an	DT	an
area	NN	area
better	RBR	well
known	JJ	known
as	IN	as
where	WRB	where
residential	JJ	residential
home	NN	home
was	VBD	be
targeted	VVN	target
an	DT	an
entire	JJ	entire
family	NN	family
buja	NN	buja
family	NN	family
was	VBD	be
killed	VVN	kill
and	CC	and
mainly	RB	mainly
we're	NN	we're
looking	VVG	look
again	RB	again
another	DT	another
pattern	NN	pattern
of	IN	of
killing	VVG	kill
more	JJR	more
children	NNS	child
so	IN	so
this	DT	this
pattern	NN	pattern
of	IN	of
mass	JJ	mass
killing	NN	killing
of	IN	of
Palestinians	NPS	Palestinians
continues	VVZ	continue
despite	IN	despite
the	DT	the
many	JJ	many
narratives	NNS	narrative
the	DT	the
many	JJ	many
uh	UH	uh
uh	UH	uh
justifications	NNS	justification
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
still	RB	still
going	VVG	go
on	RP	on
and	CC	and
it	PP	it
it	PP	it
has	VHZ	have
not	RB	not
stopped	VVN	stop
not	RB	not
even	RB	even
for	IN	for
uh	UH	uh
for	IN	for
a	DT	a
day	NN	day
if	IN	if
people	NNS	people
do	VVP	do
not	RB	not
die	VV	die
of	IN	of
the	DT	the
bombs	NNS	bomb
they	PP	they
are	VBP	be
likely	JJ	likely
to	TO	to
die	VV	die
of	IN	of
the	DT	the
terrible	JJ	terrible
situations	NNS	situation
that	WDT	that
are	VBP	be
going	VVG	go
on	IN	on
in	IN	in
the	DT	the
central	JJ	central
area	NN	area
of	IN	of
the	DT	the
gas	NN	gas
STP	NN	STP
the	DT	the
uh	UH	uh
the	DT	the
aerial	JJ	aerial
bombardment	NN	bombardment
campaign	NN	campaign
continu	NN	continu
continues	VVZ	continue
in	IN	in
a	DT	a
very	RB	very
intensive	JJ	intensive
way	NN	way
uh	UH	uh
as	IN	as
the	DT	the
Israeli	JJ	Israeli
military	NN	military
pushing	VVG	push
deeper	JJR	deep
into	IN	into
one	CD	one
of	IN	of
the	DT	the
refugee	NN	refugee
camps	VVZ	camp
Al	NP	Al
maazi	NP	maazi
refugee	NN	refugee
camps	NNS	camp
where	WRB	where
it's	NNS	it's
completely	RB	completely
been	VBN	be
encircled	VVN	encircle
and	CC	and
bombed	VVN	bomb
heavily	RB	heavily
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
but	CC	but
here's	RB	here's
one	CD	one
thing	NN	thing
that	DT	that
we've	NN	we've
noticing	VVG	notice
since	IN	since
the	DT	the
a	DT	a
pent	VVD	pen
of	IN	of
destruction	NN	destruction
of	IN	of
all	DT	all
means	NN	means
of	IN	of
life	NN	life
to	TO	to
the	DT	the
point	NN	point
making	VVG	make
it	PP	it
very	RB	very
impossible	JJ	impossible
for	IN	for
people	NNS	people
to	TO	to
even	RB	even
go	VV	go
back	RB	back
and	CC	and
and	CC	and
and	CC	and
and	CC	and
and	CC	and
and	CC	and
live	VV	live
reside	VV	reside
in	IN	in
the	DT	the
areas	NNS	area
that	RB	that
being	VBG	be
targeted	VVN	target
we're	NN	we're
talking	VVG	talk
about	RB	about
not	RB	not
only	RB	only
residential	JJ	residential
home	NN	home
but	CC	but
also	RB	also
anything	NN	anything
that	WDT	that
could	MD	could
help	VV	help
people	NNS	people
survive	VVP	survive
and	CC	and
stay	VVP	stay
there	EX	there
has	VHZ	have
been	VBN	be
destroyed	VVN	destroy
we're	NN	we're
talking	VVG	talk
about	IN	about
his	PP$	his
schools	NNS	school
for	IN	for
example	NN	example
Health	NP	Health
Facilities	NPS	Facilities
Ona	NP	Ona
managed	VVD	manage
and	CC	and
operated	VVD	operate
the	DT	the
schools	NNS	school
the	DT	the
vast	JJ	vast
majority	NN	majority
have	VHP	have
been	VBN	be
uh	UH	uh
destroyed	VVN	destroy
which	WDT	which
is	VBZ	be
is	VBZ	be
just	RB	just
something	NN	something
that	IN/that	that
people	NNS	people
are	VBP	be
frustrated	VVN	frustrate
about	RB	about
because	IN	because
this	DT	this
is	VBZ	be
what	WP	what
they	PP	they
think	VVP	think
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
US	NP	US
support	NN	support
into	IN	into
Ona	NP	Ona
to	TO	to
support	VV	support
education	NN	education
to	TO	to
build	VV	build
schools	NNS	school
in	IN	in
one	CD	one
hand	NN	hand
but	CC	but
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
there	EX	there
is	VBZ	be
this	DT	this
uh	UH	uh
fund	NN	fund
that	WDT	that
goes	VVZ	go
for	IN	for
the	DT	the
bombings	NNS	bombing
of	IN	of
these	DT	these
very	JJ	very
school	NN	school
that	WDT	that
were	VBD	be
created	VVN	create
for	IN	for
refugees	NNS	refugee
the	DT	the
children	NNS	child
uh	UH	uh
in	IN	in
the	DT	the
Palestinian	JJ	Palestinian
uh	UH	uh
territory	NN	territory
so	RB	so
far	RB	far
the	DT	the
patterns	NNS	pattern
is	VBZ	be
the	DT	the
same	JJ	same
The	DT	the
Killing	NN	killing
continues	VVZ	continue
the	DT	the
massive	JJ	massive
Slaughter	NP	Slaughter
of	IN	of
Palestinians	NPS	Palestinians
for	IN	for
90	CD	@card@
days	NNS	day
hasn't	NN	hasn't
stopped	VVD	stop
Hy	NP	Hy
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
indeed	RB	indeed
Han	NP	Han
mahm	NN	mahm
talking	VVG	talk
to	TO	to
us	PP	us
from	IN	from
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
</doc>	NN	</doc>
