<video_id>w_weY6qeGe0</video_id>	JJ	<video_id>w_weY6qeGe0</video_id>
here	RB	here
there	EX	there
are	VBP	be
other	JJ	other
factors	NNS	factor
that	WDT	that
continue	VVP	continue
to	TO	to
create	VV	create
more	JJR	more
tragedies	NNS	tragedy
on	IN	on
the	DT	the
ground	NN	ground
including	VVG	include
the	DT	the
spread	NN	spread
of	IN	of
famine	NN	famine
in	IN	in
the	DT	the
northern	JJ	northern
Gaza	NP	Gaza
and	CC	and
here	RB	here
in	IN	in
in	IN	in
in	RB	in
in	IN	in
in	IN	in
the	DT	the
southern	JJ	southern
part	NN	part
in	IN	in
the	DT	the
central	JJ	central
area	NN	area
of	IN	of
the	DT	the
strip	NN	strip
the	DT	the
constant	JJ	constant
displacement	NN	displacement
the	DT	the
fear	NN	fear
of	IN	of
unpredictable	JJ	unpredictable
bombs	NNS	bomb
also	RB	also
making	VVG	make
life	NN	life
quite	RB	quite
difficult	JJ	difficult
for	IN	for
people	NNS	people
in	IN	in
Al	NP	Al
Forest	NP	Forest
there	RB	there
honey	VVP	honey
thank	VV	thank
you	PP	you
</doc>	JJ	</doc>
