<video_id>rfT_owiBR8U</video_id>	JJ	<video_id>rfT_owiBR8U</video_id>
aring	VVG	aring
daily	RB	daily
but	CC	but
in	IN	in
reality	NN	reality
are	VBP	be
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
receiving	VVG	receive
what	WP	what
they	PP	they
need	VVP	need
well	RB	well
certainly	RB	certainly
what	WP	what
we	PP	we
can	MD	can
do	VV	do
uh	UH	uh
we	PP	we
what	WP	what
we	PP	we
do	VVP	do
know	VV	know
is	VBZ	be
that	IN/that	that
Palestinians	NPS	Palestinians
have	VHP	have
started	VVN	start
to	TO	to
feel	VV	feel
the	DT	the
impact	NN	impact
of	IN	of
the	DT	the
relative	JJ	relative
increase	NN	increase
of	IN	of
the	DT	the
humanitarian	JJ	humanitarian
supplies	NNS	supply
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
as	IN	as
the	DT	the
average	NN	average
of	IN	of
the	DT	the
humanitarian	JJ	humanitarian
trucks	NNS	truck
that	WDT	that
are	VBP	be
getting	VVG	get
into	IN	into
the	DT	the
territory	NN	territory
on	IN	on
a	DT	a
daily	JJ	daily
basis	NN	basis
is	VBZ	be
less	JJR	less
than	IN	than
170	CD	@card@
humanitarian	JJ	humanitarian
Aid	NN	aid
convoys	NNS	convoy
or	CC	or
and	NP	and
and	CC	and
Del	NP	Del
Basin	NP	Basin
that's	NNS	that's
completely	RB	completely
considered	VVN	consider
to	TO	to
be	VB	be
insufficient	JJ	insufficient
to	TO	to
match	VV	match
the	DT	the
Ence	NP	Ence
needs	VVZ	need
of	IN	of
gaza's	NN	gaza's
population	NN	population
as	IN	as
the	DT	the
entire	JJ	entire
territory	NN	territory
has	VHZ	have
been	VBN	be
consuming	VVG	consume
at	IN	at
least	JJS	least
500	CD	@card@
humanitarian	JJ	humanitarian
commercial	JJ	commercial
trucks	NNS	truck
on	IN	on
a	DT	a
daily	JJ	daily
basis	NN	basis
uh	UH	uh
in	IN	in
times	NNS	time
of	IN	of
pre-conflict	NN	pre-conflict
but	CC	but
the	DT	the
reality	NN	reality
is	VBZ	be
that	IN/that	that
now	RB	now
Aid	NP	Aid
started	VVD	start
to	TO	to
flow	VV	flow
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
from	IN	from
three	CD	three
areas	NNS	area
of	IN	of
three	CD	three
Crossing	VVG	cross
we	PP	we
are	VBP	be
talking	VVG	talk
about	IN	about
ra	NN	ra
and	CC	and
Karma	NP	Karma
Crossing	VVG	cross
in	IN	in
the	DT	the
South	NP	South
while	IN	while
uh	UH	uh
today	NN	today
AAS	NNS	aa
of	IN	of
Crossing	VVG	cross
has	VHZ	have
started	VVN	start
to	TO	to
practically	RB	practically
working	VVG	work
on	IN	on
the	DT	the
ground	NN	ground
were	VBD	be
at	IN	at
least	JJS	least
according	VVG	accord
to	TO	to
ey	NN	ey
Witnesses	NNS	witness
on	IN	on
the	DT	the
ground	JJ	ground
31	CD	@card@
humanitarian	JJ	humanitarian
TRS	NNS	TRS
had	VHD	have
entered	VVN	enter
to	TO	to
the	DT	the
north	NN	north
of	IN	of
the	DT	the
territory	NN	territory
loaded	VVN	load
with	IN	with
food	NN	food
and	CC	and
medical	JJ	medical
supplies	NNS	supply
but	CC	but
the	DT	the
fact	NN	fact
on	IN	on
the	DT	the
ground	NN	ground
that	IN/that	that
the	DT	the
entire	JJ	entire
strep	NN	strep
is	VBZ	be
suffering	VVG	suffer
from	IN	from
unfolding	VVG	unfold
humanitarian	JJ	humanitarian
crisis	NN	crisis
due	JJ	due
to	TO	to
the	DT	the
full	JJ	full
closure	NN	closure
of	IN	of
eight	CD	eight
supplies	NNS	supply
and	CC	and
the	DT	the
initial	JJ	initial
days	NNS	day
of	IN	of
the	DT	the
of	IN	of
the	DT	the
fighting	NN	fighting
on	IN	on
the	DT	the
ground	NN	ground
and	CC	and
later	RBR	later
with	IN	with
the	DT	the
progress	NN	progress
in	IN	in
negotiations	NNS	negotiation
the	DT	the
military	NN	military
had	VHD	have
allowed	VVN	allow
for	IN	for
a	DT	a
relative	JJ	relative
increase	NN	increase
of	IN	of
Aid	NN	aid
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
but	CC	but
the	DT	the
entire	JJ	entire
Gaza	NP	Gaza
STP	NP	STP
according	VVG	accord
to	TO	to
the	DT	the
United	NP	United
Nations	NPS	Nations
needs	VVZ	need
a	DT	a
sustainable	JJ	sustainable
and	CC	and
unconditional	JJ	unconditional
humanitarian	JJ	humanitarian
flow	NN	flow
of	IN	of
eight	CD	eight
supplies	NNS	supply
to	TO	to
avert	VV	avert
the	DT	the
signs	NNS	sign
of	IN	of
famine	NN	famine
that	WDT	that
is	VBZ	be
that	WDT	that
are	VBP	be
completely	RB	completely
looming	VVG	loom
The	DT	the
Horizon	NN	horizon
and	CC	and
T	NN	T
every	DT	every
night	NN	night
of	IN	of
course	NN	course
there's	RB	there's
a	DT	a
real	JJ	real
trial	NN	trial
for	IN	for
people	NNS	people
of	IN	of
Gaza	NP	Gaza
with	IN	with
ongoing	JJ	ongoing
uh	UH	uh
strikes	VVZ	strike
happening	VVG	happen
tell	VV	tell
us	PP	us
what's	NNS	what's
happened	VVD	happen
[Music]	JJ	[Music]
overnight	JJ	overnight
yes	UH	yes
uh	UH	uh
overnight	JJ	overnight
strikes	NNS	strike
and	CC	and
artillery	NN	artillery
bombardment	NN	bombardment
were	VBD	be
extremely	RB	extremely
heavy	JJ	heavy
uh	UH	uh
the	DT	the
focus	NN	focus
of	IN	of
the	DT	the
Israeli	JJ	Israeli
attacks	NNS	attack
was	VBD	be
very	RB	very
pretty	RB	pretty
much	JJ	much
on	IN	on
the	DT	the
middle	JJ	middle
area	NN	area
where	WRB	where
in	IN	in
the	DT	the
past	JJ	past
couple	NN	couple
of	IN	of
hours	NNS	hour
they've	NN	they've
witnessing	VVG	witness
more	JJR	more
attacks	NNS	attack
on	IN	on
anat	NN	anat
refugee	NN	refugee
camp	NN	camp
they	PP	they
have	VHP	have
attacked	VVN	attack
hamos	NNS	hamos
in	IN	in
the	DT	the
in	IN	in
the	DT	the
refugee	NN	refugee
camp	NN	camp
there	IN	here
Ahmed	NP	Ahmed
the	DT	the
eyewitnesses	NNS	eyewitness
have	VHP	have
been	VBN	be
reporting	VVG	report
on	IN	on
constant	JJ	constant
bombardment	NN	bombardment
in	IN	in
alaka	NN	alaka
area	NN	area
where	WRB	where
the	DT	the
battles	NNS	battle
are	VBP	be
still	RB	still
raging	VVG	rage
there	RB	there
between	IN	between
Hamas	JJ	Hamas
Fighters	NNS	fighter
and	CC	and
the	DT	the
Israeli	JJ	Israeli
soldiers	NNS	soldier
at	IN	at
the	DT	the
same	JJ	same
time	VV	time
uh	UH	uh
Palestinian	JJ	Palestinian
armed	JJ	armed
groups	NNS	group
have	VHP	have
been	VBN	be
attacking	VVG	attack
Israeli	JJ	Israeli
troops	NNS	troop
who	WP	who
are	VBP	be
stationed	VVN	station
on	IN	on
nids	NNS	nids
re	IN	re
Junction	NN	junction
in	IN	in
the	DT	the
middle	JJ	middle
area	NN	area
as	IN	as
the	DT	the
as	IN	as
the	DT	the
citizens	NNS	citizen
have	VHP	have
been	VBN	be
reporting	VVG	report
in	IN	in
Mass	NP	Mass
confrontations	NNS	confrontation
and	CC	and
extensive	JJ	extensive
fire	NN	fire
exchange	NN	exchange
between	IN	between
both	DT	both
parts	NNS	part
there	RB	there
in	IN	in
that	DT	that
area	NN	area
part	NN	part
singly	RB	singly
uh	UH	uh
the	DT	the
artillery	NN	artillery
bombardment	NN	bombardment
continued	VVN	continue
in	IN	in
the	DT	the
north	NN	north
of	IN	of
the	DT	the
territory	NN	territory
specifically	RB	specifically
in	IN	in
a	DT	a
neighborhood	NN	neighborhood
with	IN	with
no	DT	no
casualties	NNS	casualty
still	RB	still
now	RB	now
being	JJ	being
re	IN	re
being	VBG	be
reported	VVN	report
but	CC	but
emergency	NN	emergency
workers	NNS	worker
are	VBP	be
still	RB	still
operating	VVG	operate
on	IN	on
the	DT	the
ground	NN	ground
as	IN	as
they	PP	they
manag	VVP	manag
to	TO	to
recover	VV	recover
two	CD	two
dead	JJ	dead
bodies	NNS	body
from	IN	from
alage	NN	alage
refugee	NN	refugee
camp	NN	camp
and	CC	and
now	RB	now
they've	NNS	they've
been	VBN	be
prepared	VVN	prepare
for	IN	for
parial	NN	parial
all	DT	all
right	JJ	right
T	NN	T
thanks	NNS	thanks
very	RB	very
much	RB	much
for	IN	for
that	DT	that
t	NN	t
reporting	NN	reporting
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NN	jazer
</doc>	NN	</doc>
