<video_id>wYoB8FvSG_0</video_id>	JJ	<video_id>wYoB8FvSG_0</video_id>
controversial	JJ	controversial
and	CC	and
inflammatory	JJ	inflammatory
and	CC	and
even	RB	even
then	RB	then
the	DT	the
police	NN	police
told	VVD	tell
us	PP	us
that	IN/that	that
we	PP	we
had	VHD	have
to	TO	to
move	VV	move
further	RBR	further
back	RB	back
we	PP	we
explained	VVD	explain
to	TO	to
them	PP	them
we	PP	we
didn't	VVD	didn't
have	VH	have
a	DT	a
good	JJ	good
view	NN	view
and	CC	and
they	PP	they
said	VVD	say
that	IN/that	that
that	DT	that
was	VBD	be
the	DT	the
destruction	NN	destruction
to	TO	to
push	VV	push
us	PP	us
back	RB	back
we've	VVP	we've
seen	VVN	see
some	DT	some
of	IN	of
our	PP$	our
colleagues	NNS	colleague
last	JJ	last
week	NN	week
when	WRB	when
they	PP	they
went	VVD	go
to	TO	to
visit	VV	visit
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
being	VBG	be
released	VVN	release
as	IN	as
part	NN	part
of	IN	of
that	DT	that
ceasefire	NN	ceasefire
they	PP	they
were	VBD	be
also	RB	also
uh	UH	uh
manhandled	VVN	manhandle
by	IN	by
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
and	CC	and
this	DT	this
just	RB	just
gives	VVZ	give
you	PP	you
an	DT	an
idea	NN	idea
of	IN	of
the	DT	the
atmosphere	NN	atmosphere
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
as	RB	as
well	RB	well
as	IN	as
the	DT	the
occupied	JJ	occupied
territories	NNS	territory
people	NNS	people
are	VBP	be
shutting	VVG	shut
their	PP$	their
stores	NNS	store
early	RB	early
for	IN	for
fear	NN	fear
of	IN	of
things	NNS	thing
like	IN	like
this	DT	this
of	IN	of
scenes	NNS	scene
like	IN	like
this	DT	this
they	PP	they
are	VBP	be
worried	VVN	worry
will	MD	will
be	VB	be
arrested	VVN	arrest
any	DT	any
moment	NN	moment
just	RB	just
for	IN	for
crossing	VVG	cross
the	DT	the
road	NN	road
as	IN	as
one	CD	one
person	NN	person
told	VVD	tell
us	PP	us
and	CC	and
throwing	VVG	throw
rubbish	NN	rubbish
they	PP	they
were	VBD	be
questioned	VVN	question
over	RP	over
that	IN/that	that
and	CC	and
they	PP	they
were	VBD	be
uh	UH	uh
given	VVN	give
a	DT	a
showdown	NN	showdown
and	CC	and
then	RB	then
were	VBD	be
threatened	VVN	threaten
to	TO	to
be	VB	be
arrested	VVN	arrest
you	PP	you
have	VHP	have
them	PP	them
turning	VVG	turn
up	RP	up
preventing	VVG	prevent
anyone	NN	anyone
from	IN	from
posting	VVG	post
on	IN	on
social	JJ	social
media	NNS	medium
in	IN	in
solidarity	NN	solidarity
with	IN	with
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
</doc>	NP	</doc>
