<video_id>sJzujH2W8EE</video_id>	NP	<video_id>sJzujH2W8EE</video_id>
to	TO	to
bring	VV	bring
them	PP	them
to	TO	to
the	DT	the
brink	NN	brink
of	IN	of
famine	NN	famine
so	RB	so
that	IN/that	that
they	PP	they
will	MD	will
probably	RB	probably
leave	VV	leave
Gaza	NP	Gaza
and	CC	and
the	DT	the
the	DT	the
scenario	NN	scenario
put	VVN	put
by	IN	by
the	DT	the
Israelis	NPS	Israelis
from	IN	from
the	DT	the
g	NN	g
go	NN	go
is	VBZ	be
to	TO	to
kick	VV	kick
the	DT	the
Palestinians	NPS	Palestinians
out	RB	out
of	IN	of
Gaza	NP	Gaza
I	PP	I
think	VVP	think
this	DT	this
is	VBZ	be
part	NN	part
of	IN	of
the	DT	the
strategy	NN	strategy
of	IN	of
course	NN	course
they	PP	they
deny	VVP	deny
that	IN/that	that
what	WP	what
what	WP	what
they	PP	they
do	VVP	do
of	IN	of
course	NN	course
we	PP	we
will	MD	will
not	RB	not
come	VV	come
like	IN	like
in	IN	in
public	NN	public
say	VV	say
yes	UH	yes
we	PP	we
want	VVP	want
to	TO	to
expel	VV	expel
the	DT	the
Palestinians	NPS	Palestinians
well	RB	well
some	RB	some
have	VH	have
some	DT	some
some	DT	some
farri	NN	farri
right	NN	right
members	NNS	member
of	IN	of
the	DT	the
Israeli	JJ	Israeli
cabinet	NN	cabinet
have	VHP	have
uh	UH	uh
I	PP	I
believe	VVP	believe
it	PP	it
was	VBD	be
SMR	NP	SMR
who	WP	who
has	VHZ	have
uh	UH	uh
who	WP	who
has	VHZ	have
invited	VVN	invite
I	PP	I
believe	VVP	believe
with	IN	with
the	DT	the
words	NNS	word
using	VVG	use
invited	VVN	invite
gazin	NN	gazin
to	TO	to
use	VV	use
opportunities	NNS	opportunity
to	TO	to
leave	VV	leave
Gaza	NP	Gaza
not	RB	not
only	RB	only
SM	NN	Sm
and	CC	and
even	RB	even
Gallant	VV	gallant
the	DT	the
Minister	NP	Minister
of	IN	of
Defense	NP	Defense
at	IN	at
the	DT	the
very	JJ	very
beginning	NN	beginning
he	PP	he
said	VVD	say
you	PP	you
know	VVP	know
you	PP	you
guys	NNS	guy
can't	NN	can't
leave	VVP	leave
no	DT	no
electricity	NN	electricity
no	DT	no
water	NN	water
nothing	NN	nothing
I	PP	I
mean	VVP	mean
he	PP	he
was	VBD	be
like	IN	like
threatening	VVG	threaten
them	PP	them
that	IN/that	that
you	PP	you
know	VVP	know
Gaza	NP	Gaza
will	MD	will
not	RB	not
be	VB	be
a	DT	a
place	NN	place
for	IN	for
you	PP	you
to	TO	to
live	VV	live
so	RB	so
this	DT	this
is	VBZ	be
the	DT	the
strategy	NN	strategy
of	IN	of
the	DT	the
of	IN	of
the	DT	the
Israelis	NPS	Israelis
I	PP	I
think	VVP	think
we	PP	we
have	VHP	have
to	TO	to
look	VV	look
at	IN	at
the	DT	the
broader	JJR	broad
image	NN	image
here	RB	here
is	VBZ	be
the	DT	the
demographic	JJ	demographic
balance	NN	balance
I	PP	I
mean	VVP	mean
probably	RB	probably
one	CD	one
of	IN	of
the	DT	the
the	DT	the
head	NN	head
and	CC	and
agenda	NN	agenda
of	IN	of
the	DT	the
Israelis	NPS	Israelis
is	VBZ	be
to	TO	to
make	VV	make
the	DT	the
Palestinian	NN	Palestinian
less	RBR	less
and	CC	and
L	NP	L
in	IN	in
this	DT	this
uh	UH	uh
area	NN	area
that	IN/that	that
stretch	NN	stretch
between	IN	between
the	DT	the
Mediterranean	NP	Mediterranean
and	CC	and
the	DT	the
river	NN	river
because	IN	because
as	IN	as
you	PP	you
know	VVP	know
now	RB	now
the	DT	the
Palestinians	NPS	Palestinians
are	VBP	be
more	RBR	more
the	DT	the
majority	NN	majority
of	IN	of
the	DT	the
the	DT	the
Palestinians	NPS	Palestinians
so	IN	so
they	PP	they
want	VVP	want
to	TO	to
be	VB	be
the	DT	the
Israelis	NPS	Israelis
want	VVP	want
to	TO	to
make	VV	make
them	PP	them
the	DT	the
minority	NN	minority
maybe	RB	maybe
this	DT	this
is	VBZ	be
also	RB	also
uh	UH	uh
part	NN	part
of	IN	of
broader	JJR	broad
strategy	NN	strategy
uh	UH	uh
so	RB	so
um	NNS	um
denying	VVG	deny
them	PP	them
food	NN	food
and	CC	and
and	CC	and
water	NN	water
sugar	NN	sugar
and	CC	and
flowers	NNS	flower
is	VBZ	be
also	RB	also
you	PP	you
know	VVP	know
is	VBZ	be
to	TO	to
kick	VV	kick
them	PP	them
out	RP	out
of	IN	of
Gaza	NP	Gaza
I	PP	I
think	VVP	think
this	DT	this
is	VBZ	be
this	DT	this
is	VBZ	be
a	DT	a
strategy	NN	strategy
I	PP	I
wonder	VVP	wonder
what	WP	what
you	PP	you
think	VVP	think
of	IN	of
the	DT	the
the	DT	the
the	DT	the
Convoy	NN	convoy
of	IN	of
trucks	NNS	truck
that	IN/that	that
we	PP	we
just	RB	just
showed	VVD	show
so	RB	so
it's	JJ	it's
the	DT	the
second	JJ	second
day	NN	day
that	IN/that	that
we	PP	we
see	VVP	see
a	DT	a
convoy	NN	convoy
of	IN	of
trucks	NNS	truck
not	RB	not
that	IN/that	that
many	JJ	many
we're	NN	we're
talking	VVG	talk
about	RB	about
19	CD	@card@
yesterday	NN	yesterday
18	CD	@card@
um	NNS	um
sorry	JJ	sorry
12	CD	@card@
the	DT	the
day	NN	day
before	IN	before
um	JJ	um
trucks	NNS	truck
carrying	VVG	carry
flour	NN	flour
other	JJ	other
essential	JJ	essential
uh	UH	uh
um	JJ	um
essential	JJ	essential
items	NNS	item
from	IN	from
Southern	NP	Southern
Gaza	NP	Gaza
to	TO	to
the	DT	the
north	NN	north
and	CC	and
it's	NNS	it's
the	DT	the
first	JJ	first
time	NN	time
in	IN	in
months	NNS	month
that	WDT	that
there	RB	there
haven't	NNS	haven't
been	VBN	be
any	DT	any
incidents	NNS	incident
because	IN	because
previously	RB	previously
we've	NN	we've
seen	VVN	see
them	PP	them
be	VB	be
attacked	VVN	attack
pretty	RB	pretty
systematically	RB	systematically
what	WP	what
do	VVP	do
you	PP	you
make	VV	make
of	IN	of
this	DT	this
is	VBZ	be
this	DT	this
a	DT	a
Band-Aid	NP	Band-Aid
just	RB	just
good	JJ	good
for	IN	for
Optics	NN	optics
it's	NNS	it's
is	VBZ	be
maybe	RB	maybe
in	IN	in
Israel's	NP	Israel's
interest	NN	interest
to	TO	to
allow	VV	allow
this	DT	this
or	CC	or
is	VBZ	be
this	DT	this
a	DT	a
blueprint	NN	blueprint
perhaps	RB	perhaps
for	IN	for
increasing	VVG	increase
Aid	NN	aid
to	TO	to
the	DT	the
north	NN	north
I	PP	I
wouldn't	VVD	wouldn't
see	VV	see
it	PP	it
as	IN	as
a	DT	a
blueprint	NN	blueprint
I	PP	I
would	MD	would
say	VV	say
that	DT	that
it's	NNS	it's
it	PP	it
shows	VVZ	show
one	CD	one
thing	NN	thing
that	IN/that	that
it's	NNS	it's
doable	JJ	doable
if	IN	if
the	DT	the
Israelis	NPS	Israelis
allow	VVP	allow
this	DT	this
so	RB	so
there's	JJ	there's
nothing	NN	nothing
can	MD	can
impede	VV	impede
it	PP	it
other	JJ	other
than	IN	than
the	DT	the
Israeli	JJ	Israeli
bombardment	NN	bombardment
this	DT	this
one	CD	one
thing	NN	thing
second	JJ	second
it's	NNS	it's
a	DT	a
drop	NN	drop
in	IN	in
the	DT	the
buet	NN	buet
so	IN	so
it's	NNS	it's
really	RB	really
not	RB	not
much	RB	much
it	PP	it
won't	VVD	won't
make	VV	make
a	DT	a
huge	JJ	huge
difference	NN	difference
the	DT	the
only	JJ	only
way	NN	way
is	VBZ	be
to	TO	to
have	VH	have
so	RB	so
why	WRB	why
is	VBZ	be
it	PP	it
happening	VVG	happen
why	WRB	why
isra	NN	isra
is	VBZ	be
you	PP	you
know	VVP	know
I	PP	I
think	VVP	think
they're	NN	they're
responding	VVG	respond
a	DT	a
little	JJ	little
bit	NN	bit
to	TO	to
the	DT	the
American	JJ	American
pressure	NN	pressure
because	IN	because
the	DT	the
Americans	NPS	Americans
have	VHP	have
been	VBN	be
saying	VVG	say
you	PP	you
know	VVP	know
the	DT	the
Israeli	NP	Israeli
should	MD	should
allow	VV	allow
and	CC	and
even	VV	even
uh	UH	uh
the	DT	the
Senate	NP	Senate
majority	NN	majority
leaders	NNS	leader
uh	UH	uh
he	PP	he
was	VBD	be
saying	VVG	say
you	PP	you
know	VVP	know
n	NN	n
need	VVP	need
to	TO	to
step	VV	step
down	RP	down
so	IN	so
I	PP	I
think	VVP	think
there	EX	there
are	VBP	be
a	DT	a
lot	NN	lot
of	IN	of
pressures	NNS	pressure
coming	VVG	come
from	IN	from
the	DT	the
Americans	NPS	Americans
and	CC	and
I	PP	I
this	DT	this
this	DT	this
is	VBZ	be
a	DT	a
way	NN	way
of	IN	of
mitigating	VVG	mitigate
the	DT	the
pressures	NNS	pressure
um	NNS	um
appearing	VVG	appear
as	IN	as
if	IN	if
Israel	NP	Israel
is	VBZ	be
doing	VVG	do
its	PP$	its
best	JJS	good
in	IN	in
order	NN	order
to	TO	to
make	VV	make
their	PP$	their
lives	NNS	life
easier	JJR	easy
but	CC	but
I	PP	I
think	VVP	think
this	DT	this
is	VBZ	be
a	DT	a
drop	NN	drop
in	IN	in
the	DT	the
bucket	NN	bucket
and	CC	and
it	PP	it
would	MD	would
not	RB	not
won't	NN	won't
make	VV	make
a	DT	a
huge	JJ	huge
difference	NN	difference
so	RB	so
mostly	RB	mostly
for	IN	for
the	DT	the
Optics	NN	optics
then	RB	then
in	IN	in
your	PP$	your
view	VV	view
uh	UH	uh
all	DT	all
Aid	NN	aid
agencies	NNS	agency
say	VVP	say
that	IN/that	that
in	IN	in
order	NN	order
to	TO	to
Surge	VV	surge
Aid	NN	aid
to	TO	to
the	DT	the
Palestinians	NPS	Palestinians
surge	NN	surge
Aid	NP	Aid
into	IN	into
Gaza	NP	Gaza
there	RB	there
needs	VVZ	need
to	TO	to
be	VB	be
a	DT	a
ceasefire	NN	ceasefire
it	PP	it
so	RB	so
happens	VVZ	happen
that	IN/that	that
ceasefire	NN	ceasefire
negotiations	NNS	negotiation
will	MD	will
resume	VV	resume
today	NN	today
in	IN	in
Doha	NP	Doha
uh	UH	uh
do	VV	do
you	PP	you
see	VV	see
that	WDT	that
do	VVP	do
you	PP	you
see	VVP	see
a	DT	a
ceasefire	NN	ceasefire
as	IN	as
a	DT	a
possibility	NN	possibility
as	IN	as
a	DT	a
result	NN	result
of	IN	of
these	DT	these
negotiations	NNS	negotiation
of	IN	of
it	PP	it
is	VBZ	be
of	IN	of
course	NN	course
I	PP	I
mean	VVP	mean
depends	VVZ	depend
on	IN	on
the	DT	the
Israelis	NPS	Israelis
well	RB	well
you	PP	you
say	VVP	say
of	IN	of
course	NN	course
but	CC	but
we've	NN	we've
seen	VVN	see
them	PP	them
break	VVP	break
down	RB	down
so	RB	so
many	JJ	many
times	NNS	time
I'm	NN	I'm
say	VVP	say
it's	NNS	it's
a	DT	a
possibility	NN	possibility
but	CC	but
I'm	NN	I'm
not	RB	not
saying	VVG	say
that's	NNS	that's
going	VVG	go
to	TO	to
happen	VV	happen
simply	RB	simply
because	IN	because
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
their	PP$	their
own	JJ	own
conditions	NNS	condition
and	CC	and
they	PP	they
want	VVP	want
only	RB	only
the	DT	the
first	JJ	first
stage	NN	stage
of	IN	of
the	DT	the
deal	NN	deal
where	WRB	where
whereas	IN	whereas
Hamas	NP	Hamas
wants	VVZ	want
three	CD	three
stages	NNS	stage
so	IN	so
I	PP	I
think	VVP	think
there	RB	there
a	DT	a
lot	NN	lot
of	IN	of
disagreement	NN	disagreement
among	IN	among
them	PP	them
I	PP	I
think	VVP	think
if	IN	if
the	DT	the
mediators	NNS	mediator
can	MD	can
iron	VV	iron
out	RP	out
these	DT	these
differences	NNS	difference
and	CC	and
come	VV	come
up	RP	up
with	IN	with
a	DT	a
common	JJ	common
ground	NN	ground
probably	RB	probably
we're	NN	we're
going	VVG	go
to	TO	to
see	VV	see
if	IN	if
a	DT	a
ceas	NNS	ceas
fire	VV	fire
a	DT	a
temporary	JJ	temporary
one	CD	one
at	IN	at
least	JJS	least
a	DT	a
temporary	JJ	temporary
one	CD	one
my	PP$	my
question	NN	question
is	VBZ	be
more	RBR	more
do	VVP	do
you	PP	you
do	VVP	do
you	PP	you
believe	VVP	believe
in	IN	in
a	DT	a
ceasefire	NN	ceasefire
anytime	RB	anytime
soon	RB	soon
because	IN	because
we've	NN	we've
seen	VVN	see
these	DT	these
negotiations	NNS	negotiation
we've	NN	we've
seen	VVN	see
optimism	NN	optimism
expressed	VVD	express
sometimes	RB	sometimes
by	IN	by
the	DT	the
US	NP	US
sometimes	RB	sometimes
by	IN	by
qari	NN	qari
mediators	NNS	mediator
although	IN	although
not	RB	not
in	IN	in
a	DT	a
long	JJ	long
time	NN	time
and	CC	and
then	RB	then
they've	NN	they've
all	RB	all
broken	VVN	break
down	RB	down
I	PP	I
can't	VVD	can't
I	PP	I
can't	VVD	can't
see	VV	see
a	DT	a
temporary	JJ	temporary
one	CD	one
yes	NN	yes
okay	RB	okay
yeah	RB	yeah
temporary	JJ	temporary
yeah	RB	yeah
of	IN	of
course	NN	course
temporary	JJ	temporary
because	IN	because
the	DT	the
Israelis	NPS	Israelis
need	VVP	need
to	TO	to
continue	VV	continue
the	DT	the
war	NN	war
because	IN	because
this	DT	this
is	VBZ	be
also	RB	also
a	DT	a
domestic	JJ	domestic
need	NN	need
for	IN	for
Netanyahu	NP	Netanyahu
it's	NNS	it's
not	RB	not
only	RB	only
he	PP	he
want	VVP	want
to	TO	to
defeat	VV	defeat
Hamas	JJ	Hamas
it's	NNS	it's
about	IN	about
his	PP$	his
own	JJ	own
political	JJ	political
survival	NN	survival
so	IN	so
putting	VVG	put
an	DT	an
end	NN	end
to	TO	to
the	DT	the
conflict	NN	conflict
right	RB	right
now	RB	now
and	CC	and
have	VH	have
a	DT	a
permanency	NN	permanency
Fair	NN	fair
would	MD	would
probably	RB	probably
be	VB	be
the	DT	the
final	JJ	final
nail	NN	nail
in	IN	in
his	PP$	his
political	JJ	political
cff	NN	cff
Hassan	NP	Hassan
barari	NP	barari
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
joining	VVG	join
us	PP	us
in	IN	in
the	DT	the
studio	NN	studio
this	DT	this
hour	NN	hour
thank	VVP	thank
you	PP	you
yeah	RB	yeah
</doc>	JJ	</doc>
