<video_id>FyhhbXLXAKE</video_id>	JJ	<video_id>FyhhbXLXAKE</video_id>
the	DT	the
city	NN	city
there's	NN	there's
lots	NNS	lot
of	IN	of
presence	NN	presence
of	IN	of
the	DT	the
police	NN	police
at	IN	at
least	JJS	least
four	CD	four
people	NNS	people
were	VBD	be
arrested	VVN	arrest
they	PP	they
have	VHP	have
been	VBN	be
warning	VVG	warn
the	DT	the
protesters	NNS	protester
that	IN/that	that
they	PP	they
cannot	MD	can
block	VV	block
the	DT	the
roads	NNS	road
and	CC	and
that's	NNS	that's
why	WRB	why
they're	NN	they're
marching	VVG	march
through	IN	through
this	DT	this
area	NN	area
these	DT	these
people	NNS	people
are	VBP	be
also	RB	also
saying	VVG	say
that	IN/that	that
they	PP	they
stand	VVP	stand
with	IN	with
the	DT	the
student	NN	student
protesters	NNS	protester
that	WDT	that
have	VHP	have
taken	VVN	take
University	NP	University
campuses	NNS	campus
across	IN	across
the	DT	the
country	NN	country
the	DT	the
students	NNS	student
are	VBP	be
very	RB	very
courageous	JJ	courageous
and	CC	and
they're	JJ	they're
very	JJ	very
brave	NN	brave
and	CC	and
our	PP$	our
message	NN	message
here	RB	here
actually	RB	actually
is	VBZ	be
that	IN/that	that
the	DT	the
students	NNS	student
were	VBD	be
right	JJ	right
they	PP	they
were	VBD	be
protesting	VVG	protest
to	TO	to
stop	VV	stop
the	DT	the
invasion	NN	invasion
of	IN	of
Rafa	NP	Rafa
and	CC	and
it's	NNS	it's
continuing	VVG	continue
now	RB	now
protesters	NNS	protester
marched	VVD	march
all	RB	all
around	IN	around
New	NP	New
York	NP	York
City	NP	City
they	PP	they
made	VVD	make
it	PP	it
all	PDT	all
the	DT	the
way	NN	way
here	RB	here
to	TO	to
the	DT	the
New	NP	New
York	NP	York
Public	NP	Public
Library	NP	Library
where	WRB	where
they	PP	they
continue	VVP	continue
to	TO	to
demand	VV	demand
an	DT	an
end	NN	end
to	TO	to
the	DT	the
war	NN	war
students	NNS	student
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
have	VHP	have
been	VBN	be
suspended	VVN	suspend
expelled	VVN	expel
and	CC	and
many	JJ	many
have	VHP	have
been	VBN	be
arrested	VVN	arrest
here	RB	here
in	IN	in
New	NP	New
York	NP	York
City	NP	City
they	PP	they
have	VHP	have
been	VBN	be
evicted	VVN	evict
from	IN	from
their	PP$	their
campuses	NNS	campus
but	CC	but
they	PP	they
have	VHP	have
taken	VVN	take
the	DT	the
protest	NN	protest
to	TO	to
the	DT	the
streets	NNS	street
and	CC	and
that's	NNS	that's
where	WRB	where
they	PP	they
they	PP	they
will	MD	will
remain	VV	remain
New	NP	New
York	NP	York
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
</doc>	NP	</doc>
