<video_id>uBrxB1j8YR4</video_id>	JJ	<video_id>uBrxB1j8YR4</video_id>
after	IN	after
repeated	VVN	repeat
warnings	NNS	warning
uh	UH	uh
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
decided	VVD	decide
to	TO	to
take	VV	take
matters	NNS	matter
into	IN	into
its	PP$	its
own	JJ	own
hands	NNS	hand
and	CC	and
do	VVP	do
what	WP	what
it	PP	it
could	MD	could
with	IN	with
the	DT	the
tools	NNS	tool
that	IN/that	that
it	PP	it
had	VHN	have
and	CC	and
so	RB	so
uh	UH	uh
the	DT	the
Secretary	NP	Secretary
of	IN	of
State	NP	State
and	CC	and
EST	NP	est
statement	NN	statement
says	VVZ	say
these	DT	these
attacks	NNS	attack
are	VBP	be
unacceptable	JJ	unacceptable
and	CC	and
as	IN	as
a	DT	a
result	NN	result
is	VBZ	be
announcing	VVG	announce
these	DT	these
new	JJ	new
Visa	NP	Visa
restriction	NN	restriction
policies	NNS	policy
against	IN	against
dozens	NNS	dozen
of	IN	of
individuals	NNS	individual
who	WP	who
undermine	VVP	undermine
peace	NN	peace
security	NN	security
and	CC	and
stability	NN	stability
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
and	CC	and
we	PP	we
should	MD	should
point	VV	point
out	RP	out
Sammy	NP	Sammy
this	DT	this
also	RB	also
would	MD	would
include	VV	include
in	IN	in
some	DT	some
cases	NNS	case
immediate	JJ	immediate
family	NN	family
members	NNS	member
as	IN	as
well	RB	well
who	WP	who
wish	VVP	wish
to	TO	to
travel	VV	travel
to	TO	to
the	DT	the
United	NP	United
States	NP	States
we	PP	we
should	MD	should
also	RB	also
point	VV	point
out	RP	out
that	IN/that	that
there	EX	there
have	VHP	have
been	VBN	be
limited	JJ	limited
attacks	NNS	attack
by	IN	by
Palestinians	NPS	Palestinians
against	IN	against
some	DT	some
Israelis	NPS	Israelis
and	CC	and
those	DT	those
people	NNS	people
would	MD	would
also	RB	also
be	VB	be
affected	VVN	affect
by	IN	by
these	DT	these
visa	NN	visa
restrictions	NNS	restriction
as	IN	as
well	RB	well
the	DT	the
secretary	NN	secretary
of	IN	of
state	NN	state
says	VVZ	say
he	PP	he
is	VBZ	be
working	VVG	work
with	IN	with
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
to	TO	to
ensure	VV	ensure
that	IN/that	that
there	EX	there
is	VBZ	be
stability	NN	stability
and	CC	and
Security	NN	security
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
Kimberly	NP	Kimberly
how	WRB	how
is	VBZ	be
this	DT	this
impacting	VVG	impact
us	PP	us
Israel	NP	Israel
relations	NNS	relation
given	VVN	give
that	IN/that	that
some	DT	some
of	IN	of
the	DT	the
members	NNS	member
of	IN	of
the	DT	the
Israeli	JJ	Israeli
cabinet	NN	cabinet
are	VBP	be
settlers	NNS	settler
who	WP	who
given	VVN	give
their	PP$	their
backing	NN	backing
to	TO	to
some	DT	some
of	IN	of
the	DT	the
violent	JJ	violent
settlers	NNS	settler
yeah	RB	yeah
well	RB	well
in	IN	in
terms	NNS	term
of	IN	of
relations	NNS	relation
us	PP	us
and	CC	and
Israeli	JJ	Israeli
relations	NNS	relation
it	PP	it
doesn't	VVD	doesn't
appear	VV	appear
that	IN/that	that
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
is	VBZ	be
particularly	RB	particularly
concerned	VVN	concern
about	RB	about
that	IN/that	that
right	RB	right
now	RB	now
it	PP	it
appears	VVZ	appear
that	IN/that	that
what	WP	what
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
is	VBZ	be
more	RBR	more
concerned	VVN	concern
about	RB	about
or	CC	or
is	VBZ	be
uh	UH	uh
feeling	NN	feeling
is	VBZ	be
the	DT	the
pressure	NN	pressure
that	IN/that	that
it's	NNS	it's
under	IN	under
given	VVN	give
the	DT	the
fact	NN	fact
that	IN/that	that
there	EX	there
are	VBP	be
such	JJ	such
high	JJ	high
civilian	JJ	civilian
casualties	NNS	casualty
particularly	RB	particularly
in	IN	in
Gaza	NP	Gaza
we	PP	we
have	VHP	have
seen	VVN	see
all	DT	all
kinds	NNS	kind
of	IN	of
demonstrations	NNS	demonstration
outside	IN	outside
the	DT	the
white	NN	white
house	VV	house
uh	UH	uh
there	EX	there
has	VHZ	have
been	VBN	be
International	JJ	international
outcry	NN	outcry
there	EX	there
has	VHZ	have
been	VBN	be
Global	JJ	global
demonstrations	NNS	demonstration
there	EX	there
has	VHZ	have
even	RB	even
been	VBN	be
pressure	NN	pressure
within	IN	within
the	DT	the
Biden	NP	Biden
in	IN	in
admin	NN	admin
ation	NN	ation
there	RB	there
have	VHP	have
been	VBN	be
letters	NNS	letter
that	WDT	that
have	VHP	have
been	VBN	be
sent	VVN	send
open	JJ	open
letters	NNS	letter
there	RB	there
have	VHP	have
even	RB	even
been	VBN	be
resignations	NNS	resignation
and	CC	and
the	DT	the
President	NP	President
Joe	NP	Joe
Biden's	NP	Biden's
feeling	VVG	feel
the	DT	the
heat	VV	heat
uh	UH	uh
We've	NN	We've
even	RB	even
seen	VVN	see
uh	UH	uh
movements	NNS	movement
such	JJ	such
as	IN	as
the	DT	the
abandoned	JJ	abandoned
Biden	NP	Biden
movement	NN	movement
in	IN	in
some	DT	some
swing	NN	swing
States	NNS	state
organized	VVN	organize
by	IN	by
prominent	JJ	prominent
Muslim	JJ	Muslim
leaders	NNS	leader
in	IN	in
other	JJ	other
words	NNS	word
for	IN	for
a	DT	a
president	NN	president
who	WP	who
is	VBZ	be
trying	VVG	try
to	TO	to
win	VV	win
reelection	NN	reelection
in	IN	in
about	RB	about
a	DT	a
year's	NNS	year's
time	NN	time
or	CC	or
less	JJR	less
than	IN	than
a	DT	a
year	NN	year
now	IN	now
uh	UH	uh
he's	NNS	he's
thinking	VVG	think
about	RB	about
that	IN/that	that
he's	NNS	he's
got	VVD	get
domestic	JJ	domestic
concerns	NNS	concern
he's	NNS	he's
not	RB	not
worried	VVN	worry
about	IN	about
uh	UH	uh
you	PP	you
know	VVP	know
settlers	NNS	settler
in	IN	in
the	DT	the
cabinet	NN	cabinet
or	CC	or
or	CC	or
what	WP	what
the	DT	the
knesset	NN	Knesset
thinks	VVZ	think
right	RB	right
now	RB	now
and	CC	and
how	WRB	how
that	DT	that
might	MD	might
play	VV	play
out	RP	out
what	WP	what
he's	NNS	he's
thinking	VVG	think
about	RB	about
is	VBZ	be
how	WRB	how
he's	NNS	he's
going	VVG	go
to	TO	to
win	VV	win
reelection	NN	reelection
and	CC	and
what	WP	what
that	WDT	that
might	MD	might
look	VV	look
like	IN	like
so	RB	so
this	DT	this
is	VBZ	be
part	NN	part
and	CC	and
parcel	NN	parcel
of	IN	of
what	WP	what
this	DT	this
policy	NN	policy
is	VBZ	be
is	VBZ	be
responding	VVG	respond
to	TO	to
that	DT	that
pressure	NN	pressure
and	CC	and
taking	VVG	take
action	NN	action
and	CC	and
so	RB	so
that	DT	that
is	VBZ	be
what	WP	what
the	DT	the
uh	UH	uh
US	NP	US
president	NN	president
has	VHZ	have
done	VVN	do
but	CC	but
it	PP	it
shouldn't	VVD	shouldn't
come	VV	come
as	IN	as
a	DT	a
big	JJ	big
surprise	NN	surprise
given	VVN	give
the	DT	the
fact	NN	fact
that	IN/that	that
he	PP	he
wrote	VVD	write
an	DT	an
oped	VVN	ope
in	IN	in
just	RB	just
recent	JJ	recent
weeks	NNS	week
in	IN	in
response	NN	response
to	TO	to
the	DT	the
spike	NN	spike
and	CC	and
attacks	NNS	attack
on	IN	on
uh	UH	uh
Palestinians	NPS	Palestinians
telegraphing	VVG	telegraph
this	DT	this
is	VBZ	be
exactly	RB	exactly
what	WP	what
he	PP	he
was	VBD	be
going	VVG	go
to	TO	to
do	VV	do
all	DT	all
right	JJ	right
let's	NNS	let's
thank	VVP	thank
Kimber	NP	Kimber
halip	NN	halip
but	CC	but
let's	JJ	let's
uh	UH	uh
continue	VV	continue
</doc>	NN	</doc>
