<video_id>-XaiugmNlkI</video_id>	JJ	<video_id>-XaiugmNlkI</video_id>
besides	IN	besides
the	DT	the
lack	NN	lack
of	IN	of
water	NN	water
there	EX	there
are	VBP	be
other	JJ	other
crises	NNS	crisis
there	EX	there
is	VBZ	be
a	DT	a
lack	NN	lack
of	IN	of
electricity	NN	electricity
and	CC	and
what	WP	what
</doc>	NN	</doc>
