<video_id>38wxaqW2nks</video_id>	JJ	<video_id>38wxaqW2nks</video_id>
full	JJ	full
of	IN	of
people	NNS	people
not	RB	not
only	RB	only
the	DT	the
owner	NN	owner
of	IN	of
that	DT	that
building	NN	building
but	CC	but
also	RB	also
evacuees	NNS	evacuee
who	WP	who
Moved	VVD	move
fle	NN	fle
fled	VVD	flee
from	IN	from
Gaza	NP	Gaza
and	CC	and
the	DT	the
northern	JJ	northern
part	NN	part
not	RB	not
only	RB	only
that	IN/that	that
the	DT	the
house	NN	house
was	VBD	be
destroyed	VVN	destroy
but	CC	but
also	RB	also
the	DT	the
surrounding	VVG	surround
area	NN	area
four	CD	four
more	JJR	more
residential	JJ	residential
homes	NNS	home
we're	NN	we're
talking	VVG	talk
about	IN	about
a	DT	a
block	NN	block
an	DT	an
entire	JJ	entire
block	NN	block
that	WDT	that
was	VBD	be
turned	VVN	turn
into	IN	into
a	DT	a
pile	NN	pile
of	IN	of
ruins	NNS	ruin
now	RB	now
we	PP	we
we	PP	we
spoke	VVD	speak
to	TO	to
one	CD	one
person	NN	person
came	VVD	come
to	TO	to
the	DT	the
hospital	NN	hospital
very	RB	very
very	RB	very
scared	VVD	scare
uh	UH	uh
of	IN	of
what	WP	what
happened	VVD	happen
described	VVN	describe
that	IN/that	that
he	PP	he
could	MD	could
feel	VV	feel
the	DT	the
ground	NN	ground
shaking	VVG	shake
underneath	IN	underneath
his	PP$	his
feet	NNS	foot
before	IN	before
a	DT	a
loud	JJ	loud
explosion	NN	explosion
happened	VVD	happen
and	CC	and
and	CC	and
destroying	VVG	destroy
uh	UH	uh
the	DT	the
entire	JJ	entire
building	NN	building
and	CC	and
and	CC	and
in	IN	in
and	CC	and
a	DT	a
loud	JJ	loud
a	DT	a
a	DT	a
a	DT	a
very	RB	very
dark	JJ	dark
cloud	NN	cloud
of	IN	of
smoke	NN	smoke
surrounding	VVG	surround
the	DT	the
area	NN	area
with	IN	with
flying	VVG	fly
objects	NNS	object
and	CC	and
and	CC	and
and	CC	and
stones	NNS	stone
of	IN	of
around	IN	around
him	PP	him
H	NP	H
13	CD	@card@
people	VV	people
uh	UH	uh
where	WRB	where
two	CD	two
people	NNS	people
were	VBD	be
reported	VVN	report
killed	VVN	kill
right	RB	right
instantly	RB	instantly
at	IN	at
that	DT	that
point	NN	point
and	CC	and
these	DT	these
two	CD	two
people	NNS	people
were	VBD	be
in	IN	in
front	NN	front
of	IN	of
that	DT	that
building	NN	building
out	RP	out
in	IN	in
the	DT	the
street	NN	street
but	CC	but
as	IN	as
time	NN	time
went	VVD	go
by	IN	by
uh	UH	uh
13	CD	@card@
people	NNS	people
where	WRB	where
it	PP	it
brought	VVD	bring
to	TO	to
the	DT	the
hospital	NN	hospital
some	DT	some
of	IN	of
them	PP	them
and	CC	and
this	DT	this
is	VBZ	be
really	RB	really
very	RB	very
graphic	JJ	graphic
we	PP	we
we	PP	we
saw	VVD	see
this	DT	this
coming	VVG	come
but	CC	but
they	PP	they
were	VBD	be
brought	VVN	bring
in	RP	in
in	IN	in
in	IN	in
a	DT	a
blanket	NN	blanket
they	PP	they
were	VBD	be
wrapped	VVN	wrap
in	IN	in
a	DT	a
blanket	NN	blanket
they	PP	they
were	VBD	be
into	IN	into
they	PP	they
were	VBD	be
brought	VVN	bring
in	IN	in
pieces	NNS	piece
to	TO	to
the	DT	the
hospital	NN	hospital
a	DT	a
little	JJ	little
girl	NN	girl
was	VBD	be
unfortunately	RB	unfortunately
uh	UH	uh
it	PP	it
was	VBD	be
directly	RB	directly
hit	VVN	hit
by	IN	by
a	DT	a
Shar	NP	Shar
by	IN	by
a	DT	a
flying	VVG	fly
sharp	JJ	sharp
now	IN	now
that	DT	that
uh	UH	uh
a	DT	a
a	DT	a
caused	VVN	cause
severe	JJ	severe
damage	NN	damage
to	TO	to
her	PP$	her
head	NN	head
and	CC	and
was	VBD	be
pronounced	VVN	pronounce
a	DT	a
dead	JJ	dead
right	NN	right
at	IN	at
the	DT	the
spot	NN	spot
so	RB	so
so	RB	so
far	RB	far
13	CD	@card@
people	NNS	people
uh	UH	uh
have	VHP	have
been	VBN	be
killed	VVN	kill
as	IN	as
a	DT	a
result	NN	result
of	IN	of
those	DT	those
multiple	JJ	multiple
air	NN	air
strikes	NNS	strike
on	IN	on
that	DT	that
area	NN	area
a	DT	a
Nar	NP	Nar
building	NN	building
residential	JJ	residential
home	NN	home
uh	UH	uh
and	CC	and
with	IN	with
multiple	JJ	multiple
injuries	NNS	injury
it	PP	it
brought	VVD	bring
to	TO	to
the	DT	the
hospital	NN	hospital
H	NN	H
now	RB	now
this	DT	this
a	DT	a
reminder	NN	reminder
uh	UH	uh
to	TO	to
what	WP	what
happened	VVD	happen
in	IN	in
other	JJ	other
neighborhoods	NNS	neighborhood
and	CC	and
and	CC	and
and	CC	and
and	CC	and
neighbor	NN	neighbor
and	CC	and
residential	JJ	residential
blocks	NNS	block
in	IN	in
refugee	NN	refugee
camp	NN	camp
in	IN	in
other	JJ	other
areas	NNS	area
of	IN	of
RA	NP	RA
andun	NN	andun
where	WRB	where
those	DT	those
bombs	NNS	bomb
are	VBP	be
are	VBP	be
unconventional	JJ	unconventional
they	PP	they
penetrate	VVP	penetrate
to	TO	to
the	DT	the
ground	NN	ground
they	PP	they
they	PP	they
they	PP	they
shake	VVP	shake
the	DT	the
the	DT	the
the	DT	the
the	DT	the
foundation	NN	foundation
of	IN	of
of	IN	of
of	IN	of
the	DT	the
building	NN	building
to	TO	to
the	DT	the
point	NN	point
that	IN/that	that
the	DT	the
building	NN	building
cannot	MD	can
stand	VV	stand
it	PP	it
it	PP	it
collaps	VVZ	collaps
right	RB	right
away	RB	away
as	IN	as
a	DT	a
result	NN	result
of	IN	of
the	DT	the
destroyed	VVN	destroy
foundation	NN	foundation
and	CC	and
the	DT	the
the	DT	the
severe	JJ	severe
explosion	NN	explosion
uh	UH	uh
that	WDT	that
that	RB	that
happened	VVD	happen
uh	UH	uh
when	WRB	when
the	DT	the
air	NN	air
strike	VV	strike
uh	UH	uh
takes	VVZ	take
place	NN	place
now	RB	now
all	RB	all
of	IN	of
this	DT	this
is	VBZ	be
part	NN	part
of	IN	of
the	DT	the
of	IN	of
the	DT	the
air	NN	air
strike	NN	strike
but	CC	but
there's	RB	there's
that	DT	that
aftermath	NN	aftermath
of	IN	of
the	DT	the
of	IN	of
the	DT	the
air	NN	air
strike	NN	strike
people	NNS	people
who	WP	who
who	WP	who
survived	VVD	survive
people	NNS	people
who	WP	who
survived	VVD	survive
the	DT	the
air	NN	air
strike	NN	strike
are	VBP	be
are	NN	are
are	VBP	be
now	RB	now
displaced	VVN	displace
for	IN	for
the	DT	the
second	JJ	second
time	NN	time
so	IN	so
they	PP	they
fled	VVD	flee
from	IN	from
G	NP	G
and	CC	and
North	NP	North
Park	NP	Park
to	TO	to
this	DT	this
home	NN	home
internally	RB	internally
displaced	VVN	displace
to	TO	to
find	VV	find
themselves	PP	themselves
one	CD	one
more	JJR	more
time	NN	time
displaced	VVD	displace
I	PP	I
mean	VVP	mean
those	DT	those
who	WP	who
are	VBP	be
killed	VVN	kill
they're	NN	they're
killed	VVD	kill
right	RB	right
right	RB	right
at	IN	at
the	DT	the
SP	NP	SP
but	CC	but
those	DT	those
who	WP	who
survive	VVP	survive
a	DT	a
remaining	VVG	remain
family	NN	family
member	NN	member
who	WP	who
said	VVD	say
that	IN/that	that
he's	NNS	he's
the	DT	the
only	JJ	only
one	CD	one
remaining	VVG	remain
of	IN	of
of	IN	of
the	DT	the
13	CD	@card@
is	VBZ	be
displaced	VVN	displace
for	IN	for
the	DT	the
the	DT	the
second	JJ	second
time	NN	time
as	IN	as
there's	RB	there's
no	DT	no
place	NN	place
to	TO	to
go	VV	go
to	TO	to
right	RB	right
now	RB	now
Han	NP	Han
Mahmud	NP	Mahmud
listen	VVP	listen
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
that	DT	that
update	NN	update
and	CC	and
that	DT	that
level	NN	level
of	IN	of
detail	NN	detail
we	PP	we
were	VBD	be
just	RB	just
watching	VVG	watch
the	DT	the
aftermath	NN	aftermath
of	IN	of
that	DT	that
strike	NN	strike
on	IN	on
a	DT	a
residential	JJ	residential
building	NN	building
in	IN	in
the	DT	the
city	NN	city
of	IN	of
Kan	NP	Kan
Yunis	NP	Yunis
that	WDT	that
has	VHZ	have
killed	VVN	kill
13	CD	@card@
people	NNS	people
just	JJ	just
moments	NNS	moment
ago	RB	ago
that's	JJ	that's
what	WP	what
the	DT	the
scene	NN	scene
looks	VVZ	look
like	IN	like
as	IN	as
we	PP	we
speak	VVP	speak
hanim	NP	hanim
Mahmud	NP	Mahmud
reporting	VVG	report
from	IN	from
kanun	NN	kanun
thank	VVP	thank
you	PP	you
very	RB	very
much	JJ	much
</doc>	NN	</doc>
